<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LKD,MV,D,20151215,000000,140.195,140.195,140.195,140.195,0,0
LKD,MV,D,20151217,000000,136.933,136.933,136.933,136.933,0,0
LKD,MV,D,20151218,000000,138.851,138.851,138.851,138.851,0,0
LKD,MV,D,20151221,000000,123.688,130.983,123.688,130.983,0,0
LKD,MV,D,20151222,000000,123.688,132.45,123.483,132.45,0,0
LKD,MV,D,20151223,000000,134.695,134.695,134.695,134.695,0,0
LKD,MV,D,20151228,000000,134.695,134.695,134.695,134.695,0,0
LKD,MV,D,20151229,000000,134.695,134.695,134.695,134.695,0,0
LKD,MV,D,20151230,000000,134.695,140.31,123.483,140.31,0,0
LKD,MV,D,20160113,000000,136.933,136.933,136.933,136.933,0,0
LKD,MV,D,20160120,000000,112.246,112.812,112.246,112.812,0,0
LKD,MV,D,20160121,000000,112.246,122.909,112.246,122.909,0,0
LKD,MV,D,20160127,000000,123.483,123.483,112.246,123.483,0,0
LKD,MV,D,20160129,000000,135.253,135.253,135.253,135.253,0,0
LKD,MV,D,20160203,000000,134.695,134.695,134.695,134.695,0,0
LKD,MV,D,20160212,000000,123.483,132.45,123.483,132.45,0,0
LKD,MV,D,20160216,000000,132.45,132.45,132.45,132.45,0,0
LKD,MV,D,20160224,000000,123.483,123.483,112.246,112.246,0,0
LKD,MV,D,20160225,000000,123.483,123.483,123.483,123.483,0,0
LKD,MV,D,20160229,000000,123.483,123.483,123.483,123.483,0,0
LKD,MV,D,20160304,000000,121.229,121.229,121.229,121.229,0,0
LKD,MV,D,20160309,000000,121.229,121.229,121.229,121.229,0,0
LKD,MV,D,20160310,000000,121.229,121.229,121.229,121.229,0,0
LKD,MV,D,20160311,000000,121.229,121.229,121.229,121.229,0,0
LKD,MV,D,20160316,000000,121.229,129.089,121.229,129.089,0,0
LKD,MV,D,20160317,000000,134.695,135.81,134.695,134.695,0,0
LKD,MV,D,20160318,000000,132.45,135.253,132.45,135.253,0,0
LKD,MV,D,20160321,000000,136.04,144.228,136.04,144.228,0,0
LKD,MV,D,20160322,000000,141.318,141.318,141.318,141.318,0,0
LKD,MV,D,20160323,000000,139.187,139.187,139.187,139.187,0,0
LKD,MV,D,20160329,000000,139.072,139.072,138.957,138.957,0,0
LKD,MV,D,20160330,000000,139.752,139.752,139.752,139.752,0,0
LKD,MV,D,20160331,000000,139.752,139.752,139.752,139.752,0,0
LKD,MV,D,20160401,000000,141.433,141.433,141.433,141.433,0,0
LKD,MV,D,20160405,000000,141.318,141.433,141.318,141.318,0,0
