<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LKD,PB,D,20151215,000000,0.916658,0.916658,0.916658,0.916658,0,0
LKD,PB,D,20151217,000000,0.89797,0.89797,0.89797,0.89797,0,0
LKD,PB,D,20151218,000000,0.910428,0.910428,0.910428,0.910428,0,0
LKD,PB,D,20151221,000000,0.810681,0.854285,0.810681,0.854285,0,0
LKD,PB,D,20151222,000000,0.810681,0.866743,0.804452,0.866743,0,0
LKD,PB,D,20151223,000000,0.879282,0.879282,0.879282,0.879282,0,0
LKD,PB,D,20151228,000000,0.879282,0.879282,0.879282,0.879282,0,0
LKD,PB,D,20151229,000000,0.879282,0.879282,0.879282,0.879282,0,0
LKD,PB,D,20151230,000000,0.879282,0.916658,0.804452,0.916658,0,0
LKD,PB,D,20160113,000000,0.89797,0.89797,0.89797,0.89797,0,0
LKD,PB,D,20160120,000000,0.73585,0.73585,0.73585,0.73585,0,0
LKD,PB,D,20160121,000000,0.73585,0.804452,0.73585,0.804452,0,0
LKD,PB,D,20160127,000000,0.804452,0.804452,0.73585,0.804452,0,0
LKD,PB,D,20160129,000000,0.885512,0.885512,0.885512,0.885512,0,0
LKD,PB,D,20160203,000000,0.879282,0.879282,0.879282,0.879282,0,0
LKD,PB,D,20160212,000000,0.804452,0.866743,0.804452,0.866743,0,0
LKD,PB,D,20160216,000000,0.866743,0.866743,0.866743,0.866743,0,0
LKD,PB,D,20160224,000000,0.804452,0.804452,0.73585,0.73585,0,0
LKD,PB,D,20160225,000000,0.804452,0.804452,0.804452,0.804452,0,0
LKD,PB,D,20160229,000000,0.804452,0.804452,0.804452,0.804452,0,0
LKD,PB,D,20160304,000000,0.791912,0.791912,0.791912,0.791912,0,0
LKD,PB,D,20160309,000000,0.791912,0.791912,0.791912,0.791912,0,0
LKD,PB,D,20160310,000000,0.791912,0.791912,0.791912,0.791912,0,0
LKD,PB,D,20160311,000000,0.791912,0.791912,0.791912,0.791912,0,0
LKD,PB,D,20160316,000000,0.791912,0.841908,0.617334,0.617334,0,0
LKD,PB,D,20160317,000000,0.642332,0.648397,0.642332,0.642332,0,0
LKD,PB,D,20160318,000000,0.629874,0.642332,0.629874,0.642332,0,0
LKD,PB,D,20160321,000000,0.648397,0.685935,0.648397,0.685935,0,0
LKD,PB,D,20160322,000000,0.673478,0.673478,0.673478,0.673478,0,0
LKD,PB,D,20160323,000000,0.661019,0.661019,0.661019,0.661019,0,0
LKD,PB,D,20160329,000000,0.661019,0.661019,0.661019,0.661019,0,0
LKD,PB,D,20160330,000000,0.66733,0.66733,0.66733,0.66733,0,0
LKD,PB,D,20160331,000000,0.66733,0.66733,0.66733,0.66733,0,0
LKD,PB,D,20160401,000000,0.673478,0.673478,0.673478,0.673478,0,0
LKD,PB,D,20160405,000000,0.673478,0.673478,0.673478,0.673478,0,0
LKD,PB,D,20160406,000000,0.673478,0.673478,0.673478,0.673478,0,0
LKD,PB,D,20160407,000000,0.66733,0.673478,0.66733,0.673478,0,0
LKD,PB,D,20160411,000000,0.673478,0.673478,0.673478,0.673478,0,0
LKD,PB,D,20160412,000000,0.673478,0.673478,0.673478,0.673478,0,0
LKD,PB,D,20160413,000000,0.673478,0.685935,0.673478,0.685935,0,0
LKD,PB,D,20160414,000000,0.679625,0.679625,0.679625,0.679625,0,0
LKD,PB,D,20160415,000000,0.679625,0.685935,0.679625,0.685935,0,0
LKD,PB,D,20160418,000000,0.687902,0.707655,0.687902,0.701098,0,0
LKD,PB,D,20160419,000000,0.707655,0.707655,0.687902,0.707655,0,0
LKD,PB,D,20160422,000000,0.694541,0.694541,0.694541,0.694541,0,0
LKD,PB,D,20160425,000000,0.694541,0.694541,0.694541,0.694541,0,0
LKD,PB,D,20160426,000000,0.694541,0.694541,0.694541,0.694541,0,0
LKD,PB,D,20160427,000000,0.707655,0.71413,0.707655,0.707655,0,0
LKD,PB,D,20160428,000000,0.707655,0.71413,0.707655,0.707655,0,0
LKD,PB,D,20160429,000000,0.71413,0.720769,0.71413,0.720769,0,0
LKD,PB,D,20160502,000000,0.727245,0.727245,0.720769,0.720769,0,0
LKD,PB,D,20160504,000000,0.720769,0.720769,0.720769,0.720769,0,0
LKD,PB,D,20160505,000000,0.720769,0.720769,0.720769,0.720769,0,0
LKD,PB,D,20160506,000000,0.727245,0.727245,0.71413,0.720769,0,0
LKD,PB,D,20160509,000000,0.720769,0.720769,0.720769,0.720769,0,0
LKD,PB,D,20160510,000000,0.720769,0.720769,0.720769,0.720769,0,0
LKD,PB,D,20160511,000000,0.720769,0.720769,0.707655,0.71413,0,0
LKD,PB,D,20160512,000000,0.720769,0.720769,0.720769,0.720769,0,0
LKD,PB,D,20160513,000000,0.720769,0.720769,0.720769,0.720769,0,0
