<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPP,PB,D,20070813,000000,9.82872,9.82872,9.82872,9.82872,0,0
LPP,PB,D,20070814,000000,8.47416,8.47416,8.47416,8.47416,0,0
LPP,PB,D,20070816,000000,8.24719,8.24719,8.24719,8.24719,0,0
LPP,PB,D,20070817,000000,8.37311,8.37311,8.37311,8.37311,0,0
LPP,PB,D,20070820,000000,8.43601,8.43601,8.43601,8.43601,0,0
LPP,PB,D,20070821,000000,8.57577,8.57577,8.57577,8.57577,0,0
LPP,PB,D,20070822,000000,8.76535,8.76535,8.76535,8.76535,0,0
LPP,PB,D,20070823,000000,9.30335,9.30335,9.30335,9.30335,0,0
LPP,PB,D,20070824,000000,9.34261,9.34261,9.34261,9.34261,0,0
LPP,PB,D,20070827,000000,9.49966,9.49966,9.49966,9.49966,0,0
LPP,PB,D,20070828,000000,9.92216,9.92216,9.92216,9.92216,0,0
LPP,PB,D,20070829,000000,9.30335,9.30335,9.30335,9.30335,0,0
LPP,PB,D,20070830,000000,9.50713,9.50713,9.50713,9.50713,0,0
LPP,PB,D,20070831,000000,10.0007,10.0007,10.0007,10.0007,0,0
LPP,PB,D,20070903,000000,10.0474,10.0474,10.0474,10.0474,0,0
LPP,PB,D,20070904,000000,10.2195,10.2195,10.2195,10.2195,0,0
LPP,PB,D,20070905,000000,10.2961,10.2961,10.2961,10.2961,0,0
LPP,PB,D,20070906,000000,9.94646,9.94646,9.94646,9.94646,0,0
LPP,PB,D,20070907,000000,9.66231,9.66231,9.66231,9.66231,0,0
LPP,PB,D,20070910,000000,9.30335,9.30335,9.30335,9.30335,0,0
LPP,PB,D,20070911,000000,9.09301,9.09301,9.09301,9.09301,0,0
LPP,PB,D,20070912,000000,8.90511,8.90511,8.90511,8.90511,0,0
LPP,PB,D,20070913,000000,8.56165,8.56165,8.56165,8.56165,0,0
LPP,PB,D,20070914,000000,8.34207,8.34207,8.34207,8.34207,0,0
LPP,PB,D,20070917,000000,8.47416,8.47416,8.47416,8.47416,0,0
LPP,PB,D,20070918,000000,8.80957,8.80957,8.80957,8.80957,0,0
LPP,PB,D,20070919,000000,8.91352,8.91352,8.91352,8.91352,0,0
LPP,PB,D,20070920,000000,8.74909,8.74909,8.74909,8.74909,0,0
LPP,PB,D,20070921,000000,8.40386,8.40386,8.40386,8.40386,0,0
LPP,PB,D,20070924,000000,8.40386,8.40386,8.40386,8.40386,0,0
LPP,PB,D,20070925,000000,8.26289,8.26289,8.26289,8.26289,0,0
LPP,PB,D,20070926,000000,8.41984,8.41984,8.41984,8.41984,0,0
LPP,PB,D,20070927,000000,8.59924,8.59924,8.59924,8.59924,0,0
LPP,PB,D,20070928,000000,8.6227,8.6227,8.6227,8.6227,0,0
LPP,PB,D,20071001,000000,8.59924,8.59924,8.59924,8.59924,0,0
LPP,PB,D,20071002,000000,8.92848,8.92848,8.92848,8.92848,0,0
LPP,PB,D,20071003,000000,9.05281,9.05281,9.05281,9.05281,0,0
LPP,PB,D,20071004,000000,9.23978,9.23978,9.23978,9.23978,0,0
LPP,PB,D,20071005,000000,9.27997,9.27997,9.27997,9.27997,0,0
LPP,PB,D,20071008,000000,9.36878,9.36878,9.36878,9.36878,0,0
LPP,PB,D,20071009,000000,9.44451,9.44451,9.44451,9.44451,0,0
LPP,PB,D,20071010,000000,9.63988,9.63988,9.63988,9.63988,0,0
LPP,PB,D,20071011,000000,9.94646,9.94646,9.94646,9.94646,0,0
LPP,PB,D,20071012,000000,9.96147,9.96147,9.96147,9.96147,0,0
LPP,PB,D,20071015,000000,10.2354,10.2354,10.2354,10.2354,0,0
LPP,PB,D,20071016,000000,10.141,10.141,10.141,10.141,0,0
LPP,PB,D,20071017,000000,10.1326,10.1326,10.1326,10.1326,0,0
LPP,PB,D,20071018,000000,10.2354,10.2354,10.2354,10.2354,0,0
LPP,PB,D,20071019,000000,10.227,10.227,10.227,10.227,0,0
LPP,PB,D,20071022,000000,9.9848,9.9848,9.9848,9.9848,0,0
LPP,PB,D,20071023,000000,10.0175,10.0175,10.0175,10.0175,0,0
LPP,PB,D,20071024,000000,10.1091,10.1091,10.1091,10.1091,0,0
LPP,PB,D,20071025,000000,10.2111,10.2111,10.2111,10.2111,0,0
LPP,PB,D,20071026,000000,10.2503,10.2503,10.2503,10.2503,0,0
LPP,PB,D,20071029,000000,10.227,10.227,10.227,10.227,0,0
LPP,PB,D,20071030,000000,10.125,10.125,10.125,10.125,0,0
LPP,PB,D,20071031,000000,10.1091,10.1091,10.1091,10.1091,0,0
LPP,PB,D,20071102,000000,9.91374,9.91374,9.91374,9.91374,0,0
LPP,PB,D,20071105,000000,9.64736,9.64736,9.64736,9.64736,0,0
LPP,PB,D,20071106,000000,9.74923,9.74923,9.74923,9.74923,0,0
LPP,PB,D,20071107,000000,9.15564,9.15564,9.15564,9.15564,0,0
LPP,PB,D,20071108,000000,9.13228,9.13228,9.13228,9.13228,0,0
LPP,PB,D,20071109,000000,9.10049,9.70343,9.10049,9.59501,0,0
LPP,PB,D,20071112,000000,9.15564,9.59501,9.15564,9.18743,0,0
LPP,PB,D,20071113,000000,9.49124,9.49966,9.17995,9.38281,0,0
LPP,PB,D,20071114,000000,9.50713,9.71002,9.26314,9.45946,0,0
LPP,PB,D,20071115,000000,9.46787,9.46787,8.28635,8.28635,0,0
LPP,PB,D,20071116,000000,8.28635,9.0444,8.24719,9.02944,0,0
LPP,PB,D,20071119,000000,9.17995,9.17995,8.50613,9.02944,0,0
LPP,PB,D,20071120,000000,9.21641,9.21641,9.02944,9.02944,0,0
LPP,PB,D,20071121,000000,9.01448,9.01448,8.77256,8.84117,0,0
LPP,PB,D,20071122,000000,8.84117,8.9369,8.7247,8.7247,0,0
LPP,PB,D,20071123,000000,8.99205,8.99205,8.74909,8.84117,0,0
LPP,PB,D,20071126,000000,8.84117,8.92101,8.75722,8.90511,0,0
LPP,PB,D,20071127,000000,8.90511,9.01448,8.88081,9.01448,0,0
LPP,PB,D,20071128,000000,9.02289,9.02289,8.84117,8.92101,0,0
LPP,PB,D,20071129,000000,8.95185,9.0687,8.95185,9.02944,0,0
LPP,PB,D,20071130,000000,8.69309,9.02944,8.69309,9.02944,0,0
LPP,PB,D,20071203,000000,9.02944,9.36878,8.88081,9.36878,0,0
LPP,PB,D,20071204,000000,9.0846,10.04,9.0846,9.80539,0,0
LPP,PB,D,20071205,000000,10.1176,10.1812,9.96893,9.96893,0,0
LPP,PB,D,20071206,000000,9.96893,10.1877,9.96893,10.1017,0,0
LPP,PB,D,20071207,000000,10.1017,10.1017,9.97638,10.0783,0,0
LPP,PB,D,20071210,000000,10.0783,10.1877,9.96893,10.0848,0,0
LPP,PB,D,20071211,000000,10.0474,10.0474,9.74178,9.78196,0,0
LPP,PB,D,20071212,000000,9.61838,9.78196,9.48377,9.78196,0,0
LPP,PB,D,20071213,000000,9.49124,9.59501,9.49124,9.52396,0,0
LPP,PB,D,20071214,000000,9.52396,9.55388,9.2323,9.52396,0,0
LPP,PB,D,20071217,000000,9.47535,9.59501,9.42955,9.52396,0,0
LPP,PB,D,20071218,000000,9.48377,9.77353,9.48377,9.77353,0,0
LPP,PB,D,20071219,000000,9.82127,9.84276,9.71844,9.84276,0,0
LPP,PB,D,20071220,000000,9.87268,9.89698,9.78196,9.78196,0,0
LPP,PB,D,20071221,000000,9.78196,9.92216,9.78196,9.82127,0,0
LPP,PB,D,20071227,000000,9.82127,9.96893,9.78196,9.96893,0,0
LPP,PB,D,20071228,000000,9.96893,10.0474,9.96893,10.04,0,0
LPP,PB,D,20080102,000000,9.78196,9.99323,9.63988,9.78854,0,0
LPP,PB,D,20080103,000000,9.78196,9.91374,9.68659,9.91374,0,0
LPP,PB,D,20080104,000000,9.91374,9.91374,9.67073,9.67073,0,0
LPP,PB,D,20080107,000000,9.60342,9.60342,9.23978,9.27997,0,0
LPP,PB,D,20080108,000000,9.21641,9.21641,8.65429,9.21641,0,0
LPP,PB,D,20080109,000000,8.92101,9.02944,8.92101,8.94531,0,0
LPP,PB,D,20080110,000000,9.0687,9.0687,8.46621,8.65429,0,0
LPP,PB,D,20080111,000000,8.55362,8.61457,8.27925,8.27925,0,0
LPP,PB,D,20080114,000000,7.94225,7.94225,7.94225,7.94225,0,0
LPP,PB,D,20080115,000000,7.90307,7.90307,7.52756,7.52756,0,0
LPP,PB,D,20080116,000000,7.1441,7.51971,7.1441,7.48858,0,0
LPP,PB,D,20080117,000000,7.33966,7.56663,7.33966,7.52756,0,0
LPP,PB,D,20080118,000000,7.94225,7.94225,7.39472,7.39472,0,0
LPP,PB,D,20080121,000000,7.44922,7.48858,6.9017,7.07379,0,0
LPP,PB,D,20080122,000000,6.76848,7.03472,6.64331,6.8858,0,0
LPP,PB,D,20080123,000000,7.01901,7.30067,7.01901,7.15185,0,0
LPP,PB,D,20080124,000000,7.48858,7.56663,7.15185,7.56663,0,0
LPP,PB,D,20080125,000000,7.56663,7.864,7.52756,7.52756,0,0
LPP,PB,D,20080128,000000,7.38678,7.52756,7.24608,7.52756,0,0
LPP,PB,D,20080129,000000,7.6761,7.6761,7.52756,7.59804,0,0
LPP,PB,D,20080130,000000,7.59804,7.82501,7.59804,7.82501,0,0
LPP,PB,D,20080131,000000,7.82501,7.82501,7.71527,7.71527,0,0
LPP,PB,D,20080201,000000,7.71527,7.864,7.71527,7.864,0,0
LPP,PB,D,20080204,000000,7.95795,7.95795,7.77024,7.77024,0,0
LPP,PB,D,20080205,000000,7.95019,8.06751,7.80941,8.06751,0,0
LPP,PB,D,20080206,000000,7.864,8.21615,7.864,8.21615,0,0
LPP,PB,D,20080207,000000,8.08312,8.21615,7.94225,8.21615,0,0
LPP,PB,D,20080208,000000,8.21615,8.46621,7.97366,8.46621,0,0
LPP,PB,D,20080211,000000,8.34992,8.38806,8.29402,8.38806,0,0
LPP,PB,D,20080212,000000,8.54548,8.63803,8.16156,8.16156,0,0
LPP,PB,D,20080213,000000,8.18483,8.4276,8.13005,8.28635,0,0
LPP,PB,D,20080214,000000,8.57577,8.57577,8.33319,8.33319,0,0
LPP,PB,D,20080215,000000,8.34992,8.46621,8.28635,8.33319,0,0
LPP,PB,D,20080218,000000,8.31832,8.41189,8.29402,8.29402,0,0
LPP,PB,D,20080219,000000,8.36488,8.36488,8.14575,8.36488,0,0
LPP,PB,D,20080220,000000,8.37311,8.45818,8.37311,8.44406,0,0
LPP,PB,D,20080221,000000,8.46621,8.46621,8.20054,8.27925,0,0
LPP,PB,D,20080222,000000,8.2397,8.61457,8.2397,8.61457,0,0
LPP,PB,D,20080225,000000,8.69309,9.12386,8.69309,8.95185,0,0
LPP,PB,D,20080226,000000,8.95185,9.12386,8.95185,9.02944,0,0
LPP,PB,D,20080227,000000,9.02944,9.02944,8.84117,8.92101,0,0
LPP,PB,D,20080228,000000,8.84117,8.84117,7.55878,7.55878,0,0
LPP,PB,D,20080229,000000,7.55102,7.55878,7.39472,7.39472,0,0
LPP,PB,D,20080303,000000,7.10502,7.10502,7.09726,7.10502,0,0
LPP,PB,D,20080304,000000,7.13653,7.22243,7.10502,7.22243,0,0
LPP,PB,D,20080305,000000,7.55878,7.59028,7.22243,7.22243,0,0
LPP,PB,D,20080306,000000,7.23038,7.23038,7.11287,7.23038,0,0
LPP,PB,D,20080307,000000,7.2616,7.2616,7.2616,7.2616,0,0
LPP,PB,D,20080310,000000,7.2616,7.37116,7.20692,7.37116,0,0
LPP,PB,D,20080311,000000,7.37116,7.37116,7.35546,7.35546,0,0
LPP,PB,D,20080312,000000,7.48858,7.48858,7.35546,7.38678,0,0
LPP,PB,D,20080313,000000,7.39472,7.51971,7.27712,7.51971,0,0
LPP,PB,D,20080314,000000,7.55878,7.6761,7.54317,7.6761,0,0
LPP,PB,D,20080317,000000,7.57458,7.61366,7.29301,7.61366,0,0
LPP,PB,D,20080318,000000,7.39472,7.51971,7.37116,7.39472,0,0
LPP,PB,D,20080319,000000,7.42585,7.58243,7.39472,7.55878,0,0
LPP,PB,D,20080320,000000,7.48858,7.58243,7.45717,7.58243,0,0
LPP,PB,D,20080325,000000,7.56663,7.57458,7.56663,7.57458,0,0
LPP,PB,D,20080326,000000,7.56663,7.62151,7.56663,7.62151,0,0
LPP,PB,D,20080327,000000,7.72321,7.80941,7.62151,7.78585,0,0
LPP,PB,D,20080328,000000,7.78585,7.81698,7.58243,7.58243,0,0
LPP,PB,D,20080331,000000,7.39472,7.39472,7.39472,7.39472,0,0
LPP,PB,D,20080401,000000,7.39472,7.62151,7.39472,7.40229,0,0
LPP,PB,D,20080402,000000,7.44146,7.53532,7.44146,7.53532,0,0
LPP,PB,D,20080403,000000,7.44146,7.45717,7.26954,7.26954,0,0
LPP,PB,D,20080404,000000,7.26954,7.42585,7.26954,7.26954,0,0
LPP,PB,D,20080407,000000,7.41809,7.41809,7.39472,7.39472,0,0
LPP,PB,D,20080408,000000,7.30852,7.4338,7.30852,7.4338,0,0
LPP,PB,D,20080409,000000,7.44922,7.72321,7.35546,7.42585,0,0
LPP,PB,D,20080410,000000,7.61366,7.8798,7.42585,7.72321,0,0
LPP,PB,D,20080411,000000,7.8798,7.95019,7.62936,7.72321,0,0
LPP,PB,D,20080414,000000,7.84848,7.84848,7.72321,7.84848,0,0
LPP,PB,D,20080415,000000,7.84848,7.84848,7.72321,7.78585,0,0
LPP,PB,D,20080416,000000,7.72321,7.72321,7.62936,7.62936,0,0
LPP,PB,D,20080417,000000,7.71527,7.81698,7.71527,7.71527,0,0
LPP,PB,D,20080418,000000,7.74659,7.74659,7.692,7.73883,0,0
LPP,PB,D,20080421,000000,7.81698,7.8798,7.73883,7.8798,0,0
LPP,PB,D,20080422,000000,7.8798,7.8798,7.55878,7.63712,0,0
LPP,PB,D,20080423,000000,7.72321,7.75444,7.72321,7.75444,0,0
LPP,PB,D,20080424,000000,7.83268,7.83268,7.72321,7.78585,0,0
LPP,PB,D,20080425,000000,7.60589,7.81698,7.60589,7.81698,0,0
LPP,PB,D,20080428,000000,7.81698,7.81698,7.80146,7.80146,0,0
LPP,PB,D,20080429,000000,7.75444,7.75444,7.71527,7.71527,0,0
LPP,PB,D,20080430,000000,7.8798,7.8798,7.55102,7.60589,0,0
LPP,PB,D,20080505,000000,7.84044,7.84044,7.59804,7.73098,0,0
LPP,PB,D,20080506,000000,7.77024,7.77024,7.72321,7.77024,0,0
LPP,PB,D,20080507,000000,7.77024,7.77024,7.48858,7.48858,0,0
LPP,PB,D,20080508,000000,7.48858,7.692,6.76848,7.06604,0,0
LPP,PB,D,20080509,000000,7.39472,7.39472,6.99545,6.99545,0,0
LPP,PB,D,20080512,000000,7.12063,7.32414,7.12063,7.23038,0,0
LPP,PB,D,20080513,000000,7.30852,7.30852,7.11287,7.17541,0,0
LPP,PB,D,20080514,000000,7.19887,7.19887,7.05033,7.06604,0,0
LPP,PB,D,20080515,000000,7.03472,7.03472,6.78418,6.80765,0,0
LPP,PB,D,20080516,000000,6.80765,6.99545,6.72156,6.72156,0,0
LPP,PB,D,20080519,000000,6.6277,6.97975,6.6277,6.94862,0,0
LPP,PB,D,20080520,000000,7.06604,7.07379,6.84682,6.9174,0,0
LPP,PB,D,20080521,000000,6.94862,7.08941,6.6277,6.6277,0,0
LPP,PB,D,20080523,000000,6.69033,6.94862,6.6277,6.94862,0,0
LPP,PB,D,20080526,000000,7.06604,7.16766,6.8858,7.16766,0,0
LPP,PB,D,20080527,000000,7.16766,7.16766,7.01116,7.16766,0,0
LPP,PB,D,20080528,000000,7.10502,7.10502,6.82336,6.82336,0,0
LPP,PB,D,20080529,000000,6.94862,7.02678,6.78418,6.78418,0,0
LPP,PB,D,20080530,000000,7.00322,7.04248,6.84682,7.01116,0,0
LPP,PB,D,20080602,000000,7.01116,7.07379,6.94862,6.94862,0,0
LPP,PB,D,20080603,000000,7.07379,7.11287,6.97975,7.11287,0,0
LPP,PB,D,20080604,000000,7.17541,7.17541,7.01901,7.17541,0,0
LPP,PB,D,20080605,000000,7.1441,7.1441,7.02678,7.08146,0,0
LPP,PB,D,20080606,000000,7.11287,7.11287,7.03472,7.03472,0,0
LPP,PB,D,20080609,000000,7.11287,7.11287,6.89393,6.89393,0,0
LPP,PB,D,20080610,000000,6.89393,6.95629,6.86234,6.95629,0,0
LPP,PB,D,20080611,000000,6.65911,6.70604,6.65911,6.70604,0,0
LPP,PB,D,20080612,000000,6.64331,6.65911,6.64331,6.64331,0,0
LPP,PB,D,20080613,000000,6.69818,6.70604,6.63546,6.64331,0,0
LPP,PB,D,20080616,000000,6.64331,6.64331,6.32257,6.47916,0,0
LPP,PB,D,20080617,000000,6.64331,6.73726,6.47916,6.64331,0,0
LPP,PB,D,20080618,000000,6.53375,6.70604,6.53375,6.5416,0,0
LPP,PB,D,20080619,000000,6.64331,6.64331,6.53375,6.5416,0,0
LPP,PB,D,20080620,000000,6.51037,6.51037,6.39296,6.39296,0,0
LPP,PB,D,20080623,000000,6.47916,6.47916,6.39296,6.39296,0,0
LPP,PB,D,20080624,000000,6.41643,6.41643,6.23648,6.23648,0,0
LPP,PB,D,20080625,000000,6.38511,6.38511,6.22871,6.22871,0,0
LPP,PB,D,20080626,000000,6.22871,6.22871,6.02521,6.02521,0,0
LPP,PB,D,20080627,000000,6.02521,6.02521,5.88442,5.97809,0,0
LPP,PB,D,20080630,000000,5.74345,5.75121,5.74345,5.74345,0,0
LPP,PB,D,20080701,000000,5.75121,5.91564,5.64183,5.68867,0,0
LPP,PB,D,20080702,000000,5.68867,5.68867,5.64183,5.65745,0,0
LPP,PB,D,20080703,000000,5.59481,5.68867,5.56359,5.68867,0,0
LPP,PB,D,20080704,000000,5.71999,5.71999,5.68867,5.68867,0,0
LPP,PB,D,20080708,000000,5.71999,5.71999,5.37559,5.37559,0,0
LPP,PB,D,20080709,000000,5.50096,5.56359,5.50096,5.54798,0,0
LPP,PB,D,20080710,000000,5.62604,5.68867,5.62604,5.68867,0,0
LPP,PB,D,20080711,000000,5.68867,5.68867,5.42272,5.42272,0,0
LPP,PB,D,20080714,000000,5.53227,5.53227,5.34438,5.34438,0,0
LPP,PB,D,20080715,000000,5.09403,5.09403,4.81237,4.81237,0,0
LPP,PB,D,20080716,000000,4.78891,4.89838,4.58539,4.60101,0,0
LPP,PB,D,20080717,000000,4.74198,4.89838,4.71057,4.71057,0,0
LPP,PB,D,20080718,000000,4.70271,4.77329,4.69496,4.77329,0,0
LPP,PB,D,20080721,000000,4.94539,4.97662,4.89838,4.97662,0,0
LPP,PB,D,20080722,000000,4.94539,4.94539,4.83574,4.89838,0,0
LPP,PB,D,20080723,000000,4.94539,5.14881,4.89838,5.12534,0,0
LPP,PB,D,20080724,000000,5.21153,5.21153,4.80442,4.89838,0,0
LPP,PB,D,20080725,000000,5.05486,5.05486,4.89838,4.92969,0,0
LPP,PB,D,20080728,000000,5.3054,5.3054,5.05486,5.05486,0,0
LPP,PB,D,20080729,000000,5.00803,5.02354,4.961,4.961,0,0
LPP,PB,D,20080730,000000,4.961,5.05486,4.961,4.99241,0,0
LPP,PB,D,20080731,000000,5.05486,5.05486,4.91408,4.92969,0,0
