<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBR,PE,D,20100811,000000,20.2357,22.2592,20.2357,22.1848,0,0
MBR,PE,D,20100813,000000,19.1115,21.8101,19.1115,20.2357,0,0
MBR,PE,D,20100816,000000,20.2357,20.2357,20.2357,20.2357,0,0
MBR,PE,D,20100818,000000,21.2093,21.2093,21.2093,21.2093,0,0
MBR,PE,D,20100823,000000,21.2093,22.1848,21.2093,22.1848,0,0
MBR,PE,D,20100824,000000,22.1848,22.1848,22.1848,22.1848,0,0
MBR,PE,D,20100830,000000,22.1848,22.1848,22.1848,22.1848,0,0
MBR,PE,D,20100901,000000,22.1848,22.1848,22.1086,22.1848,0,0
MBR,PE,D,20100902,000000,22.1848,22.6349,22.1848,22.6349,0,0
MBR,PE,D,20100903,000000,22.6349,22.6349,22.3345,22.6349,0,0
MBR,PE,D,20100906,000000,22.6349,22.6349,22.6349,22.6349,0,0
MBR,PE,D,20100907,000000,22.6349,22.7837,22.6349,22.7837,0,0
MBR,PE,D,20100908,000000,22.7837,22.9334,22.7837,22.9334,0,0
MBR,PE,D,20100909,000000,22.9334,23.0831,22.9334,23.0831,0,0
MBR,PE,D,20100910,000000,23.0831,23.0831,23.0831,23.0831,0,0
MBR,PE,D,20100913,000000,23.1584,23.1584,23.1584,23.1584,0,0
MBR,PE,D,20100914,000000,23.1584,24.133,23.1584,24.133,0,0
MBR,PE,D,20100915,000000,24.9578,24.9578,24.9578,24.9578,0,0
MBR,PE,D,20100916,000000,25.0322,25.0322,24.9578,24.9578,0,0
MBR,PE,D,20100920,000000,24.8825,24.8825,24.8825,24.8825,0,0
MBR,PE,D,20100922,000000,24.8091,24.8091,24.5831,24.5831,0,0
MBR,PE,D,20100923,000000,24.5831,24.5831,24.5831,24.5831,0,0
MBR,PE,D,20100924,000000,24.133,24.2836,23.9079,24.133,0,0
MBR,PE,D,20100927,000000,24.8825,24.8825,24.8825,24.8825,0,0
MBR,PE,D,20100928,000000,24.5077,25.0322,24.5077,25.0322,0,0
MBR,PE,D,20100929,000000,24.8825,24.8825,24.6584,24.8825,0,0
MBR,PE,D,20100930,000000,25.1066,25.1066,24.8825,25.1066,0,0
MBR,PE,D,20101001,000000,25.181,25.181,25.1066,25.1066,0,0
MBR,PE,D,20101004,000000,25.1066,25.1066,25.1066,25.1066,0,0
MBR,PE,D,20101005,000000,24.7328,24.8091,24.7328,24.8091,0,0
MBR,PE,D,20101006,000000,25.181,25.406,25.181,25.3316,0,0
MBR,PE,D,20101007,000000,25.406,25.406,25.3316,25.3316,0,0
MBR,PE,D,20101008,000000,24.2836,25.406,24.0577,25.406,0,0
MBR,PE,D,20101011,000000,25.5567,25.7064,25.2563,25.7064,0,0
MBR,PE,D,20101012,000000,25.7817,25.9314,25.7817,25.8561,0,0
MBR,PE,D,20101013,000000,26.1565,26.8325,26.1565,26.8325,0,0
MBR,PE,D,20101014,000000,26.8325,27.0547,26.0811,26.8325,0,0
MBR,PE,D,20101015,000000,26.906,26.9813,26.906,26.9813,0,0
MBR,PE,D,20101018,000000,26.0068,26.906,25.8561,26.0811,0,0
