<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCI,MV,D,20070813,000000,891.727,891.727,891.727,891.727,0,0
MCI,MV,D,20070814,000000,855.329,855.329,855.329,855.329,0,0
MCI,MV,D,20070816,000000,739.133,739.133,739.133,739.133,0,0
MCI,MV,D,20070817,000000,819.66,819.66,819.66,819.66,0,0
MCI,MV,D,20070820,000000,846.132,846.132,846.132,846.132,0,0
MCI,MV,D,20070821,000000,820.398,820.398,820.398,820.398,0,0
MCI,MV,D,20070822,000000,937.705,937.705,937.705,937.705,0,0
MCI,MV,D,20070823,000000,966.745,966.745,966.745,966.745,0,0
MCI,MV,D,20070824,000000,1040.66,1040.66,1040.66,1040.66,0,0
MCI,MV,D,20070827,000000,1023.01,1023.01,1023.01,1023.01,0,0
MCI,MV,D,20070828,000000,981.097,981.097,981.097,981.097,0,0
MCI,MV,D,20070829,000000,1014.92,1014.92,1014.92,1014.92,0,0
MCI,MV,D,20070830,000000,1018.23,1018.23,1018.23,1018.23,0,0
MCI,MV,D,20070831,000000,1059.05,1059.05,1059.05,1059.05,0,0
MCI,MV,D,20070903,000000,1066.4,1066.4,1066.4,1066.4,0,0
MCI,MV,D,20070904,000000,1063.84,1063.84,1063.84,1063.84,0,0
MCI,MV,D,20070905,000000,1018.61,1018.61,1018.61,1018.61,0,0
MCI,MV,D,20070906,000000,1002.06,1002.06,1002.06,1002.06,0,0
MCI,MV,D,20070907,000000,959.76,959.76,959.76,959.76,0,0
MCI,MV,D,20070910,000000,925.193,925.193,925.193,925.193,0,0
MCI,MV,D,20070911,000000,1000.58,1000.58,1000.58,1000.58,0,0
MCI,MV,D,20070912,000000,1002.06,1002.06,1002.06,1002.06,0,0
MCI,MV,D,20070913,000000,1005.73,1005.73,1005.73,1005.73,0,0
MCI,MV,D,20070914,000000,1022.29,1022.29,1022.29,1022.29,0,0
MCI,MV,D,20070917,000000,1002.79,1002.79,1002.79,1002.79,0,0
MCI,MV,D,20070918,000000,1020.44,1020.44,1020.44,1020.44,0,0
MCI,MV,D,20070919,000000,1073.76,1073.76,1073.76,1073.76,0,0
MCI,MV,D,20070920,000000,1037.72,1037.72,1037.72,1037.72,0,0
MCI,MV,D,20070921,000000,1024.85,1024.85,1024.85,1024.85,0,0
MCI,MV,D,20070924,000000,983.665,983.665,983.665,983.665,0,0
MCI,MV,D,20070925,000000,955.717,955.717,955.717,955.717,0,0
MCI,MV,D,20070926,000000,956.081,956.081,956.081,956.081,0,0
MCI,MV,D,20070927,000000,946.903,946.903,946.903,946.903,0,0
MCI,MV,D,20070928,000000,924.829,924.829,924.829,924.829,0,0
MCI,MV,D,20071001,000000,928.508,928.508,928.508,928.508,0,0
MCI,MV,D,20071002,000000,929.983,929.983,929.983,929.983,0,0
MCI,MV,D,20071003,000000,919.32,919.32,919.32,919.32,0,0
MCI,MV,D,20071004,000000,928.508,928.508,928.508,928.508,0,0
MCI,MV,D,20071005,000000,964.915,964.915,964.915,964.915,0,0
MCI,MV,D,20071008,000000,989.183,989.183,989.183,989.183,0,0
MCI,MV,D,20071009,000000,1000.21,1000.21,1000.21,1000.21,0,0
MCI,MV,D,20071010,000000,994.702,994.702,994.702,994.702,0,0
MCI,MV,D,20071011,000000,1003.89,1003.89,1003.89,1003.89,0,0
MCI,MV,D,20071012,000000,985.878,985.878,985.878,985.878,0,0
MCI,MV,D,20071015,000000,989.183,989.183,989.183,989.183,0,0
MCI,MV,D,20071016,000000,970.06,970.06,970.06,970.06,0,0
MCI,MV,D,20071017,000000,957.931,957.931,957.931,957.931,0,0
MCI,MV,D,20071018,000000,937.705,937.705,937.705,937.705,0,0
MCI,MV,D,20071019,000000,957.931,957.931,957.931,957.931,0,0
MCI,MV,D,20071022,000000,937.705,937.705,937.705,937.705,0,0
MCI,MV,D,20071023,000000,963.44,963.44,963.44,963.44,0,0
MCI,MV,D,20071024,000000,946.52,946.52,946.52,946.52,0,0
MCI,MV,D,20071025,000000,937.705,937.705,937.705,937.705,0,0
MCI,MV,D,20071026,000000,937.705,937.705,937.705,937.705,0,0
MCI,MV,D,20071029,000000,930.347,930.347,930.347,930.347,0,0
MCI,MV,D,20071030,000000,930.347,930.347,930.347,930.347,0,0
MCI,MV,D,20071031,000000,930.347,930.347,930.347,930.347,0,0
MCI,MV,D,20071102,000000,939.535,939.535,939.535,939.535,0,0
MCI,MV,D,20071105,000000,952.412,952.412,952.412,952.412,0,0
MCI,MV,D,20071106,000000,973.154,973.154,973.154,973.154,0,0
MCI,MV,D,20071107,000000,926.994,926.994,926.994,926.994,0,0
MCI,MV,D,20071108,000000,915.823,915.823,915.823,915.823,0,0
MCI,MV,D,20071109,000000,919.914,930.721,891.631,900.934,0,0
MCI,MV,D,20071112,000000,882.319,900.934,879.713,886.036,0,0
MCI,MV,D,20071113,000000,871.147,893.48,867.804,893.48,0,0
MCI,MV,D,20071114,000000,893.48,893.48,820.886,826.472,0,0
MCI,MV,D,20071115,000000,811.583,826.472,707.344,726.333,0,0
MCI,MV,D,20071116,000000,696.172,737.131,662.668,725.959,0,0
MCI,MV,D,20071119,000000,737.131,742.333,696.172,706.97,0,0
MCI,MV,D,20071120,000000,696.172,696.172,666.012,671.981,0,0
MCI,MV,D,20071121,000000,647.78,668.254,647.78,655.224,0,0
MCI,MV,D,20071122,000000,644.062,714.788,634.376,703.617,0,0
MCI,MV,D,20071123,000000,703.617,733.777,703.617,725.959,0,0
MCI,MV,D,20071126,000000,749.04,757.605,707.344,734.151,0,0
MCI,MV,D,20071127,000000,707.344,722.232,706.97,720.374,0,0
MCI,MV,D,20071128,000000,733.404,766.908,703.99,766.534,0,0
MCI,MV,D,20071129,000000,787.018,796.695,782.17,792.968,0,0
MCI,MV,D,20071130,000000,792.968,844.752,792.968,844.752,0,0
MCI,MV,D,20071203,000000,849.293,849.293,811.382,830.333,0,0
MCI,MV,D,20071204,000000,817.073,839.435,815.166,830.333,0,0
MCI,MV,D,20071205,000000,834.501,858.769,834.501,851.19,0,0
MCI,MV,D,20071206,000000,853.087,853.087,837.921,849.293,0,0
MCI,MV,D,20071207,000000,856.872,856.872,842.089,849.293,0,0
MCI,MV,D,20071210,000000,834.127,848.537,825.399,836.024,0,0
MCI,MV,D,20071211,000000,836.024,836.024,809.859,817.447,0,0
MCI,MV,D,20071212,000000,780.292,815.166,780.292,815.166,0,0
MCI,MV,D,20071213,000000,784.843,800,784.843,792.422,0,0
MCI,MV,D,20071214,000000,789.011,789.768,757.921,763.986,0,0
MCI,MV,D,20071217,000000,750.716,750.716,713.935,718.486,0,0
MCI,MV,D,20071218,000000,711.665,720.383,710.141,720.383,0,0
MCI,MV,D,20071219,000000,713.178,713.178,688.537,703.32,0,0
MCI,MV,D,20071220,000000,693.844,693.844,671.09,683.986,0,0
MCI,MV,D,20071221,000000,689.677,716.599,689.677,701.796,0,0
MCI,MV,D,20071227,000000,712.422,722.28,701.423,705.217,0,0
MCI,MV,D,20071228,000000,715.075,715.075,696.115,703.32,0,0
MCI,MV,D,20080102,000000,700.283,700.666,694.601,696.872,0,0
MCI,MV,D,20080103,000000,682.462,682.462,667.296,682.462,0,0
MCI,MV,D,20080104,000000,682.462,682.462,655.933,655.933,0,0
MCI,MV,D,20080107,000000,636.972,636.972,618.012,625.983,0,0
MCI,MV,D,20080108,000000,618.395,619.909,606.63,610.424,0,0
MCI,MV,D,20080109,000000,599.061,599.061,561.14,564.934,0,0
MCI,MV,D,20080110,000000,565.317,565.317,519.435,530.817,0,0
MCI,MV,D,20080111,000000,527.023,549.768,519.808,542.18,0,0
MCI,MV,D,20080114,000000,531.19,531.19,531.19,531.19,0,0
MCI,MV,D,20080115,000000,542.18,552.038,520.565,523.229,0,0
MCI,MV,D,20080116,000000,492.896,492.896,459.535,477.72,0,0
MCI,MV,D,20080117,000000,493.653,493.653,470.151,475.832,0,0
