<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MEX,PE,D,20120525,000000,13.24,13.24,13.24,13.24,0,0
MEX,PE,D,20120528,000000,13.161,13.24,13.161,13.161,0,0
MEX,PE,D,20120531,000000,13.161,13.161,10.7025,10.7025,0,0
MEX,PE,D,20120601,000000,11.576,11.576,11.576,11.576,0,0
MEX,PE,D,20120613,000000,11.4969,11.7341,11.0207,11.4969,0,0
MEX,PE,D,20120614,000000,11.4969,11.4969,10.5444,10.8616,0,0
MEX,PE,D,20120615,000000,10.8616,10.8616,10.7025,10.7025,0,0
MEX,PE,D,20120618,000000,10.7025,10.7025,10.7025,10.7025,0,0
MEX,PE,D,20120619,000000,10.5444,10.5444,10.4644,10.4644,0,0
MEX,PE,D,20120620,000000,10.5444,10.5444,10.1481,10.1481,0,0
MEX,PE,D,20120621,000000,10.5444,10.5444,10.2272,10.3863,0,0
MEX,PE,D,20120622,000000,10.3863,10.3863,9.83095,10.3863,0,0
MEX,PE,D,20120625,000000,10.4644,10.4644,10.3863,10.3863,0,0
MEX,PE,D,20120626,000000,10.2272,10.2272,9.67188,10.1481,0,0
MEX,PE,D,20120627,000000,10.1481,10.1481,9.67188,10.1481,0,0
MEX,PE,D,20120628,000000,10.1481,10.1481,10.1481,10.1481,0,0
MEX,PE,D,20120629,000000,9.91097,48.7595,9.35469,48.7595,0,0
MEX,PE,D,20120702,000000,48.7595,48.7595,46.381,48.7595,0,0
MEX,PE,D,20120703,000000,48.7595,48.7595,44.1607,48.4423,0,0
MEX,PE,D,20120704,000000,48.7595,48.7595,48.7595,48.7595,0,0
MEX,PE,D,20120705,000000,48.7595,48.7595,46.1429,46.4601,0,0
MEX,PE,D,20120706,000000,46.1429,46.1429,43.8435,46.1429,0,0
MEX,PE,D,20120709,000000,46.1429,46.1429,46.1429,46.1429,0,0
MEX,PE,D,20120710,000000,46.1429,46.1429,45.2714,46.1429,0,0
MEX,PE,D,20120711,000000,46.1429,46.1429,46.1429,46.1429,0,0
MEX,PE,D,20120712,000000,46.1429,46.1429,43.5263,45.5085,0,0
