<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGT,MV,D,20070813,000000,48.9574,48.9574,48.9574,48.9574,0,0
MGT,MV,D,20070814,000000,51.21,51.21,51.21,51.21,0,0
MGT,MV,D,20070816,000000,45.9636,45.9636,45.9636,45.9636,0,0
MGT,MV,D,20070817,000000,48.7084,48.7084,48.7084,48.7084,0,0
MGT,MV,D,20070820,000000,48.5856,48.5856,48.5856,48.5856,0,0
MGT,MV,D,20070821,000000,48.2094,48.2094,48.2094,48.2094,0,0
MGT,MV,D,20070822,000000,48.7084,48.7084,48.7084,48.7084,0,0
MGT,MV,D,20070823,000000,48.7084,48.7084,48.7084,48.7084,0,0
MGT,MV,D,20070824,000000,47.1848,47.1848,47.1848,47.1848,0,0
MGT,MV,D,20070827,000000,48.5856,48.5856,48.5856,48.5856,0,0
MGT,MV,D,20070828,000000,47.4596,47.4596,47.4596,47.4596,0,0
MGT,MV,D,20070829,000000,48.2094,48.2094,48.2094,48.2094,0,0
MGT,MV,D,20070830,000000,48.2094,48.2094,48.2094,48.2094,0,0
MGT,MV,D,20070831,000000,47.8315,47.8315,47.8315,47.8315,0,0
MGT,MV,D,20070903,000000,47.7353,47.7353,47.7353,47.7353,0,0
MGT,MV,D,20070904,000000,48.4593,48.4593,48.4593,48.4593,0,0
MGT,MV,D,20070905,000000,49.3352,49.3352,49.3352,49.3352,0,0
MGT,MV,D,20070906,000000,49.3352,49.3352,49.3352,49.3352,0,0
MGT,MV,D,20070907,000000,49.7063,49.7063,49.7063,49.7063,0,0
MGT,MV,D,20070910,000000,49.5851,49.5851,49.5851,49.5851,0,0
MGT,MV,D,20070911,000000,49.8342,49.8342,49.8342,49.8342,0,0
MGT,MV,D,20070912,000000,49.7835,49.7835,49.7835,49.7835,0,0
MGT,MV,D,20070913,000000,49.7835,49.7835,49.7835,49.7835,0,0
MGT,MV,D,20070914,000000,49.7835,49.7835,49.7835,49.7835,0,0
MGT,MV,D,20070917,000000,49.9553,49.9553,49.9553,49.9553,0,0
MGT,MV,D,20070918,000000,49.4572,49.4572,49.4572,49.4572,0,0
MGT,MV,D,20070919,000000,51.8309,51.8309,51.8309,51.8309,0,0
MGT,MV,D,20070920,000000,51.21,51.21,51.21,51.21,0,0
MGT,MV,D,20070921,000000,51.7089,51.7089,51.7089,51.7089,0,0
MGT,MV,D,20070924,000000,48.7599,48.7599,48.7599,48.7599,0,0
MGT,MV,D,20070925,000000,48.7084,48.7084,48.7084,48.7084,0,0
