<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOL,MV,D,20070813,000000,24366.7,24366.7,24366.7,24366.7,0,0
MOL,MV,D,20070814,000000,24038.5,24038.5,24038.5,24038.5,0,0
MOL,MV,D,20070816,000000,22999.1,22999.1,22999.1,22999.1,0,0
MOL,MV,D,20070817,000000,22944.4,22944.4,22944.4,22944.4,0,0
MOL,MV,D,20070820,000000,22196.9,22196.9,22196.9,22196.9,0,0
MOL,MV,D,20070821,000000,22251.5,22251.5,22251.5,22251.5,0,0
MOL,MV,D,20070822,000000,24178.3,24178.3,24178.3,24178.3,0,0
MOL,MV,D,20070823,000000,23977.7,23977.7,23977.7,23977.7,0,0
MOL,MV,D,20070824,000000,24312,24312,24312,24312,0,0
MOL,MV,D,20070827,000000,24378.9,24378.9,24378.9,24378.9,0,0
MOL,MV,D,20070828,000000,24044.6,24044.6,24044.6,24044.6,0,0
MOL,MV,D,20070829,000000,24451.8,24451.8,24451.8,24451.8,0,0
MOL,MV,D,20070830,000000,24628,24628,24628,24628,0,0
MOL,MV,D,20070831,000000,23947.3,23947.3,23947.3,23947.3,0,0
MOL,MV,D,20070903,000000,23807.6,23807.6,23807.6,23807.6,0,0
MOL,MV,D,20070904,000000,24050.7,24050.7,24050.7,24050.7,0,0
MOL,MV,D,20070905,000000,23704.2,23704.2,23704.2,23704.2,0,0
MOL,MV,D,20070906,000000,23704.2,23704.2,23704.2,23704.2,0,0
MOL,MV,D,20070907,000000,23157.2,23157.2,23157.2,23157.2,0,0
MOL,MV,D,20070910,000000,22403.5,22403.5,22403.5,22403.5,0,0
MOL,MV,D,20070911,000000,22833.9,22833.9,22833.9,22833.9,0,0
MOL,MV,D,20070912,000000,23468.1,23468.1,23468.1,23468.1,0,0
MOL,MV,D,20070913,000000,23376.6,23376.6,23376.6,23376.6,0,0
MOL,MV,D,20070914,000000,23443.7,23443.7,23443.7,23443.7,0,0
MOL,MV,D,20070917,000000,23132.7,23132.7,23132.7,23132.7,0,0
MOL,MV,D,20070918,000000,23522.9,23522.9,23522.9,23522.9,0,0
MOL,MV,D,20070919,000000,24346.1,24346.1,24346.1,24346.1,0,0
MOL,MV,D,20070920,000000,24083.9,24083.9,24083.9,24083.9,0,0
MOL,MV,D,20070921,000000,24693.7,24693.7,24693.7,24693.7,0,0
MOL,MV,D,20070924,000000,24388.7,24388.7,24388.7,24388.7,0,0
MOL,MV,D,20070925,000000,25285.1,25285.1,25285.1,25285.1,0,0
MOL,MV,D,20070926,000000,25730.1,25730.1,25730.1,25730.1,0,0
MOL,MV,D,20070927,000000,26126.4,26126.4,26126.4,26126.4,0,0
MOL,MV,D,20070928,000000,25943.5,25943.5,25943.5,25943.5,0,0
MOL,MV,D,20071001,000000,25955.7,25955.7,25955.7,25955.7,0,0
MOL,MV,D,20071002,000000,25772.8,25772.8,25772.8,25772.8,0,0
MOL,MV,D,20071003,000000,25528.9,25528.9,25528.9,25528.9,0,0
MOL,MV,D,20071004,000000,25730.1,25730.1,25730.1,25730.1,0,0
MOL,MV,D,20071005,000000,25608.2,25608.2,25608.2,25608.2,0,0
MOL,MV,D,20071008,000000,25120.4,25120.4,25120.4,25120.4,0,0
MOL,MV,D,20071009,000000,24571.7,24571.7,24571.7,24571.7,0,0
MOL,MV,D,20071010,000000,25010.7,25010.7,25010.7,25010.7,0,0
MOL,MV,D,20071011,000000,25486.3,25486.3,25486.3,25486.3,0,0
MOL,MV,D,20071012,000000,25486.3,25486.3,25486.3,25486.3,0,0
MOL,MV,D,20071015,000000,25833.8,25833.8,25833.8,25833.8,0,0
MOL,MV,D,20071016,000000,26089.9,26089.9,26089.9,26089.9,0,0
MOL,MV,D,20071017,000000,24876.5,24876.5,24876.5,24876.5,0,0
MOL,MV,D,20071018,000000,24693.7,24693.7,24693.7,24693.7,0,0
MOL,MV,D,20071019,000000,24394.9,24394.9,24394.9,24394.9,0,0
MOL,MV,D,20071022,000000,24693.7,24693.7,24693.7,24693.7,0,0
MOL,MV,D,20071023,000000,24998.5,24998.5,24998.5,24998.5,0,0
MOL,MV,D,20071024,000000,24449.7,24449.7,24449.7,24449.7,0,0
MOL,MV,D,20071025,000000,24083.9,24083.9,24083.9,24083.9,0,0
MOL,MV,D,20071026,000000,23779,23779,23779,23779,0,0
MOL,MV,D,20071029,000000,23480.2,23480.2,23480.2,23480.2,0,0
MOL,MV,D,20071030,000000,23779,23779,23779,23779,0,0
MOL,MV,D,20071031,000000,23596.1,23596.1,23596.1,23596.1,0,0
MOL,MV,D,20071102,000000,23474.2,23474.2,23474.2,23474.2,0,0
MOL,MV,D,20071105,000000,23169.3,23169.3,23169.3,23169.3,0,0
MOL,MV,D,20071106,000000,23230.3,23230.3,23230.3,23230.3,0,0
MOL,MV,D,20071107,000000,23474.2,23474.2,23474.2,23474.2,0,0
MOL,MV,D,20071108,000000,22681.5,22681.5,22681.5,22681.5,0,0
MOL,MV,D,20071109,000000,23352.2,23413.2,22681.5,22681.5,0,0
MOL,MV,D,20071112,000000,22827.9,23108.3,21949.9,22023.1,0,0
MOL,MV,D,20071113,000000,21706,23108.3,21651.1,23102.2,0,0
MOL,MV,D,20071114,000000,23413.2,23413.2,23132.7,23169.3,0,0
MOL,MV,D,20071115,000000,23169.3,23169.3,21712.1,21712.1,0,0
MOL,MV,D,20071116,000000,23108.3,23108.3,21712.1,22437.7,0,0
MOL,MV,D,20071119,000000,21712.1,23108.3,21712.1,23096.2,0,0
MOL,MV,D,20071120,000000,22077.9,22077.9,22077.9,22077.9,0,0
MOL,MV,D,20071121,000000,24059.5,24059.5,21858.5,21864.5,0,0
MOL,MV,D,20071122,000000,22980.3,22980.3,21706,21949.9,0,0
MOL,MV,D,20071123,000000,22437.7,22437.7,21949.9,22224.2,0,0
MOL,MV,D,20071126,000000,22846.1,22846.1,21706,22126.7,0,0
MOL,MV,D,20071127,000000,22431.5,22431.5,20443.8,20443.8,0,0
MOL,MV,D,20071128,000000,20486.5,21199.9,20486.5,20736.6,0,0
MOL,MV,D,20071129,000000,21218.2,21401.2,21035.3,21096.3,0,0
