<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOL,PB,D,20070813,000000,1.22942,1.22942,1.22942,1.22942,0,0
MOL,PB,D,20070814,000000,1.21205,1.21205,1.21205,1.21205,0,0
MOL,PB,D,20070816,000000,1.15984,1.15984,1.15984,1.15984,0,0
MOL,PB,D,20070817,000000,1.15407,1.15407,1.15407,1.15407,0,0
MOL,PB,D,20070820,000000,1.12509,1.12509,1.12509,1.12509,0,0
MOL,PB,D,20070821,000000,1.12509,1.12509,1.12509,1.12509,0,0
MOL,PB,D,20070822,000000,1.22358,1.22358,1.22358,1.22358,0,0
MOL,PB,D,20070823,000000,1.21205,1.21205,1.21205,1.21205,0,0
MOL,PB,D,20070824,000000,1.22942,1.22942,1.22942,1.22942,0,0
MOL,PB,D,20070827,000000,1.23519,1.23519,1.23519,1.23519,0,0
MOL,PB,D,20070828,000000,1.21205,1.21205,1.21205,1.21205,0,0
MOL,PB,D,20070829,000000,1.50777,1.50777,1.50777,1.50777,0,0
MOL,PB,D,20070830,000000,1.51946,1.51946,1.51946,1.51946,0,0
MOL,PB,D,20070831,000000,1.47895,1.47895,1.47895,1.47895,0,0
MOL,PB,D,20070903,000000,1.69915,1.69915,1.69915,1.69915,0,0
MOL,PB,D,20070904,000000,1.7223,1.7223,1.7223,1.7223,0,0
MOL,PB,D,20070905,000000,1.69323,1.69323,1.69323,1.69323,0,0
MOL,PB,D,20070906,000000,1.69323,1.69323,1.69323,1.69323,0,0
MOL,PB,D,20070907,000000,1.65279,1.65279,1.65279,1.65279,0,0
MOL,PB,D,20070910,000000,1.61796,1.61796,1.61796,1.61796,0,0
MOL,PB,D,20070911,000000,1.65279,1.65279,1.65279,1.65279,0,0
MOL,PB,D,20070912,000000,1.68755,1.68755,1.68755,1.68755,0,0
MOL,PB,D,20070913,000000,1.68178,1.68178,1.68178,1.68178,0,0
MOL,PB,D,20070914,000000,1.68755,1.68755,1.68755,1.68755,0,0
MOL,PB,D,20070917,000000,1.67602,1.67602,1.67602,1.67602,0,0
MOL,PB,D,20070918,000000,1.69915,1.69915,1.69915,1.69915,0,0
