<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOV,MV,D,20181218,000000,49.836,49.836,49.836,49.836,0,0
MOV,MV,D,20181219,000000,52.334,52.334,45.303,45.332,0,0
MOV,MV,D,20181220,000000,45.332,45.332,41.119,44.354,0,0
MOV,MV,D,20181221,000000,42.359,48.441,42.359,48.441,0,0
MOV,MV,D,20181227,000000,49.593,49.593,45.099,45.952,0,0
MOV,MV,D,20181228,000000,45.729,47.095,44.354,46.843,0,0
MOV,MV,D,20190102,000000,47.724,47.724,44.858,47.095,0,0
MOV,MV,D,20190103,000000,47.076,47.076,44.858,46.572,0,0
MOV,MV,D,20190104,000000,46.572,46.572,44.858,44.858,0,0
MOV,MV,D,20190107,000000,44.858,46.049,44.858,46,0,0
MOV,MV,D,20190108,000000,46,46,44.354,45.952,0,0
MOV,MV,D,20190109,000000,45.855,46.572,44.858,46.572,0,0
MOV,MV,D,20190110,000000,46,46.552,46,46.552,0,0
MOV,MV,D,20190111,000000,44.925,46.427,44.606,46.427,0,0
MOV,MV,D,20190114,000000,45.099,46.223,44.925,46.223,0,0
MOV,MV,D,20190115,000000,46.272,47.046,45.603,46.95,0,0
MOV,MV,D,20190116,000000,46.921,47.095,46.098,47.095,0,0
MOV,MV,D,20190117,000000,46.601,47.347,46.601,47.347,0,0
MOV,MV,D,20190118,000000,47.347,51.83,47.347,50.911,0,0
MOV,MV,D,20190121,000000,51.085,53.574,50.911,53.031,0,0
MOV,MV,D,20190122,000000,52.577,53.08,51.085,51.83,0,0
MOV,MV,D,20190123,000000,51.83,52.528,47.744,52.334,0,0
MOV,MV,D,20190124,000000,52.45,56.072,52.45,55.317,0,0
MOV,MV,D,20190125,000000,54.823,65.786,54.823,62.047,0,0
MOV,MV,D,20190128,000000,61.999,67.781,59.685,64.536,0,0
MOV,MV,D,20190129,000000,64.74,69.775,64.74,69.775,0,0
MOV,MV,D,20190130,000000,69.272,71.016,66.406,67.277,0,0
MOV,MV,D,20190131,000000,66.406,66.657,62.299,66.037,0,0
MOV,MV,D,20190201,000000,66.037,66.037,63.539,64.768,0,0
MOV,MV,D,20190204,000000,64.788,67.035,64.768,64.768,0,0
MOV,MV,D,20190205,000000,64.043,66.783,63.539,66.754,0,0
MOV,MV,D,20190206,000000,67.906,68.033,65.912,67.906,0,0
MOV,MV,D,20190207,000000,67.906,67.906,63.539,67.257,0,0
MOV,MV,D,20190208,000000,63.394,65.515,63.296,65.515,0,0
MOV,MV,D,20190211,000000,65.515,65.515,63.423,64.788,0,0
MOV,MV,D,20190212,000000,63.296,66.483,62.299,66.483,0,0
MOV,MV,D,20190213,000000,66.483,66.483,64.536,65.263,0,0
MOV,MV,D,20190214,000000,66.26,70.598,65.165,66.289,0,0
MOV,MV,D,20190215,000000,66.289,70.318,66.289,70.318,0,0
MOV,MV,D,20190218,000000,71.315,71.315,69.03,69.146,0,0
MOV,MV,D,20190219,000000,69.775,71.016,67.277,71.016,0,0
MOV,MV,D,20190220,000000,70.269,73.755,70.269,72.265,0,0
MOV,MV,D,20190221,000000,71.839,71.839,69.921,71.839,0,0
MOV,MV,D,20190222,000000,70.269,72.265,70.269,72.265,0,0
MOV,MV,D,20190225,000000,72.245,72.245,71.016,72.245,0,0
MOV,MV,D,20190226,000000,72.168,72.168,69.775,70.773,0,0
MOV,MV,D,20190227,000000,70.076,70.521,68.081,69.775,0,0
MOV,MV,D,20190228,000000,69.775,69.775,67.8,67.8,0,0
MOV,MV,D,20190301,000000,69.775,70.725,68.826,70.725,0,0
MOV,MV,D,20190304,000000,70.725,74.754,69.775,69.775,0,0
MOV,MV,D,20190305,000000,70.773,71.016,69.775,71.016,0,0
MOV,MV,D,20190306,000000,71.016,71.422,70.144,71.267,0,0
MOV,MV,D,20190307,000000,70.773,70.773,68.701,69.775,0,0
MOV,MV,D,20190308,000000,70.144,70.144,68.526,69.747,0,0
MOV,MV,D,20190311,000000,69.775,77,69.775,74.734,0,0
