<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRB,MV,D,20081229,000000,78.701,78.701,78.701,78.701,0,0
MRB,MV,D,20081230,000000,60.6123,72.9881,60.2946,61.8819,0,0
MRB,MV,D,20081231,000000,60.2946,78.701,60.2946,78.701,0,0
MRB,MV,D,20090105,000000,76.4794,78.701,70.1322,72.9881,0,0
MRB,MV,D,20090106,000000,70.4499,71.401,66.6419,66.6419,0,0
MRB,MV,D,20090107,000000,63.4683,72.6714,61.8819,65.3714,0,0
MRB,MV,D,20090108,000000,68.8626,68.8626,66.6419,66.6419,0,0
MRB,MV,D,20090109,000000,66.6419,66.6419,65.0546,66.0066,0,0
MRB,MV,D,20090112,000000,66.6419,66.6419,60.93,60.93,0,0
MRB,MV,D,20090113,000000,60.2946,60.2946,54.5818,58.3907,0,0
MRB,MV,D,20090114,000000,59.3418,59.3418,51.0924,53.9475,0,0
MRB,MV,D,20090115,000000,48.2356,53.9475,48.2356,48.2356,0,0
MRB,MV,D,20090116,000000,52.6788,52.6788,49.5052,52.3611,0,0
MRB,MV,D,20090119,000000,52.3611,53.3131,51.0924,51.0924,0,0
MRB,MV,D,20090120,000000,52.3611,52.3611,48.5523,50.4571,0,0
MRB,MV,D,20090121,000000,50.4571,52.3611,49.1876,52.3611,0,0
MRB,MV,D,20090122,000000,52.3611,52.3611,52.0435,52.0435,0,0
MRB,MV,D,20090123,000000,53.3131,53.3131,49.1876,52.3611,0,0
MRB,MV,D,20090126,000000,53.6308,53.6308,51.0924,53.6308,0,0
MRB,MV,D,20090127,000000,53.6308,54.5818,53.6308,53.6308,0,0
MRB,MV,D,20090128,000000,53.6308,54.5818,52.3611,53.9475,0,0
MRB,MV,D,20090129,000000,53.6308,53.6308,52.9955,53.6308,0,0
MRB,MV,D,20090130,000000,54.5818,54.5818,54.2652,54.5818,0,0
MRB,MV,D,20090202,000000,54.5818,54.5818,52.3611,54.2652,0,0
MRB,MV,D,20090203,000000,54.2652,54.2652,52.9955,53.9475,0,0
MRB,MV,D,20090204,000000,54.2652,54.2652,52.3611,54.2652,0,0
MRB,MV,D,20090205,000000,54.2652,54.2652,53.6308,53.9475,0,0
MRB,MV,D,20090206,000000,54.2652,54.9004,54.2652,54.9004,0,0
MRB,MV,D,20090209,000000,52.3611,54.5818,52.3611,54.5818,0,0
MRB,MV,D,20090210,000000,54.5818,54.5818,53.9475,53.9475,0,0
MRB,MV,D,20090211,000000,53.9475,53.9475,53.9475,53.9475,0,0
MRB,MV,D,20090212,000000,53.9475,54.2652,53.9475,54.2652,0,0
MRB,MV,D,20090213,000000,54.2652,56.8034,52.6788,55.5347,0,0
MRB,MV,D,20090216,000000,55.5347,55.5347,55.2171,55.5347,0,0
MRB,MV,D,20090217,000000,55.5347,55.5347,53.6308,55.2171,0,0
MRB,MV,D,20090218,000000,55.5347,55.5347,55.2171,55.2171,0,0
MRB,MV,D,20090219,000000,55.2171,55.5347,54.2652,55.5347,0,0
MRB,MV,D,20090220,000000,55.5347,55.5347,54.5818,54.9004,0,0
MRB,MV,D,20090223,000000,55.5347,55.5347,53.9475,55.2171,0,0
MRB,MV,D,20090224,000000,55.2171,55.2171,53.9475,54.9004,0,0
MRB,MV,D,20090225,000000,55.2171,55.5347,54.5818,54.9004,0,0
MRB,MV,D,20090226,000000,55.2171,55.2171,54.9004,55.2171,0,0
MRB,MV,D,20090227,000000,54.9004,54.9004,53.6308,53.6308,0,0
MRB,MV,D,20090302,000000,54.9004,54.9004,52.9955,53.6308,0,0
MRB,MV,D,20090303,000000,53.6308,53.9475,52.9955,53.9475,0,0
MRB,MV,D,20090304,000000,53.6308,53.9475,53.6308,53.6308,0,0
MRB,MV,D,20090305,000000,53.6308,53.6308,52.3611,53.3131,0,0
MRB,MV,D,20090306,000000,53.6308,53.6308,51.7268,51.7268,0,0
MRB,MV,D,20090309,000000,53.9475,53.9475,52.0435,53.6308,0,0
MRB,MV,D,20090310,000000,53.6308,53.9475,53.3131,53.6308,0,0
MRB,MV,D,20090311,000000,54.2652,54.5818,53.6308,53.9475,0,0
MRB,MV,D,20090312,000000,53.9475,54.5818,53.9475,54.2652,0,0
MRB,MV,D,20090313,000000,54.5818,54.9004,54.5818,54.9004,0,0
MRB,MV,D,20090316,000000,54.9004,54.9004,54.5818,54.9004,0,0
MRB,MV,D,20090317,000000,54.5818,54.9004,53.9475,54.9004,0,0
MRB,MV,D,20090318,000000,54.9004,54.9004,53.9475,54.5818,0,0
