<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEU,PE,D,20100409,000000,6.02755,6.02755,6.02755,6.02755,0,0
NEU,PE,D,20100412,000000,6.02755,6.10182,6.02755,6.10182,0,0
NEU,PE,D,20100413,000000,6.10182,6.39968,6.02755,6.39968,0,0
NEU,PE,D,20100414,000000,6.39968,6.39968,6.32512,6.39968,0,0
NEU,PE,D,20100415,000000,6.39968,6.54832,6.32512,6.47425,0,0
NEU,PE,D,20100416,000000,6.39968,6.39968,6.39968,6.39968,0,0
NEU,PE,D,20100419,000000,6.32512,6.39968,6.17639,6.39968,0,0
NEU,PE,D,20100420,000000,6.32512,6.32512,6.17639,6.25065,0,0
NEU,PE,D,20100421,000000,6.17639,6.25065,6.17639,6.25065,0,0
NEU,PE,D,20100422,000000,6.17639,6.25065,6.17639,6.17639,0,0
NEU,PE,D,20100423,000000,6.17835,6.24721,6.17835,6.17835,0,0
NEU,PE,D,20100426,000000,6.17639,6.25065,6.17639,6.17639,0,0
NEU,PE,D,20100427,000000,6.10182,6.17639,6.10182,6.17639,0,0
NEU,PE,D,20100428,000000,6.10182,6.17639,6.10182,6.17639,0,0
NEU,PE,D,20100429,000000,6.17639,6.25065,6.17639,6.25065,0,0
NEU,PE,D,20100430,000000,6.24721,6.32384,6.24721,6.24721,0,0
NEU,PE,D,20100504,000000,6.25065,6.62278,6.25065,6.62278,0,0
NEU,PE,D,20100505,000000,6.47425,6.54832,6.32512,6.54832,0,0
NEU,PE,D,20100506,000000,6.39968,6.47425,6.32512,6.39968,0,0
NEU,PE,D,20100507,000000,6.25065,6.32512,6.17639,6.17639,0,0
NEU,PE,D,20100510,000000,6.17639,6.47425,6.17639,6.47425,0,0
NEU,PE,D,20100511,000000,6.47425,6.47425,6.32512,6.32512,0,0
NEU,PE,D,20100512,000000,6.39968,6.39968,6.25065,6.25065,0,0
NEU,PE,D,20100513,000000,6.25065,6.25065,6.10182,6.17639,0,0
NEU,PE,D,20100514,000000,6.17639,6.17639,5.87872,6.17639,0,0
NEU,PE,D,20100517,000000,6.17639,6.39968,6.02755,6.32512,0,0
NEU,PE,D,20100518,000000,6.32512,6.39968,5.72989,5.72989,0,0
NEU,PE,D,20100519,000000,5.72989,5.72989,5.43222,5.72989,0,0
NEU,PE,D,20100520,000000,5.65542,5.65542,5.50659,5.58116,0,0
NEU,PE,D,20100521,000000,5.58116,5.65542,5.58116,5.65542,0,0
NEU,PE,D,20100524,000000,5.72989,5.72989,5.50659,5.65542,0,0
NEU,PE,D,20100525,000000,5.50659,5.58116,5.50659,5.58116,0,0
NEU,PE,D,20100526,000000,5.50659,5.72989,5.50659,5.65542,0,0
NEU,PE,D,20100527,000000,5.65542,5.65542,5.58116,5.65542,0,0
NEU,PE,D,20100528,000000,5.72989,5.72989,5.65542,5.65542,0,0
NEU,PE,D,20100531,000000,5.58125,5.80327,5.58125,5.72664,0,0
NEU,PE,D,20100601,000000,5.80426,5.80426,5.65542,5.65542,0,0
NEU,PE,D,20100602,000000,5.58116,5.65542,5.50659,5.65542,0,0
NEU,PE,D,20100604,000000,5.58116,5.65542,5.58116,5.65542,0,0
NEU,PE,D,20100607,000000,5.58116,5.58116,5.58116,5.58116,0,0
NEU,PE,D,20100608,000000,5.58116,5.65542,5.58116,5.65542,0,0
NEU,PE,D,20100609,000000,5.58116,5.58116,5.50659,5.50659,0,0
NEU,PE,D,20100610,000000,5.50659,5.58116,5.50659,5.58116,0,0
NEU,PE,D,20100611,000000,5.58116,5.58116,5.58116,5.58116,0,0
NEU,PE,D,20100614,000000,5.58116,5.58116,5.43222,5.43222,0,0
NEU,PE,D,20100615,000000,5.43222,5.50659,5.43222,5.50659,0,0
NEU,PE,D,20100616,000000,5.43222,5.58116,5.43222,5.58116,0,0
NEU,PE,D,20100617,000000,5.50472,5.58125,5.50472,5.58125,0,0
NEU,PE,D,20100618,000000,5.50659,5.58116,5.50659,5.50659,0,0
NEU,PE,D,20100621,000000,5.50659,5.50659,5.50659,5.50659,0,0
NEU,PE,D,20100622,000000,5.50659,5.65542,5.50659,5.50659,0,0
NEU,PE,D,20100623,000000,5.50659,5.50659,5.50659,5.50659,0,0
NEU,PE,D,20100624,000000,5.50659,5.50659,5.50659,5.50659,0,0
NEU,PE,D,20100625,000000,5.58125,5.58125,5.43586,5.43586,0,0
NEU,PE,D,20100628,000000,5.43586,5.43586,5.43586,5.43586,0,0
NEU,PE,D,20100629,000000,5.43222,5.43222,5.35776,5.35776,0,0
NEU,PE,D,20100630,000000,5.2827,5.50472,5.2827,5.43586,0,0
NEU,PE,D,20100701,000000,5.50472,5.58125,5.50472,5.58125,0,0
NEU,PE,D,20100702,000000,5.50472,5.58125,5.43586,5.50472,0,0
NEU,PE,D,20100706,000000,5.50472,5.58125,5.43586,5.50472,0,0
NEU,PE,D,20100707,000000,5.50472,5.50472,5.50472,5.50472,0,0
NEU,PE,D,20100708,000000,5.43586,5.65778,5.43586,5.50472,0,0
NEU,PE,D,20100709,000000,5.50472,5.50472,5.50472,5.50472,0,0
NEU,PE,D,20100712,000000,5.58125,5.58125,5.58125,5.58125,0,0
NEU,PE,D,20100713,000000,5.65778,5.80327,5.65778,5.72664,0,0
NEU,PE,D,20100714,000000,5.81842,5.81842,5.74199,5.74199,0,0
NEU,PE,D,20100715,000000,5.81842,5.81842,5.74199,5.74199,0,0
