<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVA,MV,D,20070827,000000,265.273,265.273,265.273,265.273,0,0
NVA,MV,D,20070828,000000,265.273,265.273,265.273,265.273,0,0
NVA,MV,D,20070829,000000,265.273,265.273,265.273,265.273,0,0
NVA,MV,D,20070830,000000,268.444,268.444,268.444,268.444,0,0
NVA,MV,D,20070831,000000,267.804,267.804,267.804,267.804,0,0
NVA,MV,D,20070903,000000,270.016,270.016,270.016,270.016,0,0
NVA,MV,D,20070904,000000,265.273,265.273,265.273,265.273,0,0
NVA,MV,D,20070905,000000,268.444,268.444,268.444,268.444,0,0
NVA,MV,D,20070906,000000,268.444,268.444,268.444,268.444,0,0
NVA,MV,D,20070907,000000,268.444,268.444,268.444,268.444,0,0
NVA,MV,D,20070910,000000,258.968,258.968,258.968,258.968,0,0
NVA,MV,D,20070911,000000,258.968,258.968,258.968,258.968,0,0
NVA,MV,D,20070912,000000,266.855,266.855,266.855,266.855,0,0
NVA,MV,D,20070913,000000,268.372,268.372,268.372,268.372,0,0
NVA,MV,D,20070914,000000,265.273,265.273,265.273,265.273,0,0
NVA,MV,D,20070917,000000,255.807,255.807,255.807,255.807,0,0
NVA,MV,D,20070918,000000,255.734,255.734,255.734,255.734,0,0
NVA,MV,D,20070919,000000,257.699,257.699,257.699,257.699,0,0
NVA,MV,D,20070920,000000,258.968,258.968,258.968,258.968,0,0
NVA,MV,D,20070921,000000,258.896,258.896,258.896,258.896,0,0
NVA,MV,D,20070924,000000,256.117,256.117,256.117,256.117,0,0
NVA,MV,D,20070925,000000,255.807,255.807,255.807,255.807,0,0
NVA,MV,D,20070926,000000,252.006,252.006,252.006,252.006,0,0
NVA,MV,D,20070927,000000,252.636,252.636,252.636,252.636,0,0
NVA,MV,D,20070928,000000,246.322,246.322,246.322,246.322,0,0
NVA,MV,D,20071001,000000,243.855,243.855,243.855,243.855,0,0
NVA,MV,D,20071002,000000,240.328,240.328,240.328,240.328,0,0
NVA,MV,D,20071003,000000,240.008,240.008,240.008,240.008,0,0
NVA,MV,D,20071004,000000,236.846,236.846,236.846,236.846,0,0
NVA,MV,D,20071005,000000,243.81,243.81,243.81,243.81,0,0
NVA,MV,D,20071008,000000,246.322,246.322,246.322,246.322,0,0
NVA,MV,D,20071009,000000,246.322,246.322,246.322,246.322,0,0
NVA,MV,D,20071010,000000,251.887,251.887,251.887,251.887,0,0
NVA,MV,D,20071011,000000,248.853,248.853,248.853,248.853,0,0
NVA,MV,D,20071012,000000,252.573,252.573,252.573,252.573,0,0
NVA,MV,D,20071015,000000,258.968,258.968,258.968,258.968,0,0
NVA,MV,D,20071016,000000,258.968,258.968,258.968,258.968,0,0
NVA,MV,D,20071017,000000,255.487,255.487,255.487,255.487,0,0
NVA,MV,D,20071018,000000,255.807,255.807,255.807,255.807,0,0
NVA,MV,D,20071019,000000,266.781,266.781,266.781,266.781,0,0
NVA,MV,D,20071022,000000,266.535,266.535,266.535,266.535,0,0
NVA,MV,D,20071023,000000,266.535,266.535,266.535,266.535,0,0
NVA,MV,D,20071024,000000,265.904,265.904,265.904,265.904,0,0
NVA,MV,D,20071025,000000,265.273,265.273,265.273,265.273,0,0
NVA,MV,D,20071026,000000,263.382,263.382,263.382,263.382,0,0
NVA,MV,D,20071029,000000,271.588,271.588,271.588,271.588,0,0
NVA,MV,D,20071030,000000,268.819,268.819,268.819,268.819,0,0
NVA,MV,D,20071031,000000,268.444,268.444,268.444,268.444,0,0
NVA,MV,D,20071102,000000,264.004,264.004,264.004,264.004,0,0
NVA,MV,D,20071105,000000,255.807,255.807,255.807,255.807,0,0
NVA,MV,D,20071106,000000,255.807,255.807,255.807,255.807,0,0
NVA,MV,D,20071107,000000,249.484,249.484,249.484,249.484,0,0
NVA,MV,D,20071108,000000,248.853,248.853,248.853,248.853,0,0
NVA,MV,D,20071109,000000,246.322,249.484,246.322,249.484,0,0
NVA,MV,D,20071112,000000,249.484,249.484,243.169,243.169,0,0
NVA,MV,D,20071113,000000,243.169,243.169,243.169,243.169,0,0
NVA,MV,D,20071114,000000,243.169,246.642,240.638,240.638,0,0
NVA,MV,D,20071115,000000,240.136,240.638,240.136,240.638,0,0
NVA,MV,D,20071116,000000,240.136,243.169,240.136,243.169,0,0
NVA,MV,D,20071119,000000,243.169,252.573,243.169,252.573,0,0
NVA,MV,D,20071120,000000,234.955,252.636,234.955,252.636,0,0
NVA,MV,D,20071121,000000,249.484,249.484,249.484,249.484,0,0
NVA,MV,D,20071122,000000,249.484,252.636,249.484,252.636,0,0
NVA,MV,D,20071123,000000,252.636,255.807,252.636,255.807,0,0
NVA,MV,D,20071126,000000,255.807,255.807,234.955,253.212,0,0
NVA,MV,D,20071127,000000,253.212,253.212,253.212,253.212,0,0
NVA,MV,D,20071128,000000,253.212,265.219,253.212,265.219,0,0
NVA,MV,D,20071129,000000,265.219,269.696,252.636,264.963,0,0
NVA,MV,D,20071130,000000,269.696,270.957,269.696,270.957,0,0
NVA,MV,D,20071203,000000,270.135,270.135,270.135,270.135,0,0
NVA,MV,D,20071204,000000,264.707,265.273,258.968,258.968,0,0
NVA,MV,D,20071205,000000,250.179,252.636,250.179,252.636,0,0
NVA,MV,D,20071206,000000,252.636,262.048,252.636,258.968,0,0
NVA,MV,D,20071207,000000,261.545,268.444,261.545,268.444,0,0
NVA,MV,D,20071210,000000,266.535,266.535,266.535,266.535,0,0
NVA,MV,D,20071211,000000,265.273,268.444,265.273,265.584,0,0
NVA,MV,D,20071212,000000,265.273,268.444,265.273,268.444,0,0
NVA,MV,D,20071213,000000,262.569,268.444,260.211,268.444,0,0
NVA,MV,D,20071214,000000,268.444,268.444,265.273,268.444,0,0
NVA,MV,D,20071217,000000,260.211,265.584,260.211,265.584,0,0
