<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVA,PE,D,20070827,000000,17.4483,17.4483,17.4483,17.4483,0,0
NVA,PE,D,20070828,000000,17.4483,17.4483,17.4483,17.4483,0,0
NVA,PE,D,20070829,000000,17.4483,17.4483,17.4483,17.4483,0,0
NVA,PE,D,20070830,000000,31.818,31.818,31.818,31.818,0,0
NVA,PE,D,20070831,000000,31.7386,31.7386,31.7386,31.7386,0,0
NVA,PE,D,20070903,000000,31.9761,31.9761,31.9761,31.9761,0,0
NVA,PE,D,20070904,000000,31.4224,31.4224,31.4224,31.4224,0,0
NVA,PE,D,20070905,000000,31.818,31.818,31.818,31.818,0,0
NVA,PE,D,20070906,000000,31.818,31.818,31.818,31.818,0,0
NVA,PE,D,20070907,000000,31.818,31.818,31.818,31.818,0,0
NVA,PE,D,20070910,000000,30.6328,30.6328,30.6328,30.6328,0,0
NVA,PE,D,20070911,000000,30.6328,30.6328,30.6328,30.6328,0,0
NVA,PE,D,20070912,000000,31.5804,31.5804,31.5804,31.5804,0,0
NVA,PE,D,20070913,000000,17.6054,17.6054,17.6054,17.6054,0,0
NVA,PE,D,20070914,000000,17.4483,17.4483,17.4483,17.4483,0,0
NVA,PE,D,20070917,000000,16.8159,16.8159,16.8159,16.8159,0,0
NVA,PE,D,20070918,000000,16.8159,16.8159,16.8159,16.8159,0,0
NVA,PE,D,20070919,000000,16.8954,16.8954,16.8954,16.8954,0,0
NVA,PE,D,20070920,000000,16.974,16.974,16.974,16.974,0,0
NVA,PE,D,20070921,000000,16.974,16.974,16.974,16.974,0,0
NVA,PE,D,20070924,000000,16.8159,16.8159,16.8159,16.8159,0,0
NVA,PE,D,20070925,000000,16.8159,16.8159,16.8159,16.8159,0,0
NVA,PE,D,20070926,000000,16.5793,16.5793,16.5793,16.5793,0,0
NVA,PE,D,20070927,000000,16.5793,16.5793,16.5793,16.5793,0,0
NVA,PE,D,20070928,000000,16.1854,16.1854,16.1854,16.1854,0,0
NVA,PE,D,20071001,000000,16.0274,16.0274,16.0274,16.0274,0,0
NVA,PE,D,20071002,000000,15.7906,15.7906,15.7906,15.7906,0,0
NVA,PE,D,20071003,000000,15.7906,15.7906,15.7906,15.7906,0,0
NVA,PE,D,20071004,000000,15.5531,15.5531,15.5531,15.5531,0,0
NVA,PE,D,20071005,000000,16.0274,16.0274,16.0274,16.0274,0,0
NVA,PE,D,20071008,000000,16.1854,16.1854,16.1854,16.1854,0,0
NVA,PE,D,20071009,000000,16.1854,16.1854,16.1854,16.1854,0,0
NVA,PE,D,20071010,000000,16.5793,16.5793,16.5793,16.5793,0,0
NVA,PE,D,20071011,000000,16.3435,16.3435,16.3435,16.3435,0,0
NVA,PE,D,20071012,000000,16.5793,16.5793,16.5793,16.5793,0,0
NVA,PE,D,20071015,000000,16.974,16.974,16.974,16.974,0,0
NVA,PE,D,20071016,000000,16.974,16.974,16.974,16.974,0,0
NVA,PE,D,20071017,000000,16.8159,16.8159,16.8159,16.8159,0,0
NVA,PE,D,20071018,000000,16.8159,16.8159,16.8159,16.8159,0,0
NVA,PE,D,20071019,000000,17.5269,17.5269,17.5269,17.5269,0,0
NVA,PE,D,20071022,000000,17.5269,17.5269,17.5269,17.5269,0,0
NVA,PE,D,20071023,000000,17.5269,17.5269,17.5269,17.5269,0,0
NVA,PE,D,20071024,000000,17.4483,17.4483,17.4483,17.4483,0,0
NVA,PE,D,20071025,000000,17.4483,17.4483,17.4483,17.4483,0,0
NVA,PE,D,20071026,000000,17.2911,17.2911,17.2911,17.2911,0,0
NVA,PE,D,20071029,000000,17.8439,17.8439,17.8439,17.8439,0,0
NVA,PE,D,20071030,000000,17.6849,17.6849,17.6849,17.6849,0,0
NVA,PE,D,20071031,000000,17.6054,17.6054,17.6054,17.6054,0,0
NVA,PE,D,20071102,000000,17.3697,17.3697,17.3697,17.3697,0,0
NVA,PE,D,20071105,000000,16.8159,16.8159,16.8159,16.8159,0,0
NVA,PE,D,20071106,000000,16.8159,16.8159,16.8159,16.8159,0,0
NVA,PE,D,20071107,000000,16.4221,16.4221,16.4221,16.4221,0,0
NVA,PE,D,20071108,000000,16.3435,16.3435,16.3435,16.3435,0,0
