<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVT,MV,D,20070813,000000,37.3058,37.3058,37.3058,37.3058,0,0
NVT,MV,D,20070814,000000,36.7227,36.7227,36.7227,36.7227,0,0
NVT,MV,D,20070816,000000,31.0555,31.0555,31.0555,31.0555,0,0
NVT,MV,D,20070817,000000,29.8912,29.8912,29.8912,29.8912,0,0
NVT,MV,D,20070820,000000,32.0257,32.0257,32.0257,32.0257,0,0
NVT,MV,D,20070821,000000,31.0555,31.0555,31.0555,31.0555,0,0
NVT,MV,D,20070822,000000,33.4737,33.4737,33.4737,33.4737,0,0
NVT,MV,D,20070823,000000,35.9003,35.9003,35.9003,35.9003,0,0
NVT,MV,D,20070824,000000,38.7223,38.7223,38.7223,38.7223,0,0
NVT,MV,D,20070827,000000,39.3045,39.3045,39.3045,39.3045,0,0
NVT,MV,D,20070828,000000,39.5678,39.5678,39.5678,39.5678,0,0
NVT,MV,D,20070829,000000,37.8602,37.8602,37.8602,37.8602,0,0
NVT,MV,D,20070830,000000,37.8482,37.8482,37.8482,37.8482,0,0
NVT,MV,D,20070831,000000,37.8482,37.8482,37.8482,37.8482,0,0
NVT,MV,D,20070903,000000,36.1137,36.1137,36.1137,36.1137,0,0
NVT,MV,D,20070904,000000,34.8894,34.8894,34.8894,34.8894,0,0
NVT,MV,D,20070905,000000,33.3952,33.3952,33.3952,33.3952,0,0
NVT,MV,D,20070906,000000,31.7467,31.7467,31.7467,31.7467,0,0
NVT,MV,D,20070907,000000,31.7846,31.7846,31.7846,31.7846,0,0
NVT,MV,D,20070910,000000,31.5406,31.5406,31.5406,31.5406,0,0
NVT,MV,D,20070911,000000,32.2586,32.2586,32.2586,32.2586,0,0
NVT,MV,D,20070912,000000,32.4915,32.4915,32.4915,32.4915,0,0
NVT,MV,D,20070913,000000,33.1124,33.1124,33.1124,33.1124,0,0
NVT,MV,D,20070914,000000,36.391,36.391,36.391,36.391,0,0
NVT,MV,D,20070917,000000,37.072,37.072,37.072,37.072,0,0
NVT,MV,D,20070918,000000,37.8482,37.8482,37.8482,37.8482,0,0
NVT,MV,D,20070919,000000,38.325,38.325,38.325,38.325,0,0
NVT,MV,D,20070920,000000,39.9827,39.9827,39.9827,39.9827,0,0
NVT,MV,D,20070921,000000,40.1786,40.1786,40.1786,40.1786,0,0
NVT,MV,D,20070924,000000,37.8482,37.8482,37.8482,37.8482,0,0
NVT,MV,D,20070925,000000,36.6839,36.6839,36.6839,36.6839,0,0
NVT,MV,D,20070926,000000,35.9567,35.9567,35.9567,35.9567,0,0
NVT,MV,D,20070927,000000,35.9262,35.9262,35.9262,35.9262,0,0
NVT,MV,D,20070928,000000,37.6541,37.6541,37.6541,37.6541,0,0
NVT,MV,D,20071001,000000,39.2574,39.2574,39.2574,39.2574,0,0
NVT,MV,D,20071002,000000,40.8569,40.8569,40.8569,40.8569,0,0
NVT,MV,D,20071003,000000,39.7887,39.7887,39.7887,39.7887,0,0
NVT,MV,D,20071004,000000,41.354,41.354,41.354,41.354,0,0
NVT,MV,D,20071005,000000,40.5649,40.5649,40.5649,40.5649,0,0
NVT,MV,D,20071008,000000,43.1874,43.1874,43.1874,43.1874,0,0
NVT,MV,D,20071009,000000,43.8665,43.8665,43.8665,43.8665,0,0
NVT,MV,D,20071010,000000,45.7091,45.7091,45.7091,45.7091,0,0
NVT,MV,D,20071011,000000,46.0972,46.0972,46.0972,46.0972,0,0
NVT,MV,D,20071012,000000,45.6121,45.6121,45.6121,45.6121,0,0
NVT,MV,D,20071015,000000,50.4652,50.4652,50.4652,50.4652,0,0
NVT,MV,D,20071016,000000,51.4354,51.4354,51.4354,51.4354,0,0
NVT,MV,D,20071017,000000,49.2999,49.2999,49.2999,49.2999,0,0
