<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OEX,MV,D,20070813,000000,71.0187,71.0187,71.0187,71.0187,0,0
OEX,MV,D,20070814,000000,65.4787,65.4787,65.4787,65.4787,0,0
OEX,MV,D,20070816,000000,64.3083,64.3083,64.3083,64.3083,0,0
OEX,MV,D,20070817,000000,64.3083,64.3083,64.3083,64.3083,0,0
OEX,MV,D,20070820,000000,64.3643,64.3643,64.3643,64.3643,0,0
OEX,MV,D,20070821,000000,65.4787,65.4787,65.4787,65.4787,0,0
OEX,MV,D,20070822,000000,67.4195,67.4195,67.4195,67.4195,0,0
OEX,MV,D,20070823,000000,68.1938,68.1938,68.1938,68.1938,0,0
OEX,MV,D,20070824,000000,66.5798,66.5798,66.5798,66.5798,0,0
OEX,MV,D,20070827,000000,67.9736,67.9736,67.9736,67.9736,0,0
OEX,MV,D,20070828,000000,65.4787,65.4787,65.4787,65.4787,0,0
OEX,MV,D,20070829,000000,68.2553,68.2553,68.2553,68.2553,0,0
OEX,MV,D,20070830,000000,67.6934,67.6934,67.6934,67.6934,0,0
OEX,MV,D,20070831,000000,67.6934,67.6934,67.6934,67.6934,0,0
OEX,MV,D,20070903,000000,69.3705,69.3705,69.3705,69.3705,0,0
OEX,MV,D,20070904,000000,69.2475,69.2475,69.2475,69.2475,0,0
OEX,MV,D,20070905,000000,67.1401,67.1401,67.1401,67.1401,0,0
OEX,MV,D,20070906,000000,68.8094,68.8094,68.8094,68.8094,0,0
OEX,MV,D,20070907,000000,63.811,63.811,63.811,63.811,0,0
OEX,MV,D,20070910,000000,64.8662,64.8662,64.8662,64.8662,0,0
OEX,MV,D,20070911,000000,67.8631,67.8631,67.8631,67.8631,0,0
OEX,MV,D,20070912,000000,67.7977,67.7977,67.7977,67.7977,0,0
OEX,MV,D,20070913,000000,68.0841,68.0841,68.0841,68.0841,0,0
OEX,MV,D,20070914,000000,67.6934,67.6934,67.6934,67.6934,0,0
OEX,MV,D,20070917,000000,67.6934,67.6934,67.6934,67.6934,0,0
OEX,MV,D,20070918,000000,68.1938,68.1938,68.1938,68.1938,0,0
OEX,MV,D,20070919,000000,68.8094,68.8094,68.8094,68.8094,0,0
OEX,MV,D,20070920,000000,66.5798,66.5798,66.5798,66.5798,0,0
OEX,MV,D,20070921,000000,66.3059,66.3059,66.3059,66.3059,0,0
OEX,MV,D,20070924,000000,67.2507,67.2507,67.2507,67.2507,0,0
OEX,MV,D,20070925,000000,66.5798,66.5798,66.5798,66.5798,0,0
OEX,MV,D,20070926,000000,66.1433,66.1433,66.1433,66.1433,0,0
OEX,MV,D,20070927,000000,66.1433,66.1433,66.1433,66.1433,0,0
OEX,MV,D,20070928,000000,66.4748,66.4748,66.4748,66.4748,0,0
OEX,MV,D,20071001,000000,67.6413,67.6413,67.6413,67.6413,0,0
OEX,MV,D,20071002,000000,67.6934,67.6934,67.6934,67.6934,0,0
OEX,MV,D,20071003,000000,66.5798,66.5798,66.5798,66.5798,0,0
OEX,MV,D,20071004,000000,66.5798,66.5798,66.5798,66.5798,0,0
OEX,MV,D,20071005,000000,66.5277,66.5277,66.5277,66.5277,0,0
OEX,MV,D,20071008,000000,66.5277,66.5277,66.5277,66.5277,0,0
OEX,MV,D,20071009,000000,67.1401,67.1401,67.1401,67.1401,0,0
OEX,MV,D,20071010,000000,66.3059,66.3059,66.3059,66.3059,0,0
OEX,MV,D,20071011,000000,66.1954,66.1954,66.1954,66.1954,0,0
OEX,MV,D,20071012,000000,66.5798,66.5798,66.5798,66.5798,0,0
OEX,MV,D,20071015,000000,67.1401,67.1401,67.1401,67.1401,0,0
OEX,MV,D,20071016,000000,64.9254,64.9254,64.9254,64.9254,0,0
OEX,MV,D,20071017,000000,65.4787,65.4787,65.4787,65.4787,0,0
OEX,MV,D,20071018,000000,68.2553,68.2553,68.2553,68.2553,0,0
OEX,MV,D,20071019,000000,68.7478,68.7478,68.7478,68.7478,0,0
OEX,MV,D,20071022,000000,68.2553,68.2553,68.2553,68.2553,0,0
OEX,MV,D,20071023,000000,68.8094,68.8094,68.8094,68.8094,0,0
OEX,MV,D,20071024,000000,69.2475,69.2475,69.2475,69.2475,0,0
OEX,MV,D,20071025,000000,69.302,69.302,69.302,69.302,0,0
OEX,MV,D,20071026,000000,69.3705,69.3705,69.3705,69.3705,0,0
OEX,MV,D,20071029,000000,68.2553,68.2553,68.2553,68.2553,0,0
OEX,MV,D,20071030,000000,69.3705,69.3705,69.3705,69.3705,0,0
OEX,MV,D,20071031,000000,67.1401,67.1401,67.1401,67.1401,0,0
OEX,MV,D,20071102,000000,69.0895,69.0895,69.0895,69.0895,0,0
OEX,MV,D,20071105,000000,69.3705,69.3705,69.3705,69.3705,0,0
OEX,MV,D,20071106,000000,69.3705,69.3705,69.3705,69.3705,0,0
OEX,MV,D,20071107,000000,68.7478,68.7478,68.7478,68.7478,0,0
OEX,MV,D,20071108,000000,67.1401,67.1401,67.1401,67.1401,0,0
OEX,MV,D,20071109,000000,67.088,67.1401,67.088,67.1401,0,0
OEX,MV,D,20071112,000000,65.5892,67.1401,64.8662,64.8662,0,0
OEX,MV,D,20071113,000000,64.9705,65.4787,64.9254,65.4787,0,0
OEX,MV,D,20071114,000000,65.9736,66.0328,65.9736,66.0328,0,0
OEX,MV,D,20071115,000000,65.9736,66.0328,64.3643,64.3643,0,0
OEX,MV,D,20071116,000000,65.4787,65.4787,64.3643,64.3643,0,0
OEX,MV,D,20071119,000000,64.3643,64.3643,64.3643,64.3643,0,0
OEX,MV,D,20071120,000000,61.3122,65.2048,61.3122,65.2048,0,0
OEX,MV,D,20071121,000000,61.096,63.811,61.0383,63.811,0,0
OEX,MV,D,20071122,000000,63.811,63.811,57.7084,61.5917,0,0
OEX,MV,D,20071123,000000,61.5917,61.5917,61.5917,61.5917,0,0
OEX,MV,D,20071126,000000,61.5917,65.4134,61.5917,64.9254,0,0
OEX,MV,D,20071127,000000,64.9254,64.9254,64.9254,64.9254,0,0
OEX,MV,D,20071128,000000,64.9254,67.6934,64.9254,67.6934,0,0
OEX,MV,D,20071129,000000,67.6934,68.1938,65.5301,68.1938,0,0
OEX,MV,D,20071130,000000,66.5798,68.5292,66.5798,68.5292,0,0
OEX,MV,D,20071205,000000,66.5798,66.5798,66.5798,66.5798,0,0
OEX,MV,D,20071206,000000,66.5798,66.5798,66.5798,66.5798,0,0
OEX,MV,D,20071207,000000,66.5798,68.2553,66.0328,68.2553,0,0
OEX,MV,D,20071212,000000,66.0328,66.5798,66.0328,66.5798,0,0
OEX,MV,D,20071213,000000,61.096,64.3643,61.096,64.3643,0,0
OEX,MV,D,20071214,000000,64.3643,64.3643,64.3643,64.3643,0,0
OEX,MV,D,20071217,000000,64.3643,64.3643,64.3643,64.3643,0,0
OEX,MV,D,20071218,000000,64.3643,64.3643,61.1473,63.811,0,0
OEX,MV,D,20071219,000000,63.811,63.811,63.811,63.811,0,0
OEX,MV,D,20071220,000000,62.1519,63.2523,62.1519,63.2523,0,0
OEX,MV,D,20071221,000000,61.0383,61.0383,61.0383,61.0383,0,0
OEX,MV,D,20071227,000000,57.4867,62.1519,56.5972,62.1519,0,0
OEX,MV,D,20071228,000000,64.1962,64.3643,64.0904,64.3643,0,0
OEX,MV,D,20080103,000000,63.811,63.811,63.811,63.811,0,0
OEX,MV,D,20080104,000000,61.8726,61.8726,59.7006,59.7006,0,0
OEX,MV,D,20080107,000000,59.65,59.65,57.766,57.766,0,0
OEX,MV,D,20080108,000000,58.8182,58.8182,57.1559,57.1559,0,0
