<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPL,PE,D,20070813,000000,6.79164,6.79164,6.79164,6.79164,0,0
OPL,PE,D,20070814,000000,6.79164,6.79164,6.79164,6.79164,0,0
OPL,PE,D,20070816,000000,6.45626,6.45626,6.45626,6.45626,0,0
OPL,PE,D,20070817,000000,6.64935,6.64935,6.64935,6.64935,0,0
OPL,PE,D,20070820,000000,6.64935,6.64935,6.64935,6.64935,0,0
OPL,PE,D,20070821,000000,6.69496,6.69496,6.69496,6.69496,0,0
OPL,PE,D,20070822,000000,6.97946,6.97946,6.97946,6.97946,0,0
OPL,PE,D,20070823,000000,6.93385,6.93385,6.93385,6.93385,0,0
OPL,PE,D,20070824,000000,7.07597,7.07597,7.07597,7.07597,0,0
OPL,PE,D,20070827,000000,7.02516,7.02516,7.02516,7.02516,0,0
OPL,PE,D,20070828,000000,6.97946,6.97946,6.97946,6.97946,0,0
OPL,PE,D,20070829,000000,6.93385,6.93385,6.93385,6.93385,0,0
OPL,PE,D,20070830,000000,6.74066,6.74066,6.74066,6.74066,0,0
OPL,PE,D,20070831,000000,6.93385,6.93385,6.93385,6.93385,0,0
OPL,PE,D,20070903,000000,6.97946,6.97946,6.97946,6.97946,0,0
OPL,PE,D,20070904,000000,7.21816,7.21816,7.21816,7.21816,0,0
OPL,PE,D,20070905,000000,7.02516,7.02516,7.02516,7.02516,0,0
OPL,PE,D,20070906,000000,7.02516,7.02516,7.02516,7.02516,0,0
OPL,PE,D,20070907,000000,6.93385,6.93385,6.93385,6.93385,0,0
OPL,PE,D,20070910,000000,6.93385,6.93385,6.93385,6.93385,0,0
OPL,PE,D,20070911,000000,6.93385,6.93385,6.93385,6.93385,0,0
OPL,PE,D,20070912,000000,7.02516,7.02516,7.02516,7.02516,0,0
OPL,PE,D,20070913,000000,7.07597,7.07597,7.07597,7.07597,0,0
OPL,PE,D,20070914,000000,7.07597,7.07597,7.07597,7.07597,0,0
OPL,PE,D,20070917,000000,7.02516,7.02516,7.02516,7.02516,0,0
OPL,PE,D,20070918,000000,7.02516,7.02516,7.02516,7.02516,0,0
OPL,PE,D,20070919,000000,7.12175,7.12175,7.12175,7.12175,0,0
OPL,PE,D,20070920,000000,7.16737,7.16737,7.16737,7.16737,0,0
OPL,PE,D,20070921,000000,6.88305,6.88305,6.88305,6.88305,0,0
OPL,PE,D,20070924,000000,6.74066,6.74066,6.74066,6.74066,0,0
OPL,PE,D,20070925,000000,6.74066,6.74066,6.74066,6.74066,0,0
OPL,PE,D,20070926,000000,6.74066,6.74066,6.74066,6.74066,0,0
OPL,PE,D,20070927,000000,6.69496,6.69496,6.69496,6.69496,0,0
OPL,PE,D,20070928,000000,6.69496,6.69496,6.69496,6.69496,0,0
OPL,PE,D,20071001,000000,6.83726,6.83726,6.83726,6.83726,0,0
OPL,PE,D,20071002,000000,6.88305,6.88305,6.88305,6.88305,0,0
OPL,PE,D,20071003,000000,6.79164,6.79164,6.79164,6.79164,0,0
OPL,PE,D,20071004,000000,6.69496,6.69496,6.69496,6.69496,0,0
OPL,PE,D,20071005,000000,6.69496,6.69496,6.69496,6.69496,0,0
OPL,PE,D,20071008,000000,6.64935,6.64935,6.64935,6.64935,0,0
OPL,PE,D,20071009,000000,6.93385,6.93385,6.93385,6.93385,0,0
OPL,PE,D,20071010,000000,6.74066,6.74066,6.74066,6.74066,0,0
OPL,PE,D,20071011,000000,6.93385,6.93385,6.93385,6.93385,0,0
OPL,PE,D,20071012,000000,6.83726,6.83726,6.83726,6.83726,0,0
OPL,PE,D,20071015,000000,6.97946,6.97946,6.97946,6.97946,0,0
OPL,PE,D,20071016,000000,6.97946,6.97946,6.97946,6.97946,0,0
OPL,PE,D,20071017,000000,6.97946,6.97946,6.97946,6.97946,0,0
OPL,PE,D,20071018,000000,6.88305,6.88305,6.88305,6.88305,0,0
OPL,PE,D,20071019,000000,6.97946,6.97946,6.97946,6.97946,0,0
OPL,PE,D,20071022,000000,7.07597,7.07597,7.07597,7.07597,0,0
OPL,PE,D,20071023,000000,7.26405,7.26405,7.26405,7.26405,0,0
OPL,PE,D,20071024,000000,7.26405,7.26405,7.26405,7.26405,0,0
OPL,PE,D,20071025,000000,7.45705,7.45705,7.45705,7.45705,0,0
OPL,PE,D,20071026,000000,7.50312,7.50312,7.50312,7.50312,0,0
OPL,PE,D,20071029,000000,7.83232,7.83232,7.83232,7.83232,0,0
OPL,PE,D,20071030,000000,7.69048,7.69048,7.69048,7.69048,0,0
OPL,PE,D,20071031,000000,7.69048,7.69048,7.69048,7.69048,0,0
OPL,PE,D,20071102,000000,7.69048,7.69048,7.69048,7.69048,0,0
OPL,PE,D,20071105,000000,7.69048,7.69048,7.69048,7.69048,0,0
OPL,PE,D,20071106,000000,7.64523,7.64523,7.64523,7.64523,0,0
OPL,PE,D,20071107,000000,7.59917,7.59917,7.59917,7.59917,0,0
OPL,PE,D,20071108,000000,7.54846,7.54846,7.54846,7.54846,0,0
OPL,PE,D,20071109,000000,7.50312,7.50312,7.31485,7.40616,0,0
OPL,PE,D,20071112,000000,7.40616,7.40616,7.26405,7.36046,0,0
OPL,PE,D,20071113,000000,7.31485,7.45705,7.31485,7.31485,0,0
OPL,PE,D,20071114,000000,7.36046,7.45705,7.26405,7.26405,0,0
OPL,PE,D,20071115,000000,7.26405,7.31485,7.16737,7.16737,0,0
OPL,PE,D,20071116,000000,7.12175,7.21816,6.97946,6.97946,0,0
OPL,PE,D,20071119,000000,7.02516,7.21816,6.97946,7.21816,0,0
OPL,PE,D,20071121,000000,7.12175,7.16737,7.07597,7.12175,0,0
OPL,PE,D,20071122,000000,7.07597,7.31485,6.97946,7.31485,0,0
OPL,PE,D,20071123,000000,7.40616,7.45705,7.31485,7.31485,0,0
OPL,PE,D,20071126,000000,7.40616,7.40616,6.97946,6.97946,0,0
OPL,PE,D,20071127,000000,7.02516,7.12175,6.83726,6.88305,0,0
OPL,PE,D,20071128,000000,7.12175,7.21816,7.02516,7.21816,0,0
OPL,PE,D,20071129,000000,7.31485,7.40616,7.12175,7.12175,0,0
OPL,PE,D,20071130,000000,7.26405,7.36046,7.21816,7.21816,0,0
OPL,PE,D,20071203,000000,7.26405,7.50312,7.26405,7.50312,0,0
OPL,PE,D,20071204,000000,7.54846,7.59917,7.54846,7.54846,0,0
OPL,PE,D,20071205,000000,7.64523,7.74128,7.64523,7.74128,0,0
