<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPN,PE,D,20080630,000000,32.8419,33.2625,32.4203,33.2625,0,0
OPN,PE,D,20080701,000000,32.8764,32.8764,31.8645,32.7911,0,0
OPN,PE,D,20080702,000000,32.7911,32.7911,31.3577,31.6116,0,0
OPN,PE,D,20080703,000000,31.6116,31.6116,30.8518,31.5273,0,0
OPN,PE,D,20080704,000000,31.19,32.0332,30.5988,31.3577,0,0
OPN,PE,D,20080707,000000,30.9361,30.9361,30.5988,30.9361,0,0
OPN,PE,D,20080708,000000,30.2606,30.9361,29.7566,30.9361,0,0
OPN,PE,D,20080709,000000,31.0194,32.6215,31.0194,32.6215,0,0
OPN,PE,D,20080710,000000,32.1999,32.1999,31.6959,32.0332,0,0
OPN,PE,D,20080711,000000,32.0332,32.1999,31.6116,31.6116,0,0
OPN,PE,D,20080714,000000,31.2753,32.1999,30.9361,30.9361,0,0
OPN,PE,D,20080715,000000,31.5273,31.5273,30.0929,30.1782,0,0
OPN,PE,D,20080716,000000,30.0105,30.1782,28.4918,28.4918,0,0
OPN,PE,D,20080717,000000,28.7438,29.5027,28.4918,28.4918,0,0
OPN,PE,D,20080718,000000,29.0811,29.0811,26.4691,26.4691,0,0
OPN,PE,D,20080721,000000,26.976,28.4075,26.976,28.0712,0,0
OPN,PE,D,20080722,000000,28.3241,31.2753,28.3241,30.5988,0,0
OPN,PE,D,20080723,000000,31.19,32.1175,30.5988,32.1175,0,0
OPN,PE,D,20080724,000000,33.5519,34.7294,23.8553,23.8553,0,0
OPN,PE,D,20080725,000000,23.8553,23.8553,22.6767,23.8553,0,0
OPN,PE,D,20080728,000000,24.3612,24.3612,23.6023,24.1092,0,0
OPN,PE,D,20080729,000000,23.771,25.374,23.771,25.374,0,0
OPN,PE,D,20080730,000000,25.374,25.374,24.0239,25.0357,0,0
OPN,PE,D,20080731,000000,24.6132,25.121,24.4446,25.0357,0,0
OPN,PE,D,20080801,000000,24.5298,24.9514,24.1916,24.9514,0,0
OPN,PE,D,20080804,000000,24.6132,24.6132,23.9396,23.9396,0,0
OPN,PE,D,20080805,000000,23.8553,24.5298,23.8553,24.1092,0,0
OPN,PE,D,20080806,000000,24.5298,24.5298,23.6876,24.1092,0,0
OPN,PE,D,20080807,000000,23.8553,24.1092,23.6876,24.0239,0,0
OPN,PE,D,20080808,000000,23.771,23.9396,23.1827,23.8553,0,0
OPN,PE,D,20080811,000000,23.6876,23.6876,22.7592,22.7592,0,0
OPN,PE,D,20080812,000000,23.0974,23.2651,22.6767,23.1827,0,0
OPN,PE,D,20080813,000000,22.9278,23.519,22.9278,23.519,0,0
OPN,PE,D,20080814,000000,23.0121,23.4356,22.7592,23.4356,0,0
OPN,PE,D,20080818,000000,23.4356,23.6876,23.0974,23.6876,0,0
OPN,PE,D,20080819,000000,23.6023,23.6876,23.3494,23.3494,0,0
OPN,PE,D,20080820,000000,23.6876,23.6876,22.9278,23.3494,0,0
OPN,PE,D,20080821,000000,23.4356,23.4356,22.9278,23.3494,0,0
