<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OTS,PE,D,20130830,000000,7.65926,7.65926,7.65926,7.65926,0,0
OTS,PE,D,20130902,000000,7.65926,7.65926,7.65926,7.65926,0,0
OTS,PE,D,20130903,000000,7.65926,7.89905,7.49984,7.57951,0,0
OTS,PE,D,20130904,000000,7.57951,7.57951,7.57951,7.57951,0,0
OTS,PE,D,20130905,000000,7.57951,7.57951,7.57951,7.57951,0,0
OTS,PE,D,20130906,000000,7.57951,7.57951,7.57951,7.57951,0,0
OTS,PE,D,20130909,000000,7.57951,7.65926,7.57951,7.65926,0,0
OTS,PE,D,20130910,000000,7.65926,7.65926,7.65926,7.65926,0,0
OTS,PE,D,20130911,000000,7.65926,7.65926,7.57951,7.57951,0,0
OTS,PE,D,20130912,000000,7.57951,7.57951,7.57951,7.57951,0,0
OTS,PE,D,20130913,000000,7.57951,7.73919,7.57951,7.73919,0,0
OTS,PE,D,20130916,000000,7.73919,7.81895,7.73919,7.73919,0,0
OTS,PE,D,20130917,000000,7.73919,7.81895,7.73919,7.81895,0,0
OTS,PE,D,20130918,000000,7.65926,8.05761,7.65926,7.9782,0,0
OTS,PE,D,20130919,000000,7.9782,8.13798,7.9782,8.13798,0,0
OTS,PE,D,20130920,000000,8.05761,8.13798,8.05761,8.05761,0,0
OTS,PE,D,20130923,000000,8.05761,8.21747,8.05761,8.21747,0,0
OTS,PE,D,20130924,000000,8.21747,8.21747,8.21747,8.21747,0,0
OTS,PE,D,20130926,000000,8.21747,8.21747,8.13798,8.13798,0,0
OTS,PE,D,20130927,000000,8.13798,8.13798,8.13798,8.13798,0,0
OTS,PE,D,20130930,000000,8.13798,8.21747,8.13798,8.21747,0,0
OTS,PE,D,20131002,000000,8.21747,8.29784,8.21747,8.29784,0,0
OTS,PE,D,20131003,000000,8.29784,8.29784,8.29784,8.29784,0,0
OTS,PE,D,20131004,000000,8.29784,8.29784,8.29784,8.29784,0,0
OTS,PE,D,20131011,000000,8.13798,8.29784,8.13798,8.29784,0,0
OTS,PE,D,20131014,000000,8.29784,8.37707,8.29784,8.37707,0,0
OTS,PE,D,20131015,000000,8.45718,8.61652,8.45718,8.61652,0,0
OTS,PE,D,20131016,000000,8.61652,8.93694,8.61652,8.85596,0,0
OTS,PE,D,20131017,000000,8.93694,8.93694,8.77673,8.77673,0,0
OTS,PE,D,20131021,000000,8.85596,8.85596,8.85596,8.85596,0,0
OTS,PE,D,20131022,000000,8.77673,8.77673,8.77673,8.77673,0,0
OTS,PE,D,20131025,000000,8.85596,8.85596,8.85596,8.85596,0,0
OTS,PE,D,20131028,000000,8.85596,8.85596,8.45718,8.45718,0,0
OTS,PE,D,20131029,000000,8.37707,8.77673,8.37707,8.77673,0,0
OTS,PE,D,20131030,000000,8.93694,9.33485,8.93694,9.33485,0,0
OTS,PE,D,20131031,000000,9.6544,10.452,9.6544,10.452,0,0
OTS,PE,D,20131104,000000,10.0523,10.6122,10.0523,10.5312,0,0
OTS,PE,D,20131105,000000,10.452,10.452,10.452,10.452,0,0
OTS,PE,D,20131106,000000,10.452,10.8516,10.452,10.7706,0,0
OTS,PE,D,20131107,000000,10.7706,11.0902,10.2125,10.2125,0,0
OTS,PE,D,20131108,000000,10.2918,10.452,10.2125,10.452,0,0
OTS,PE,D,20131112,000000,10.2918,10.452,10.2918,10.452,0,0
OTS,PE,D,20131113,000000,10.452,11.0101,10.3719,11.0101,0,0
OTS,PE,D,20131114,000000,11.0101,11.0902,10.1324,10.452,0,0
OTS,PE,D,20131115,000000,10.6122,10.6122,10.2125,10.2125,0,0
OTS,PE,D,20131118,000000,9.89384,9.97395,9.0153,9.81374,0,0
OTS,PE,D,20131119,000000,9.81374,10.452,9.81374,10.452,0,0
OTS,PE,D,20131120,000000,10.452,10.6122,10.452,10.5312,0,0
OTS,PE,D,20131121,000000,10.2125,10.2125,10.2125,10.2125,0,0
OTS,PE,D,20131126,000000,10.5312,10.5312,10.5312,10.5312,0,0
OTS,PE,D,20131127,000000,10.2918,10.2918,10.2918,10.2918,0,0
OTS,PE,D,20140402,000000,12.1281,12.1281,12.1281,12.1281,0,0
