<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBX,PE,D,20150708,000000,10.1929,10.1929,10.1929,10.1929,0,0
PBX,PE,D,20150709,000000,10.1929,10.1929,10.1068,10.1068,0,0
PBX,PE,D,20150710,000000,10.3669,10.4541,10.2799,10.2799,0,0
PBX,PE,D,20150713,000000,10.2799,10.5421,10.2799,10.5421,0,0
PBX,PE,D,20150714,000000,10.7171,10.8022,10.5421,10.7171,0,0
PBX,PE,D,20150715,000000,10.8022,10.8022,10.8022,10.8022,0,0
PBX,PE,D,20150716,000000,10.8892,10.9772,10.8892,10.9772,0,0
PBX,PE,D,20150717,000000,10.9772,11.0642,10.9772,10.9772,0,0
PBX,PE,D,20150720,000000,11.0642,11.2383,11.0642,11.2383,0,0
PBX,PE,D,20150721,000000,11.2383,11.2383,11.0642,11.0642,0,0
PBX,PE,D,20150722,000000,10.8022,10.8022,10.8022,10.8022,0,0
PBX,PE,D,20150723,000000,10.8892,10.8892,10.8892,10.8892,0,0
PBX,PE,D,20150724,000000,10.63,10.7171,10.63,10.7171,0,0
PBX,PE,D,20150728,000000,10.8892,10.8892,10.8022,10.8022,0,0
PBX,PE,D,20150729,000000,10.8022,11.0642,10.5421,10.8892,0,0
PBX,PE,D,20150730,000000,10.8892,10.8892,10.8892,10.8892,0,0
PBX,PE,D,20150731,000000,10.9772,10.9772,10.5421,10.5421,0,0
PBX,PE,D,20150803,000000,10.7171,10.7171,10.7171,10.7171,0,0
PBX,PE,D,20150804,000000,10.8892,10.8892,10.8892,10.8892,0,0
PBX,PE,D,20150805,000000,10.63,10.7171,10.63,10.7171,0,0
PBX,PE,D,20150806,000000,10.7171,10.7171,10.7171,10.7171,0,0
PBX,PE,D,20150807,000000,10.8022,10.8892,10.8022,10.8892,0,0
PBX,PE,D,20150810,000000,10.9772,10.9772,10.8892,10.8892,0,0
PBX,PE,D,20150811,000000,10.8022,10.8022,10.8022,10.8022,0,0
PBX,PE,D,20150812,000000,10.8022,10.8022,10.7171,10.7171,0,0
PBX,PE,D,20150813,000000,10.8022,10.9772,10.8022,10.9772,0,0
PBX,PE,D,20150818,000000,10.8892,12.4568,10.8892,12.4568,0,0
PBX,PE,D,20150819,000000,12.3775,12.7276,12.2895,12.2895,0,0
PBX,PE,D,20150820,000000,12.2895,12.3775,12.2895,12.3775,0,0
PBX,PE,D,20150824,000000,11.7625,12.2895,11.7625,12.1996,0,0
PBX,PE,D,20150825,000000,12.1996,12.1996,12.1135,12.1996,0,0
PBX,PE,D,20150828,000000,12.1996,12.2895,12.1996,12.2895,0,0
PBX,PE,D,20150831,000000,12.3775,12.4636,12.2895,12.4636,0,0
PBX,PE,D,20150901,000000,12.4636,12.4636,10.1823,10.1823,0,0
PBX,PE,D,20150902,000000,10.1823,10.2693,10.1823,10.2693,0,0
PBX,PE,D,20150903,000000,10.2693,10.2693,10.2693,10.2693,0,0
PBX,PE,D,20150904,000000,10.0942,10.0942,10.0942,10.0942,0,0
PBX,PE,D,20150907,000000,9.83025,10.1823,9.74322,10.1823,0,0
PBX,PE,D,20150908,000000,10.0062,10.0942,9.83025,10.0942,0,0
PBX,PE,D,20150910,000000,10.0062,10.0062,10.0062,10.0062,0,0
PBX,PE,D,20150911,000000,10.0062,10.1823,10.0062,10.1823,0,0
PBX,PE,D,20150914,000000,10.1823,10.1823,9.91923,10.0942,0,0
PBX,PE,D,20150915,000000,10.1823,10.1823,10.0942,10.1823,0,0
PBX,PE,D,20150916,000000,10.1823,10.1823,10.0942,10.0942,0,0
PBX,PE,D,20150917,000000,10.0942,10.0942,10.0942,10.0942,0,0
PBX,PE,D,20150918,000000,10.0062,10.0062,10.0062,10.0062,0,0
PBX,PE,D,20150921,000000,10.0062,10.0062,9.91923,10.0062,0,0
PBX,PE,D,20150922,000000,10.0062,10.0942,10.0062,10.0062,0,0
PBX,PE,D,20150923,000000,10.0062,10.0062,10.0062,10.0062,0,0
PBX,PE,D,20150924,000000,10.0942,10.1823,9.91923,10.1823,0,0
PBX,PE,D,20150925,000000,9.91923,10.0062,9.91923,10.0062,0,0
PBX,PE,D,20150928,000000,10.0942,10.0942,10.0062,10.0942,0,0
PBX,PE,D,20150929,000000,10.1823,10.1823,10.0942,10.0942,0,0
PBX,PE,D,20150930,000000,10.0942,10.0942,10.0942,10.0942,0,0
PBX,PE,D,20151001,000000,10.0942,10.1823,10.0942,10.0942,0,0
PBX,PE,D,20151002,000000,10.1823,10.1823,10.0942,10.0942,0,0
PBX,PE,D,20151005,000000,10.0942,10.1823,10.0942,10.0942,0,0
PBX,PE,D,20151006,000000,10.0942,10.3573,10.0062,10.3573,0,0
PBX,PE,D,20151007,000000,10.3573,10.3573,10.2693,10.3573,0,0
PBX,PE,D,20151008,000000,10.3573,10.3573,10.2693,10.2693,0,0
PBX,PE,D,20151009,000000,10.3573,10.3573,10.1823,10.3573,0,0
PBX,PE,D,20151012,000000,10.3573,10.5333,10.3573,10.5333,0,0
PBX,PE,D,20151013,000000,10.5333,11.0604,10.5333,11.0604,0,0
PBX,PE,D,20151015,000000,10.8834,10.8834,10.8834,10.8834,0,0
PBX,PE,D,20151016,000000,10.7093,11.0604,10.7093,10.9714,0,0
PBX,PE,D,20151019,000000,11.0604,11.4975,11.0604,11.4975,0,0
PBX,PE,D,20151020,000000,11.4975,11.4975,11.0604,11.0604,0,0
PBX,PE,D,20151021,000000,11.0604,11.0604,10.7964,10.9714,0,0
PBX,PE,D,20151022,000000,10.8834,11.0604,10.8834,11.0604,0,0
PBX,PE,D,20151023,000000,11.0604,11.2364,11.0604,11.2364,0,0
PBX,PE,D,20151026,000000,10.7093,11.2364,10.7093,11.2364,0,0
PBX,PE,D,20151027,000000,11.2364,11.4975,11.2364,11.4114,0,0
PBX,PE,D,20151028,000000,10.8834,11.3244,10.8834,11.3244,0,0
PBX,PE,D,20151029,000000,11.3244,11.3244,11.1484,11.3244,0,0
PBX,PE,D,20151030,000000,11.3244,11.3244,11.0604,11.3244,0,0
PBX,PE,D,20151102,000000,11.2364,11.4114,11.2364,11.4114,0,0
PBX,PE,D,20151103,000000,11.3244,11.3244,10.8834,11.3244,0,0
PBX,PE,D,20151104,000000,11.3244,11.3244,10.8834,11.3244,0,0
PBX,PE,D,20151105,000000,11.3244,11.3244,11.0604,11.3244,0,0
PBX,PE,D,20151106,000000,10.8834,11.3244,10.8834,11.3244,0,0
PBX,PE,D,20151109,000000,11.3244,11.3244,11.3244,11.3244,0,0
PBX,PE,D,20151110,000000,10.9714,11.3244,10.8834,11.3244,0,0
PBX,PE,D,20151113,000000,11.0604,11.3244,10.8834,11.2364,0,0
PBX,PE,D,20151116,000000,10.9714,11.1484,10.7093,10.7964,0,0
PBX,PE,D,20151117,000000,10.6213,10.8834,10.6213,10.8834,0,0
PBX,PE,D,20151118,000000,10.7964,10.8834,10.7964,10.8834,0,0
PBX,PE,D,20151119,000000,10.8834,10.9714,10.8834,10.9714,0,0
PBX,PE,D,20151120,000000,10.9714,10.9714,10.9714,10.9714,0,0
PBX,PE,D,20151124,000000,10.5333,10.8834,10.5333,10.8834,0,0
PBX,PE,D,20151125,000000,10.9714,10.9714,10.8834,10.8834,0,0
PBX,PE,D,20151126,000000,10.7093,10.9714,10.5333,10.8834,0,0
PBX,PE,D,20151127,000000,10.4463,10.6213,10.4463,10.6213,0,0
PBX,PE,D,20151130,000000,10.8834,10.8834,10.4463,10.8834,0,0
PBX,PE,D,20151201,000000,10.9714,10.9714,10.8834,10.8834,0,0
PBX,PE,D,20151203,000000,10.3573,10.7093,10.3573,10.7093,0,0
PBX,PE,D,20151204,000000,10.4463,10.7964,10.4463,10.7964,0,0
PBX,PE,D,20151207,000000,10.8834,10.8834,10.3573,10.8834,0,0
PBX,PE,D,20151208,000000,10.9714,10.9714,10.8834,10.8834,0,0
PBX,PE,D,20151209,000000,10.7093,10.8834,10.4463,10.8834,0,0
PBX,PE,D,20151210,000000,10.9714,10.9714,10.4463,10.7093,0,0
PBX,PE,D,20151211,000000,10.8834,10.8834,10.3573,10.7093,0,0
PBX,PE,D,20151214,000000,10.7093,10.7093,10.2693,10.5333,0,0
PBX,PE,D,20151215,000000,10.7093,10.7093,10.0942,10.6213,0,0
PBX,PE,D,20151216,000000,10.7093,10.7964,10.7093,10.7964,0,0
PBX,PE,D,20151217,000000,10.7964,10.7964,10.7964,10.7964,0,0
PBX,PE,D,20151218,000000,10.3573,10.5333,10.0062,10.5333,0,0
PBX,PE,D,20151221,000000,10.7093,10.7093,10.2693,10.2693,0,0
PBX,PE,D,20151222,000000,10.6213,10.6213,10.1823,10.2693,0,0
PBX,PE,D,20151223,000000,10.5333,10.5333,10.1823,10.4463,0,0
PBX,PE,D,20151228,000000,10.4463,10.5333,10.1823,10.5333,0,0
PBX,PE,D,20151229,000000,10.4463,10.5333,10.4463,10.5333,0,0
PBX,PE,D,20151230,000000,10.6213,10.6213,10.0062,10.4463,0,0
PBX,PE,D,20160104,000000,10.7964,10.7964,10.2693,10.5333,0,0
PBX,PE,D,20160105,000000,10.0942,10.4463,10.0942,10.4463,0,0
PBX,PE,D,20160111,000000,10.0942,10.0942,9.12914,9.74322,0,0
PBX,PE,D,20160112,000000,10.1823,10.1823,9.56722,9.56722,0,0
PBX,PE,D,20160113,000000,9.91923,9.91923,9.30417,9.56722,0,0
PBX,PE,D,20160114,000000,9.39121,9.39121,9.39121,9.39121,0,0
PBX,PE,D,20160115,000000,9.47921,9.91923,9.30417,9.91923,0,0
PBX,PE,D,20160118,000000,9.83025,9.83025,9.56722,9.74322,0,0
PBX,PE,D,20160119,000000,9.74322,9.74322,9.74322,9.74322,0,0
PBX,PE,D,20160120,000000,9.74322,9.74322,9.74322,9.74322,0,0
PBX,PE,D,20160121,000000,9.30417,9.56722,9.30417,9.56722,0,0
PBX,PE,D,20160122,000000,9.74322,9.74322,9.21714,9.30417,0,0
PBX,PE,D,20160125,000000,9.74322,9.74322,9.39121,9.74322,0,0
PBX,PE,D,20160126,000000,9.74322,9.74322,9.21714,9.39121,0,0
PBX,PE,D,20160127,000000,8.95303,9.47921,8.95303,9.39121,0,0
PBX,PE,D,20160128,000000,9.39121,9.39121,8.86513,9.30417,0,0
PBX,PE,D,20160129,000000,8.86513,9.39121,8.86513,9.30417,0,0
PBX,PE,D,20160201,000000,8.86513,9.21714,8.42694,8.60228,0,0
PBX,PE,D,20160202,000000,8.60228,9.12914,8.51476,9.12914,0,0
PBX,PE,D,20160203,000000,9.21714,9.21714,8.51476,9.04142,0,0
PBX,PE,D,20160204,000000,8.33875,9.04142,8.33875,9.04142,0,0
PBX,PE,D,20160205,000000,9.04142,9.04142,8.77779,9.04142,0,0
PBX,PE,D,20160208,000000,9.04142,9.04142,8.51476,9.04142,0,0
PBX,PE,D,20160209,000000,9.04142,9.04142,8.86513,8.86513,0,0
PBX,PE,D,20160210,000000,8.86513,9.04142,8.86513,9.04142,0,0
PBX,PE,D,20160211,000000,8.95303,9.12914,8.77779,9.04142,0,0
PBX,PE,D,20160212,000000,8.69028,9.12914,8.69028,9.12914,0,0
PBX,PE,D,20160215,000000,9.12914,9.56722,9.12914,9.47921,0,0
PBX,PE,D,20160216,000000,9.30417,9.47921,8.69028,9.30417,0,0
PBX,PE,D,20160217,000000,9.12914,9.30417,9.04142,9.12914,0,0
PBX,PE,D,20160218,000000,9.39121,9.39121,9.30417,9.30417,0,0
PBX,PE,D,20160219,000000,9.30417,9.39121,9.30417,9.39121,0,0
PBX,PE,D,20160222,000000,9.56722,9.56722,9.30417,9.39121,0,0
PBX,PE,D,20160223,000000,9.39121,9.39121,8.95303,9.39121,0,0
PBX,PE,D,20160224,000000,9.39121,9.39121,9.04142,9.39121,0,0
PBX,PE,D,20160225,000000,9.04142,9.30417,9.04142,9.30417,0,0
PBX,PE,D,20160226,000000,9.21714,9.39121,9.21714,9.39121,0,0
PBX,PE,D,20160229,000000,9.39121,9.39121,9.04142,9.21714,0,0
PBX,PE,D,20160301,000000,9.47921,9.65522,9.30417,9.65522,0,0
PBX,PE,D,20160302,000000,9.65522,9.74322,9.12914,9.74322,0,0
PBX,PE,D,20160303,000000,9.74322,9.74322,9.47921,9.65522,0,0
PBX,PE,D,20160304,000000,9.65522,9.65522,9.30417,9.56722,0,0
PBX,PE,D,20160307,000000,9.74322,9.74322,9.47921,9.65522,0,0
PBX,PE,D,20160308,000000,9.65522,9.65522,9.47921,9.65522,0,0
PBX,PE,D,20160309,000000,9.47921,9.65522,9.47921,9.65522,0,0
PBX,PE,D,20160310,000000,9.65522,10.0062,9.56722,10.0062,0,0
PBX,PE,D,20160311,000000,10.0062,10.3573,10.0062,10.2693,0,0
PBX,PE,D,20160314,000000,10.2693,10.3573,10.1823,10.1823,0,0
PBX,PE,D,20160315,000000,10.1823,10.4463,10.0062,10.4463,0,0
PBX,PE,D,20160316,000000,10.4463,10.6213,10.3573,10.4463,0,0
PBX,PE,D,20160317,000000,10.5333,10.7964,10.5333,10.7964,0,0
PBX,PE,D,20160318,000000,10.5333,10.7964,10.5333,10.7093,0,0
PBX,PE,D,20160321,000000,10.7093,10.7964,10.7093,10.7964,0,0
PBX,PE,D,20160322,000000,10.7964,10.7964,9.74322,10.6213,0,0
PBX,PE,D,20160323,000000,10.7964,10.7964,10.6213,10.6213,0,0
PBX,PE,D,20160324,000000,10.6213,10.7093,10.6213,10.7093,0,0
PBX,PE,D,20160329,000000,10.7093,10.8834,10.4463,10.7964,0,0
PBX,PE,D,20160330,000000,10.7964,11.0604,10.7964,11.0604,0,0
PBX,PE,D,20160331,000000,11.0604,11.1484,10.7964,11.0604,0,0
PBX,PE,D,20160401,000000,10.9714,11.4114,10.9714,11.3244,0,0
PBX,PE,D,20160404,000000,11.3244,11.3244,11.3244,11.3244,0,0
PBX,PE,D,20160405,000000,11.1484,11.1484,11.1484,11.1484,0,0
