<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCR,MV,D,20140625,000000,264.97,264.97,264.97,264.97,0,0
PCR,MV,D,20140626,000000,265.778,278.484,265.778,274.714,0,0
PCR,MV,D,20140627,000000,275.352,276.467,275.284,275.99,0,0
PCR,MV,D,20140630,000000,276.161,279.59,276.161,278.076,0,0
PCR,MV,D,20140701,000000,278.952,278.952,275.676,275.676,0,0
PCR,MV,D,20140702,000000,276.876,276.876,270.569,271.684,0,0
PCR,MV,D,20140703,000000,271.684,271.684,269.446,271.684,0,0
PCR,MV,D,20140704,000000,271.684,279.667,271.684,279.667,0,0
PCR,MV,D,20140707,000000,279.59,279.59,271.684,271.684,0,0
PCR,MV,D,20140708,000000,271.684,271.684,271.684,271.684,0,0
PCR,MV,D,20140709,000000,271.131,271.131,270.569,270.569,0,0
PCR,MV,D,20140710,000000,270.569,270.569,268.561,268.561,0,0
PCR,MV,D,20140711,000000,268.484,268.484,267.684,268.484,0,0
PCR,MV,D,20140714,000000,269.999,270.084,269.999,270.084,0,0
PCR,MV,D,20140715,000000,268.561,271.684,268.561,271.684,0,0
PCR,MV,D,20140716,000000,271.684,271.684,269.284,269.284,0,0
PCR,MV,D,20140717,000000,268.638,270.084,266.884,270.084,0,0
PCR,MV,D,20140718,000000,266.17,266.17,266.084,266.084,0,0
PCR,MV,D,20140721,000000,268.246,269.199,266.476,266.476,0,0
PCR,MV,D,20140722,000000,266.476,269.199,266.476,269.199,0,0
PCR,MV,D,20140723,000000,269.284,269.284,266.084,266.084,0,0
PCR,MV,D,20140725,000000,268.408,268.408,262.893,263.693,0,0
PCR,MV,D,20140728,000000,265.293,268.408,265.293,268.408,0,0
PCR,MV,D,20140729,000000,269.199,269.284,268.084,269.199,0,0
PCR,MV,D,20140730,000000,268.408,268.484,268.408,268.484,0,0
PCR,MV,D,20140731,000000,268.484,268.484,268.484,268.484,0,0
PCR,MV,D,20140801,000000,268.331,291.309,266.084,291.309,0,0
PCR,MV,D,20140804,000000,291.828,291.828,290.526,291.564,0,0
PCR,MV,D,20140805,000000,291.394,291.394,289.667,290.101,0,0
PCR,MV,D,20140806,000000,290.101,290.101,286.611,287.658,0,0
PCR,MV,D,20140807,000000,286.535,287.309,284.007,286.611,0,0
PCR,MV,D,20140808,000000,286.535,287.139,282.28,287.139,0,0
PCR,MV,D,20140811,000000,284.45,289.224,284.45,288.96,0,0
PCR,MV,D,20140812,000000,289.139,289.139,287.233,289.139,0,0
PCR,MV,D,20140813,000000,289.139,289.139,287.309,288.271,0,0
PCR,MV,D,20140814,000000,290.101,290.101,287.233,289.054,0,0
PCR,MV,D,20140818,000000,290.101,290.101,288.62,289.224,0,0
PCR,MV,D,20140819,000000,287.411,289.224,287.411,289.224,0,0
PCR,MV,D,20140820,000000,289.224,289.224,287.309,287.309,0,0
PCR,MV,D,20140821,000000,289.054,289.054,287.233,288.365,0,0
PCR,MV,D,20140822,000000,288.365,288.365,287.233,287.233,0,0
PCR,MV,D,20140825,000000,288.705,289.224,288.62,289.224,0,0
PCR,MV,D,20140826,000000,289.139,289.139,287.573,288.365,0,0
PCR,MV,D,20140827,000000,288.186,288.365,287.233,288.186,0,0
PCR,MV,D,20140828,000000,287.233,287.233,268.118,276.637,0,0
PCR,MV,D,20140829,000000,276.459,280.109,273.335,280.109,0,0
PCR,MV,D,20140901,000000,280.109,280.109,270.978,273.582,0,0
PCR,MV,D,20140902,000000,276.637,276.637,270.978,275.939,0,0
PCR,MV,D,20140903,000000,276.025,284.799,273.582,284.799,0,0
PCR,MV,D,20140904,000000,284.799,284.799,284.007,284.007,0,0
PCR,MV,D,20140905,000000,283.76,283.76,283.76,283.76,0,0
PCR,MV,D,20140908,000000,277.931,282.28,277.931,282.28,0,0
