<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCR,PB,D,20140625,000000,0.555555,0.555555,0.555555,0.555555,0,0
PCR,PB,D,20140626,000000,0.555555,0.581852,0.555555,0.573087,0,0
PCR,PB,D,20140627,000000,0.577427,0.577427,0.577427,0.577427,0,0
PCR,PB,D,20140630,000000,0.577427,0.586193,0.577427,0.581852,0,0
PCR,PB,D,20140701,000000,0.581852,0.581852,0.577427,0.577427,0,0
PCR,PB,D,20140702,000000,0.577427,0.577427,0.564321,0.568746,0,0
PCR,PB,D,20140703,000000,0.568746,0.568746,0.564321,0.568746,0,0
PCR,PB,D,20140704,000000,0.568746,0.586193,0.568746,0.586193,0,0
PCR,PB,D,20140707,000000,0.586193,0.586193,0.568746,0.568746,0,0
PCR,PB,D,20140708,000000,0.568746,0.568746,0.568746,0.568746,0,0
PCR,PB,D,20140709,000000,0.568746,0.568746,0.564321,0.564321,0,0
PCR,PB,D,20140710,000000,0.564321,0.564321,0.559981,0.559981,0,0
PCR,PB,D,20140711,000000,0.559981,0.559981,0.559981,0.559981,0,0
PCR,PB,D,20140714,000000,0.564321,0.564321,0.564321,0.564321,0,0
PCR,PB,D,20140715,000000,0.559981,0.568746,0.559981,0.568746,0,0
PCR,PB,D,20140716,000000,0.568746,0.568746,0.564321,0.564321,0,0
PCR,PB,D,20140717,000000,0.559981,0.564321,0.559981,0.564321,0,0
PCR,PB,D,20140718,000000,0.555555,0.555555,0.555555,0.555555,0,0
PCR,PB,D,20140721,000000,0.559981,0.564321,0.555555,0.555555,0,0
PCR,PB,D,20140722,000000,0.555555,0.564321,0.555555,0.564321,0,0
PCR,PB,D,20140723,000000,0.564321,0.564321,0.555555,0.555555,0,0
PCR,PB,D,20140725,000000,0.559981,0.559981,0.551215,0.551215,0,0
PCR,PB,D,20140728,000000,0.555555,0.559981,0.555555,0.559981,0,0
PCR,PB,D,20140729,000000,0.564321,0.564321,0.559981,0.564321,0,0
PCR,PB,D,20140730,000000,0.559981,0.559981,0.559981,0.559981,0,0
PCR,PB,D,20140731,000000,0.559981,0.559981,0.559981,0.559981,0,0
PCR,PB,D,20140801,000000,0.559981,0.608064,0.555555,0.608064,0,0
PCR,PB,D,20140804,000000,0.612575,0.612575,0.608064,0.608064,0,0
PCR,PB,D,20140805,000000,0.608064,0.608064,0.603724,0.608064,0,0
PCR,PB,D,20140806,000000,0.608064,0.608064,0.599384,0.603724,0,0
PCR,PB,D,20140807,000000,0.599384,0.599384,0.594958,0.599384,0,0
PCR,PB,D,20140808,000000,0.599384,0.599384,0.590618,0.599384,0,0
PCR,PB,D,20140811,000000,0.594958,0.603724,0.594958,0.603724,0,0
PCR,PB,D,20140812,000000,0.603724,0.603724,0.599384,0.603724,0,0
PCR,PB,D,20140813,000000,0.603724,0.603724,0.599384,0.603724,0,0
PCR,PB,D,20140814,000000,0.608064,0.608064,0.599384,0.603724,0,0
PCR,PB,D,20140818,000000,0.608064,0.608064,0.603724,0.603724,0,0
PCR,PB,D,20140819,000000,0.599384,0.603724,0.599384,0.603724,0,0
PCR,PB,D,20140820,000000,0.603724,0.603724,0.599384,0.599384,0,0
PCR,PB,D,20140821,000000,0.603724,0.603724,0.599384,0.603724,0,0
PCR,PB,D,20140822,000000,0.603724,0.603724,0.599384,0.599384,0,0
PCR,PB,D,20140825,000000,0.603724,0.603724,0.603724,0.603724,0,0
PCR,PB,D,20140826,000000,0.603724,0.603724,0.599384,0.603724,0,0
PCR,PB,D,20140827,000000,0.603724,0.603724,0.599384,0.603724,0,0
PCR,PB,D,20140828,000000,0.599384,0.599384,0.507472,0.507472,0,0
PCR,PB,D,20140829,000000,0.507472,0.516323,0.503132,0.516323,0,0
PCR,PB,D,20140901,000000,0.516323,0.516323,0.498791,0.503132,0,0
PCR,PB,D,20140902,000000,0.507472,0.507472,0.498791,0.507472,0,0
PCR,PB,D,20140903,000000,0.507472,0.524918,0.503132,0.524918,0,0
PCR,PB,D,20140904,000000,0.524918,0.524918,0.520663,0.520663,0,0
PCR,PB,D,20140905,000000,0.520663,0.520663,0.520663,0.520663,0,0
PCR,PB,D,20140908,000000,0.511812,0.520663,0.511812,0.520663,0,0
PCR,PB,D,20140909,000000,0.520663,0.520663,0.511812,0.520663,0,0
PCR,PB,D,20140910,000000,0.520663,0.520663,0.516323,0.520663,0,0
PCR,PB,D,20140911,000000,0.520663,0.520663,0.511812,0.516323,0,0
PCR,PB,D,20140912,000000,0.516323,0.516323,0.507472,0.511812,0,0
PCR,PB,D,20140915,000000,0.516323,0.516323,0.511812,0.511812,0,0
PCR,PB,D,20140916,000000,0.516323,0.516323,0.507472,0.511812,0,0
PCR,PB,D,20140917,000000,0.511812,0.516323,0.507472,0.516323,0,0
PCR,PB,D,20140918,000000,0.511812,0.511812,0.511812,0.511812,0,0
PCR,PB,D,20140919,000000,0.507472,0.516323,0.507472,0.516323,0,0
PCR,PB,D,20140922,000000,0.511812,0.520663,0.511812,0.520663,0,0
PCR,PB,D,20140923,000000,0.520663,0.520663,0.520663,0.520663,0,0
PCR,PB,D,20140924,000000,0.520663,0.520663,0.511812,0.511812,0,0
PCR,PB,D,20140925,000000,0.511812,0.520663,0.511812,0.520663,0,0
PCR,PB,D,20140926,000000,0.520663,0.520663,0.520663,0.520663,0,0
PCR,PB,D,20140929,000000,0.520663,0.520663,0.516323,0.520663,0,0
PCR,PB,D,20140930,000000,0.520663,0.520663,0.516323,0.520663,0,0
PCR,PB,D,20141001,000000,0.511812,0.511812,0.511812,0.511812,0,0
PCR,PB,D,20141002,000000,0.511812,0.533684,0.511812,0.533684,0,0
PCR,PB,D,20141003,000000,0.533684,0.533684,0.529429,0.533684,0,0
PCR,PB,D,20141006,000000,0.533684,0.542449,0.533684,0.542449,0,0
PCR,PB,D,20141007,000000,0.542449,0.542449,0.542449,0.542449,0,0
PCR,PB,D,20141008,000000,0.542449,0.542449,0.538024,0.542449,0,0
PCR,PB,D,20141009,000000,0.542449,0.542449,0.538024,0.542449,0,0
PCR,PB,D,20141010,000000,0.538024,0.538024,0.538024,0.538024,0,0
PCR,PB,D,20141013,000000,0.542449,0.542449,0.542449,0.542449,0,0
PCR,PB,D,20141014,000000,0.542449,0.542449,0.533684,0.542449,0,0
PCR,PB,D,20141015,000000,0.542449,0.542449,0.538024,0.538024,0,0
PCR,PB,D,20141016,000000,0.538024,0.542449,0.538024,0.542449,0,0
PCR,PB,D,20141017,000000,0.542449,0.542449,0.542449,0.542449,0,0
PCR,PB,D,20141020,000000,0.542449,0.542449,0.538024,0.542449,0,0
PCR,PB,D,20141021,000000,0.542449,0.542449,0.538024,0.542449,0,0
PCR,PB,D,20141022,000000,0.542449,0.542449,0.538024,0.542449,0,0
PCR,PB,D,20141023,000000,0.542449,0.542449,0.542449,0.542449,0,0
PCR,PB,D,20141024,000000,0.54679,0.54679,0.542449,0.542449,0,0
PCR,PB,D,20141027,000000,0.542449,0.54679,0.542449,0.54679,0,0
PCR,PB,D,20141028,000000,0.54679,0.54679,0.542449,0.54679,0,0
PCR,PB,D,20141029,000000,0.54679,0.54679,0.538024,0.542449,0,0
