<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCX,PB,D,20120920,000000,1.49934,1.49934,1.49934,1.49934,0,0
PCX,PB,D,20120921,000000,1.49934,1.49934,1.43643,1.49934,0,0
PCX,PB,D,20120924,000000,1.50625,1.51315,1.50625,1.51315,0,0
PCX,PB,D,20120925,000000,1.51315,1.51315,1.49934,1.49934,0,0
PCX,PB,D,20120926,000000,1.48534,1.53425,1.48534,1.53425,0,0
PCX,PB,D,20120927,000000,1.53425,1.53425,1.52025,1.52715,0,0
PCX,PB,D,20120928,000000,1.52715,1.56196,1.52715,1.56196,0,0
PCX,PB,D,20121001,000000,1.56196,1.56196,1.55506,1.56196,0,0
PCX,PB,D,20121002,000000,1.56896,1.56896,1.51315,1.56896,0,0
PCX,PB,D,20121003,000000,1.56896,1.60387,1.56896,1.58997,0,0
PCX,PB,D,20121004,000000,1.60387,1.60387,1.58997,1.60387,0,0
PCX,PB,D,20121005,000000,1.60387,1.61077,1.59687,1.60387,0,0
PCX,PB,D,20121008,000000,1.60387,1.63878,1.56896,1.63878,0,0
PCX,PB,D,20121009,000000,1.63878,1.63878,1.63878,1.63878,0,0
PCX,PB,D,20121010,000000,1.63878,1.63878,1.60387,1.60387,0,0
PCX,PB,D,20121011,000000,1.61787,1.65968,1.60387,1.65258,0,0
PCX,PB,D,20121012,000000,1.65968,1.92455,1.64578,1.92455,0,0
PCX,PB,D,20121015,000000,1.95955,1.95955,1.92455,1.95955,0,0
PCX,PB,D,20121016,000000,1.95955,2.07108,1.95955,2.07108,0,0
PCX,PB,D,20121017,000000,2.1408,2.31523,2.1408,2.30823,0,0
PCX,PB,D,20121018,000000,2.30823,2.42686,2.28033,2.42686,0,0
PCX,PB,D,20121019,000000,2.42686,2.42686,2.32923,2.32923,0,0
PCX,PB,D,20121022,000000,2.26652,2.56629,2.26652,2.56629,0,0
PCX,PB,D,20121023,000000,2.56629,2.65001,2.32204,2.56629,0,0
PCX,PB,D,20121024,000000,2.615,2.71272,2.615,2.69863,0,0
PCX,PB,D,20121025,000000,2.71272,2.73353,2.70563,2.72663,0,0
PCX,PB,D,20121026,000000,2.74753,2.83125,2.74044,2.83125,0,0
PCX,PB,D,20121029,000000,2.83125,2.87316,2.82425,2.87316,0,0
PCX,PB,D,20121030,000000,2.88697,2.93588,2.88697,2.93588,0,0
PCX,PB,D,20121031,000000,2.93588,3.0474,2.92887,3.0474,0,0
PCX,PB,D,20121102,000000,3.0474,3.08921,3.0403,3.08921,0,0
PCX,PB,D,20121105,000000,3.08921,3.17274,3.08921,3.17274,0,0
PCX,PB,D,20121106,000000,3.17274,3.20084,3.14483,3.19374,0,0
PCX,PB,D,20121107,000000,3.19374,3.19374,2.92168,2.92168,0,0
PCX,PB,D,20121108,000000,2.90787,3.16593,2.46157,3.16593,0,0
PCX,PB,D,20121109,000000,3.16593,3.16593,2.95668,2.99149,0,0
PCX,PB,D,20121112,000000,2.85916,2.92168,2.84506,2.85196,0,0
PCX,PB,D,20121113,000000,2.81715,2.84506,2.71963,2.84506,0,0
PCX,PB,D,20121114,000000,2.84506,2.87316,2.84506,2.87316,0,0
PCX,PB,D,20121115,000000,2.85916,2.87997,2.85916,2.87316,0,0
PCX,PB,D,20121116,000000,2.87316,2.91497,2.87316,2.91497,0,0
PCX,PB,D,20121119,000000,2.90787,2.91497,2.84506,2.90097,0,0
PCX,PB,D,20121120,000000,2.90097,2.90097,2.78244,2.88697,0,0
PCX,PB,D,20121121,000000,2.85196,2.87997,2.71272,2.87997,0,0
PCX,PB,D,20121122,000000,2.85196,2.85196,2.56629,2.67782,0,0
PCX,PB,D,20121123,000000,2.74753,2.74753,2.58019,2.67091,0,0
PCX,PB,D,20121126,000000,2.62891,2.67091,2.55229,2.5942,0,0
PCX,PB,D,20121127,000000,2.5942,2.5942,2.26652,2.26652,0,0
PCX,PB,D,20121128,000000,2.31523,2.31523,1.95255,2.30823,0,0
PCX,PB,D,20121129,000000,2.37104,2.37104,2.30823,2.36395,0,0
PCX,PB,D,20121130,000000,2.32923,2.32923,2.28033,2.30823,0,0
PCX,PB,D,20121203,000000,2.34304,2.34304,2.23142,2.23142,0,0
PCX,PB,D,20121204,000000,2.26652,2.26652,2.1547,2.19651,0,0
PCX,PB,D,20121205,000000,2.21751,2.21751,2.1547,2.1547,0,0
PCX,PB,D,20121206,000000,2.21751,2.33614,2.09189,2.33614,0,0
PCX,PB,D,20121207,000000,2.33614,2.56629,2.33614,2.56629,0,0
PCX,PB,D,20121210,000000,2.6081,2.6081,2.601,2.601,0,0
PCX,PB,D,20121211,000000,2.6081,2.6081,2.5942,2.5942,0,0
