<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEO,MV,D,20070813,000000,20309.2,20309.2,20309.2,20309.2,0,0
PEO,MV,D,20070814,000000,19979.7,19979.7,19979.7,19979.7,0,0
PEO,MV,D,20070816,000000,18949.7,18949.7,18949.7,18949.7,0,0
PEO,MV,D,20070817,000000,19213.4,19213.4,19213.4,19213.4,0,0
PEO,MV,D,20070820,000000,19089.9,19089.9,19089.9,19089.9,0,0
PEO,MV,D,20070821,000000,19279.4,19279.4,19279.4,19279.4,0,0
PEO,MV,D,20070822,000000,19872.6,19872.6,19872.6,19872.6,0,0
PEO,MV,D,20070823,000000,19996.1,19996.1,19996.1,19996.1,0,0
PEO,MV,D,20070824,000000,20103.2,20103.2,20103.2,20103.2,0,0
PEO,MV,D,20070827,000000,19567.7,19567.7,19567.7,19567.7,0,0
PEO,MV,D,20070828,000000,19271.1,19271.1,19271.1,19271.1,0,0
PEO,MV,D,20070829,000000,19773.6,19773.6,19773.6,19773.6,0,0
PEO,MV,D,20070830,000000,19279.4,19279.4,19279.4,19279.4,0,0
PEO,MV,D,20070831,000000,20185.6,20185.6,20185.6,20185.6,0,0
PEO,MV,D,20070903,000000,19905.6,19905.6,19905.6,19905.6,0,0
PEO,MV,D,20070904,000000,20103.2,20103.2,20103.2,20103.2,0,0
PEO,MV,D,20070905,000000,19526.5,19526.5,19526.5,19526.5,0,0
PEO,MV,D,20070906,000000,19155.8,19155.8,19155.8,19155.8,0,0
PEO,MV,D,20070907,000000,19361.7,19361.7,19361.7,19361.7,0,0
PEO,MV,D,20070910,000000,18826.2,18826.2,18826.2,18826.2,0,0
PEO,MV,D,20070911,000000,19114.6,19114.6,19114.6,19114.6,0,0
PEO,MV,D,20070912,000000,19674.9,19674.9,19674.9,19674.9,0,0
PEO,MV,D,20070913,000000,20268.1,20268.1,20268.1,20268.1,0,0
PEO,MV,D,20070914,000000,20062.1,20062.1,20062.1,20062.1,0,0
PEO,MV,D,20070917,000000,20103.2,20103.2,20103.2,20103.2,0,0
PEO,MV,D,20070918,000000,20259.8,20259.8,20259.8,20259.8,0,0
