<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEO,PB,D,20070813,000000,2.48973,2.48973,2.48973,2.48973,0,0
PEO,PB,D,20070814,000000,2.44824,2.44824,2.44824,2.44824,0,0
PEO,PB,D,20070816,000000,2.32403,2.32403,2.32403,2.32403,0,0
PEO,PB,D,20070817,000000,2.35511,2.35511,2.35511,2.35511,0,0
PEO,PB,D,20070820,000000,2.33948,2.33948,2.33948,2.33948,0,0
PEO,PB,D,20070821,000000,2.36013,2.36013,2.36013,2.36013,0,0
PEO,PB,D,20070822,000000,2.43792,2.43792,2.43792,2.43792,0,0
PEO,PB,D,20070823,000000,2.44824,2.44824,2.44824,2.44824,0,0
PEO,PB,D,20070824,000000,2.46369,2.46369,2.46369,2.46369,0,0
PEO,PB,D,20070827,000000,2.39642,2.39642,2.39642,2.39642,0,0
PEO,PB,D,20070828,000000,2.36013,2.36013,2.36013,2.36013,0,0
PEO,PB,D,20070829,000000,2.42237,2.42237,2.42237,2.42237,0,0
PEO,PB,D,20070830,000000,2.36535,2.36535,2.36535,2.36535,0,0
PEO,PB,D,20070831,000000,2.47923,2.47923,2.47923,2.47923,0,0
PEO,PB,D,20070903,000000,2.44304,2.44304,2.44304,2.44304,0,0
PEO,PB,D,20070904,000000,2.46908,2.46908,2.46908,2.46908,0,0
PEO,PB,D,20070905,000000,2.39642,2.39642,2.39642,2.39642,0,0
PEO,PB,D,20070906,000000,2.34998,2.34998,2.34998,2.34998,0,0
PEO,PB,D,20070907,000000,2.37576,2.37576,2.37576,2.37576,0,0
PEO,PB,D,20070910,000000,2.31388,2.31388,2.31388,2.31388,0,0
PEO,PB,D,20070911,000000,2.34478,2.34478,2.34478,2.34478,0,0
PEO,PB,D,20070912,000000,2.41717,2.41717,2.41717,2.41717,0,0
PEO,PB,D,20070913,000000,2.48973,2.48973,2.48973,2.48973,0,0
PEO,PB,D,20070914,000000,2.46369,2.46369,2.46369,2.46369,0,0
PEO,PB,D,20070917,000000,2.46908,2.46908,2.46908,2.46908,0,0
PEO,PB,D,20070918,000000,2.48973,2.48973,2.48973,2.48973,0,0
PEO,PB,D,20070919,000000,2.61889,2.61889,2.61889,2.61889,0,0
PEO,PB,D,20070920,000000,2.60875,2.60875,2.60875,2.60875,0,0
PEO,PB,D,20070921,000000,2.62436,2.62436,2.62436,2.62436,0,0
PEO,PB,D,20070924,000000,2.54668,2.54668,2.54668,2.54668,0,0
PEO,PB,D,20070925,000000,2.50528,2.50528,2.50528,2.50528,0,0
PEO,PB,D,20070926,000000,2.52072,2.52072,2.52072,2.52072,0,0
PEO,PB,D,20070927,000000,2.52593,2.52593,2.52593,2.52593,0,0
PEO,PB,D,20070928,000000,2.48443,2.48443,2.48443,2.48443,0,0
PEO,PB,D,20071001,000000,2.53106,2.53106,2.53106,2.53106,0,0
PEO,PB,D,20071002,000000,2.56204,2.56204,2.56204,2.56204,0,0
PEO,PB,D,20071003,000000,2.53626,2.53626,2.53626,2.53626,0,0
PEO,PB,D,20071004,000000,2.5518,2.5518,2.5518,2.5518,0,0
PEO,PB,D,20071005,000000,2.55701,2.55701,2.55701,2.55701,0,0
PEO,PB,D,20071008,000000,2.5932,2.5932,2.5932,2.5932,0,0
PEO,PB,D,20071009,000000,2.67601,2.67601,2.67601,2.67601,0,0
PEO,PB,D,20071010,000000,2.65014,2.65014,2.65014,2.65014,0,0
PEO,PB,D,20071011,000000,2.69155,2.69155,2.69155,2.69155,0,0
PEO,PB,D,20071012,000000,2.66577,2.66577,2.66577,2.66577,0,0
PEO,PB,D,20071015,000000,2.66047,2.66047,2.66047,2.66047,0,0
PEO,PB,D,20071016,000000,2.55701,2.55701,2.55701,2.55701,0,0
PEO,PB,D,20071017,000000,2.54138,2.54138,2.54138,2.54138,0,0
PEO,PB,D,20071018,000000,2.53106,2.53106,2.53106,2.53106,0,0
PEO,PB,D,20071019,000000,2.53106,2.53106,2.53106,2.53106,0,0
PEO,PB,D,20071022,000000,2.53626,2.53626,2.53626,2.53626,0,0
PEO,PB,D,20071023,000000,2.62931,2.62931,2.62931,2.62931,0,0
PEO,PB,D,20071024,000000,2.63461,2.63461,2.63461,2.63461,0,0
PEO,PB,D,20071025,000000,2.67089,2.67089,2.67089,2.67089,0,0
PEO,PB,D,20071026,000000,2.65014,2.65014,2.65014,2.65014,0,0
