<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PJP,MV,D,20070813,000000,166.293,166.293,166.293,166.293,0,0
PJP,MV,D,20070814,000000,158.548,158.548,158.548,158.548,0,0
PJP,MV,D,20070816,000000,128.52,128.52,128.52,128.52,0,0
PJP,MV,D,20070817,000000,139.815,139.815,139.815,139.815,0,0
PJP,MV,D,20070820,000000,146.791,146.791,146.791,146.791,0,0
PJP,MV,D,20070821,000000,132.523,132.523,132.523,132.523,0,0
PJP,MV,D,20070822,000000,138.959,138.959,138.959,138.959,0,0
PJP,MV,D,20070823,000000,140.2,140.2,140.2,140.2,0,0
PJP,MV,D,20070824,000000,140.98,140.98,140.98,140.98,0,0
PJP,MV,D,20070827,000000,147.993,147.993,147.993,147.993,0,0
PJP,MV,D,20070828,000000,145.482,145.482,145.482,145.482,0,0
PJP,MV,D,20070829,000000,151.505,151.505,151.505,151.505,0,0
PJP,MV,D,20070830,000000,155.796,155.796,155.796,155.796,0,0
PJP,MV,D,20070831,000000,163.58,163.58,163.58,163.58,0,0
PJP,MV,D,20070903,000000,169.42,169.42,169.42,169.42,0,0
PJP,MV,D,20070904,000000,184.333,184.333,184.333,184.333,0,0
PJP,MV,D,20070905,000000,186.17,186.17,186.17,186.17,0,0
PJP,MV,D,20070906,000000,185.757,185.757,185.757,185.757,0,0
PJP,MV,D,20070907,000000,172.143,172.143,172.143,172.143,0,0
PJP,MV,D,20070910,000000,169.218,169.218,169.218,169.218,0,0
PJP,MV,D,20070911,000000,173.095,173.095,173.095,173.095,0,0
PJP,MV,D,20070912,000000,171.363,171.363,171.363,171.363,0,0
PJP,MV,D,20070913,000000,175.26,175.26,175.26,175.26,0,0
PJP,MV,D,20070914,000000,177.203,177.203,177.203,177.203,0,0
PJP,MV,D,20070917,000000,171.363,171.363,171.363,171.363,0,0
PJP,MV,D,20070918,000000,174.481,174.481,174.481,174.481,0,0
PJP,MV,D,20070919,000000,178.194,178.194,178.194,178.194,0,0
PJP,MV,D,20070920,000000,177.203,177.203,177.203,177.203,0,0
PJP,MV,D,20070921,000000,178.348,178.348,178.348,178.348,0,0
PJP,MV,D,20070924,000000,174.481,174.481,174.481,174.481,0,0
PJP,MV,D,20070925,000000,169.814,169.814,169.814,169.814,0,0
PJP,MV,D,20070926,000000,173.268,173.268,173.268,173.268,0,0
PJP,MV,D,20070927,000000,173.268,173.268,173.268,173.268,0,0
PJP,MV,D,20070928,000000,168.246,168.246,168.246,168.246,0,0
PJP,MV,D,20071001,000000,165.716,165.716,165.716,165.716,0,0
PJP,MV,D,20071002,000000,165.331,165.331,165.331,165.331,0,0
PJP,MV,D,20071003,000000,164.619,164.619,164.619,164.619,0,0
PJP,MV,D,20071004,000000,163.58,163.58,163.58,163.58,0,0
PJP,MV,D,20071005,000000,170.584,170.584,170.584,170.584,0,0
PJP,MV,D,20071008,000000,173.317,173.317,173.317,173.317,0,0
PJP,MV,D,20071009,000000,175.077,175.077,175.077,175.077,0,0
PJP,MV,D,20071010,000000,168.208,168.208,168.208,168.208,0,0
PJP,MV,D,20071011,000000,177.964,177.964,177.964,177.964,0,0
PJP,MV,D,20071012,000000,175.26,175.26,175.26,175.26,0,0
PJP,MV,D,20071015,000000,181.504,181.504,181.504,181.504,0,0
PJP,MV,D,20071016,000000,182.043,182.043,182.043,182.043,0,0
PJP,MV,D,20071017,000000,183.063,183.063,183.063,183.063,0,0
PJP,MV,D,20071018,000000,186.132,186.132,186.132,186.132,0,0
PJP,MV,D,20071019,000000,185.757,185.757,185.757,185.757,0,0
PJP,MV,D,20071022,000000,177.598,177.598,177.598,177.598,0,0
PJP,MV,D,20071023,000000,173.701,173.701,173.701,173.701,0,0
PJP,MV,D,20071024,000000,175.857,175.857,175.857,175.857,0,0
PJP,MV,D,20071025,000000,175.857,175.857,175.857,175.857,0,0
PJP,MV,D,20071026,000000,175.26,175.26,175.26,175.26,0,0
PJP,MV,D,20071029,000000,172.922,172.922,172.922,172.922,0,0
PJP,MV,D,20071030,000000,171.816,171.816,171.816,171.816,0,0
PJP,MV,D,20071031,000000,175.077,175.077,175.077,175.077,0,0
PJP,MV,D,20071102,000000,164.946,164.946,164.946,164.946,0,0
PJP,MV,D,20071105,000000,159.606,159.606,159.606,159.606,0,0
PJP,MV,D,20071106,000000,146.05,146.05,146.05,146.05,0,0
PJP,MV,D,20071107,000000,141.961,141.961,141.961,141.961,0,0
PJP,MV,D,20071108,000000,136.756,136.756,136.756,136.756,0,0
PJP,MV,D,20071109,000000,136.756,140.2,127.125,127.125,0,0
PJP,MV,D,20071112,000000,124.45,132.426,120.765,124.325,0,0
PJP,MV,D,20071113,000000,124.45,126.394,120.737,126.394,0,0
PJP,MV,D,20071114,000000,128.52,128.52,116.83,118.745,0,0
PJP,MV,D,20071115,000000,116.503,118.745,109.056,109.056,0,0
PJP,MV,D,20071116,000000,111,111,109.056,111,0,0
PJP,MV,D,20071119,000000,119.957,119.957,110.605,115.291,0,0
PJP,MV,D,20071120,000000,113.348,116.446,110.605,116.378,0,0
PJP,MV,D,20071121,000000,118.591,118.591,116.83,116.83,0,0
PJP,MV,D,20071122,000000,116.83,121.131,116.83,121.131,0,0
PJP,MV,D,20071123,000000,122.642,132.263,120.737,132.263,0,0
PJP,MV,D,20071126,000000,140.018,140.018,128.52,128.52,0,0
PJP,MV,D,20071127,000000,129.694,133.591,125.413,125.413,0,0
PJP,MV,D,20071128,000000,125.413,128.943,124.633,124.633,0,0
PJP,MV,D,20071129,000000,125.413,132.032,125.413,128.52,0,0
PJP,MV,D,20071130,000000,132.032,137.093,132.032,132.523,0,0
PJP,MV,D,20071203,000000,143.318,143.318,132.426,141.624,0,0
PJP,MV,D,20071204,000000,140.143,141.191,132.619,136.708,0,0
PJP,MV,D,20071205,000000,139.815,146.05,139.469,140.98,0,0
PJP,MV,D,20071206,000000,140.98,146.05,140.98,143.318,0,0
PJP,MV,D,20071207,000000,147.147,155.796,147.147,153.834,0,0
PJP,MV,D,20071210,000000,153.651,162.762,153.42,155.796,0,0
PJP,MV,D,20071211,000000,155.392,161.646,151.9,151.9,0,0
PJP,MV,D,20071212,000000,151.467,155.796,146.05,151.9,0,0
PJP,MV,D,20071213,000000,151.9,160.703,151.9,156.162,0,0
PJP,MV,D,20071214,000000,158.182,158.182,150.736,150.736,0,0
PJP,MV,D,20071217,000000,150.331,154.776,146.05,151.938,0,0
PJP,MV,D,20071218,000000,151.9,155.748,147.993,153.834,0,0
PJP,MV,D,20071219,000000,155.748,157.74,147.993,147.993,0,0
PJP,MV,D,20071220,000000,147.993,153.834,147.993,152.362,0,0
PJP,MV,D,20071221,000000,152.362,156.96,152.362,155.796,0,0
PJP,MV,D,20071227,000000,155.796,155.796,153.304,153.834,0,0
PJP,MV,D,20071228,000000,155.392,155.796,151.9,151.9,0,0
PJP,MV,D,20080102,000000,155.373,155.748,155.373,155.604,0,0
PJP,MV,D,20080103,000000,153.834,153.834,151.938,153.834,0,0
PJP,MV,D,20080104,000000,155.392,155.392,151.9,153.834,0,0
PJP,MV,D,20080107,000000,152.275,152.275,148.782,151.9,0,0
PJP,MV,D,20080108,000000,150.331,151.9,147.416,151.9,0,0
PJP,MV,D,20080109,000000,146.05,146.05,140.248,145.146,0,0
PJP,MV,D,20080110,000000,147.57,147.57,138.651,144.097,0,0
PJP,MV,D,20080111,000000,134.553,140.2,130.473,139.681,0,0
PJP,MV,D,20080114,000000,132.811,132.811,132.811,132.811,0,0
PJP,MV,D,20080115,000000,136.323,136.323,126.692,128.52,0,0
PJP,MV,D,20080116,000000,124.585,124.585,121.603,124.537,0,0
PJP,MV,D,20080117,000000,124.633,132.032,124.633,128.52,0,0
PJP,MV,D,20080118,000000,131.83,135.544,130.473,135.544,0,0
PJP,MV,D,20080121,000000,132.426,132.426,126.201,130.473,0,0
PJP,MV,D,20080122,000000,124.71,139.431,124.71,139.431,0,0
PJP,MV,D,20080123,000000,144.097,144.097,136.323,139.402,0,0
PJP,MV,D,20080124,000000,143.674,147.214,143.674,146.05,0,0
PJP,MV,D,20080125,000000,137.093,146.829,137.093,145.271,0,0
PJP,MV,D,20080128,000000,140.2,144.097,140.2,144.097,0,0
PJP,MV,D,20080129,000000,146.454,147.907,146.454,147.907,0,0
PJP,MV,D,20080130,000000,149.09,149.09,144.097,147.993,0,0
PJP,MV,D,20080131,000000,149.09,151.9,147.993,150.736,0,0
PJP,MV,D,20080201,000000,153.449,153.449,148.782,151.9,0,0
PJP,MV,D,20080204,000000,152.487,155.796,152.487,155.796,0,0
PJP,MV,D,20080205,000000,155.748,155.748,153.054,155.44,0,0
PJP,MV,D,20080206,000000,147.993,153.834,147.993,153.834,0,0
PJP,MV,D,20080207,000000,153.834,155.71,148.782,155.565,0,0
PJP,MV,D,20080208,000000,155.392,155.392,148.888,151.9,0,0
PJP,MV,D,20080211,000000,155.71,155.71,146.05,155.017,0,0
PJP,MV,D,20080212,000000,155.209,155.748,155.209,155.748,0,0
PJP,MV,D,20080213,000000,155.748,155.748,152.275,155.604,0,0
PJP,MV,D,20080214,000000,153.834,155.604,148.388,155.604,0,0
PJP,MV,D,20080215,000000,151.9,154.517,151.9,154.517,0,0
PJP,MV,D,20080218,000000,154.517,155.017,153.834,155.017,0,0
PJP,MV,D,20080219,000000,152.006,154.825,151.9,154.776,0,0
PJP,MV,D,20080220,000000,149.398,153.834,148.032,153.834,0,0
PJP,MV,D,20080221,000000,153.834,154.825,151.9,154.825,0,0
PJP,MV,D,20080222,000000,154.228,155.392,151.12,155.325,0,0
PJP,MV,D,20080225,000000,155.392,155.392,155.325,155.392,0,0
PJP,MV,D,20080226,000000,155.373,155.604,151.9,155.209,0,0
PJP,MV,D,20080227,000000,155.604,155.604,153.93,155.392,0,0
PJP,MV,D,20080228,000000,155.392,155.604,151.9,153.834,0,0
PJP,MV,D,20080229,000000,148.831,152.131,148.831,148.965,0,0
PJP,MV,D,20080303,000000,148.831,148.831,146.05,148.744,0,0
PJP,MV,D,20080304,000000,149.177,149.177,146.454,148.744,0,0
PJP,MV,D,20080305,000000,148.6,148.6,148.388,148.388,0,0
PJP,MV,D,20080306,000000,148.349,148.349,148.282,148.282,0,0
PJP,MV,D,20080307,000000,144.511,147.955,144.511,147.955,0,0
PJP,MV,D,20080310,000000,147.955,147.955,141.961,147.176,0,0
PJP,MV,D,20080311,000000,147.176,148.782,144.097,148.782,0,0
PJP,MV,D,20080312,000000,149.937,149.937,145.271,149.908,0,0
PJP,MV,D,20080313,000000,140.2,149.937,140.2,149.908,0,0
PJP,MV,D,20080314,000000,149.937,149.937,149.908,149.908,0,0
PJP,MV,D,20080317,000000,149.908,149.908,149.745,149.745,0,0
PJP,MV,D,20080318,000000,149.745,149.745,140.835,148.744,0,0
PJP,MV,D,20080319,000000,148.696,148.696,143.828,147.993,0,0
PJP,MV,D,20080320,000000,148.6,148.6,144.097,147.993,0,0
PJP,MV,D,20080325,000000,143.25,148.388,143.25,148.388,0,0
PJP,MV,D,20080326,000000,148.6,151.351,147.214,151.351,0,0
PJP,MV,D,20080327,000000,151.505,151.9,148.455,151.9,0,0
PJP,MV,D,20080328,000000,153.834,153.834,147.993,151.861,0,0
PJP,MV,D,20080331,000000,149.831,149.831,149.831,149.831,0,0
PJP,MV,D,20080401,000000,149.908,149.908,146.098,149.793,0,0
PJP,MV,D,20080402,000000,150.88,150.88,147.022,149.292,0,0
PJP,MV,D,20080403,000000,149.292,149.831,146.05,149.793,0,0
PJP,MV,D,20080404,000000,149.562,149.562,149.36,149.36,0,0
PJP,MV,D,20080407,000000,149.36,149.725,145.117,149.725,0,0
PJP,MV,D,20080408,000000,149.937,149.937,149.36,149.36,0,0
PJP,MV,D,20080409,000000,149.562,149.562,145.482,145.482,0,0
PJP,MV,D,20080410,000000,145.627,149.514,145.482,149.331,0,0
PJP,MV,D,20080411,000000,147.868,147.868,145.675,147.868,0,0
PJP,MV,D,20080414,000000,149.562,149.562,147.993,148.6,0,0
PJP,MV,D,20080415,000000,148.6,148.6,146.05,147.955,0,0
PJP,MV,D,20080416,000000,148.388,148.388,145.627,145.627,0,0
PJP,MV,D,20080417,000000,145.579,147.214,145.579,147.214,0,0
PJP,MV,D,20080418,000000,147.214,147.214,147.022,147.022,0,0
PJP,MV,D,20080421,000000,146.05,146.05,144.289,144.886,0,0
PJP,MV,D,20080422,000000,142.981,142.981,130.473,138.266,0,0
PJP,MV,D,20080423,000000,138.228,138.228,128.607,135.457,0,0
PJP,MV,D,20080424,000000,134.379,135.313,128.761,135.265,0,0
PJP,MV,D,20080425,000000,136.323,137.016,128.607,131.33,0,0
PJP,MV,D,20080428,000000,138.18,138.18,130.983,136.236,0,0
PJP,MV,D,20080429,000000,136.236,136.236,132.811,136.082,0,0
PJP,MV,D,20080430,000000,136.323,140.143,136.323,138.959,0,0
PJP,MV,D,20080505,000000,140.191,140.191,137.487,138.892,0,0
PJP,MV,D,20080506,000000,140.143,140.143,135.13,138.113,0,0
PJP,MV,D,20080507,000000,137.853,137.853,137.728,137.728,0,0
PJP,MV,D,20080508,000000,140.191,140.191,133.668,134.379,0,0
PJP,MV,D,20080509,000000,134.283,134.283,134.254,134.254,0,0
PJP,MV,D,20080512,000000,134.341,137.439,132.426,137.439,0,0
PJP,MV,D,20080513,000000,138.228,138.228,138.18,138.18,0,0
PJP,MV,D,20080514,000000,138.228,138.228,133.196,137.862,0,0
PJP,MV,D,20080515,000000,134.379,137.795,132.426,137.795,0,0
PJP,MV,D,20080516,000000,136.323,136.323,132.773,132.773,0,0
PJP,MV,D,20080519,000000,137.439,137.439,129.348,136.977,0,0
PJP,MV,D,20080520,000000,136.977,136.977,136.977,136.977,0,0
PJP,MV,D,20080521,000000,135.688,137.795,128.52,137.795,0,0
PJP,MV,D,20080523,000000,131.291,137.795,131.291,132.426,0,0
PJP,MV,D,20080526,000000,136.323,136.323,128.52,128.52,0,0
PJP,MV,D,20080527,000000,128.52,130.82,126.201,130.82,0,0
PJP,MV,D,20080528,000000,130.82,133.514,128.799,133.36,0,0
PJP,MV,D,20080529,000000,133.591,133.591,128.52,132.349,0,0
PJP,MV,D,20080530,000000,131.993,131.993,128.905,130.435,0,0
PJP,MV,D,20080602,000000,130.435,131.368,125.98,131.108,0,0
