<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PJP,PB,D,20070813,000000,1.69795,1.69795,1.69795,1.69795,0,0
PJP,PB,D,20070814,000000,1.61906,1.61906,1.61906,1.61906,0,0
PJP,PB,D,20070816,000000,1.30964,1.30964,1.30964,1.30964,0,0
PJP,PB,D,20070817,000000,1.42817,1.42817,1.42817,1.42817,0,0
PJP,PB,D,20070820,000000,1.50052,1.50052,1.50052,1.50052,0,0
PJP,PB,D,20070821,000000,1.34918,1.34918,1.34918,1.34918,0,0
PJP,PB,D,20070822,000000,1.4149,1.4149,1.4149,1.4149,0,0
PJP,PB,D,20070823,000000,1.42817,1.42817,1.42817,1.42817,0,0
PJP,PB,D,20070824,000000,1.44126,1.44126,1.44126,1.44126,0,0
PJP,PB,D,20070827,000000,1.51361,1.51361,1.51361,1.51361,0,0
PJP,PB,D,20070828,000000,1.48744,1.48744,1.48744,1.48744,0,0
PJP,PB,D,20070829,000000,1.54651,1.54651,1.54651,1.54651,0,0
PJP,PB,D,20070830,000000,1.59279,1.59279,1.59279,1.59279,0,0
PJP,PB,D,20070831,000000,1.66505,1.66505,1.66505,1.66505,0,0
PJP,PB,D,20070903,000000,1.73095,1.73095,1.73095,1.73095,0,0
PJP,PB,D,20070904,000000,1.88239,1.88239,1.88239,1.88239,0,0
PJP,PB,D,20070905,000000,1.90211,1.90211,1.90211,1.90211,0,0
PJP,PB,D,20070906,000000,1.89548,1.89548,1.89548,1.89548,0,0
PJP,PB,D,20070907,000000,1.75722,1.75722,1.75722,1.75722,0,0
PJP,PB,D,20070910,000000,1.72441,1.72441,1.72441,1.72441,0,0
PJP,PB,D,20070911,000000,1.76395,1.76395,1.76395,1.76395,0,0
PJP,PB,D,20070912,000000,1.75077,1.75077,1.75077,1.75077,0,0
PJP,PB,D,20070913,000000,1.79003,1.79003,1.79003,1.79003,0,0
PJP,PB,D,20070914,000000,1.80985,1.80985,1.80985,1.80985,0,0
PJP,PB,D,20070917,000000,1.75077,1.75077,1.75077,1.75077,0,0
PJP,PB,D,20070918,000000,1.78348,1.78348,1.78348,1.78348,0,0
PJP,PB,D,20070919,000000,1.81658,1.81658,1.81658,1.81658,0,0
PJP,PB,D,20070920,000000,1.80985,1.80985,1.80985,1.80985,0,0
PJP,PB,D,20070921,000000,1.82303,1.82303,1.82303,1.82303,0,0
PJP,PB,D,20070924,000000,1.78348,1.78348,1.78348,1.78348,0,0
PJP,PB,D,20070925,000000,1.73095,1.73095,1.73095,1.73095,0,0
PJP,PB,D,20070926,000000,1.7704,1.7704,1.7704,1.7704,0,0
PJP,PB,D,20070927,000000,1.7704,1.7704,1.7704,1.7704,0,0
PJP,PB,D,20070928,000000,1.71787,1.71787,1.71787,1.71787,0,0
PJP,PB,D,20071001,000000,1.69151,1.69151,1.69151,1.69151,0,0
PJP,PB,D,20071002,000000,1.68477,1.68477,1.68477,1.68477,0,0
PJP,PB,D,20071003,000000,1.67832,1.67832,1.67832,1.67832,0,0
PJP,PB,D,20071004,000000,1.66505,1.66505,1.66505,1.66505,0,0
PJP,PB,D,20071005,000000,1.73749,1.73749,1.73749,1.73749,0,0
PJP,PB,D,20071008,000000,1.7704,1.7704,1.7704,1.7704,0,0
PJP,PB,D,20071009,000000,1.78348,1.78348,1.78348,1.78348,0,0
PJP,PB,D,20071010,000000,1.71787,1.71787,1.71787,1.71787,0,0
PJP,PB,D,20071011,000000,1.81658,1.81658,1.81658,1.81658,0,0
PJP,PB,D,20071012,000000,1.79003,1.79003,1.79003,1.79003,0,0
PJP,PB,D,20071015,000000,1.85593,1.85593,1.85593,1.85593,0,0
PJP,PB,D,20071016,000000,1.86247,1.86247,1.86247,1.86247,0,0
PJP,PB,D,20071017,000000,1.86921,1.86921,1.86921,1.86921,0,0
PJP,PB,D,20071018,000000,1.90211,1.90211,1.90211,1.90211,0,0
PJP,PB,D,20071019,000000,1.89548,1.89548,1.89548,1.89548,0,0
PJP,PB,D,20071022,000000,1.80985,1.80985,1.80985,1.80985,0,0
PJP,PB,D,20071023,000000,1.7704,1.7704,1.7704,1.7704,0,0
PJP,PB,D,20071024,000000,1.79676,1.79676,1.79676,1.79676,0,0
PJP,PB,D,20071025,000000,1.79676,1.79676,1.79676,1.79676,0,0
PJP,PB,D,20071026,000000,1.79003,1.79003,1.79003,1.79003,0,0
PJP,PB,D,20071029,000000,1.76395,1.76395,1.76395,1.76395,0,0
PJP,PB,D,20071030,000000,1.75077,1.75077,1.75077,1.75077,0,0
PJP,PB,D,20071031,000000,1.78348,1.78348,1.78348,1.78348,0,0
PJP,PB,D,20071102,000000,1.68477,1.68477,1.68477,1.68477,0,0
PJP,PB,D,20071105,000000,1.63214,1.63214,1.63214,1.63214,0,0
PJP,PB,D,20071106,000000,1.49398,1.49398,1.49398,1.49398,0,0
PJP,PB,D,20071107,000000,1.45463,1.45463,1.45463,1.45463,0,0
PJP,PB,D,20071108,000000,1.39517,1.39517,1.39517,1.39517,0,0
PJP,PB,D,20071109,000000,1.39517,1.43491,1.29665,1.29665,0,0
PJP,PB,D,20071112,000000,1.27673,1.34918,1.23738,1.27673,0,0
PJP,PB,D,20071113,000000,1.27673,1.29001,1.23738,1.29001,0,0
PJP,PB,D,20071114,000000,1.30964,1.30964,1.19784,1.21756,0,0
PJP,PB,D,20071115,000000,1.1913,1.21756,1.09249,1.09249,0,0
PJP,PB,D,20071116,000000,1.11221,1.11221,1.09249,1.11221,0,0
PJP,PB,D,20071119,000000,1.19784,1.19784,1.10577,1.15176,0,0
PJP,PB,D,20071120,000000,1.13203,1.16503,1.10577,1.16503,0,0
PJP,PB,D,20071121,000000,1.18466,1.18466,1.17158,1.17158,0,0
PJP,PB,D,20071122,000000,1.17158,1.21102,1.17158,1.21102,0,0
PJP,PB,D,20071123,000000,1.23065,1.31637,1.21102,1.31637,0,0
PJP,PB,D,20071126,000000,1.39517,1.39517,1.28337,1.28337,0,0
PJP,PB,D,20071127,000000,1.29001,1.3361,1.25711,1.25711,0,0
PJP,PB,D,20071128,000000,1.25711,1.28337,1.25037,1.25037,0,0
PJP,PB,D,20071129,000000,1.25711,1.31637,1.25711,1.28337,0,0
PJP,PB,D,20071130,000000,1.31637,1.36891,1.31637,1.32292,0,0
PJP,PB,D,20071203,000000,1.43491,1.43491,1.32292,1.4149,0,0
PJP,PB,D,20071204,000000,1.402,1.40845,1.32292,1.36236,0,0
PJP,PB,D,20071205,000000,1.39517,1.46108,1.39517,1.40845,0,0
PJP,PB,D,20071206,000000,1.40845,1.46108,1.40845,1.43491,0,0
PJP,PB,D,20071207,000000,1.46772,1.55998,1.46772,1.54007,0,0
PJP,PB,D,20071210,000000,1.54007,1.63214,1.53343,1.55998,0,0
PJP,PB,D,20071211,000000,1.55325,1.61906,1.52025,1.52025,0,0
PJP,PB,D,20071212,000000,1.51361,1.55998,1.46108,1.52025,0,0
PJP,PB,D,20071213,000000,1.52025,1.60588,1.52025,1.55998,0,0
PJP,PB,D,20071214,000000,1.58615,1.58615,1.50726,1.50726,0,0
PJP,PB,D,20071217,000000,1.50052,1.54651,1.46108,1.52025,0,0
PJP,PB,D,20071218,000000,1.52025,1.55998,1.4809,1.54007,0,0
PJP,PB,D,20071219,000000,1.55998,1.57951,1.4809,1.4809,0,0
PJP,PB,D,20071220,000000,1.4809,1.54007,1.4809,1.52689,0,0
PJP,PB,D,20071221,000000,1.52689,1.57307,1.52689,1.55998,0,0
PJP,PB,D,20071227,000000,1.55998,1.55998,1.53343,1.54007,0,0
PJP,PB,D,20071228,000000,1.55325,1.55998,1.52025,1.52025,0,0
PJP,PB,D,20080102,000000,1.55325,1.55998,1.55325,1.55998,0,0
PJP,PB,D,20080103,000000,1.54007,1.54007,1.52025,1.54007,0,0
PJP,PB,D,20080104,000000,1.55325,1.55325,1.52025,1.54007,0,0
PJP,PB,D,20080107,000000,1.52025,1.52025,1.48744,1.52025,0,0
PJP,PB,D,20080108,000000,1.50052,1.52025,1.47416,1.52025,0,0
PJP,PB,D,20080109,000000,1.46108,1.46108,1.402,1.4479,0,0
PJP,PB,D,20080110,000000,1.47416,1.47416,1.38209,1.44126,0,0
PJP,PB,D,20080111,000000,1.34254,1.402,1.30319,1.39517,0,0
PJP,PB,D,20080114,000000,1.32292,1.32292,1.32292,1.32292,0,0
PJP,PB,D,20080115,000000,1.36236,1.36236,1.27029,1.28337,0,0
PJP,PB,D,20080116,000000,1.25037,1.25037,1.21756,1.25037,0,0
PJP,PB,D,20080117,000000,1.25037,1.31637,1.25037,1.28337,0,0
PJP,PB,D,20080118,000000,1.31637,1.35573,1.30319,1.35573,0,0
PJP,PB,D,20080121,000000,1.32292,1.32292,1.26365,1.30319,0,0
PJP,PB,D,20080122,000000,1.25037,1.39517,1.25037,1.39517,0,0
PJP,PB,D,20080123,000000,1.44126,1.44126,1.36236,1.38873,0,0
PJP,PB,D,20080124,000000,1.43491,1.47416,1.43491,1.46108,0,0
PJP,PB,D,20080125,000000,1.36891,1.46772,1.36891,1.45463,0,0
PJP,PB,D,20080128,000000,1.402,1.44126,1.402,1.44126,0,0
PJP,PB,D,20080129,000000,1.46108,1.4809,1.46108,1.4809,0,0
PJP,PB,D,20080130,000000,1.48744,1.48744,1.44126,1.4809,0,0
PJP,PB,D,20080131,000000,1.48744,1.52025,1.4809,1.50726,0,0
PJP,PB,D,20080201,000000,1.53343,1.53343,1.48744,1.52025,0,0
PJP,PB,D,20080204,000000,1.52689,1.55998,1.52689,1.55998,0,0
PJP,PB,D,20080205,000000,1.55998,1.55998,1.53343,1.55325,0,0
PJP,PB,D,20080206,000000,1.4809,1.54007,1.4809,1.54007,0,0
PJP,PB,D,20080207,000000,1.54007,1.55998,1.48744,1.55325,0,0
PJP,PB,D,20080208,000000,1.55325,1.55325,1.48744,1.52025,0,0
PJP,PB,D,20080211,000000,1.55998,1.55998,1.46108,1.55325,0,0
PJP,PB,D,20080212,000000,1.55325,1.55998,1.55325,1.55998,0,0
PJP,PB,D,20080213,000000,1.55998,1.55998,1.52025,1.55998,0,0
PJP,PB,D,20080214,000000,1.54007,1.55998,1.4809,1.55998,0,0
PJP,PB,D,20080215,000000,1.52025,1.55325,1.52025,1.55325,0,0
PJP,PB,D,20080218,000000,1.55325,1.55325,1.54651,1.55325,0,0
PJP,PB,D,20080219,000000,1.52689,1.55325,1.52689,1.55325,0,0
PJP,PB,D,20080220,000000,1.50052,1.54651,1.48744,1.54651,0,0
PJP,PB,D,20080221,000000,1.54651,1.55325,1.52689,1.55325,0,0
PJP,PB,D,20080222,000000,1.54651,1.55998,1.51361,1.55998,0,0
PJP,PB,D,20080225,000000,1.55998,1.55998,1.55998,1.55998,0,0
PJP,PB,D,20080226,000000,1.55998,1.55998,1.52689,1.55998,0,0
PJP,PB,D,20080227,000000,1.55998,1.55998,1.54651,1.55998,0,0
PJP,PB,D,20080228,000000,1.55998,1.55998,1.52689,1.54651,0,0
PJP,PB,D,20080229,000000,1.49398,1.52689,1.38209,1.38209,0,0
PJP,PB,D,20080303,000000,1.38209,1.38209,1.35573,1.38209,0,0
PJP,PB,D,20080304,000000,1.38873,1.38873,1.36236,1.38209,0,0
PJP,PB,D,20080305,000000,1.38209,1.38209,1.38209,1.38209,0,0
PJP,PB,D,20080306,000000,1.38209,1.38209,1.37554,1.37554,0,0
PJP,PB,D,20080307,000000,1.34254,1.37554,1.34254,1.37554,0,0
PJP,PB,D,20080310,000000,1.37554,1.37554,1.31637,1.36891,0,0
PJP,PB,D,20080311,000000,1.36891,1.38209,1.3361,1.38209,0,0
PJP,PB,D,20080312,000000,1.39517,1.39517,1.34918,1.39517,0,0
PJP,PB,D,20080313,000000,1.30319,1.39517,1.30319,1.39517,0,0
PJP,PB,D,20080314,000000,1.39517,1.39517,1.39517,1.39517,0,0
PJP,PB,D,20080317,000000,1.39517,1.39517,1.39517,1.39517,0,0
PJP,PB,D,20080318,000000,1.39517,1.39517,1.30964,1.38209,0,0
PJP,PB,D,20080319,000000,1.38209,1.38209,1.3361,1.37554,0,0
PJP,PB,D,20080320,000000,1.38209,1.38209,1.3361,1.37554,0,0
PJP,PB,D,20080325,000000,1.32956,1.38209,1.32956,1.38209,0,0
PJP,PB,D,20080326,000000,1.38209,1.40845,1.36891,1.40845,0,0
PJP,PB,D,20080327,000000,1.40845,1.4149,1.38209,1.4149,0,0
PJP,PB,D,20080328,000000,1.42817,1.42817,1.37554,1.4149,0,0
PJP,PB,D,20080331,000000,1.39517,1.39517,1.39517,1.39517,0,0
PJP,PB,D,20080401,000000,1.39517,1.39517,1.35573,1.39517,0,0
PJP,PB,D,20080402,000000,1.402,1.402,1.36891,1.38873,0,0
PJP,PB,D,20080403,000000,1.38873,1.39517,1.35573,1.39517,0,0
PJP,PB,D,20080404,000000,1.38873,1.38873,1.38873,1.38873,0,0
PJP,PB,D,20080407,000000,1.38873,1.38873,1.34918,1.38873,0,0
PJP,PB,D,20080408,000000,1.39517,1.39517,1.38873,1.38873,0,0
PJP,PB,D,20080409,000000,1.38873,1.38873,1.34918,1.34918,0,0
PJP,PB,D,20080410,000000,1.35573,1.38873,1.34918,1.38873,0,0
PJP,PB,D,20080411,000000,1.37554,1.37554,1.35573,1.37554,0,0
PJP,PB,D,20080414,000000,1.38873,1.38873,1.37554,1.38209,0,0
PJP,PB,D,20080415,000000,1.38209,1.38209,1.35573,1.37554,0,0
PJP,PB,D,20080416,000000,1.38209,1.38209,1.35573,1.35573,0,0
PJP,PB,D,20080417,000000,1.35573,1.36891,1.35573,1.36891,0,0
