<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLW,MV,D,20161019,000000,247.173,247.173,247.173,247.173,0,0
PLW,MV,D,20161020,000000,246.182,247.173,237.581,247.173,0,0
PLW,MV,D,20161021,000000,242.726,247.173,242.618,246.923,0,0
PLW,MV,D,20161024,000000,247.173,261.99,246.87,259.231,0,0
PLW,MV,D,20161025,000000,259.525,259.525,253.407,258.043,0,0
PLW,MV,D,20161026,000000,257.051,257.051,249.647,249.647,0,0
PLW,MV,D,20161027,000000,252.112,252.112,244.699,252.067,0,0
PLW,MV,D,20161028,000000,247.709,251.121,247.709,251.121,0,0
PLW,MV,D,20161031,000000,247.173,256.998,247.173,256.962,0,0
PLW,MV,D,20161102,000000,256.998,257.051,251.415,256.56,0,0
PLW,MV,D,20161103,000000,256.56,256.56,251.362,254.586,0,0
PLW,MV,D,20161104,000000,254.095,254.095,248.405,252.112,0,0
PLW,MV,D,20161107,000000,252.112,252.112,249.647,251.969,0,0
PLW,MV,D,20161108,000000,251.969,251.969,248.513,250.13,0,0
PLW,MV,D,20161109,000000,251.63,252.112,248.646,252.112,0,0
PLW,MV,D,20161110,000000,252.112,252.112,246.182,250.63,0,0
PLW,MV,D,20161114,000000,252.112,252.112,251.63,251.63,0,0
PLW,MV,D,20161115,000000,251.576,251.576,246.182,249.647,0,0
PLW,MV,D,20161116,000000,249.647,249.647,242.279,249.647,0,0
PLW,MV,D,20161117,000000,251.63,251.63,241.234,241.234,0,0
PLW,MV,D,20161118,000000,242.225,242.225,232.49,232.49,0,0
PLW,MV,D,20161121,000000,231.891,231.891,223.201,227.345,0,0
PLW,MV,D,20161122,000000,223.201,245.896,223.201,245.896,0,0
PLW,MV,D,20161123,000000,245.896,245.896,244.431,245.503,0,0
PLW,MV,D,20161124,000000,245.789,245.789,228.381,241.984,0,0
PLW,MV,D,20161125,000000,245.896,255.569,245.896,255.516,0,0
PLW,MV,D,20161128,000000,255.516,255.516,254.917,254.917,0,0
PLW,MV,D,20161129,000000,255.033,264.822,250.13,263.723,0,0
PLW,MV,D,20161130,000000,263.723,271.949,258.293,271.896,0,0
PLW,MV,D,20161201,000000,271.896,271.896,259.918,271.896,0,0
PLW,MV,D,20161202,000000,271.896,271.896,263.187,271.565,0,0
PLW,MV,D,20161205,000000,271.619,271.619,264.009,264.009,0,0
PLW,MV,D,20161206,000000,271.663,271.663,262.911,269.984,0,0
PLW,MV,D,20161207,000000,269.984,269.984,263.232,269.654,0,0
PLW,MV,D,20161208,000000,263.187,269.162,263.187,269.162,0,0
PLW,MV,D,20161209,000000,269.654,269.654,263.081,269.118,0,0
PLW,MV,D,20161212,000000,269.118,269.44,263.081,263.081,0,0
