<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLW,PE,D,20161019,000000,45.5619,45.5619,45.5619,45.5619,0,0
PLW,PE,D,20161020,000000,43.914,45.5619,42.3483,45.5619,0,0
PLW,PE,D,20161021,000000,44.7384,45.5619,44.7384,45.5619,0,0
PLW,PE,D,20161024,000000,45.6432,48.3628,45.5619,47.7867,0,0
PLW,PE,D,20161025,000000,47.8689,47.8689,46.7149,47.6206,0,0
PLW,PE,D,20161026,000000,47.4563,47.4563,46.0558,46.0558,0,0
PLW,PE,D,20161027,000000,46.5506,46.5506,45.1492,46.4685,0,0
PLW,PE,D,20161028,000000,45.6432,46.3032,45.6432,46.3032,0,0
PLW,PE,D,20161031,000000,45.5619,47.3741,45.5619,47.3741,0,0
PLW,PE,D,20161102,000000,47.3741,47.3741,46.3863,47.291,0,0
PLW,PE,D,20161103,000000,47.291,47.291,46.3032,46.9614,0,0
PLW,PE,D,20161104,000000,46.8802,46.8802,45.8084,46.4685,0,0
PLW,PE,D,20161107,000000,46.4685,46.4685,45.9736,46.4685,0,0
PLW,PE,D,20161108,000000,46.4685,46.4685,45.8084,46.138,0,0
PLW,PE,D,20161109,000000,46.3863,46.4685,45.8906,46.4685,0,0
PLW,PE,D,20161110,000000,46.4685,46.4685,45.3967,46.221,0,0
PLW,PE,D,20161114,000000,46.4685,46.4685,46.3863,46.3863,0,0
PLW,PE,D,20161115,000000,46.3863,46.3863,45.3967,46.0558,0,0
PLW,PE,D,20161116,000000,46.0558,46.0558,44.7384,46.0558,0,0
PLW,PE,D,20161117,000000,46.3863,46.3863,44.4901,44.4901,0,0
PLW,PE,D,20161118,000000,44.6562,44.6562,42.8431,42.8431,0,0
PLW,PE,D,20161121,000000,42.76,42.76,41.1122,41.9365,0,0
PLW,PE,D,20161122,000000,41.1952,45.3154,41.1952,45.3154,0,0
PLW,PE,D,20161123,000000,45.3154,45.3154,45.0671,45.3154,0,0
PLW,PE,D,20161124,000000,45.3967,45.3967,42.183,44.6562,0,0
PLW,PE,D,20161125,000000,45.3967,47.1276,45.3967,47.1276,0,0
PLW,PE,D,20161128,000000,47.1276,47.1276,45.3154,45.3154,0,0
PLW,PE,D,20161129,000000,45.3154,47.0437,44.4901,46.8802,0,0
PLW,PE,D,20161130,000000,46.8802,48.3628,45.8906,48.3628,0,0
PLW,PE,D,20161201,000000,48.3628,48.3628,46.221,48.3628,0,0
PLW,PE,D,20161202,000000,48.3628,48.3628,46.7971,48.2806,0,0
PLW,PE,D,20161205,000000,48.2806,48.2806,46.9614,46.9614,0,0
PLW,PE,D,20161206,000000,48.3628,48.3628,46.7971,47.9511,0,0
PLW,PE,D,20161207,000000,47.9511,47.9511,46.7149,47.9511,0,0
PLW,PE,D,20161208,000000,46.7971,47.8689,46.7971,47.8689,0,0
PLW,PE,D,20161209,000000,47.9511,47.9511,46.7971,47.8689,0,0
PLW,PE,D,20161212,000000,47.8689,47.9511,46.7971,46.7971,0,0
PLW,PE,D,20161213,000000,46.7971,48.3628,46.7971,47.8689,0,0
PLW,PE,D,20161214,000000,48.0333,48.0333,47.3741,47.3741,0,0
PLW,PE,D,20161215,000000,47.3741,47.3741,46.7971,47.3741,0,0
PLW,PE,D,20161216,000000,47.3741,47.3741,45.7263,46.3863,0,0
PLW,PE,D,20161219,000000,44.7384,47.1276,44.6562,46.7971,0,0
PLW,PE,D,20161220,000000,45.3154,46.8802,45.3154,46.3863,0,0
PLW,PE,D,20161221,000000,46.3863,46.3863,44.5722,44.5722,0,0
PLW,PE,D,20161222,000000,45.8906,45.8906,44.4901,44.4901,0,0
PLW,PE,D,20161223,000000,44.9849,44.9849,44.4901,44.7384,0,0
PLW,PE,D,20161227,000000,44.8206,45.7263,44.1614,45.6432,0,0
PLW,PE,D,20161228,000000,45.3967,45.3967,44.0783,44.8206,0,0
PLW,PE,D,20161229,000000,45.5619,47.3741,45.3967,46.8802,0,0
PLW,PE,D,20161230,000000,46.3863,47.9511,46.3863,47.9511,0,0
PLW,PE,D,20170102,000000,48.1155,48.1155,46.0558,47.7867,0,0
PLW,PE,D,20170103,000000,48.1155,48.1155,45.3967,45.3967,0,0
PLW,PE,D,20170104,000000,46.3863,46.3863,45.3967,45.3967,0,0
PLW,PE,D,20170105,000000,45.3967,46.221,44.4079,44.4901,0,0
PLW,PE,D,20170109,000000,44.4901,44.9849,44.4901,44.4901,0,0
PLW,PE,D,20170110,000000,44.4901,44.5722,43.914,44.4901,0,0
PLW,PE,D,20170111,000000,44.4901,44.4901,43.914,43.914,0,0
PLW,PE,D,20170112,000000,44.3257,44.3257,43.0075,43.7488,0,0
PLW,PE,D,20170113,000000,44.3257,44.3257,43.0075,43.5022,0,0
PLW,PE,D,20170116,000000,43.0075,43.4201,42.5136,43.0075,0,0
PLW,PE,D,20170117,000000,43.0075,43.0075,42.183,42.267,0,0
PLW,PE,D,20170118,000000,42.267,42.4305,42.1009,42.4305,0,0
PLW,PE,D,20170119,000000,42.5136,42.5136,41.5239,42.267,0,0
PLW,PE,D,20170120,000000,42.5136,42.5136,41.5239,42.4305,0,0
PLW,PE,D,20170123,000000,42.5136,42.5136,41.607,42.4305,0,0
PLW,PE,D,20170124,000000,42.5957,42.5957,41.607,42.0187,0,0
PLW,PE,D,20170125,000000,41.5239,42.0187,41.5239,41.607,0,0
PLW,PE,D,20170126,000000,42.5957,43.0075,41.6901,43.0075,0,0
PLW,PE,D,20170127,000000,43.0075,43.0075,41.8544,42.183,0,0
PLW,PE,D,20170130,000000,41.6901,43.3371,41.6901,43.3371,0,0
PLW,PE,D,20170131,000000,43.3371,47.291,43.3371,45.4797,0,0
PLW,PE,D,20170201,000000,45.3967,46.3863,45.3967,46.3863,0,0
PLW,PE,D,20170202,000000,46.3863,46.7149,46.0558,46.3863,0,0
PLW,PE,D,20170203,000000,46.3863,46.3863,45.8906,45.8906,0,0
PLW,PE,D,20170206,000000,45.8906,46.3863,45.8906,46.3863,0,0
PLW,PE,D,20170207,000000,46.3863,46.3863,46.221,46.221,0,0
PLW,PE,D,20170208,000000,46.221,46.3032,45.9736,46.3032,0,0
PLW,PE,D,20170209,000000,46.3032,47.2098,45.8084,47.0437,0,0
PLW,PE,D,20170210,000000,46.3863,47.0437,46.3863,46.3863,0,0
PLW,PE,D,20170213,000000,46.3863,47.4563,46.3863,47.3741,0,0
PLW,PE,D,20170214,000000,47.7046,47.7046,46.6336,46.9614,0,0
PLW,PE,D,20170215,000000,47.3741,47.6206,46.3863,47.6206,0,0
PLW,PE,D,20170216,000000,47.6206,47.6206,46.5506,47.4563,0,0
PLW,PE,D,20170217,000000,47.3741,47.3741,46.4685,46.5506,0,0
PLW,PE,D,20170220,000000,47.6206,47.7046,47.3741,47.7046,0,0
PLW,PE,D,20170221,000000,47.7046,48.8559,46.8802,48.445,0,0
PLW,PE,D,20170222,000000,48.445,48.9398,47.7867,48.445,0,0
PLW,PE,D,20170223,000000,48.8559,48.8559,48.1976,48.3628,0,0
PLW,PE,D,20170224,000000,48.3628,48.3628,47.7046,48.3628,0,0
PLW,PE,D,20170227,000000,49.4337,51.2469,49.4337,50.3402,0,0
PLW,PE,D,20170228,000000,50.8351,55.3661,50.2572,54.13,0,0
PLW,PE,D,20170301,000000,55.6135,56.8496,54.707,55.2839,0,0
PLW,PE,D,20170302,000000,56.0253,60.5562,56.0253,59.7319,0,0
PLW,PE,D,20170303,000000,61.3807,64.7595,60.0623,62.4515,0,0
PLW,PE,D,20170306,000000,62.6159,62.6159,60.6393,62.2872,0,0
PLW,PE,D,20170307,000000,59.7319,60.2267,56.1896,57.014,0,0
PLW,PE,D,20170308,000000,56.9327,58.9084,54.6239,55.1187,0,0
PLW,PE,D,20170309,000000,56.1074,57.5079,54.6239,57.014,0,0
PLW,PE,D,20170310,000000,57.9197,59.9802,56.2727,59.7319,0,0
PLW,PE,D,20170313,000000,60.6393,60.8858,60.475,60.8858,0,0
PLW,PE,D,20170314,000000,60.6393,60.968,59.7319,60.8028,0,0
PLW,PE,D,20170315,000000,60.6393,61.1332,59.4854,61.0511,0,0
PLW,PE,D,20170316,000000,61.0511,61.0511,60.3919,60.8858,0,0
PLW,PE,D,20170317,000000,60.3919,61.8746,60.3919,60.8858,0,0
PLW,PE,D,20170320,000000,61.7103,62.6981,61.4628,62.0398,0,0
PLW,PE,D,20170321,000000,62.2872,63.275,62.1211,62.4515,0,0
PLW,PE,D,20170322,000000,62.7811,63.1929,60.8858,62.3694,0,0
PLW,PE,D,20170323,000000,62.9464,63.1116,61.3807,62.3694,0,0
PLW,PE,D,20170324,000000,62.8633,62.8633,60.7215,61.8746,0,0
PLW,PE,D,20170327,000000,61.8746,61.8746,59.4854,61.8746,0,0
PLW,PE,D,20170328,000000,61.8746,61.8746,58.4966,61.6272,0,0
PLW,PE,D,20170329,000000,61.5459,61.5459,58.4966,59.815,0,0
PLW,PE,D,20170330,000000,59.815,59.815,58.0849,59.6497,0,0
PLW,PE,D,20170331,000000,60.968,60.968,58.0849,59.1548,0,0
PLW,PE,D,20170403,000000,60.968,60.968,57.014,57.014,0,0
PLW,PE,D,20170404,000000,57.9197,58.0018,57.014,57.9197,0,0
PLW,PE,D,20170405,000000,57.5079,58.0018,56.5192,58.0018,0,0
PLW,PE,D,20170406,000000,58.0018,58.9915,57.5079,58.8271,0,0
PLW,PE,D,20170407,000000,58.8271,58.8271,57.6731,58.0018,0,0
PLW,PE,D,20170410,000000,58.0018,58.0018,56.3548,58.0018,0,0
PLW,PE,D,20170411,000000,56.6013,58.0018,55.0365,55.7788,0,0
PLW,PE,D,20170412,000000,55.2839,56.2727,55.2839,56.2727,0,0
PLW,PE,D,20170413,000000,56.2727,56.2727,54.2131,55.3661,0,0
PLW,PE,D,20170418,000000,54.8713,55.7788,54.8713,55.6957,0,0
PLW,PE,D,20170419,000000,55.7788,55.7788,54.9535,55.5305,0,0
PLW,PE,D,20170420,000000,55.7788,59.0736,55.7788,58.4966,0,0
PLW,PE,D,20170421,000000,58.4966,58.6619,57.3427,58.6619,0,0
PLW,PE,D,20170424,000000,58.6619,58.6619,57.7553,58.6619,0,0
PLW,PE,D,20170425,000000,58.2501,58.2501,56.9327,57.8374,0,0
PLW,PE,D,20170426,000000,57.7553,57.7553,54.3774,55.2009,0,0
PLW,PE,D,20170427,000000,55.7788,57.6731,55.7788,57.3427,0,0
PLW,PE,D,20170428,000000,57.3427,57.3427,56.2727,57.3427,0,0
PLW,PE,D,20170502,000000,57.4266,57.4266,56.2727,57.0962,0,0
PLW,PE,D,20170504,000000,57.1792,57.1792,54.8713,56.2727,0,0
PLW,PE,D,20170505,000000,56.2727,56.2727,54.8713,54.8713,0,0
PLW,PE,D,20170508,000000,54.8713,55.3661,54.5417,54.5417,0,0
PLW,PE,D,20170509,000000,54.5417,54.5417,51.329,53.3886,0,0
PLW,PE,D,20170510,000000,51.9882,55.2009,51.9882,54.3774,0,0
PLW,PE,D,20170511,000000,54.3774,54.3774,53.8013,54.3774,0,0
PLW,PE,D,20170512,000000,54.3774,54.3774,51.5755,54.3774,0,0
PLW,PE,D,20170515,000000,53.8835,53.8835,52.976,53.8013,0,0
PLW,PE,D,20170516,000000,53.8013,53.8013,51.4943,51.4943,0,0
PLW,PE,D,20170517,000000,52.8947,52.8947,48.1155,50.0098,0,0
PLW,PE,D,20170518,000000,50.753,51.0004,49.5168,49.5168,0,0
PLW,PE,D,20170519,000000,49.5168,52.8947,49.4337,52.8947,0,0
PLW,PE,D,20170522,000000,52.8947,52.8947,51.9051,52.8947,0,0
PLW,PE,D,20170523,000000,52.8947,52.8947,51.9882,52.8947,0,0
PLW,PE,D,20170524,000000,52.8947,52.8947,52.8947,52.8947,0,0
PLW,PE,D,20170525,000000,52.8947,54.4604,52.8947,54.4604,0,0
PLW,PE,D,20170526,000000,54.6239,54.6239,49.2694,49.2694,0,0
PLW,PE,D,20170529,000000,51.0816,51.4112,49.4337,51.4112,0,0
PLW,PE,D,20170530,000000,51.4112,52.4821,49.1041,52.4821,0,0
PLW,PE,D,20170531,000000,52.4821,53.2235,51.2469,51.2469,0,0
PLW,PE,D,20170601,000000,51.2469,53.3065,51.2469,52.7295,0,0
PLW,PE,D,20170602,000000,52.976,52.976,51.9051,51.9882,0,0
PLW,PE,D,20170605,000000,52.7295,53.7182,52.7295,53.059,0,0
PLW,PE,D,20170606,000000,53.8835,53.8835,52.1525,53.7182,0,0
PLW,PE,D,20170607,000000,53.8013,53.8013,52.0704,53.5529,0,0
PLW,PE,D,20170608,000000,53.8013,53.8013,53.6352,53.6352,0,0
PLW,PE,D,20170609,000000,53.8013,53.8013,53.8013,53.8013,0,0
PLW,PE,D,20170612,000000,52.8947,52.976,51.8221,52.0704,0,0
PLW,PE,D,20170613,000000,52.1525,53.9665,52.1525,53.059,0,0
PLW,PE,D,20170614,000000,53.059,54.5417,52.5651,54.2943,0,0
PLW,PE,D,20170616,000000,53.9665,54.707,53.9665,54.3774,0,0
PLW,PE,D,20170619,000000,54.0478,54.2943,53.9665,54.2943,0,0
PLW,PE,D,20170620,000000,54.8713,54.8713,51.6586,51.6586,0,0
PLW,PE,D,20170621,000000,52.0704,52.0704,51.6586,52.0704,0,0
PLW,PE,D,20170622,000000,53.059,54.3774,52.6473,53.4699,0,0
PLW,PE,D,20170623,000000,53.8835,53.8835,53.059,53.8835,0,0
PLW,PE,D,20170626,000000,53.8835,53.8835,52.5651,53.8835,0,0
PLW,PE,D,20170627,000000,53.8835,53.8835,52.976,53.059,0,0
PLW,PE,D,20170628,000000,53.4699,53.9665,53.059,53.2235,0,0
PLW,PE,D,20170629,000000,53.4699,53.9665,53.059,53.9665,0,0
PLW,PE,D,20170630,000000,53.9665,54.8713,53.5529,54.7892,0,0
PLW,PE,D,20170703,000000,54.7892,55.6957,54.7892,55.5305,0,0
PLW,PE,D,20170704,000000,55.5305,55.6957,54.8713,55.4482,0,0
PLW,PE,D,20170705,000000,55.4482,55.4482,53.4699,53.4699,0,0
PLW,PE,D,20170706,000000,54.3774,54.3774,53.1412,53.8013,0,0
PLW,PE,D,20170707,000000,53.8013,55.0365,53.8013,55.0365,0,0
PLW,PE,D,20170710,000000,56.1074,56.1074,55.6957,55.6957,0,0
PLW,PE,D,20170711,000000,55.6957,56.0253,53.8835,54.0478,0,0
PLW,PE,D,20170712,000000,54.8713,54.8713,54.3774,54.3774,0,0
PLW,PE,D,20170713,000000,54.7892,54.7892,53.9665,54.7892,0,0
PLW,PE,D,20170714,000000,54.7892,54.7892,53.4699,54.707,0,0
PLW,PE,D,20170717,000000,54.707,54.7892,53.4699,54.7892,0,0
PLW,PE,D,20170718,000000,55.2009,55.2009,53.8835,53.8835,0,0
PLW,PE,D,20170719,000000,54.7892,55.0365,53.8835,54.7892,0,0
PLW,PE,D,20170720,000000,54.8713,54.8713,54.7892,54.7892,0,0
PLW,PE,D,20170721,000000,54.8713,55.0365,52.5651,53.9665,0,0
PLW,PE,D,20170724,000000,53.8835,53.8835,48.6094,50.8351,0,0
PLW,PE,D,20170725,000000,51.9051,53.3886,51.8221,52.8947,0,0
