<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PZU,MV,D,20100512,000000,12743.6,12743.6,12743.6,12743.6,0,0
PZU,MV,D,20100513,000000,12672.7,12789.5,12534.6,12637.4,0,0
PZU,MV,D,20100514,000000,12577.2,12704.6,12566.6,12566.6,0,0
PZU,MV,D,20100517,000000,12248,12439.1,12248,12425,0,0
PZU,MV,D,20100518,000000,12407.3,12552.4,12407.3,12495.8,0,0
PZU,MV,D,20100519,000000,12396.6,12446.2,12244.5,12244.5,0,0
PZU,MV,D,20100520,000000,12177.2,12194.9,11717,11717,0,0
PZU,MV,D,20100521,000000,11717,11911.7,11717,11911.7,0,0
PZU,MV,D,20100524,000000,11915.3,12152.4,11915.3,12124.1,0,0
PZU,MV,D,20100525,000000,11862.1,11957.7,11653.3,11681.6,0,0
PZU,MV,D,20100526,000000,11833.8,12531.2,11833.8,12531.2,0,0
PZU,MV,D,20100527,000000,12318.7,12432.1,12318.7,12396.6,0,0
PZU,MV,D,20100528,000000,12403.7,12407.3,12265.7,12389.6,0,0
PZU,MV,D,20100531,000000,12248,12389.6,12141.7,12389.6,0,0
PZU,MV,D,20100601,000000,12226.7,12371.9,12067.4,12340,0,0
PZU,MV,D,20100602,000000,12279.8,12417.9,12265.7,12371.9,0,0
PZU,MV,D,20100604,000000,12340,12389.6,12106.4,12106.4,0,0
PZU,MV,D,20100607,000000,11894,12124.1,11894,12035.6,0,0
PZU,MV,D,20100608,000000,12042.6,12177.2,12000.2,12000.2,0,0
PZU,MV,D,20100609,000000,12025,12301,12025,12283.3,0,0
PZU,MV,D,20100610,000000,12187.8,12425,12187.8,12389.6,0,0
PZU,MV,D,20100611,000000,12368.4,12389.6,12304.6,12354.2,0,0
PZU,MV,D,20100614,000000,12354.2,12481.6,12354.2,12449.8,0,0
PZU,MV,D,20100615,000000,12389.6,12481.6,12389.6,12478.1,0,0
PZU,MV,D,20100616,000000,12485.2,12495.8,12265.7,12474.5,0,0
PZU,MV,D,20100617,000000,12371.9,12520.5,12371.9,12517,0,0
PZU,MV,D,20100618,000000,12481.6,12665.7,12481.6,12655,0,0
PZU,MV,D,20100621,000000,12637.4,12913.5,12637.4,12913.5,0,0
PZU,MV,D,20100622,000000,12761.3,12793.1,12708.2,12743.6,0,0
PZU,MV,D,20100623,000000,12708.2,12793.1,12683.4,12708.2,0,0
PZU,MV,D,20100624,000000,12708.2,12779,12566.6,12566.6,0,0
PZU,MV,D,20100625,000000,12602,12708.2,12570.1,12570.1,0,0
PZU,MV,D,20100628,000000,12587.8,12587.8,12410.8,12460.3,0,0
PZU,MV,D,20100629,000000,12460.3,12460.3,12386,12389.6,0,0
PZU,MV,D,20100630,000000,12389.6,12531.2,12389.6,12389.6,0,0
PZU,MV,D,20100701,000000,12357.7,12655,12354.2,12602,0,0
PZU,MV,D,20100702,000000,12488.7,12644.4,12488.7,12531.2,0,0
PZU,MV,D,20100705,000000,12538.2,12545.3,12463.9,12463.9,0,0
PZU,MV,D,20100706,000000,12488.7,12694,12488.7,12694,0,0
PZU,MV,D,20100707,000000,12534.6,12708.2,12534.6,12672.7,0,0
PZU,MV,D,20100708,000000,12743.6,12885.2,12644.4,12704.6,0,0
PZU,MV,D,20100709,000000,12711.7,12779,12640.9,12779,0,0
PZU,MV,D,20100712,000000,12743.6,13168.3,12743.6,13168.3,0,0
PZU,MV,D,20100713,000000,13108.2,13380.7,13108.2,13380.7,0,0
PZU,MV,D,20100714,000000,13380.7,13416.1,13097.5,13097.5,0,0
PZU,MV,D,20100715,000000,13097.5,13224.9,13079.9,13097.5,0,0
PZU,MV,D,20100716,000000,13026.7,13274.6,13026.7,13026.7,0,0
PZU,MV,D,20100719,000000,13012.6,13256.8,13012.6,13228.5,0,0
PZU,MV,D,20100720,000000,13203.7,13214.4,13065.6,13101.1,0,0
PZU,MV,D,20100721,000000,13132.9,13338.3,13132.9,13256.8,0,0
PZU,MV,D,20100722,000000,13239.2,13522.3,13239.2,13522.3,0,0
PZU,MV,D,20100723,000000,13451.5,13522.3,13345.3,13345.3,0,0
PZU,MV,D,20100726,000000,13557.7,13770.1,13451.5,13741.8,0,0
PZU,MV,D,20100727,000000,13770.1,13833.8,13596.7,13596.7,0,0
PZU,MV,D,20100728,000000,13699.3,13699.3,13419.7,13419.7,0,0
PZU,MV,D,20100729,000000,13451.5,13805.5,13451.5,13805.5,0,0
PZU,MV,D,20100730,000000,13805.5,13954.2,13731.2,13947.1,0,0
PZU,MV,D,20100802,000000,13954.2,14145.4,13947.1,13947.1,0,0
PZU,MV,D,20100803,000000,14053.3,14194.9,14053.3,14124.2,0,0
PZU,MV,D,20100804,000000,14113.5,14113.5,14000.2,14017.9,0,0
PZU,MV,D,20100805,000000,13982.5,14109.9,13947.1,14071,0,0
PZU,MV,D,20100806,000000,14085.2,14088.8,13954.2,13982.5,0,0
PZU,MV,D,20100809,000000,13929.5,13961.3,13515.3,13522.3,0,0
PZU,MV,D,20100810,000000,13593.2,13593.2,13433.9,13504.6,0,0
PZU,MV,D,20100811,000000,13504.6,13518.8,13338.3,13345.3,0,0
PZU,MV,D,20100812,000000,13338.3,13656.8,13338.3,13557.7,0,0
PZU,MV,D,20100813,000000,13777.2,13872.8,13649.8,13731.2,0,0
PZU,MV,D,20100816,000000,13770.1,13862.1,13671,13809.1,0,0
PZU,MV,D,20100817,000000,13805.5,13805.5,13540,13628.5,0,0
PZU,MV,D,20100818,000000,13724.1,13724.1,13557.7,13678,0,0
PZU,MV,D,20100819,000000,13671,13802,13625,13625,0,0
PZU,MV,D,20100820,000000,13635.6,13805.5,13635.6,13798.4,0,0
PZU,MV,D,20100823,000000,13947.7,14275.5,13947.7,14220.9,0,0
PZU,MV,D,20100824,000000,14177.2,14177.2,13874.9,14046.1,0,0
PZU,MV,D,20100825,000000,13969.6,14086.1,13791.2,13820.3,0,0
PZU,MV,D,20100826,000000,13649.1,13776.6,13474.3,13510.7,0,0
PZU,MV,D,20100827,000000,13437.9,13605.4,13437.9,13605.4,0,0
PZU,MV,D,20100830,000000,13692.8,13776.6,13605.4,13663.7,0,0
