<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PZU,PE,D,20100512,000000,3.40237,3.40237,3.40237,3.40237,0,0
PZU,PE,D,20100513,000000,3.40237,3.40237,3.36148,3.36148,0,0
PZU,PE,D,20100514,000000,3.36148,3.36148,3.32051,3.32051,0,0
PZU,PE,D,20100517,000000,3.23847,3.32051,3.23847,3.32051,0,0
PZU,PE,D,20100518,000000,3.32051,3.36148,3.32051,3.32051,0,0
PZU,PE,D,20100519,000000,3.27953,3.32051,3.23847,3.23847,0,0
PZU,PE,D,20100520,000000,3.23847,3.40237,3.11546,3.40237,0,0
PZU,PE,D,20100521,000000,3.40237,3.48441,3.40237,3.48441,0,0
PZU,PE,D,20100524,000000,3.48441,3.56644,3.48441,3.52547,0,0
PZU,PE,D,20100525,000000,3.44352,3.48441,3.40237,3.40237,0,0
PZU,PE,D,20100526,000000,3.44352,3.64839,3.44352,3.64839,0,0
PZU,PE,D,20100527,000000,3.56644,3.60751,3.56644,3.60751,0,0
PZU,PE,D,20100528,000000,3.60751,3.60751,3.56644,3.60751,0,0
PZU,PE,D,20100531,000000,3.56785,3.60575,3.52555,3.60575,0,0
PZU,PE,D,20100601,000000,3.56644,3.60751,3.52547,3.60751,0,0
PZU,PE,D,20100602,000000,3.60751,3.64839,3.60751,3.60751,0,0
PZU,PE,D,20100604,000000,3.60751,3.60751,3.52547,3.52547,0,0
PZU,PE,D,20100607,000000,3.44352,3.52547,3.44352,3.52547,0,0
PZU,PE,D,20100608,000000,3.52547,3.56644,3.48441,3.48441,0,0
PZU,PE,D,20100609,000000,3.48441,3.56644,3.48441,3.56644,0,0
PZU,PE,D,20100610,000000,3.52547,3.60751,3.52547,3.60751,0,0
PZU,PE,D,20100611,000000,3.60751,3.60751,3.56644,3.60751,0,0
PZU,PE,D,20100614,000000,3.60751,3.64839,3.60751,3.64839,0,0
PZU,PE,D,20100615,000000,3.64839,3.64839,3.64839,3.64839,0,0
PZU,PE,D,20100616,000000,3.64839,3.64839,3.56644,3.64839,0,0
PZU,PE,D,20100617,000000,3.60575,3.64804,3.60575,3.64804,0,0
PZU,PE,D,20100618,000000,3.64839,3.68937,3.64839,3.68937,0,0
PZU,PE,D,20100621,000000,3.68937,3.77131,3.68937,3.77131,0,0
PZU,PE,D,20100622,000000,3.73043,3.73043,3.73043,3.73043,0,0
PZU,PE,D,20100623,000000,3.73043,3.73043,3.68937,3.68937,0,0
PZU,PE,D,20100624,000000,3.68937,3.73043,3.64839,3.64839,0,0
PZU,PE,D,20100625,000000,3.64839,3.68937,3.64839,3.68937,0,0
PZU,PE,D,20100628,000000,3.68937,3.68937,3.64839,3.64839,0,0
PZU,PE,D,20100629,000000,3.64839,3.64839,3.60751,3.60751,0,0
PZU,PE,D,20100630,000000,3.60575,3.64804,3.60575,3.60575,0,0
PZU,PE,D,20100701,000000,3.60751,3.68937,3.60751,3.68937,0,0
PZU,PE,D,20100702,000000,3.64839,3.68937,3.64839,3.64839,0,0
PZU,PE,D,20100705,000000,3.64839,3.64839,3.64839,3.64839,0,0
