<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBW,MV,D,20071122,000000,63.6772,63.6772,63.6772,63.6772,0,0
RBW,MV,D,20071123,000000,63.7683,64.0421,62.858,63.7683,0,0
RBW,MV,D,20071126,000000,63.6772,63.9508,62.4018,63.7683,0,0
RBW,MV,D,20071127,000000,63.7683,63.7683,62.6755,63.7683,0,0
RBW,MV,D,20071128,000000,63.7683,66.5014,62.3106,66.5014,0,0
RBW,MV,D,20071129,000000,68.323,68.323,63.8587,68.0494,0,0
RBW,MV,D,20071130,000000,67.5951,67.5951,65.0436,67.4118,0,0
RBW,MV,D,20071203,000000,68.323,68.323,66.0462,68.231,0,0
RBW,MV,D,20071204,000000,68.323,68.323,67.4118,67.4118,0,0
RBW,MV,D,20071205,000000,66.6829,68.1406,66.6829,68.0494,0,0
RBW,MV,D,20071206,000000,68.1406,69.2335,66.5014,68.323,0,0
RBW,MV,D,20071207,000000,66.5014,68.323,66.5014,68.323,0,0
RBW,MV,D,20071210,000000,68.231,68.323,67.959,68.323,0,0
RBW,MV,D,20071211,000000,68.323,70.0545,67.867,69.5993,0,0
RBW,MV,D,20071212,000000,69.5993,70.7825,65.6813,70.7825,0,0
RBW,MV,D,20071213,000000,70.7825,71.0553,68.323,70.9649,0,0
RBW,MV,D,20071214,000000,71.0553,71.2377,70.9649,71.0553,0,0
RBW,MV,D,20071217,000000,71.0553,71.0553,70.1448,70.1448,0,0
RBW,MV,D,20071218,000000,70.6921,71.0553,69.2335,70.1448,0,0
RBW,MV,D,20071219,000000,70.3263,70.3263,68.323,68.323,0,0
RBW,MV,D,20071220,000000,68.4134,69.5993,65.59,66.5014,0,0
RBW,MV,D,20071221,000000,68.1406,68.1406,65.4076,65.4076,0,0
RBW,MV,D,20071227,000000,66.3189,66.5014,66.0462,66.5014,0,0
RBW,MV,D,20071228,000000,65.59,70.7825,65.4988,70.7825,0,0
RBW,MV,D,20080102,000000,70.5097,70.5097,68.323,69.9623,0,0
RBW,MV,D,20080103,000000,67.959,69.1431,66.6829,68.231,0,0
RBW,MV,D,20080104,000000,68.1406,70.6921,68.1406,70.6921,0,0
RBW,MV,D,20080107,000000,70.6,70.6921,68.5046,70.6921,0,0
RBW,MV,D,20080108,000000,69.6897,70.6,69.6897,69.7817,0,0
RBW,MV,D,20080109,000000,69.7817,69.7817,67.5022,68.7792,0,0
RBW,MV,D,20080110,000000,66.775,69.1431,66.775,67.0478,0,0
RBW,MV,D,20080111,000000,66.6829,69.5993,66.6829,69.5993,0,0
RBW,MV,D,20080114,000000,68.323,68.323,68.323,68.323,0,0
RBW,MV,D,20080115,000000,66.5917,69.1431,66.5917,68.323,0,0
RBW,MV,D,20080116,000000,59.2136,64.5884,59.2136,61.9466,0,0
RBW,MV,D,20080117,000000,61.0362,67.2294,61.0362,67.2294,0,0
RBW,MV,D,20080118,000000,66.5014,67.139,63.9508,67.139,0,0
