<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBW,PE,D,20071122,000000,20.2706,20.2706,20.2706,20.2706,0,0
RBW,PE,D,20071123,000000,20.2706,20.4208,20.0408,20.2706,0,0
RBW,PE,D,20071126,000000,20.2706,20.3457,19.8144,20.2706,0,0
RBW,PE,D,20071127,000000,20.2706,20.2706,19.8887,20.2706,0,0
RBW,PE,D,20071128,000000,20.2706,21.1801,19.8144,21.1801,0,0
RBW,PE,D,20071129,000000,21.7882,21.7882,20.3457,21.6362,0,0
RBW,PE,D,20071130,000000,21.4832,21.4832,20.6488,21.4832,0,0
RBW,PE,D,20071203,000000,21.7882,21.7882,21.0289,21.7113,0,0
RBW,PE,D,20071204,000000,21.7113,21.7113,21.4832,21.4832,0,0
RBW,PE,D,20071205,000000,21.2561,21.7113,21.2561,21.6362,0,0
RBW,PE,D,20071206,000000,21.6362,22.0154,10.0959,10.0959,0,0
RBW,PE,D,20071207,000000,9.7928,10.0959,9.7928,10.0959,0,0
RBW,PE,D,20071210,000000,10.0959,10.0959,10.0208,10.0959,0,0
RBW,PE,D,20071211,000000,10.0959,10.324,10.0208,10.324,0,0
RBW,PE,D,20071212,000000,10.324,10.476,9.71765,10.476,0,0
RBW,PE,D,20071213,000000,10.476,10.5521,10.0959,10.476,0,0
RBW,PE,D,20071214,000000,10.476,10.5521,10.476,10.476,0,0
RBW,PE,D,20071217,000000,10.476,10.476,10.324,10.4,0,0
RBW,PE,D,20071218,000000,10.476,10.5521,10.2488,10.4,0,0
RBW,PE,D,20071219,000000,10.4,10.4,10.0959,10.0959,0,0
RBW,PE,D,20071220,000000,10.0959,10.2488,9.71765,9.86884,0,0
RBW,PE,D,20071221,000000,10.0959,10.0959,9.64162,9.64162,0,0
RBW,PE,D,20071227,000000,9.7928,9.86884,9.71765,9.86884,0,0
RBW,PE,D,20071228,000000,9.71765,10.476,9.71765,10.476,0,0
RBW,PE,D,20080102,000000,10.4,10.4,10.0959,10.324,0,0
RBW,PE,D,20080103,000000,10.0208,10.172,9.86884,10.0959,0,0
RBW,PE,D,20080104,000000,10.0959,10.476,10.0959,10.476,0,0
RBW,PE,D,20080107,000000,10.476,10.476,10.172,10.476,0,0
RBW,PE,D,20080108,000000,10.324,10.476,10.324,10.324,0,0
RBW,PE,D,20080109,000000,10.324,10.324,10.0208,10.172,0,0
RBW,PE,D,20080110,000000,9.86884,10.2488,9.86884,9.94482,0,0
RBW,PE,D,20080111,000000,9.86884,10.324,9.86884,10.324,0,0
RBW,PE,D,20080114,000000,10.0959,10.0959,10.0959,10.0959,0,0
RBW,PE,D,20080115,000000,9.86884,10.2488,9.86884,10.0959,0,0
RBW,PE,D,20080116,000000,8.73032,9.5656,8.73032,9.18642,0,0
RBW,PE,D,20080117,000000,9.03438,9.94482,9.03438,9.94482,0,0
RBW,PE,D,20080118,000000,9.86884,9.94482,9.4887,9.94482,0,0
RBW,PE,D,20080121,000000,9.94482,9.94482,9.26154,9.41267,0,0
RBW,PE,D,20080122,000000,8.80544,9.41267,8.80544,9.26154,0,0
RBW,PE,D,20080123,000000,9.41267,10.0959,9.41267,9.4887,0,0
RBW,PE,D,20080124,000000,10.2488,10.2488,9.41267,9.4887,0,0
RBW,PE,D,20080125,000000,9.5656,9.71765,9.41267,9.41267,0,0
RBW,PE,D,20080128,000000,10.0208,10.0208,9.86884,9.86884,0,0
RBW,PE,D,20080129,000000,10.0959,10.172,9.86884,9.94482,0,0
RBW,PE,D,20080130,000000,10.2488,10.2488,10.172,10.172,0,0
RBW,PE,D,20080131,000000,10.172,10.476,10.172,10.4,0,0
RBW,PE,D,20080201,000000,10.324,10.7801,10.0959,10.7801,0,0
RBW,PE,D,20080204,000000,10.7801,11.3113,10.7801,10.7801,0,0
RBW,PE,D,20080205,000000,11.2353,11.2353,10.476,10.5521,0,0
RBW,PE,D,20080206,000000,9.86884,10.7801,9.86884,10.7801,0,0
RBW,PE,D,20080207,000000,10.7801,11.3113,10.2488,10.9312,0,0
RBW,PE,D,20080208,000000,10.9312,11.0073,10.8562,11.0073,0,0
RBW,PE,D,20080211,000000,11.0073,11.5385,11.0073,11.5385,0,0
RBW,PE,D,20080212,000000,11.3874,11.4624,11.0841,11.4624,0,0
RBW,PE,D,20080213,000000,11.6144,11.9185,11.1601,11.8425,0,0
RBW,PE,D,20080214,000000,11.6924,11.6924,11.2353,11.3113,0,0
RBW,PE,D,20080215,000000,11.3113,14.8027,10.7801,14.8027,0,0
RBW,PE,D,20080218,000000,15.4859,15.4859,14.8778,15.0317,0,0
RBW,PE,D,20080219,000000,14.7285,14.7285,14.4235,14.7285,0,0
RBW,PE,D,20080220,000000,15.1837,15.1837,14.4995,14.4995,0,0
RBW,PE,D,20080221,000000,14.5756,15.1068,14.2724,14.9557,0,0
RBW,PE,D,20080222,000000,14.5756,15.1068,14.5756,15.1068,0,0
RBW,PE,D,20080225,000000,14.7285,15.1837,14.0444,15.1837,0,0
RBW,PE,D,20080226,000000,14.6515,15.1837,14.6515,15.0317,0,0
RBW,PE,D,20080227,000000,14.8027,15.1837,14.8027,15.1837,0,0
RBW,PE,D,20080228,000000,14.6515,15.1837,13.9674,15.1837,0,0
RBW,PE,D,20080229,000000,14.8027,33.4778,14.4235,33.4778,0,0
RBW,PE,D,20080303,000000,32.2633,33.4778,32.2633,33.4778,0,0
RBW,PE,D,20080304,000000,33.4778,33.7819,33.0227,33.7819,0,0
RBW,PE,D,20080305,000000,33.8588,33.8588,32.7185,32.7185,0,0
RBW,PE,D,20080306,000000,33.0986,33.0986,32.2633,32.2633,0,0
RBW,PE,D,20080307,000000,32.2633,33.0227,32.2633,33.0227,0,0
RBW,PE,D,20080310,000000,32.8715,32.8715,32.8715,32.8715,0,0
RBW,PE,D,20080311,000000,32.8715,33.0986,32.3403,32.3403,0,0
RBW,PE,D,20080312,000000,32.6434,33.4778,32.3403,33.4778,0,0
RBW,PE,D,20080313,000000,33.6307,33.7068,33.4778,33.6307,0,0
RBW,PE,D,20080314,000000,33.6307,34.085,33.0227,33.8588,0,0
RBW,PE,D,20080317,000000,32.6434,33.8588,32.6434,33.8588,0,0
RBW,PE,D,20080318,000000,32.6434,33.8588,32.6434,33.8588,0,0
RBW,PE,D,20080319,000000,33.7819,34.3141,33.7819,34.3141,0,0
RBW,PE,D,20080320,000000,34.3141,34.3141,33.3258,34.238,0,0
RBW,PE,D,20080325,000000,32.6434,35.3014,32.6434,35.3014,0,0
RBW,PE,D,20080326,000000,34.238,36.2877,34.238,35.1484,0,0
RBW,PE,D,20080327,000000,33.3258,35.3014,33.3258,34.3141,0,0
RBW,PE,D,20080328,000000,35.5285,35.9067,34.3891,35.1484,0,0
RBW,PE,D,20080401,000000,34.6932,35.6806,34.3141,35.6806,0,0
RBW,PE,D,20080402,000000,35.9837,37.5014,35.6806,36.819,0,0
RBW,PE,D,20080403,000000,37.5774,37.7294,36.8941,36.8941,0,0
RBW,PE,D,20080404,000000,37.123,37.2742,36.6661,36.742,0,0
RBW,PE,D,20080407,000000,36.742,37.2742,36.4389,37.2742,0,0
RBW,PE,D,20080408,000000,37.2742,37.2742,36.4389,36.4389,0,0
RBW,PE,D,20080409,000000,36.4389,36.8941,35.1484,36.8941,0,0
RBW,PE,D,20080410,000000,35.7557,36.8941,35.7557,36.8941,0,0
RBW,PE,D,20080411,000000,36.742,37.047,36.2877,36.2877,0,0
RBW,PE,D,20080414,000000,35.9067,35.9067,35.4508,35.5285,0,0
RBW,PE,D,20080415,000000,35.1484,35.6045,35.1484,35.3014,0,0
RBW,PE,D,20080416,000000,35.4508,35.4508,34.6164,34.6932,0,0
RBW,PE,D,20080417,000000,35.0733,35.0733,33.933,33.933,0,0
RBW,PE,D,20080418,000000,33.933,34.6932,33.5547,34.6932,0,0
RBW,PE,D,20080421,000000,34.6164,34.6932,33.2507,34.6932,0,0
RBW,PE,D,20080422,000000,32.4144,33.4778,32.4144,33.4778,0,0
RBW,PE,D,20080423,000000,33.8588,34.238,32.3403,32.3403,0,0
RBW,PE,D,20080424,000000,32.3403,33.6307,32.0353,32.6434,0,0
RBW,PE,D,20080425,000000,32.5674,32.6434,32.5674,32.5674,0,0
RBW,PE,D,20080428,000000,32.2633,33.6307,32.2633,33.6307,0,0
