<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RPC,PE,D,20070813,000000,13.7084,13.7084,13.7084,13.7084,0,0
RPC,PE,D,20070814,000000,12.8872,12.8872,12.8872,12.8872,0,0
RPC,PE,D,20070816,000000,11.1179,11.1179,11.1179,11.1179,0,0
RPC,PE,D,20070817,000000,11.3708,11.3708,11.3708,11.3708,0,0
RPC,PE,D,20070820,000000,10.3602,10.3602,10.3602,10.3602,0,0
RPC,PE,D,20070821,000000,9.91691,9.91691,9.91691,9.91691,0,0
RPC,PE,D,20070822,000000,10.5496,10.5496,10.5496,10.5496,0,0
RPC,PE,D,20070823,000000,10.866,10.866,10.866,10.866,0,0
RPC,PE,D,20070824,000000,11.0553,11.0553,11.0553,11.0553,0,0
RPC,PE,D,20070827,000000,11.4333,11.4333,11.4333,11.4333,0,0
RPC,PE,D,20070828,000000,11.6227,11.6227,11.6227,11.6227,0,0
RPC,PE,D,20070829,000000,11.3708,11.3708,11.3708,11.3708,0,0
RPC,PE,D,20070830,000000,10.8015,10.8015,10.8015,10.8015,0,0
RPC,PE,D,20070831,000000,11.1804,11.1804,11.1804,11.1804,0,0
RPC,PE,D,20070903,000000,11.3064,11.3064,11.3064,11.3064,0,0
RPC,PE,D,20070904,000000,11.2439,11.2439,11.2439,11.2439,0,0
RPC,PE,D,20070905,000000,11.1804,11.1804,11.1804,11.1804,0,0
RPC,PE,D,20070906,000000,11.1804,11.1804,11.1804,11.1804,0,0
RPC,PE,D,20070907,000000,11.1804,11.1804,11.1804,11.1804,0,0
RPC,PE,D,20070910,000000,10.8015,10.8015,10.8015,10.8015,0,0
RPC,PE,D,20070911,000000,10.8015,10.8015,10.8015,10.8015,0,0
RPC,PE,D,20070912,000000,10.8015,10.8015,10.8015,10.8015,0,0
RPC,PE,D,20070913,000000,10.866,10.866,10.866,10.866,0,0
RPC,PE,D,20070914,000000,10.866,10.866,10.866,10.866,0,0
RPC,PE,D,20070917,000000,10.8015,10.8015,10.8015,10.8015,0,0
RPC,PE,D,20070918,000000,10.7391,10.7391,10.7391,10.7391,0,0
RPC,PE,D,20070919,000000,10.9901,10.9901,10.9901,10.9901,0,0
RPC,PE,D,20070920,000000,10.8015,10.8015,10.8015,10.8015,0,0
RPC,PE,D,20070921,000000,10.866,10.866,10.866,10.866,0,0
RPC,PE,D,20070924,000000,10.8015,10.8015,10.8015,10.8015,0,0
RPC,PE,D,20070925,000000,10.7391,10.7391,10.7391,10.7391,0,0
RPC,PE,D,20070926,000000,10.7391,10.7391,10.7391,10.7391,0,0
RPC,PE,D,20070927,000000,10.7391,10.7391,10.7391,10.7391,0,0
RPC,PE,D,20070928,000000,10.6122,10.6122,10.6122,10.6122,0,0
RPC,PE,D,20071001,000000,10.1073,10.1073,10.1073,10.1073,0,0
RPC,PE,D,20071002,000000,9.60055,9.60055,9.60055,9.60055,0,0
RPC,PE,D,20071003,000000,9.47551,9.47551,9.47551,9.47551,0,0
RPC,PE,D,20071004,000000,9.79088,9.79088,9.79088,9.79088,0,0
RPC,PE,D,20071005,000000,10.6122,10.6122,10.6122,10.6122,0,0
RPC,PE,D,20071008,000000,10.7391,10.7391,10.7391,10.7391,0,0
RPC,PE,D,20071009,000000,10.5496,10.5496,10.5496,10.5496,0,0
RPC,PE,D,20071010,000000,10.4217,10.4217,10.4217,10.4217,0,0
RPC,PE,D,20071011,000000,10.6746,10.6746,10.6746,10.6746,0,0
RPC,PE,D,20071012,000000,10.8015,10.8015,10.8015,10.8015,0,0
RPC,PE,D,20071015,000000,10.6746,10.6746,10.6746,10.6746,0,0
RPC,PE,D,20071016,000000,10.8015,10.8015,10.8015,10.8015,0,0
RPC,PE,D,20071017,000000,10.9276,10.9276,10.9276,10.9276,0,0
RPC,PE,D,20071018,000000,11.3064,11.3064,11.3064,11.3064,0,0
RPC,PE,D,20071019,000000,11.3064,11.3064,11.3064,11.3064,0,0
RPC,PE,D,20071022,000000,11.1804,11.1804,11.1804,11.1804,0,0
RPC,PE,D,20071023,000000,11.1179,11.1179,11.1179,11.1179,0,0
RPC,PE,D,20071024,000000,10.8015,10.8015,10.8015,10.8015,0,0
RPC,PE,D,20071025,000000,10.7391,10.7391,10.7391,10.7391,0,0
RPC,PE,D,20071026,000000,10.7391,10.7391,10.7391,10.7391,0,0
RPC,PE,D,20071029,000000,10.7391,10.7391,10.7391,10.7391,0,0
RPC,PE,D,20071030,000000,10.6746,10.6746,10.6746,10.6746,0,0
RPC,PE,D,20071031,000000,10.6746,10.6746,10.6746,10.6746,0,0
RPC,PE,D,20071102,000000,10.6122,10.6122,10.6122,10.6122,0,0
RPC,PE,D,20071105,000000,10.3602,10.3602,10.3602,10.3602,0,0
RPC,PE,D,20071106,000000,10.1073,10.1073,10.1073,10.1073,0,0
RPC,PE,D,20071107,000000,9.72935,9.72935,9.72935,9.72935,0,0
RPC,PE,D,20071108,000000,9.41206,9.41206,9.41206,9.41206,0,0
RPC,PE,D,20071109,000000,8.65487,9.91691,8.65487,9.47551,0,0
RPC,PE,D,20071112,000000,9.53803,9.85442,9.28514,9.72935,0,0
RPC,PE,D,20071113,000000,9.53803,10.1073,9.53803,9.98036,0,0
RPC,PE,D,20071114,000000,9.98036,10.2967,9.79088,10.2967,0,0
RPC,PE,D,20071115,000000,9.91691,10.2967,9.72935,9.98036,0,0
RPC,PE,D,20071116,000000,9.91691,9.98036,9.60055,9.98036,0,0
RPC,PE,D,20081117,000000,11.8766,11.8766,11.8766,11.8766,0,0
RPC,PE,D,20081118,000000,12.0016,12.0016,11.6227,11.6862,0,0
RPC,PE,D,20081119,000000,11.8766,11.8766,10.9901,11.4333,0,0
RPC,PE,D,20081120,000000,11.4333,11.4333,11.3064,11.3064,0,0
RPC,PE,D,20081121,000000,11.3064,11.3064,11.1804,11.1804,0,0
RPC,PE,D,20081124,000000,11.3064,11.3064,10.9901,10.9901,0,0
RPC,PE,D,20081125,000000,10.9901,11.4333,10.7391,11.2439,0,0
RPC,PE,D,20081126,000000,11.6227,11.6227,10.2333,10.2333,0,0
RPC,PE,D,20081127,000000,10.2333,10.2333,9.79088,9.79088,0,0
RPC,PE,D,20081128,000000,9.15916,9.15916,5.81137,5.81137,0,0
RPC,PE,D,20081201,000000,5.93782,5.93782,4.23225,4.23225,0,0
RPC,PE,D,20081202,000000,4.29543,4.54803,4.23225,4.42168,0,0
RPC,PE,D,20081203,000000,4.54803,4.6743,4.48486,4.48486,0,0
RPC,PE,D,20081204,000000,4.61121,4.73748,4.48486,4.48486,0,0
RPC,PE,D,20081205,000000,4.54803,4.54803,4.48486,4.48486,0,0
RPC,PE,D,20081208,000000,5.93782,5.93782,5.05336,5.17961,0,0
RPC,PE,D,20081209,000000,5.30588,5.30588,4.73748,4.80065,0,0
RPC,PE,D,20081210,000000,4.73748,4.73748,4.48486,4.61121,0,0
RPC,PE,D,20081211,000000,4.61121,4.61121,4.42168,4.42168,0,0
RPC,PE,D,20081212,000000,4.42168,4.42168,4.29543,4.35842,0,0
RPC,PE,D,20081215,000000,4.35842,4.48486,4.35842,4.35842,0,0
RPC,PE,D,20081216,000000,4.29543,4.29543,4.10599,4.16907,0,0
RPC,PE,D,20081217,000000,4.16907,4.16907,3.91627,3.91627,0,0
RPC,PE,D,20081218,000000,3.85329,3.85329,3.5375,3.5375,0,0
RPC,PE,D,20081219,000000,3.5375,3.5375,3.09526,3.34778,0,0
RPC,PE,D,20081222,000000,3.41096,3.41096,3.22152,3.28469,0,0
RPC,PE,D,20081223,000000,3.28469,3.28469,3.22152,3.28469,0,0
RPC,PE,D,20081229,000000,3.28469,3.34778,3.28469,3.28469,0,0
RPC,PE,D,20081230,000000,3.34778,3.66366,3.28469,3.5375,0,0
RPC,PE,D,20081231,000000,3.66366,3.72684,3.5375,3.5375,0,0
RPC,PE,D,20090105,000000,3.60049,3.60049,3.34778,3.34778,0,0
RPC,PE,D,20090106,000000,3.47432,3.47432,3.22152,3.28469,0,0
RPC,PE,D,20090107,000000,3.34778,3.34778,3.28469,3.34778,0,0
RPC,PE,D,20090108,000000,3.34778,3.34778,3.22152,3.22152,0,0
RPC,PE,D,20090109,000000,3.22152,3.28469,3.22152,3.28469,0,0
