<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RWL,MV,D,20070813,000000,1225.93,1225.93,1225.93,1225.93,0,0
RWL,MV,D,20070814,000000,1247.5,1247.5,1247.5,1247.5,0,0
RWL,MV,D,20070816,000000,1247.5,1247.5,1247.5,1247.5,0,0
RWL,MV,D,20070817,000000,1225.93,1225.93,1225.93,1225.93,0,0
RWL,MV,D,20070820,000000,1248.63,1248.63,1248.63,1248.63,0,0
RWL,MV,D,20070821,000000,1225.93,1225.93,1225.93,1225.93,0,0
RWL,MV,D,20070822,000000,1244.1,1244.1,1244.1,1244.1,0,0
RWL,MV,D,20070823,000000,1214.57,1214.57,1214.57,1214.57,0,0
RWL,MV,D,20070824,000000,1203.22,1203.22,1203.22,1203.22,0,0
RWL,MV,D,20070827,000000,1202.08,1202.08,1202.08,1202.08,0,0
RWL,MV,D,20070828,000000,1200.95,1200.95,1200.95,1200.95,0,0
RWL,MV,D,20070829,000000,1189.6,1189.6,1189.6,1189.6,0,0
RWL,MV,D,20070830,000000,1157.81,1157.81,1157.81,1157.81,0,0
RWL,MV,D,20070831,000000,1156.68,1156.68,1156.68,1156.68,0,0
RWL,MV,D,20070903,000000,1151.01,1151.01,1151.01,1151.01,0,0
RWL,MV,D,20070904,000000,1151.01,1151.01,1151.01,1151.01,0,0
RWL,MV,D,20070905,000000,1151.01,1151.01,1151.01,1151.01,0,0
RWL,MV,D,20070906,000000,1132.86,1132.86,1132.86,1132.86,0,0
RWL,MV,D,20070907,000000,1116.95,1116.95,1116.95,1116.95,0,0
RWL,MV,D,20070910,000000,1111.96,1111.96,1111.96,1111.96,0,0
RWL,MV,D,20070911,000000,1157.81,1157.81,1157.81,1157.81,0,0
RWL,MV,D,20070912,000000,1135.11,1135.11,1135.11,1135.11,0,0
RWL,MV,D,20070913,000000,1157.81,1157.81,1157.81,1157.81,0,0
RWL,MV,D,20070914,000000,1166.89,1166.89,1166.89,1166.89,0,0
RWL,MV,D,20070917,000000,1130.57,1130.57,1130.57,1130.57,0,0
RWL,MV,D,20070918,000000,1112.4,1112.4,1112.4,1112.4,0,0
RWL,MV,D,20070919,000000,1107.88,1107.88,1107.88,1107.88,0,0
RWL,MV,D,20070920,000000,1109.93,1109.93,1109.93,1109.93,0,0
