<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RWL,PE,D,20070813,000000,25.8785,25.8785,25.8785,25.8785,0,0
RWL,PE,D,20070814,000000,26.3754,26.3754,26.3754,26.3754,0,0
RWL,PE,D,20070816,000000,26.3754,26.3754,26.3754,26.3754,0,0
RWL,PE,D,20070817,000000,25.8785,25.8785,25.8785,25.8785,0,0
RWL,PE,D,20070820,000000,26.3754,26.3754,26.3754,26.3754,0,0
RWL,PE,D,20070821,000000,27.5086,27.5086,27.5086,27.5086,0,0
RWL,PE,D,20070822,000000,27.8617,27.8617,27.8617,27.8617,0,0
RWL,PE,D,20070823,000000,27.2255,27.2255,27.2255,27.2255,0,0
RWL,PE,D,20070824,000000,27.0116,27.0116,27.0116,27.0116,0,0
RWL,PE,D,20070827,000000,26.9406,26.9406,26.9406,26.9406,0,0
RWL,PE,D,20070828,000000,26.9406,26.9406,26.9406,26.9406,0,0
RWL,PE,D,20070829,000000,26.6585,26.6585,26.6585,26.6585,0,0
RWL,PE,D,20070830,000000,27.2255,27.2255,27.2255,27.2255,0,0
RWL,PE,D,20070831,000000,27.2255,27.2255,27.2255,27.2255,0,0
RWL,PE,D,20070903,000000,27.0844,27.0844,27.0844,27.0844,0,0
RWL,PE,D,20070904,000000,27.0844,27.0844,27.0844,27.0844,0,0
RWL,PE,D,20070905,000000,27.0844,27.0844,27.0844,27.0844,0,0
RWL,PE,D,20070906,000000,26.6585,26.6585,26.6585,26.6585,0,0
RWL,PE,D,20070907,000000,26.3053,26.3053,26.3053,26.3053,0,0
RWL,PE,D,20070910,000000,26.1624,26.1624,26.1624,26.1624,0,0
RWL,PE,D,20070911,000000,27.2255,27.2255,27.2255,27.2255,0,0
RWL,PE,D,20070912,000000,26.7294,26.7294,26.7294,26.7294,0,0
RWL,PE,D,20070913,000000,27.2255,27.2255,27.2255,27.2255,0,0
RWL,PE,D,20070914,000000,27.4376,27.4376,27.4376,27.4376,0,0
RWL,PE,D,20070917,000000,26.5875,26.5875,26.5875,26.5875,0,0
RWL,PE,D,20070918,000000,26.1624,26.1624,26.1624,26.1624,0,0
RWL,PE,D,20070919,000000,26.0914,26.0914,26.0914,26.0914,0,0
RWL,PE,D,20070920,000000,26.0914,26.0914,26.0914,26.0914,0,0
RWL,PE,D,20070921,000000,25.9494,25.9494,25.9494,25.9494,0,0
RWL,PE,D,20070924,000000,25.6655,25.6655,25.6655,25.6655,0,0
RWL,PE,D,20070925,000000,25.6655,25.6655,25.6655,25.6655,0,0
RWL,PE,D,20070926,000000,26.4455,26.4455,26.4455,26.4455,0,0
RWL,PE,D,20070927,000000,26.4455,26.4455,26.4455,26.4455,0,0
RWL,PE,D,20070928,000000,26.3754,26.3754,26.3754,26.3754,0,0
RWL,PE,D,20071001,000000,25.6655,25.6655,25.6655,25.6655,0,0
RWL,PE,D,20071002,000000,25.0984,25.0984,25.0984,25.0984,0,0
RWL,PE,D,20071003,000000,25.5944,25.5944,25.5944,25.5944,0,0
RWL,PE,D,20071004,000000,25.7355,25.7355,25.7355,25.7355,0,0
RWL,PE,D,20071005,000000,26.6585,26.6585,26.6585,26.6585,0,0
RWL,PE,D,20071008,000000,27.7225,27.7225,27.7225,27.7225,0,0
RWL,PE,D,20071009,000000,27.7225,27.7225,27.7225,27.7225,0,0
RWL,PE,D,20071010,000000,27.7225,27.7225,27.7225,27.7225,0,0
RWL,PE,D,20071011,000000,27.7225,27.7225,27.7225,27.7225,0,0
RWL,PE,D,20071012,000000,27.6496,27.6496,27.6496,27.6496,0,0
RWL,PE,D,20071015,000000,27.1545,27.1545,27.1545,27.1545,0,0
RWL,PE,D,20071016,000000,27.5795,27.5795,27.5795,27.5795,0,0
RWL,PE,D,20071017,000000,27.7225,27.7225,27.7225,27.7225,0,0
RWL,PE,D,20071018,000000,28.5726,28.5726,28.5726,28.5726,0,0
RWL,PE,D,20071019,000000,29.3536,29.3536,29.3536,29.3536,0,0
RWL,PE,D,20071022,000000,29.2106,29.2106,29.2106,29.2106,0,0
RWL,PE,D,20071023,000000,28.7856,28.7856,28.7856,28.7856,0,0
RWL,PE,D,20071024,000000,28.6436,28.6436,28.6436,28.6436,0,0
RWL,PE,D,20071025,000000,27.5086,27.5086,27.5086,27.5086,0,0
RWL,PE,D,20071026,000000,27.3675,27.3675,27.3675,27.3675,0,0
RWL,PE,D,20071029,000000,26.6585,26.6585,26.6585,26.6585,0,0
RWL,PE,D,20071030,000000,27.2255,27.2255,27.2255,27.2255,0,0
RWL,PE,D,20071031,000000,26.4455,26.4455,26.4455,26.4455,0,0
RWL,PE,D,20071102,000000,26.6585,26.6585,26.6585,26.6585,0,0
RWL,PE,D,20071105,000000,25.3105,25.3105,25.3105,25.3105,0,0
RWL,PE,D,20071106,000000,24.6014,24.6014,24.6014,24.6014,0,0
RWL,PE,D,20071107,000000,23.9625,23.9625,23.9625,23.9625,0,0
RWL,PE,D,20071108,000000,22.6883,22.6883,22.6883,22.6883,0,0
RWL,PE,D,20071109,000000,21.5541,22.4052,21.5541,22.4052,0,0
RWL,PE,D,20071112,000000,21.6952,22.4052,20.5602,21.6242,0,0
RWL,PE,D,20071113,000000,22.0502,22.0502,20.704,20.704,0,0
RWL,PE,D,20071114,000000,20.704,20.704,19.214,20.2781,0,0
RWL,PE,D,20071115,000000,20.1351,20.2781,17.582,17.582,0,0
RWL,PE,D,20071116,000000,17.582,41.9023,15.4568,41.9023,0,0
RWL,PE,D,20071119,000000,41.9023,44.5946,19.9932,19.9932,0,0
RWL,PE,D,20071120,000000,19.6382,20.6321,19.6382,20.5602,0,0
RWL,PE,D,20071121,000000,20.2781,20.4901,19.9231,19.9231,0,0
RWL,PE,D,20071122,000000,19.9932,20.9853,19.6382,20.9853,0,0
RWL,PE,D,20071123,000000,21.4822,21.9091,21.1991,21.4822,0,0
RWL,PE,D,20071126,000000,21.4822,21.4822,20.5602,20.6321,0,0
RWL,PE,D,20071127,000000,19.6382,19.9231,19.285,19.285,0,0
RWL,PE,D,20071128,000000,19.285,19.9932,19.285,19.427,0,0
RWL,PE,D,20071129,000000,19.9932,20.2062,19.4971,19.6382,0,0
RWL,PE,D,20071130,000000,19.9231,21.0581,19.9231,20.2781,0,0
RWL,PE,D,20071203,000000,22.4752,22.4752,20.4901,20.5602,0,0
RWL,PE,D,20071204,000000,20.6321,20.6321,20.4901,20.5602,0,0
RWL,PE,D,20071205,000000,20.8441,21.7662,20.8441,21.6952,0,0
RWL,PE,D,20071206,000000,21.7662,22.3333,21.7662,22.2632,0,0
RWL,PE,D,20071207,000000,22.2632,22.6883,22.0502,22.6172,0,0
RWL,PE,D,20071210,000000,22.6883,22.8302,22.0502,22.8302,0,0
RWL,PE,D,20071211,000000,22.4052,22.6172,22.1912,22.2632,0,0
RWL,PE,D,20071212,000000,22.1912,22.2632,21.6242,22.1212,0,0
RWL,PE,D,20071213,000000,22.4052,22.8302,22.4052,22.7601,0,0
RWL,PE,D,20071214,000000,23.4673,23.4673,22.5453,22.8302,0,0
RWL,PE,D,20071217,000000,22.8302,22.8302,21.6242,21.6242,0,0
