<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAN,MV,D,20141203,000000,359640,359640,359640,359640,0,0
SAN,MV,D,20141204,000000,362304,362535,358713,360913,0,0
SAN,MV,D,20141205,000000,361956,361956,350953,355354,0,0
SAN,MV,D,20141208,000000,354428,359061,354428,354428,0,0
SAN,MV,D,20141209,000000,355586,356281,344003,344351,0,0
SAN,MV,D,20141210,000000,345162,345162,339370,339486,0,0
SAN,MV,D,20141211,000000,339949,339949,339486,339486,0,0
SAN,MV,D,20141212,000000,333579,333579,331262,333000,0,0
SAN,MV,D,20141215,000000,325008,330104,325008,326629,0,0
SAN,MV,D,20141216,000000,324313,324313,313309,314467,0,0
SAN,MV,D,20141217,000000,331262,333232,324313,333232,0,0
SAN,MV,D,20141218,000000,338212,347941,338212,347362,0,0
SAN,MV,D,20141219,000000,351301,351301,345162,351185,0,0
SAN,MV,D,20141222,000000,353849,353849,345278,350837,0,0
SAN,MV,D,20141223,000000,350953,352922,350953,352922,0,0
SAN,MV,D,20141229,000000,358249,358249,340644,352111,0,0
SAN,MV,D,20150102,000000,346319,354428,346319,354428,0,0
SAN,MV,D,20150105,000000,337169,353153,337169,351995,0,0
SAN,MV,D,20150107,000000,332420,335895,330683,333000,0,0
SAN,MV,D,20150108,000000,338791,347362,330104,330104,0,0
SAN,MV,D,20150109,000000,312730,327788,289565,289565,0,0
SAN,MV,D,20150112,000000,299062,299873,283889,294777,0,0
SAN,MV,D,20150113,000000,306244,323840,292461,323840,0,0
SAN,MV,D,20150114,000000,312537,329554,312537,315204,0,0
SAN,MV,D,20150115,000000,323840,325745,317871,317871,0,0
SAN,MV,D,20150116,000000,330062,330189,330062,330189,0,0
SAN,MV,D,20150119,000000,335015,335015,325236,325236,0,0
SAN,MV,D,20150120,000000,335015,335015,334888,334888,0,0
SAN,MV,D,20150121,000000,334888,334888,321934,321934,0,0
SAN,MV,D,20150122,000000,324221,342253,324221,342253,0,0
SAN,MV,D,20150123,000000,342253,342253,342253,342253,0,0
SAN,MV,D,20150126,000000,342889,342889,329808,329808,0,0
SAN,MV,D,20150127,000000,336539,336539,330189,330189,0,0
SAN,MV,D,20150128,000000,331459,331459,330062,330062,0,0
