<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEK,PE,D,20070813,000000,17.542,17.542,17.542,17.542,0,0
SEK,PE,D,20070814,000000,17.4766,17.4766,17.4766,17.4766,0,0
SEK,PE,D,20070816,000000,17.0204,17.0204,17.0204,17.0204,0,0
SEK,PE,D,20070817,000000,16.6942,16.6942,16.6942,16.6942,0,0
SEK,PE,D,20070820,000000,16.826,16.826,16.826,16.826,0,0
SEK,PE,D,20070821,000000,16.8905,16.8905,16.8905,16.8905,0,0
SEK,PE,D,20070822,000000,17.4766,17.4766,17.4766,17.4766,0,0
SEK,PE,D,20070823,000000,17.7374,17.7374,17.7374,17.7374,0,0
SEK,PE,D,20070824,000000,18.0626,18.0626,18.0626,18.0626,0,0
SEK,PE,D,20070827,000000,17.542,17.542,17.542,17.542,0,0
SEK,PE,D,20070828,000000,17.4766,17.4766,17.4766,17.4766,0,0
SEK,PE,D,20070829,000000,17.542,17.542,17.542,17.542,0,0
SEK,PE,D,20070830,000000,17.542,17.542,17.542,17.542,0,0
SEK,PE,D,20070831,000000,17.9327,17.9327,17.9327,17.9327,0,0
SEK,PE,D,20070903,000000,17.8028,17.8028,17.8028,17.8028,0,0
SEK,PE,D,20070904,000000,17.8028,17.8028,17.8028,17.8028,0,0
SEK,PE,D,20070905,000000,17.542,17.542,17.542,17.542,0,0
SEK,PE,D,20070906,000000,17.4111,17.4111,17.4111,17.4111,0,0
SEK,PE,D,20070907,000000,17.8028,17.8028,17.8028,17.8028,0,0
SEK,PE,D,20070910,000000,17.6065,17.6065,17.6065,17.6065,0,0
SEK,PE,D,20070911,000000,17.6065,17.6065,17.6065,17.6065,0,0
SEK,PE,D,20070912,000000,17.6729,17.6729,17.6729,17.6729,0,0
SEK,PE,D,20070913,000000,17.6729,17.6729,17.6729,17.6729,0,0
SEK,PE,D,20070914,000000,17.6065,17.6065,17.6065,17.6065,0,0
SEK,PE,D,20070917,000000,17.6729,17.6729,17.6729,17.6729,0,0
SEK,PE,D,20070918,000000,17.7374,17.7374,17.7374,17.7374,0,0
SEK,PE,D,20070919,000000,18.6506,18.6506,18.6506,18.6506,0,0
SEK,PE,D,20070920,000000,18.9114,18.9114,18.9114,18.9114,0,0
SEK,PE,D,20070921,000000,19.3022,19.3022,19.3022,19.3022,0,0
SEK,PE,D,20070924,000000,19.3022,19.3022,19.3022,19.3022,0,0
SEK,PE,D,20070925,000000,19.1068,19.1068,19.1068,19.1068,0,0
SEK,PE,D,20070926,000000,18.9114,18.9114,18.9114,18.9114,0,0
SEK,PE,D,20070927,000000,19.2377,19.2377,19.2377,19.2377,0,0
SEK,PE,D,20070928,000000,19.2377,19.2377,19.2377,19.2377,0,0
SEK,PE,D,20071001,000000,18.846,18.846,18.846,18.846,0,0
SEK,PE,D,20071002,000000,18.7806,18.7806,18.7806,18.7806,0,0
SEK,PE,D,20071003,000000,18.846,18.846,18.846,18.846,0,0
SEK,PE,D,20071004,000000,18.9769,18.9769,18.9769,18.9769,0,0
SEK,PE,D,20071005,000000,18.9114,18.9114,18.9114,18.9114,0,0
SEK,PE,D,20071008,000000,18.5198,18.5198,18.5198,18.5198,0,0
SEK,PE,D,20071009,000000,18.846,18.846,18.846,18.846,0,0
SEK,PE,D,20071010,000000,19.0423,19.0423,19.0423,19.0423,0,0
SEK,PE,D,20071011,000000,19.0423,19.0423,19.0423,19.0423,0,0
SEK,PE,D,20071012,000000,18.9769,18.9769,18.9769,18.9769,0,0
SEK,PE,D,20071015,000000,19.0423,19.0423,19.0423,19.0423,0,0
SEK,PE,D,20071016,000000,19.8902,19.8902,19.8902,19.8902,0,0
SEK,PE,D,20071017,000000,20.0836,20.0836,20.0836,20.0836,0,0
SEK,PE,D,20071018,000000,20.2809,20.2809,20.2809,20.2809,0,0
SEK,PE,D,20071019,000000,20.6062,20.6062,20.6062,20.6062,0,0
SEK,PE,D,20071022,000000,21.1287,21.1287,21.1287,21.1287,0,0
SEK,PE,D,20071023,000000,21.7148,21.7148,21.7148,21.7148,0,0
SEK,PE,D,20071024,000000,22.171,22.171,22.171,22.171,0,0
SEK,PE,D,20071025,000000,22.3683,22.3683,22.3683,22.3683,0,0
SEK,PE,D,20071026,000000,22.3038,22.3038,22.3038,22.3038,0,0
SEK,PE,D,20071029,000000,22.3683,22.3683,22.3683,22.3683,0,0
SEK,PE,D,20071030,000000,21.9756,21.9756,21.9756,21.9756,0,0
SEK,PE,D,20071031,000000,22.171,22.171,22.171,22.171,0,0
SEK,PE,D,20071102,000000,22.171,22.171,22.171,22.171,0,0
SEK,PE,D,20071105,000000,22.2364,22.2364,22.2364,22.2364,0,0
SEK,PE,D,20071106,000000,22.171,22.171,22.171,22.171,0,0
SEK,PE,D,20071107,000000,19.7603,19.7603,19.7603,19.7603,0,0
SEK,PE,D,20071108,000000,19.7603,19.7603,19.7603,19.7603,0,0
SEK,PE,D,20071109,000000,19.9537,19.9537,19.5639,19.7603,0,0
