<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEL,PB,D,20080520,000000,4.68555,4.68555,4.68555,4.68555,0,0
SEL,PB,D,20080521,000000,4.68555,5.15256,4.54871,5.01572,0,0
SEL,PB,D,20080523,000000,4.98353,5.01572,4.98353,4.98353,0,0
SEL,PB,D,20080526,000000,4.53271,4.98353,4.53271,4.53271,0,0
SEL,PB,D,20080527,000000,4.96734,4.96734,4.54871,4.91915,0,0
SEL,PB,D,20080528,000000,4.56489,4.85468,4.56489,4.59718,0,0
SEL,PB,D,20080529,000000,4.90296,4.91106,4.53271,4.67755,0,0
SEL,PB,D,20080530,000000,4.62927,4.62927,4.48433,4.62127,0,0
SEL,PB,D,20080602,000000,4.58908,4.58908,4.25082,4.57289,0,0
SEL,PB,D,20080603,000000,4.60518,4.60518,4.60518,4.60518,0,0
SEL,PB,D,20080604,000000,4.62127,4.62127,4.37148,4.51652,0,0
SEL,PB,D,20080605,000000,4.62127,4.62127,4.15435,4.50852,0,0
SEL,PB,D,20080606,000000,4.47642,4.49233,4.21073,4.49233,0,0
SEL,PB,D,20080609,000000,4.32329,4.49233,4.08179,4.30729,0,0
SEL,PB,D,20080610,000000,4.65336,4.65336,4.25082,4.40367,0,0
SEL,PB,D,20080611,000000,4.41995,4.41995,4.08179,4.08179,0,0
SEL,PB,D,20080612,000000,4.16226,4.54871,4.08979,4.08979,0,0
SEL,PB,D,20080613,000000,4.49233,4.49233,4.08179,4.3152,0,0
SEL,PB,D,20080616,000000,4.48433,4.48433,4.48433,4.48433,0,0
SEL,PB,D,20080617,000000,4.47642,4.48433,4.09798,4.44405,0,0
SEL,PB,D,20080618,000000,4.49233,4.49233,3.22833,3.22833,0,0
SEL,PB,D,20080619,000000,3.22833,3.22833,2.95464,3.09967,0,0
SEL,PB,D,20080620,000000,3.22833,3.22833,2.95464,3.15595,0,0
SEL,PB,D,20080623,000000,3.21233,3.21233,2.80179,2.89835,0,0
SEL,PB,D,20080624,000000,3.12367,3.12367,2.57638,2.57638,0,0
SEL,PB,D,20080625,000000,3.10758,3.10758,2.63266,2.84198,0,0
SEL,PB,D,20080626,000000,2.87426,2.87426,2.59238,2.62456,0,0
SEL,PB,D,20080627,000000,2.80969,2.80969,2.50381,2.52,0,0
SEL,PB,D,20080630,000000,2.80179,2.80179,2.42325,2.64875,0,0
SEL,PB,D,20080701,000000,2.62456,2.62456,2.46353,2.47972,0,0
SEL,PB,D,20080702,000000,2.41525,2.51181,2.36696,2.36696,0,0
SEL,PB,D,20080703,000000,2.36696,2.60056,2.17374,2.30259,0,0
SEL,PB,D,20080704,000000,2.31059,2.31059,2.17374,2.21393,0,0
SEL,PB,D,20080707,000000,2.25412,2.25412,2.02899,2.02899,0,0
SEL,PB,D,20080708,000000,2.04489,2.04489,1.84376,1.87586,0,0
SEL,PB,D,20080709,000000,1.91614,2.00471,1.87586,2.00471,0,0
SEL,PB,D,20080710,000000,1.91614,1.99671,1.81148,1.98852,0,0
SEL,PB,D,20080711,000000,2.01271,2.01271,1.92414,1.94033,0,0
SEL,PB,D,20080714,000000,2.01271,2.01271,1.96442,2.01271,0,0
SEL,PB,D,20080715,000000,1.87586,1.87586,1.86767,1.87586,0,0
SEL,PB,D,20080716,000000,1.89205,1.89205,1.81148,1.81148,0,0
SEL,PB,D,20080717,000000,1.82767,1.94033,1.81148,1.94033,0,0
SEL,PB,D,20080718,000000,1.96442,1.96442,1.87586,1.94033,0,0
SEL,PB,D,20080721,000000,1.87586,1.94033,1.87586,1.94033,0,0
SEL,PB,D,20080722,000000,1.96442,1.96442,1.87586,1.94033,0,0
SEL,PB,D,20080723,000000,1.87586,1.94033,1.87586,1.87586,0,0
SEL,PB,D,20080724,000000,1.87586,1.90795,1.81948,1.87586,0,0
SEL,PB,D,20080725,000000,1.78729,1.87586,1.78729,1.78729,0,0
SEL,PB,D,20080728,000000,1.83558,1.83558,1.7792,1.7792,0,0
SEL,PB,D,20080729,000000,1.74711,1.7792,1.74711,1.7792,0,0
SEL,PB,D,20080730,000000,1.81148,1.92414,1.81148,1.83558,0,0
SEL,PB,D,20080731,000000,1.87586,1.91614,1.83558,1.91614,0,0
SEL,PB,D,20080801,000000,1.94833,1.94833,1.87586,1.87586,0,0
SEL,PB,D,20080804,000000,2.31059,2.31059,1.83558,1.83558,0,0
SEL,PB,D,20080805,000000,1.83558,1.87586,1.74711,1.74711,0,0
SEL,PB,D,20080806,000000,1.73901,1.83558,1.72282,1.72282,0,0
SEL,PB,D,20080807,000000,1.78729,1.78729,1.68282,1.68282,0,0
SEL,PB,D,20080808,000000,1.65845,1.7792,1.65845,1.7792,0,0
SEL,PB,D,20080811,000000,1.81148,1.81148,1.7792,1.7792,0,0
SEL,PB,D,20080812,000000,1.7792,1.7792,1.74711,1.74711,0,0
SEL,PB,D,20080813,000000,1.74711,1.76311,1.74711,1.76311,0,0
SEL,PB,D,20080814,000000,1.73092,1.78729,1.73092,1.73092,0,0
SEL,PB,D,20080818,000000,1.73092,1.7792,0.797082,0.797082,0,0
SEL,PB,D,20080819,000000,0.788988,0.788988,0.772894,0.772894,0,0
SEL,PB,D,20080820,000000,0.772894,0.797082,0.756706,0.797082,0,0
SEL,PB,D,20080821,000000,0.804988,0.804988,0.772894,0.804988,0,0
SEL,PB,D,20080822,000000,0.804988,0.804988,0.7648,0.772894,0,0
SEL,PB,D,20080825,000000,0.7648,0.7648,0.724518,0.7488,0,0
SEL,PB,D,20080826,000000,0.7488,0.7488,0.724518,0.724518,0,0
SEL,PB,D,20080827,000000,0.7408,0.7408,0.716424,0.716424,0,0
SEL,PB,D,20080828,000000,0.708424,0.7408,0.708424,0.7408,0,0
SEL,PB,D,20080829,000000,0.7408,0.7408,0.708424,0.708424,0,0
SEL,PB,D,20080901,000000,0.7408,0.7408,0.708424,0.7408,0,0
SEL,PB,D,20080902,000000,0.708424,0.7408,0.708424,0.7408,0,0
SEL,PB,D,20080903,000000,0.7408,0.797082,0.7408,0.7408,0,0
SEL,PB,D,20080904,000000,0.756706,0.788988,0.7408,0.7408,0,0
SEL,PB,D,20080905,000000,0.756706,0.756706,0.716424,0.756706,0,0
SEL,PB,D,20080908,000000,0.756706,0.781082,0.756706,0.781082,0,0
SEL,PB,D,20080909,000000,0.7648,0.797082,0.7648,0.797082,0,0
SEL,PB,D,20080910,000000,0.756706,0.772894,0.756706,0.772894,0,0
SEL,PB,D,20080911,000000,0.788988,0.788988,0.7488,0.7488,0,0
SEL,PB,D,20080912,000000,0.732706,0.7488,0.732706,0.7488,0,0
SEL,PB,D,20080915,000000,0.716424,0.716424,0.708424,0.708424,0,0
SEL,PB,D,20080916,000000,0.676235,0.700518,0.676235,0.700518,0,0
SEL,PB,D,20080917,000000,0.676235,0.676235,0.644047,0.676235,0,0
SEL,PB,D,20080918,000000,0.676235,0.676235,0.676235,0.676235,0,0
SEL,PB,D,20080919,000000,0.692329,0.692329,0.676235,0.692329,0,0
SEL,PB,D,20080922,000000,0.708424,0.708424,0.668329,0.708424,0,0
SEL,PB,D,20080923,000000,0.668329,0.668329,0.660235,0.668329,0,0
SEL,PB,D,20080924,000000,0.660235,0.676235,0.660235,0.676235,0,0
SEL,PB,D,20080925,000000,0.660235,0.684329,0.660235,0.684329,0,0
SEL,PB,D,20080926,000000,0.668329,0.684329,0.668329,0.684329,0,0
SEL,PB,D,20080929,000000,0.660235,0.660235,0.611859,0.611859,0,0
SEL,PB,D,20080930,000000,0.587765,0.611859,0.587765,0.603953,0,0
SEL,PB,D,20081001,000000,0.628047,0.628047,0.595765,0.628047,0,0
SEL,PB,D,20081002,000000,0.644047,0.644047,0.619953,0.619953,0,0
SEL,PB,D,20081003,000000,0.644047,0.644047,0.636047,0.636047,0,0
SEL,PB,D,20081006,000000,0.603953,0.644047,0.603953,0.636047,0,0
SEL,PB,D,20081007,000000,0.619953,0.644047,0.587765,0.595765,0,0
SEL,PB,D,20081008,000000,0.611859,0.611859,0.547482,0.579576,0,0
SEL,PB,D,20081009,000000,0.628047,0.628047,0.555388,0.571671,0,0
SEL,PB,D,20081010,000000,0.579576,0.579576,0.466974,0.466974,0,0
SEL,PB,D,20081013,000000,0.491106,0.515294,0.466974,0.475012,0,0
SEL,PB,D,20081014,000000,0.4992,0.531388,0.4992,0.515294,0,0
SEL,PB,D,20081015,000000,0.507106,0.531388,0.4992,0.523294,0,0
SEL,PB,D,20081016,000000,0.523294,0.523294,0.523294,0.523294,0,0
SEL,PB,D,20081017,000000,0.523294,0.523294,0.483106,0.515294,0,0
SEL,PB,D,20081020,000000,0.531388,0.563576,0.531388,0.539388,0,0
SEL,PB,D,20081021,000000,0.555388,0.555388,0.507106,0.547482,0,0
SEL,PB,D,20081022,000000,0.507106,0.523294,0.4992,0.515294,0,0
SEL,PB,D,20081023,000000,0.555388,0.555388,0.475012,0.491106,0,0
SEL,PB,D,20081024,000000,0.466974,0.4992,0.466974,0.4992,0,0
SEL,PB,D,20081027,000000,0.466974,0.491106,0.410588,0.410588,0,0
SEL,PB,D,20081028,000000,0.442711,0.466974,0.402541,0.466974,0,0
SEL,PB,D,20081029,000000,0.507106,0.507106,0.418635,0.466974,0,0
SEL,PB,D,20081030,000000,0.507106,0.507106,0.466974,0.475012,0,0
SEL,PB,D,20081031,000000,0.483106,0.483106,0.426692,0.450814,0,0
SEL,PB,D,20081103,000000,0.491106,0.491106,0.450814,0.450814,0,0
SEL,PB,D,20081104,000000,0.426692,0.442711,0.426692,0.442711,0,0
SEL,PB,D,20081105,000000,0.450814,0.450814,0.434645,0.434645,0,0
SEL,PB,D,20081106,000000,0.458899,0.458899,0.426692,0.442711,0,0
SEL,PB,D,20081107,000000,0.442711,0.442711,0.410588,0.442711,0,0
SEL,PB,D,20081110,000000,0.466974,0.466974,0.466974,0.466974,0,0
SEL,PB,D,20081112,000000,0.442711,0.466974,0.442711,0.458899,0,0
SEL,PB,D,20081113,000000,0.483106,0.483106,0.458899,0.458899,0,0
SEL,PB,D,20081114,000000,0.458899,0.458899,0.426692,0.458899,0,0
SEL,PB,D,20081117,000000,0.442711,0.692329,0.442711,0.692329,0,0
SEL,PB,D,20081118,000000,0.716424,0.716424,0.692329,0.692329,0,0
SEL,PB,D,20081119,000000,0.724518,0.724518,0.692329,0.724518,0,0
SEL,PB,D,20081120,000000,0.692329,0.724518,0.692329,0.724518,0,0
SEL,PB,D,20081121,000000,0.676235,0.724518,0.652235,0.708424,0,0
SEL,PB,D,20081124,000000,0.708424,0.708424,0.692329,0.700518,0,0
SEL,PB,D,20081125,000000,0.684329,0.708424,0.652235,0.700518,0,0
SEL,PB,D,20081126,000000,0.708424,0.708424,0.684329,0.708424,0,0
SEL,PB,D,20081127,000000,0.652235,0.708424,0.652235,0.692329,0,0
SEL,PB,D,20081128,000000,0.708424,0.708424,0.708424,0.708424,0,0
SEL,PB,D,20081201,000000,0.788988,0.788988,0.652235,0.732706,0,0
SEL,PB,D,20081202,000000,0.660235,0.7408,0.660235,0.692329,0,0
SEL,PB,D,20081203,000000,0.7408,0.7408,0.442711,0.442711,0,0
SEL,PB,D,20081204,000000,0.434645,0.434645,0.410588,0.434645,0,0
SEL,PB,D,20081205,000000,0.410588,0.426692,0.402541,0.402541,0,0
SEL,PB,D,20081208,000000,0.418635,0.418635,0.402541,0.402541,0,0
SEL,PB,D,20081209,000000,0.418635,0.418635,0.402541,0.402541,0,0
SEL,PB,D,20081210,000000,0.434645,0.434645,0.394513,0.402541,0,0
SEL,PB,D,20081211,000000,0.394513,0.402541,0.394513,0.402541,0,0
SEL,PB,D,20081212,000000,0.394513,0.402541,0.386447,0.402541,0,0
SEL,PB,D,20081215,000000,0.394513,0.394513,0.362315,0.394513,0,0
SEL,PB,D,20081216,000000,0.410588,0.410588,0.410588,0.410588,0,0
SEL,PB,D,20081217,000000,0.410588,0.410588,0.410588,0.410588,0,0
SEL,PB,D,20081218,000000,0.394513,0.394513,0.370362,0.394513,0,0
SEL,PB,D,20081219,000000,0.394513,0.394513,0.362315,0.394513,0,0
SEL,PB,D,20081222,000000,0.378409,0.378409,0.362315,0.370362,0,0
SEL,PB,D,20081223,000000,0.370362,0.370362,0.362315,0.370362,0,0
SEL,PB,D,20081229,000000,0.410588,0.410588,0.362315,0.362315,0,0
SEL,PB,D,20081230,000000,0.402541,0.402541,0.354259,0.370362,0,0
SEL,PB,D,20081231,000000,0.362315,0.418635,0.362315,0.418635,0,0
SEL,PB,D,20090105,000000,0.418635,0.418635,0.394513,0.410588,0,0
SEL,PB,D,20090106,000000,0.410588,0.410588,0.394513,0.394513,0,0
SEL,PB,D,20090107,000000,0.378409,0.386447,0.362315,0.362315,0,0
SEL,PB,D,20090108,000000,0.354259,0.386447,0.354259,0.362315,0,0
SEL,PB,D,20090109,000000,0.394513,0.394513,0.362315,0.386447,0,0
SEL,PB,D,20090112,000000,0.378409,0.386447,0.346221,0.386447,0,0
SEL,PB,D,20090113,000000,0.346221,0.370362,0.346221,0.354259,0,0
SEL,PB,D,20090114,000000,0.378409,0.378409,0.346221,0.354259,0,0
SEL,PB,D,20090115,000000,0.362315,0.362315,0.354259,0.362315,0,0
SEL,PB,D,20090116,000000,0.378409,0.386447,0.362315,0.386447,0,0
SEL,PB,D,20090119,000000,0.378409,0.378409,0.362315,0.378409,0,0
SEL,PB,D,20090120,000000,0.386447,0.386447,0.378409,0.378409,0,0
SEL,PB,D,20090121,000000,0.362315,0.386447,0.362315,0.378409,0,0
SEL,PB,D,20090122,000000,0.386447,0.386447,0.386447,0.386447,0,0
SEL,PB,D,20090123,000000,0.418635,0.418635,0.378409,0.402541,0,0
SEL,PB,D,20090126,000000,0.410588,0.410588,0.410588,0.410588,0,0
SEL,PB,D,20090128,000000,0.410588,0.410588,0.410588,0.410588,0,0
SEL,PB,D,20090129,000000,0.410588,0.450814,0.410588,0.418635,0,0
SEL,PB,D,20090130,000000,0.418635,0.450814,0.394513,0.394513,0,0
SEL,PB,D,20090202,000000,0.394513,0.394513,0.394513,0.394513,0,0
SEL,PB,D,20090203,000000,0.362315,0.394513,0.362315,0.386447,0,0
SEL,PB,D,20090204,000000,0.450814,0.450814,0.362315,0.362315,0,0
SEL,PB,D,20090205,000000,0.394513,0.394513,0.346221,0.378409,0,0
SEL,PB,D,20090206,000000,0.354259,0.402541,0.346221,0.354259,0,0
SEL,PB,D,20090209,000000,0.370362,0.370362,0.362315,0.362315,0,0
SEL,PB,D,20090210,000000,0.394513,0.394513,0.370362,0.370362,0,0
SEL,PB,D,20090211,000000,0.370362,0.394513,0.370362,0.394513,0,0
SEL,PB,D,20090212,000000,0.370362,0.394513,0.362315,0.362315,0,0
SEL,PB,D,20090213,000000,0.394513,0.394513,0.362315,0.386447,0,0
SEL,PB,D,20090216,000000,0.378409,0.386447,0.362315,0.370362,0,0
SEL,PB,D,20090217,000000,0.370362,0.394513,0.362315,0.378409,0,0
SEL,PB,D,20090218,000000,0.394513,0.394513,0.370362,0.386447,0,0
SEL,PB,D,20090219,000000,0.370362,0.394513,0.370362,0.394513,0,0
SEL,PB,D,20090220,000000,0.378409,0.394513,0.378409,0.394513,0,0
SEL,PB,D,20090223,000000,0.394513,0.394513,0.378409,0.378409,0,0
SEL,PB,D,20090224,000000,0.378409,0.394513,0.378409,0.394513,0,0
SEL,PB,D,20090225,000000,0.394513,0.394513,0.378409,0.394513,0,0
SEL,PB,D,20090227,000000,0.386447,0.386447,0.362315,0.378409,0,0
SEL,PB,D,20090302,000000,0.362315,0.386447,0.362315,0.378409,0,0
SEL,PB,D,20090303,000000,0.378409,0.386447,0.378409,0.386447,0,0
SEL,PB,D,20090304,000000,0.386447,0.394513,0.386447,0.394513,0,0
SEL,PB,D,20090305,000000,0.394513,0.402541,0.378409,0.378409,0,0
SEL,PB,D,20090306,000000,0.402541,0.402541,0.402541,0.402541,0,0
SEL,PB,D,20090310,000000,0.386447,0.402541,0.386447,0.402541,0,0
SEL,PB,D,20090311,000000,0.402541,0.418635,0.402541,0.418635,0,0
SEL,PB,D,20090312,000000,0.442711,0.442711,0.418635,0.418635,0,0
SEL,PB,D,20090313,000000,0.418635,0.442711,0.418635,0.418635,0,0
SEL,PB,D,20090316,000000,0.418635,0.434645,0.418635,0.434645,0,0
SEL,PB,D,20090317,000000,0.402541,0.434645,0.402541,0.434645,0,0
SEL,PB,D,20090318,000000,0.434645,0.442711,0.410588,0.442711,0,0
SEL,PB,D,20090319,000000,0.483106,0.483106,0.434645,0.466974,0,0
SEL,PB,D,20090320,000000,0.458899,0.483106,0.458899,0.466974,0,0
SEL,PB,D,20090323,000000,0.491106,0.603953,0.475012,0.515294,0,0
SEL,PB,D,20090324,000000,0.531388,0.531388,0.4992,0.4992,0,0
SEL,PB,D,20090325,000000,0.507106,0.515294,0.507106,0.515294,0,0
SEL,PB,D,20090326,000000,0.507106,0.515294,0.507106,0.515294,0,0
SEL,PB,D,20090327,000000,0.523294,0.523294,0.507106,0.523294,0,0
SEL,PB,D,20090330,000000,0.531388,0.531388,0.507106,0.507106,0,0
