<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHO,PE,D,20210709,000000,102,102,102,102,0,0
SHO,PE,D,20210712,000000,99.2,107.5,99.2,107.5,0,0
SHO,PE,D,20210713,000000,107.7,116.7,107.5,116.7,0,0
SHO,PE,D,20210714,000000,120.5,124.7,117.4,117.7,0,0
SHO,PE,D,20210715,000000,118.1,121.9,118.1,120.1,0,0
SHO,PE,D,20210716,000000,120.5,120.5,119.4,119.9,0,0
SHO,PE,D,20210719,000000,120.3,120.3,115.7,117.6,0,0
SHO,PE,D,20210720,000000,117.6,126.3,116.8,126.3,0,0
SHO,PE,D,20210721,000000,126.9,129.1,122.4,126.3,0,0
SHO,PE,D,20210722,000000,128.1,128.1,122.4,122.4,0,0
SHO,PE,D,20210723,000000,122.4,125.5,120.7,125.5,0,0
SHO,PE,D,20210726,000000,127.3,127.3,123.4,124.8,0,0
SHO,PE,D,20210727,000000,124.8,127,122,124.3,0,0
SHO,PE,D,20210728,000000,124.3,124.3,120.5,122.2,0,0
SHO,PE,D,20210729,000000,121.6,123.4,121.5,123.4,0,0
SHO,PE,D,20210730,000000,122.4,122.4,120.5,120.5,0,0
SHO,PE,D,20210802,000000,120.5,120.5,118.8,120.5,0,0
SHO,PE,D,20210803,000000,120.7,120.7,116.9,120.5,0,0
SHO,PE,D,20210804,000000,120.5,122.4,118.6,122.4,0,0
SHO,PE,D,20210805,000000,119.5,123.2,119.5,122.4,0,0
SHO,PE,D,20210806,000000,122.4,122.4,119.6,120.8,0,0
SHO,PE,D,20210809,000000,118.5,120.2,118.5,119.4,0,0
SHO,PE,D,20210810,000000,119.4,119.6,119.4,119.6,0,0
SHO,PE,D,20210811,000000,119.5,120.4,118.5,120.4,0,0
SHO,PE,D,20210812,000000,120.4,120.4,118.5,120.1,0,0
SHO,PE,D,20210813,000000,120.1,122.4,120.1,122.4,0,0
SHO,PE,D,20210816,000000,122.4,122.4,114.2,118.6,0,0
SHO,PE,D,20210817,000000,120.4,129.8,120.4,129.2,0,0
SHO,PE,D,20210818,000000,130.2,131.7,130.2,130.7,0,0
SHO,PE,D,20210819,000000,131.6,131.6,130.2,131.1,0,0
SHO,PE,D,20210820,000000,131.2,134,131.2,134,0,0
SHO,PE,D,20210823,000000,134,145.7,132.1,145.7,0,0
SHO,PE,D,20210824,000000,143.8,150.6,137.6,141.8,0,0
SHO,PE,D,20210825,000000,143,145.7,142.8,142.8,0,0
SHO,PE,D,20210826,000000,145.7,145.7,137.6,137.6,0,0
SHO,PE,D,20210827,000000,143.4,143.4,132.1,134.5,0,0
SHO,PE,D,20210830,000000,135.9,135.9,133,133.1,0,0
SHO,PE,D,20210831,000000,133.1,137,133.1,136,0,0
SHO,PE,D,20210901,000000,135,135.6,134.1,134.3,0,0
SHO,PE,D,20210902,000000,134.3,135.2,133.1,134.4,0,0
SHO,PE,D,20210903,000000,134.8,134.8,131.1,132.1,0,0
SHO,PE,D,20210906,000000,132.1,132.1,124.3,131.7,0,0
SHO,PE,D,20210907,000000,130.2,131.7,130.2,131.5,0,0
SHO,PE,D,20210908,000000,131.5,131.7,127,127.3,0,0
SHO,PE,D,20210909,000000,126.3,128.3,124.6,128.2,0,0
SHO,PE,D,20210910,000000,125.8,128.2,125.8,127.5,0,0
SHO,PE,D,20210913,000000,130.2,130.2,124.4,124.7,0,0
SHO,PE,D,20210914,000000,128,128,124.3,128,0,0
SHO,PE,D,20210915,000000,128.2,130.1,128.2,128.2,0,0
SHO,PE,D,20210916,000000,128.2,128.7,128.1,128.3,0,0
SHO,PE,D,20210917,000000,128.2,134.8,128.2,134.8,0,0
SHO,PE,D,20210920,000000,135,135.5,130.1,132.1,0,0
