<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKA,PB,D,20070813,000000,3.05199,3.05199,3.05199,3.05199,0,0
SKA,PB,D,20070814,000000,3.05199,3.05199,3.05199,3.05199,0,0
SKA,PB,D,20070816,000000,3.00375,3.00375,3.00375,3.00375,0,0
SKA,PB,D,20070817,000000,2.98227,2.98227,2.98227,2.98227,0,0
SKA,PB,D,20070820,000000,2.99856,2.99856,2.99856,2.99856,0,0
SKA,PB,D,20070821,000000,2.96098,2.96098,2.96098,2.96098,0,0
SKA,PB,D,20070822,000000,3.05744,3.05744,3.05744,3.05744,0,0
SKA,PB,D,20070823,000000,3.03069,3.03069,3.03069,3.03069,0,0
SKA,PB,D,20070824,000000,3.06819,3.06819,3.06819,3.06819,0,0
SKA,PB,D,20070827,000000,3.06819,3.06819,3.06819,3.06819,0,0
SKA,PB,D,20070828,000000,3.05744,3.05744,3.05744,3.05744,0,0
SKA,PB,D,20070829,000000,3.05744,3.05744,3.05744,3.05744,0,0
SKA,PB,D,20070830,000000,3.20214,3.20214,3.20214,3.20214,0,0
SKA,PB,D,20070831,000000,3.20214,3.20214,3.20214,3.20214,0,0
SKA,PB,D,20070903,000000,3.20214,3.20214,3.20214,3.20214,0,0
SKA,PB,D,20070904,000000,3.09484,3.09484,3.09484,3.09484,0,0
SKA,PB,D,20070905,000000,3.05744,3.05744,3.05744,3.05744,0,0
SKA,PB,D,20070906,000000,3.08411,3.08411,3.08411,3.08411,0,0
SKA,PB,D,20070907,000000,3.05744,3.05744,3.05744,3.05744,0,0
SKA,PB,D,20070910,000000,3.05744,3.05744,3.05744,3.05744,0,0
SKA,PB,D,20070911,000000,2.93432,2.93432,2.93432,2.93432,0,0
SKA,PB,D,20070912,000000,2.92358,2.92358,2.92358,2.92358,0,0
SKA,PB,D,20070913,000000,3.05744,3.05744,3.05744,3.05744,0,0
SKA,PB,D,20070914,000000,3.00912,3.00912,3.00912,3.00912,0,0
SKA,PB,D,20070917,000000,3.00912,3.00912,3.00912,3.00912,0,0
SKA,PB,D,20070918,000000,3.00912,3.00912,3.00912,3.00912,0,0
SKA,PB,D,20070919,000000,3.00912,3.00912,3.00912,3.00912,0,0
SKA,PB,D,20070920,000000,2.9021,2.9021,2.9021,2.9021,0,0
SKA,PB,D,20070921,000000,3.05199,3.05199,3.05199,3.05199,0,0
SKA,PB,D,20070924,000000,3.00375,3.00375,3.00375,3.00375,0,0
SKA,PB,D,20070925,000000,2.97181,2.97181,2.97181,2.97181,0,0
SKA,PB,D,20070926,000000,2.95579,2.95579,2.95579,2.95579,0,0
SKA,PB,D,20070927,000000,2.97699,2.97699,2.97699,2.97699,0,0
SKA,PB,D,20070928,000000,2.88608,2.88608,2.88608,2.88608,0,0
SKA,PB,D,20071001,000000,2.77897,2.77897,2.77897,2.77897,0,0
SKA,PB,D,20071002,000000,2.85406,2.85406,2.85406,2.85406,0,0
SKA,PB,D,20071003,000000,2.85406,2.85406,2.85406,2.85406,0,0
SKA,PB,D,20071004,000000,2.75221,2.75221,2.75221,2.75221,0,0
SKA,PB,D,20071005,000000,2.89145,2.89145,2.89145,2.89145,0,0
SKA,PB,D,20071008,000000,2.89145,2.89145,2.89145,2.89145,0,0
SKA,PB,D,20071009,000000,2.84859,2.84859,2.84859,2.84859,0,0
SKA,PB,D,20071010,000000,2.82711,2.82711,2.82711,2.82711,0,0
SKA,PB,D,20071011,000000,2.85406,2.85406,2.85406,2.85406,0,0
SKA,PB,D,20071012,000000,2.85406,2.85406,2.85406,2.85406,0,0
SKA,PB,D,20071015,000000,2.85406,2.85406,2.85406,2.85406,0,0
SKA,PB,D,20071016,000000,2.80035,2.80035,2.80035,2.80035,0,0
SKA,PB,D,20071017,000000,2.80035,2.80035,2.80035,2.80035,0,0
SKA,PB,D,20071018,000000,2.80035,2.80035,2.80035,2.80035,0,0
SKA,PB,D,20071019,000000,2.80035,2.80035,2.80035,2.80035,0,0
SKA,PB,D,20071022,000000,2.84859,2.84859,2.84859,2.84859,0,0
SKA,PB,D,20071023,000000,2.85406,2.85406,2.85406,2.85406,0,0
SKA,PB,D,20071024,000000,2.84313,2.84313,2.84313,2.84313,0,0
SKA,PB,D,20071025,000000,2.83249,2.83249,2.83249,2.83249,0,0
SKA,PB,D,20071026,000000,2.7574,2.7574,2.7574,2.7574,0,0
SKA,PB,D,20071029,000000,2.80573,2.80573,2.80573,2.80573,0,0
SKA,PB,D,20071030,000000,2.84313,2.84313,2.84313,2.84313,0,0
SKA,PB,D,20071031,000000,2.80573,2.80573,2.80573,2.80573,0,0
SKA,PB,D,20071102,000000,2.78435,2.78435,2.78435,2.78435,0,0
SKA,PB,D,20071105,000000,2.80573,2.80573,2.80573,2.80573,0,0
SKA,PB,D,20071106,000000,2.7898,2.7898,2.7898,2.7898,0,0
SKA,PB,D,20071107,000000,2.80035,2.80035,2.80035,2.80035,0,0
SKA,PB,D,20071108,000000,2.89145,2.89145,2.89145,2.89145,0,0
SKA,PB,D,20071109,000000,2.89145,2.9021,2.77897,2.9021,0,0
SKA,PB,D,20071112,000000,2.80573,2.9021,2.80573,2.9021,0,0
SKA,PB,D,20071113,000000,2.80573,2.9021,2.55948,2.55948,0,0
SKA,PB,D,20071114,000000,2.60771,2.60771,2.47365,2.47365,0,0
SKA,PB,D,20071115,000000,2.5541,2.5541,2.46837,2.51661,0,0
SKA,PB,D,20071116,000000,2.5541,2.5541,2.4469,2.49522,0,0
SKA,PB,D,20071119,000000,2.49522,2.51661,2.4469,2.48986,0,0
SKA,PB,D,20071120,000000,2.42561,2.48458,2.42561,2.46837,0,0
SKA,PB,D,20071121,000000,2.42561,2.42561,2.31322,2.40413,0,0
SKA,PB,D,20071122,000000,2.40413,2.40413,2.29146,2.35599,0,0
SKA,PB,D,20071123,000000,2.36127,2.36127,2.29711,2.35599,0,0
SKA,PB,D,20071126,000000,2.35599,2.35599,2.27045,2.35599,0,0
SKA,PB,D,20071127,000000,2.35599,2.35599,2.1525,2.18991,0,0
SKA,PB,D,20071128,000000,2.14186,2.30248,2.14186,2.30248,0,0
SKA,PB,D,20071129,000000,2.30248,2.30776,2.25962,2.25962,0,0
SKA,PB,D,20071130,000000,2.39876,2.39876,2.30776,2.30776,0,0
SKA,PB,D,20071203,000000,2.39876,2.39876,2.21148,2.21675,0,0
SKA,PB,D,20071204,000000,2.30776,2.30776,2.10436,2.21675,0,0
SKA,PB,D,20071205,000000,2.21675,2.33442,2.17389,2.33442,0,0
SKA,PB,D,20071206,000000,2.30776,2.30776,2.30776,2.30776,0,0
SKA,PB,D,20071207,000000,2.39876,2.39876,2.28637,2.28637,0,0
