<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKA,PE,D,20070813,000000,12.47,12.47,12.47,12.47,0,0
SKA,PE,D,20070814,000000,12.47,12.47,12.47,12.47,0,0
SKA,PE,D,20070816,000000,12.3211,12.3211,12.3211,12.3211,0,0
SKA,PE,D,20070817,000000,12.2194,12.2194,12.2194,12.2194,0,0
SKA,PE,D,20070820,000000,12.2665,12.2665,12.2665,12.2665,0,0
SKA,PE,D,20070821,000000,12.1111,12.1111,12.1111,12.1111,0,0
SKA,PE,D,20070822,000000,12.5181,12.5181,12.5181,12.5181,0,0
SKA,PE,D,20070823,000000,12.4182,12.4182,12.4182,12.4182,0,0
SKA,PE,D,20070824,000000,12.5726,12.5726,12.5726,12.5726,0,0
SKA,PE,D,20070827,000000,12.5726,12.5726,12.5726,12.5726,0,0
SKA,PE,D,20070828,000000,12.5181,12.5181,12.5181,12.5181,0,0
SKA,PE,D,20070829,000000,12.47,12.47,12.47,12.47,0,0
SKA,PE,D,20070830,000000,12.7281,12.7281,12.7281,12.7281,0,0
SKA,PE,D,20070831,000000,12.7281,12.7281,12.7281,12.7281,0,0
SKA,PE,D,20070903,000000,12.7281,12.7281,12.7281,12.7281,0,0
SKA,PE,D,20070904,000000,12.3626,12.3626,12.3626,12.3626,0,0
SKA,PE,D,20070905,000000,12.1545,12.1545,12.1545,12.1545,0,0
SKA,PE,D,20070906,000000,12.3145,12.3145,12.3145,12.3145,0,0
SKA,PE,D,20070907,000000,12.1545,12.1545,12.1545,12.1545,0,0
SKA,PE,D,20070910,000000,12.1545,12.1545,12.1545,12.1545,0,0
SKA,PE,D,20070911,000000,11.689,11.689,11.689,11.689,0,0
SKA,PE,D,20070912,000000,11.6344,11.6344,11.6344,11.6344,0,0
SKA,PE,D,20070913,000000,12.1545,12.1545,12.1545,12.1545,0,0
SKA,PE,D,20070914,000000,11.9981,11.9981,11.9981,11.9981,0,0
SKA,PE,D,20070917,000000,11.9981,11.9981,11.9981,11.9981,0,0
SKA,PE,D,20070918,000000,11.9981,11.9981,11.9981,11.9981,0,0
SKA,PE,D,20070919,000000,11.9981,11.9981,11.9981,11.9981,0,0
SKA,PE,D,20070920,000000,11.5873,11.5873,11.5873,11.5873,0,0
SKA,PE,D,20070921,000000,12.1545,12.1545,12.1545,12.1545,0,0
SKA,PE,D,20070924,000000,11.9509,11.9509,11.9509,11.9509,0,0
SKA,PE,D,20070925,000000,11.8426,11.8426,11.8426,11.8426,0,0
SKA,PE,D,20070926,000000,11.7955,11.7955,11.7955,11.7955,0,0
SKA,PE,D,20070927,000000,11.8426,11.8426,11.8426,11.8426,0,0
SKA,PE,D,20070928,000000,11.5336,11.5336,11.5336,11.5336,0,0
SKA,PE,D,20071001,000000,11.0673,11.0673,11.0673,11.0673,0,0
SKA,PE,D,20071002,000000,11.3782,11.3782,11.3782,11.3782,0,0
SKA,PE,D,20071003,000000,11.3782,11.3782,11.3782,11.3782,0,0
SKA,PE,D,20071004,000000,10.9599,10.9599,10.9599,10.9599,0,0
SKA,PE,D,20071005,000000,11.5336,11.5336,11.5336,11.5336,0,0
SKA,PE,D,20071008,000000,11.5336,11.5336,11.5336,11.5336,0,0
SKA,PE,D,20071009,000000,11.3245,11.3245,11.3245,11.3245,0,0
SKA,PE,D,20071010,000000,11.2717,11.2717,11.2717,11.2717,0,0
SKA,PE,D,20071011,000000,11.3782,11.3782,11.3782,11.3782,0,0
SKA,PE,D,20071012,000000,11.3782,11.3782,11.3782,11.3782,0,0
SKA,PE,D,20071015,000000,11.3782,11.3782,11.3782,11.3782,0,0
SKA,PE,D,20071016,000000,11.169,11.169,11.169,11.169,0,0
SKA,PE,D,20071017,000000,11.169,11.169,11.169,11.169,0,0
SKA,PE,D,20071018,000000,11.169,11.169,11.169,11.169,0,0
SKA,PE,D,20071019,000000,11.169,11.169,11.169,11.169,0,0
SKA,PE,D,20071022,000000,11.3245,11.3245,11.3245,11.3245,0,0
SKA,PE,D,20071023,000000,11.3782,11.3782,11.3782,11.3782,0,0
SKA,PE,D,20071024,000000,11.3245,11.3245,11.3245,11.3245,0,0
SKA,PE,D,20071025,000000,11.2717,11.2717,11.2717,11.2717,0,0
SKA,PE,D,20071026,000000,10.9599,10.9599,10.9599,10.9599,0,0
SKA,PE,D,20071029,000000,11.169,11.169,11.169,11.169,0,0
SKA,PE,D,20071030,000000,11.3245,11.3245,11.3245,11.3245,0,0
SKA,PE,D,20071031,000000,11.169,11.169,11.169,11.169,0,0
SKA,PE,D,20071102,000000,11.0673,11.0673,11.0673,11.0673,0,0
SKA,PE,D,20071105,000000,11.169,11.169,11.169,11.169,0,0
SKA,PE,D,20071106,000000,11.1153,11.1153,11.1153,11.1153,0,0
SKA,PE,D,20071107,000000,11.1153,11.1153,11.1153,11.1153,0,0
SKA,PE,D,20071108,000000,11.5336,11.5336,11.5336,11.5336,0,0
SKA,PE,D,20071109,000000,11.5336,11.5873,11.0673,11.5873,0,0
SKA,PE,D,20071112,000000,11.169,11.5873,11.169,11.5873,0,0
SKA,PE,D,20071113,000000,11.169,11.5873,10.9599,10.9599,0,0
SKA,PE,D,20071114,000000,11.169,11.169,10.5972,10.5972,0,0
SKA,PE,D,20071115,000000,10.9599,10.9599,10.5972,10.7517,0,0
SKA,PE,D,20071116,000000,10.9119,10.9119,10.4409,10.7036,0,0
SKA,PE,D,20071119,000000,10.7036,10.8054,10.4945,10.65,0,0
SKA,PE,D,20071120,000000,10.5972,10.5972,10.5972,10.5972,0,0
SKA,PE,D,20071121,000000,10.3918,10.3918,9.92075,10.2854,0,0
SKA,PE,D,20071122,000000,10.2854,10.2854,9.76729,10.0771,0,0
SKA,PE,D,20071123,000000,10.1299,10.1299,9.82097,10.0771,0,0
SKA,PE,D,20071126,000000,10.0771,10.0771,9.7126,10.0771,0,0
SKA,PE,D,20071127,000000,10.0771,10.0771,9.19447,9.40267,0,0
SKA,PE,D,20071128,000000,9.19447,9.87271,9.19447,9.87271,0,0
SKA,PE,D,20071129,000000,9.87271,9.87271,9.7126,9.7126,0,0
SKA,PE,D,20071130,000000,10.2854,10.2854,9.87271,9.87271,0,0
SKA,PE,D,20071203,000000,10.2326,10.2326,9.45636,9.50818,0,0
SKA,PE,D,20071204,000000,9.92075,9.92075,9.03809,9.50818,0,0
SKA,PE,D,20071205,000000,9.50818,10.0282,9.29998,9.97638,0,0
SKA,PE,D,20071206,000000,9.87271,9.87271,9.87271,9.87271,0,0
SKA,PE,D,20071207,000000,10.2854,10.2854,9.76729,9.76729,0,0
SKA,PE,D,20071210,000000,9.45636,9.7126,9.45636,9.7126,0,0
SKA,PE,D,20071211,000000,9.7126,9.87271,9.55811,9.87271,0,0
SKA,PE,D,20071212,000000,9.40267,9.87271,9.40267,9.87271,0,0
SKA,PE,D,20071213,000000,9.66456,9.82097,9.45636,9.50818,0,0
SKA,PE,D,20071214,000000,9.61087,9.66456,9.50818,9.66456,0,0
SKA,PE,D,20071217,000000,9.45636,9.66456,9.45636,9.66456,0,0
SKA,PE,D,20071218,000000,9.61087,9.61087,9.61087,9.61087,0,0
SKA,PE,D,20071219,000000,9.29998,9.66456,9.29998,9.66456,0,0
SKA,PE,D,20071220,000000,9.19447,9.7126,9.19447,9.7126,0,0
SKA,PE,D,20071221,000000,9.7126,9.92075,9.40267,9.87271,0,0
SKA,PE,D,20071227,000000,9.82097,10.2326,9.82097,10.1836,0,0
SKA,PE,D,20071228,000000,9.87271,10.4945,9.29998,9.29998,0,0
SKA,PE,D,20080102,000000,9.66456,9.66456,9.40267,9.40267,0,0
SKA,PE,D,20080103,000000,9.19447,9.50818,9.14548,9.29998,0,0
SKA,PE,D,20080104,000000,8.88369,9.29998,8.88369,9.29998,0,0
SKA,PE,D,20080107,000000,9.34897,9.34897,9.19447,9.19447,0,0
SKA,PE,D,20080108,000000,9.29998,9.29998,9.09179,9.29998,0,0
SKA,PE,D,20080109,000000,8.93616,9.45636,8.93616,9.45636,0,0
SKA,PE,D,20080111,000000,8.88369,9.09179,8.88369,9.09179,0,0
SKA,PE,D,20080114,000000,7.95077,7.95077,7.95077,7.95077,0,0
SKA,PE,D,20080115,000000,8.10678,8.10678,7.79033,8.05289,0,0
SKA,PE,D,20080116,000000,8.05289,8.05289,7.53381,7.53381,0,0
SKA,PE,D,20080117,000000,7.53381,7.58675,7.53381,7.58675,0,0
SKA,PE,D,20080118,000000,7.63594,7.68832,7.58675,7.63594,0,0
SKA,PE,D,20080121,000000,7.89773,7.99976,7.42689,7.42689,0,0
SKA,PE,D,20080122,000000,7.32534,7.42689,7.22322,7.42689,0,0
SKA,PE,D,20080123,000000,7.53381,7.74286,7.53381,7.68832,0,0
SKA,PE,D,20080124,000000,7.89773,8.47078,7.4803,8.47078,0,0
SKA,PE,D,20080125,000000,8.47078,8.47078,8.31026,8.31026,0,0
SKA,PE,D,20080129,000000,8.51996,8.625,8.51996,8.625,0,0
SKA,PE,D,20080130,000000,8.51996,8.67568,8.31026,8.51996,0,0
SKA,PE,D,20080131,000000,8.57263,8.67568,8.41727,8.67568,0,0
SKA,PE,D,20080201,000000,8.88369,8.99004,8.88369,8.93616,0,0
SKA,PE,D,20080204,000000,8.78242,8.99004,8.78242,8.99004,0,0
SKA,PE,D,20080205,000000,8.93616,8.93616,8.93616,8.93616,0,0
SKA,PE,D,20080206,000000,8.41727,8.729,8.41727,8.729,0,0
SKA,PE,D,20080207,000000,8.51996,8.51996,8.15566,8.51996,0,0
SKA,PE,D,20080208,000000,8.51996,8.88369,8.41727,8.88369,0,0
SKA,PE,D,20080211,000000,8.31026,8.729,8.31026,8.729,0,0
SKA,PE,D,20080212,000000,8.78242,8.78242,8.31026,8.78242,0,0
SKA,PE,D,20080213,000000,8.78242,8.78242,8.78242,8.78242,0,0
SKA,PE,D,20080214,000000,8.78242,8.78242,8.625,8.78242,0,0
SKA,PE,D,20080215,000000,8.78242,8.78242,8.78242,8.78242,0,0
SKA,PE,D,20080220,000000,8.88369,8.88369,8.88369,8.88369,0,0
SKA,PE,D,20080222,000000,9.14548,9.14548,8.78242,8.78242,0,0
SKA,PE,D,20080225,000000,9.14548,9.14548,9.14548,9.14548,0,0
SKA,PE,D,20080226,000000,9.14548,9.14548,8.625,9.03809,0,0
SKA,PE,D,20080227,000000,8.625,8.67568,8.625,8.67568,0,0
SKA,PE,D,20080229,000000,9.40267,9.66456,9.40267,9.66456,0,0
SKA,PE,D,20080303,000000,9.40267,9.40267,9.29998,9.29998,0,0
SKA,PE,D,20080304,000000,8.93616,9.29998,8.93616,9.03809,0,0
SKA,PE,D,20080305,000000,9.03809,9.03809,9.03809,9.03809,0,0
SKA,PE,D,20080306,000000,8.88369,8.88369,8.47078,8.67568,0,0
SKA,PE,D,20080307,000000,8.67568,8.67568,7.89773,7.89773,0,0
SKA,PE,D,20080310,000000,8.2624,8.47078,8.2624,8.47078,0,0
SKA,PE,D,20080311,000000,8.729,8.729,8.67568,8.67568,0,0
SKA,PE,D,20080312,000000,8.36282,8.67568,8.31026,8.36282,0,0
SKA,PE,D,20080313,000000,8.31026,8.36282,8.2624,8.2624,0,0
SKA,PE,D,20080317,000000,7.84517,8.05289,7.84517,8.05289,0,0
SKA,PE,D,20080318,000000,8.05289,8.10678,7.95077,8.10678,0,0
SKA,PE,D,20080319,000000,8.05289,8.10678,7.99976,8.10678,0,0
SKA,PE,D,20080320,000000,8.15566,8.15566,8.15566,8.15566,0,0
SKA,PE,D,20080325,000000,7.95077,7.99976,7.89773,7.99976,0,0
SKA,PE,D,20080326,000000,8.15566,8.15566,8.15566,8.15566,0,0
SKA,PE,D,20080327,000000,8.15566,8.15566,7.95077,8.10678,0,0
SKA,PE,D,20080328,000000,8.10678,8.10678,8.05289,8.05289,0,0
SKA,PE,D,20080331,000000,8.20776,8.20776,8.20776,8.20776,0,0
SKA,PE,D,20080401,000000,8.41727,8.41727,8.2624,8.41727,0,0
SKA,PE,D,20080402,000000,8.41727,8.41727,8.10678,8.10678,0,0
SKA,PE,D,20080403,000000,7.95077,8.15566,7.95077,8.15566,0,0
SKA,PE,D,20080404,000000,8.2624,8.2624,8.20776,8.2624,0,0
SKA,PE,D,20080407,000000,8.2624,8.31026,8.15566,8.31026,0,0
SKA,PE,D,20080408,000000,8.2624,8.2624,8.05289,8.20776,0,0
SKA,PE,D,20080409,000000,8.2624,8.2624,8.2624,8.2624,0,0
SKA,PE,D,20080411,000000,8.31026,8.31026,8.2624,8.2624,0,0
SKA,PE,D,20080414,000000,8.36282,8.36282,8.15566,8.15566,0,0
SKA,PE,D,20080415,000000,8.15566,8.15566,8.15566,8.15566,0,0
SKA,PE,D,20080417,000000,8.2624,8.2624,8.2624,8.2624,0,0
SKA,PE,D,20080421,000000,8.2624,8.2624,7.95077,8.05289,0,0
SKA,PE,D,20080422,000000,7.89773,8.05289,7.89773,8.05289,0,0
SKA,PE,D,20080423,000000,7.89773,8.05289,7.89773,8.05289,0,0
SKA,PE,D,20080424,000000,7.89773,8.05289,7.89773,8.05289,0,0
SKA,PE,D,20080430,000000,7.89773,8.05289,7.89773,8.05289,0,0
SKA,PE,D,20080505,000000,8.05289,8.05289,8.05289,8.05289,0,0
SKA,PE,D,20080506,000000,8.05289,8.05289,7.99976,7.99976,0,0
SKA,PE,D,20080507,000000,7.99976,8.05289,7.95077,8.05289,0,0
SKA,PE,D,20080512,000000,8.05289,8.05289,8.05289,8.05289,0,0
SKA,PE,D,20080513,000000,8.05289,8.41727,8.05289,8.41727,0,0
SKA,PE,D,20080514,000000,8.41727,8.51996,8.31026,8.31026,0,0
SKA,PE,D,20080515,000000,7.95077,8.31026,7.95077,8.31026,0,0
SKA,PE,D,20080516,000000,8.36282,8.36282,7.63594,7.63594,0,0
SKA,PE,D,20080519,000000,7.84517,7.99976,7.84517,7.99976,0,0
SKA,PE,D,20080521,000000,7.99976,7.99976,7.99976,7.99976,0,0
SKA,PE,D,20080523,000000,7.84517,8.10678,7.84517,8.10678,0,0
SKA,PE,D,20080527,000000,7.84517,8.10678,7.79033,8.10678,0,0
SKA,PE,D,20080529,000000,7.53381,8.10678,7.53381,8.10678,0,0
SKA,PE,D,20080530,000000,7.95077,7.99976,7.84517,7.99976,0,0
SKA,PE,D,20080602,000000,8.10678,8.10678,8.05289,8.05289,0,0
SKA,PE,D,20080603,000000,8.05289,8.05289,8.05289,8.05289,0,0
SKA,PE,D,20080604,000000,8.05289,8.05289,8.05289,8.05289,0,0
SKA,PE,D,20080605,000000,8.05289,8.05289,7.95077,7.99976,0,0
SKA,PE,D,20080606,000000,8.10678,8.10678,7.99976,7.99976,0,0
SKA,PE,D,20080609,000000,7.63594,8.2624,7.63594,8.20776,0,0
SKA,PE,D,20080610,000000,7.99976,8.20776,7.99976,8.05289,0,0
SKA,PE,D,20080611,000000,8.05289,8.05289,8.05289,8.05289,0,0
SKA,PE,D,20080612,000000,8.05289,8.05289,7.99976,7.99976,0,0
SKA,PE,D,20080613,000000,7.99976,8.05289,7.99976,8.05289,0,0
SKA,PE,D,20080616,000000,8.10678,8.10678,8.05289,8.05289,0,0
SKA,PE,D,20080617,000000,8.05289,8.10678,8.05289,8.05289,0,0
SKA,PE,D,20080618,000000,7.84517,7.99976,7.84517,7.99976,0,0
SKA,PE,D,20080619,000000,8.10678,8.10678,7.95077,7.95077,0,0
SKA,PE,D,20080620,000000,7.95077,7.95077,7.95077,7.95077,0,0
SKA,PE,D,20080623,000000,8.10678,8.10678,7.95077,8.05289,0,0
SKA,PE,D,20080624,000000,8.05289,8.05289,8.05289,8.05289,0,0
SKA,PE,D,20080625,000000,7.79033,7.99976,7.79033,7.99976,0,0
SKA,PE,D,20080626,000000,7.99976,8.05289,7.74286,8.05289,0,0
SKA,PE,D,20080627,000000,8.05289,8.05289,8.05289,8.05289,0,0
SKA,PE,D,20080630,000000,8.10678,8.10678,8.10678,8.10678,0,0
SKA,PE,D,20080701,000000,8.05289,8.05289,8.05289,8.05289,0,0
SKA,PE,D,20080702,000000,8.05289,8.05289,7.68832,8.05289,0,0
SKA,PE,D,20080703,000000,7.95077,7.99976,7.95077,7.99976,0,0
SKA,PE,D,20080704,000000,7.68832,7.99976,7.68832,7.99976,0,0
SKA,PE,D,20080707,000000,8.20776,8.20776,8.20776,8.20776,0,0
SKA,PE,D,20080708,000000,7.99976,8.05289,7.99976,8.05289,0,0
SKA,PE,D,20080709,000000,8.05289,8.05289,7.89773,7.89773,0,0
SKA,PE,D,20080710,000000,7.89773,7.99976,7.68832,7.95077,0,0
SKA,PE,D,20080711,000000,7.74286,7.74286,7.53381,7.58675,0,0
SKA,PE,D,20080714,000000,7.58675,7.63594,7.27135,7.63594,0,0
SKA,PE,D,20080715,000000,7.89773,7.89773,7.79033,7.79033,0,0
SKA,PE,D,20080716,000000,7.63594,7.63594,7.63594,7.63594,0,0
SKA,PE,D,20080717,000000,7.42689,7.68832,7.42689,7.68832,0,0
SKA,PE,D,20080718,000000,7.58675,7.63594,7.58675,7.63594,0,0
SKA,PE,D,20080721,000000,7.68832,7.68832,7.63594,7.63594,0,0
SKA,PE,D,20080722,000000,7.63594,7.68832,7.63594,7.68832,0,0
SKA,PE,D,20080723,000000,7.68832,7.68832,7.53381,7.53381,0,0
SKA,PE,D,20080724,000000,7.53381,7.53381,7.53381,7.53381,0,0
SKA,PE,D,20080725,000000,7.4803,7.4803,7.22322,7.42689,0,0
SKA,PE,D,20080728,000000,7.42689,7.63594,7.37809,7.63594,0,0
SKA,PE,D,20080729,000000,7.44271,7.54964,7.44271,7.49613,0,0
SKA,PE,D,20080730,000000,7.2285,7.38855,7.17508,7.38855,0,0
SKA,PE,D,20080731,000000,7.65732,7.65732,7.2285,7.33598,0,0
SKA,PE,D,20080801,000000,7.33598,7.54964,7.33598,7.54964,0,0
SKA,PE,D,20080804,000000,7.2285,7.33598,7.12158,7.33598,0,0
SKA,PE,D,20080805,000000,7.01484,7.01484,6.85356,6.85356,0,0
SKA,PE,D,20080806,000000,6.90716,6.90716,6.5861,6.69293,0,0
SKA,PE,D,20080807,000000,6.47872,6.47872,6.37188,6.42558,0,0
SKA,PE,D,20080808,000000,6.42558,6.47872,6.42558,6.47872,0,0
SKA,PE,D,20080811,000000,6.53231,6.69293,6.26487,6.69293,0,0
SKA,PE,D,20080812,000000,6.69293,6.90716,6.69293,6.85356,0,0
SKA,PE,D,20080813,000000,6.90716,7.17508,6.80061,6.80061,0,0
SKA,PE,D,20080814,000000,6.74701,6.85356,6.5861,6.74701,0,0
SKA,PE,D,20080818,000000,6.69293,6.74701,6.69293,6.74701,0,0
