<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNK,MV,D,20070813,000000,355.681,355.681,355.681,355.681,0,0
SNK,MV,D,20070814,000000,352.202,352.202,352.202,352.202,0,0
SNK,MV,D,20070816,000000,344.792,344.792,344.792,344.792,0,0
SNK,MV,D,20070817,000000,336.172,336.172,336.172,336.172,0,0
SNK,MV,D,20070820,000000,342.524,342.524,342.524,342.524,0,0
SNK,MV,D,20070821,000000,342.524,342.524,342.524,342.524,0,0
SNK,MV,D,20070822,000000,343.289,343.289,343.289,343.289,0,0
SNK,MV,D,20070823,000000,344.792,344.792,344.792,344.792,0,0
SNK,MV,D,20070824,000000,343.289,343.289,343.289,343.289,0,0
SNK,MV,D,20070827,000000,340.265,340.265,340.265,340.265,0,0
SNK,MV,D,20070828,000000,326.644,326.644,326.644,326.644,0,0
SNK,MV,D,20070829,000000,326.483,326.483,326.483,326.483,0,0
SNK,MV,D,20070830,000000,325.888,325.888,325.888,325.888,0,0
SNK,MV,D,20070831,000000,325.737,325.737,325.737,325.737,0,0
SNK,MV,D,20070903,000000,334.225,334.225,334.225,334.225,0,0
SNK,MV,D,20070904,000000,332.552,332.552,332.552,332.552,0,0
SNK,MV,D,20070905,000000,325.122,325.122,325.122,325.122,0,0
SNK,MV,D,20070906,000000,328.015,328.015,328.015,328.015,0,0
SNK,MV,D,20070907,000000,317.58,317.58,317.58,317.58,0,0
SNK,MV,D,20070910,000000,317.58,317.58,317.58,317.58,0,0
SNK,MV,D,20070911,000000,317.58,317.58,317.58,317.58,0,0
SNK,MV,D,20070912,000000,317.58,317.58,317.58,317.58,0,0
SNK,MV,D,20070913,000000,310.008,310.008,310.008,310.008,0,0
SNK,MV,D,20070914,000000,305.472,305.472,305.472,305.472,0,0
SNK,MV,D,20070917,000000,305.472,305.472,305.472,305.472,0,0
SNK,MV,D,20070918,000000,322.107,322.107,322.107,322.107,0,0
SNK,MV,D,20070919,000000,325.122,325.122,325.122,325.122,0,0
SNK,MV,D,20070920,000000,323.468,323.468,323.468,323.468,0,0
SNK,MV,D,20070921,000000,323.336,323.336,323.336,323.336,0,0
SNK,MV,D,20070924,000000,314.555,314.555,314.555,314.555,0,0
SNK,MV,D,20070925,000000,314.555,314.555,314.555,314.555,0,0
SNK,MV,D,20070926,000000,316.805,316.805,316.805,316.805,0,0
