<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNK,PE,D,20070813,000000,8.07026,8.07026,8.07026,8.07026,0,0
SNK,PE,D,20070814,000000,8.01827,8.01827,8.01827,8.01827,0,0
SNK,PE,D,20070816,000000,7.809,7.809,7.809,7.809,0,0
SNK,PE,D,20070817,000000,7.65087,7.65087,7.65087,7.65087,0,0
SNK,PE,D,20070820,000000,7.75551,7.75551,7.75551,7.75551,0,0
SNK,PE,D,20070821,000000,7.75551,7.75551,7.75551,7.75551,0,0
SNK,PE,D,20070822,000000,7.809,7.809,7.809,7.809,0,0
SNK,PE,D,20070823,000000,7.809,7.809,7.809,7.809,0,0
SNK,PE,D,20070824,000000,7.91288,7.91288,7.91288,7.91288,0,0
SNK,PE,D,20070827,000000,7.809,7.809,7.809,7.809,0,0
SNK,PE,D,20070828,000000,7.48745,7.48745,7.48745,7.48745,0,0
SNK,PE,D,20070829,000000,7.48745,7.48745,7.48745,7.48745,0,0
SNK,PE,D,20070830,000000,7.5918,7.5918,7.5918,7.5918,0,0
SNK,PE,D,20070831,000000,7.5918,7.5918,7.5918,7.5918,0,0
SNK,PE,D,20070903,000000,7.75551,7.75551,7.75551,7.75551,0,0
SNK,PE,D,20070904,000000,7.75551,7.75551,7.75551,7.75551,0,0
SNK,PE,D,20070905,000000,7.53953,7.53953,7.53953,7.53953,0,0
SNK,PE,D,20070906,000000,7.65087,7.65087,7.65087,7.65087,0,0
SNK,PE,D,20070907,000000,7.38224,7.38224,7.38224,7.38224,0,0
SNK,PE,D,20070910,000000,7.38224,7.38224,7.38224,7.38224,0,0
SNK,PE,D,20070911,000000,7.38224,7.38224,7.38224,7.38224,0,0
SNK,PE,D,20070912,000000,7.38224,7.38224,7.38224,7.38224,0,0
SNK,PE,D,20070913,000000,7.22402,7.22402,7.22402,7.22402,0,0
SNK,PE,D,20070914,000000,7.11938,7.11938,7.11938,7.11938,0,0
SNK,PE,D,20070917,000000,7.11938,7.11938,7.11938,7.11938,0,0
SNK,PE,D,20070918,000000,7.48745,7.48745,7.48745,7.48745,0,0
SNK,PE,D,20070919,000000,7.53953,7.53953,7.53953,7.53953,0,0
SNK,PE,D,20070920,000000,7.53953,7.53953,7.53953,7.53953,0,0
SNK,PE,D,20070921,000000,7.53953,7.53953,7.53953,7.53953,0,0
SNK,PE,D,20070924,000000,7.32922,7.32922,7.32922,7.32922,0,0
SNK,PE,D,20070925,000000,7.32922,7.32922,7.32922,7.32922,0,0
SNK,PE,D,20070926,000000,7.38224,7.38224,7.38224,7.38224,0,0
SNK,PE,D,20070927,000000,7.38224,7.38224,7.38224,7.38224,0,0
SNK,PE,D,20070928,000000,7.38224,7.38224,7.38224,7.38224,0,0
SNK,PE,D,20071001,000000,7.17118,7.17118,7.17118,7.17118,0,0
SNK,PE,D,20071002,000000,7.22402,7.22402,7.22402,7.22402,0,0
SNK,PE,D,20071003,000000,7.32922,7.32922,7.32922,7.32922,0,0
SNK,PE,D,20071004,000000,7.27714,7.27714,7.27714,7.27714,0,0
SNK,PE,D,20071005,000000,7.32922,7.32922,7.32922,7.32922,0,0
SNK,PE,D,20071008,000000,7.27714,7.27714,7.27714,7.27714,0,0
SNK,PE,D,20071009,000000,7.38224,7.38224,7.38224,7.38224,0,0
SNK,PE,D,20071010,000000,7.38224,7.38224,7.38224,7.38224,0,0
SNK,PE,D,20071011,000000,7.38224,7.38224,7.38224,7.38224,0,0
SNK,PE,D,20071012,000000,7.38224,7.38224,7.38224,7.38224,0,0
SNK,PE,D,20071015,000000,7.27714,7.27714,7.27714,7.27714,0,0
SNK,PE,D,20071016,000000,7.38224,7.38224,7.38224,7.38224,0,0
SNK,PE,D,20071017,000000,7.38224,7.38224,7.38224,7.38224,0,0
SNK,PE,D,20071018,000000,7.22402,7.22402,7.22402,7.22402,0,0
SNK,PE,D,20071019,000000,7.11938,7.11938,7.11938,7.11938,0,0
SNK,PE,D,20071022,000000,6.96087,6.96087,6.96087,6.96087,0,0
SNK,PE,D,20071023,000000,7.32922,7.32922,7.32922,7.32922,0,0
SNK,PE,D,20071024,000000,7.32922,7.32922,7.32922,7.32922,0,0
SNK,PE,D,20071025,000000,7.32922,7.32922,7.32922,7.32922,0,0
SNK,PE,D,20071026,000000,7.32922,7.32922,7.32922,7.32922,0,0
SNK,PE,D,20071029,000000,7.32922,7.32922,7.32922,7.32922,0,0
SNK,PE,D,20071030,000000,7.43442,7.43442,7.43442,7.43442,0,0
SNK,PE,D,20071031,000000,7.43442,7.43442,7.43442,7.43442,0,0
SNK,PE,D,20071102,000000,7.43442,7.43442,7.43442,7.43442,0,0
SNK,PE,D,20071105,000000,7.43442,7.43442,7.43442,7.43442,0,0
SNK,PE,D,20071106,000000,7.43442,7.43442,7.43442,7.43442,0,0
SNK,PE,D,20071107,000000,7.22402,7.22402,7.22402,7.22402,0,0
SNK,PE,D,20071108,000000,7.32922,7.32922,7.32922,7.32922,0,0
SNK,PE,D,20071109,000000,7.27714,7.32922,7.27714,7.32922,0,0
SNK,PE,D,20071112,000000,7.53953,7.53953,7.32922,7.32922,0,0
SNK,PE,D,20071113,000000,7.53953,7.5918,6.85633,7.53953,0,0
SNK,PE,D,20071114,000000,7.5918,7.5918,7.01342,7.43442,0,0
SNK,PE,D,20071115,000000,7.5918,7.5918,7.06664,7.06664,0,0
SNK,PE,D,20071116,000000,6.90898,7.06664,6.75085,7.06664,0,0
SNK,PE,D,20071119,000000,6.90898,7.06664,6.69848,6.69848,0,0
SNK,PE,D,20071120,000000,6.80368,6.80368,6.80368,6.80368,0,0
SNK,PE,D,20071121,000000,6.69848,6.80368,6.38326,6.75085,0,0
SNK,PE,D,20071122,000000,6.75085,6.75085,6.38326,6.75085,0,0
SNK,PE,D,20071123,000000,6.75085,6.75085,6.59366,6.75085,0,0
SNK,PE,D,20071126,000000,6.75085,6.75085,6.75085,6.75085,0,0
SNK,PE,D,20071127,000000,6.75085,6.75085,6.59366,6.59366,0,0
SNK,PE,D,20071128,000000,6.59366,6.59366,6.38326,6.38326,0,0
SNK,PE,D,20071129,000000,6.38326,6.69848,6.38326,6.69848,0,0
SNK,PE,D,20071130,000000,6.75085,6.80368,6.69848,6.69848,0,0
SNK,PE,D,20071203,000000,6.54082,6.69848,6.54082,6.69848,0,0
SNK,PE,D,20071205,000000,6.69848,6.75085,6.64593,6.75085,0,0
SNK,PE,D,20071206,000000,6.69848,6.69848,6.69848,6.69848,0,0
SNK,PE,D,20071210,000000,6.59366,6.75085,6.59366,6.75085,0,0
SNK,PE,D,20071211,000000,6.69848,6.75085,6.59366,6.75085,0,0
SNK,PE,D,20071212,000000,6.59366,6.75085,6.48846,6.75085,0,0
SNK,PE,D,20071214,000000,6.54082,6.69848,6.54082,6.69848,0,0
SNK,PE,D,20071217,000000,6.59366,6.59366,6.54082,6.54082,0,0
SNK,PE,D,20071218,000000,6.43572,6.64593,6.38326,6.38326,0,0
SNK,PE,D,20071219,000000,6.64593,6.64593,6.64593,6.64593,0,0
SNK,PE,D,20071220,000000,6.64593,6.64593,6.64593,6.64593,0,0
SNK,PE,D,20071221,000000,6.69848,6.69848,6.43572,6.69848,0,0
SNK,PE,D,20071227,000000,6.69848,6.69848,6.38326,6.43572,0,0
SNK,PE,D,20071228,000000,6.54082,6.54082,6.38326,6.38326,0,0
SNK,PE,D,20080102,000000,6.69848,6.69848,6.69848,6.69848,0,0
SNK,PE,D,20080103,000000,6.38326,6.38326,6.38326,6.38326,0,0
