<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNT,MV,D,20110809,000000,43.7414,43.7414,43.7414,43.7414,0,0
SNT,MV,D,20110810,000000,51.9826,51.9826,43.0491,43.2079,0,0
SNT,MV,D,20110811,000000,47.8388,47.8388,47.8388,47.8388,0,0
SNT,MV,D,20110812,000000,51.5615,51.5615,47.8388,51.029,0,0
SNT,MV,D,20110816,000000,51.5615,58.4655,51.5615,58.4655,0,0
SNT,MV,D,20110818,000000,57.932,58.4655,57.932,57.932,0,0
SNT,MV,D,20110902,000000,57.3521,62.1882,57.3521,62.1882,0,0
SNT,MV,D,20110905,000000,62.1882,62.1882,62.1882,62.1882,0,0
SNT,MV,D,20110906,000000,62.1882,62.1882,62.1882,62.1882,0,0
SNT,MV,D,20110907,000000,60.065,69.102,60.065,69.102,0,0
SNT,MV,D,20110908,000000,66.4444,66.4444,64.8448,64.8448,0,0
SNT,MV,D,20110909,000000,65.3783,68.035,58.2032,58.2032,0,0
SNT,MV,D,20110912,000000,61.9268,61.9268,54.2191,61.9268,0,0
SNT,MV,D,20110913,000000,58.5769,61.4397,58.5769,61.4397,0,0
SNT,MV,D,20110915,000000,58.5769,63.5155,58.5769,63.5155,0,0
SNT,MV,D,20110919,000000,61.3371,61.3933,61.3371,61.3933,0,0
SNT,MV,D,20110920,000000,61.1221,61.3933,61.1221,61.3933,0,0
SNT,MV,D,20110921,000000,60.5896,60.5896,55.8088,57.5109,0,0
SNT,MV,D,20110922,000000,56.8758,56.8758,56.8758,56.8758,0,0
SNT,MV,D,20110923,000000,58.998,59.5325,58.998,59.5325,0,0
SNT,MV,D,20110926,000000,59.5325,66.4444,58.998,66.4444,0,0
SNT,MV,D,20110927,000000,66.4444,66.6505,64.8448,64.8448,0,0
SNT,MV,D,20110928,000000,61.6547,63.7788,59.5325,63.7788,0,0
SNT,MV,D,20110929,000000,58.998,63.7788,56.3413,63.7788,0,0
SNT,MV,D,20110930,000000,63.7788,63.7788,63.7788,63.7788,0,0
SNT,MV,D,20111003,000000,63.7788,63.7788,63.7788,63.7788,0,0
SNT,MV,D,20111004,000000,60.2238,63.7788,58.4655,63.7788,0,0
SNT,MV,D,20111005,000000,63.62,63.7788,63.62,63.7788,0,0
SNT,MV,D,20111006,000000,64.8448,64.8448,63.7788,63.7788,0,0
SNT,MV,D,20111007,000000,64.8448,64.8448,64.8448,64.8448,0,0
SNT,MV,D,20111010,000000,64.3113,71.7587,64.3113,71.7587,0,0
SNT,MV,D,20111011,000000,71.2252,71.2252,69.102,71.2252,0,0
SNT,MV,D,20111012,000000,71.7587,71.7587,69.102,69.102,0,0
SNT,MV,D,20111013,000000,69.102,69.102,69.102,69.102,0,0
SNT,MV,D,20111014,000000,70.1582,70.1582,69.8968,69.8968,0,0
SNT,MV,D,20111017,000000,69.6247,69.6247,69.6247,69.6247,0,0
SNT,MV,D,20111018,000000,69.6247,69.6247,69.6247,69.6247,0,0
SNT,MV,D,20111019,000000,69.6247,69.6247,69.6247,69.6247,0,0
SNT,MV,D,20111020,000000,69.6247,69.6247,69.6247,69.6247,0,0
SNT,MV,D,20111021,000000,69.6247,69.6247,69.6247,69.6247,0,0
SNT,MV,D,20111024,000000,69.102,69.5783,69.102,69.5783,0,0
SNT,MV,D,20111025,000000,69.102,69.102,69.102,69.102,0,0
SNT,MV,D,20111026,000000,69.102,69.102,69.102,69.102,0,0
SNT,MV,D,20111027,000000,69.102,69.102,69.102,69.102,0,0
SNT,MV,D,20111028,000000,69.102,69.102,69.102,69.102,0,0
SNT,MV,D,20111031,000000,69.102,69.102,69.102,69.102,0,0
SNT,MV,D,20111103,000000,69.102,73.8809,69.102,73.8809,0,0
SNT,MV,D,20111104,000000,73.8809,73.8809,73.8809,73.8809,0,0
SNT,MV,D,20111107,000000,73.8809,73.8809,70.6917,71.2252,0,0
SNT,MV,D,20111108,000000,71.2252,71.7587,71.2252,71.7587,0,0
SNT,MV,D,20111109,000000,71.7587,72.2902,71.7587,72.2902,0,0
SNT,MV,D,20111110,000000,72.2902,72.8148,72.2902,72.8148,0,0
SNT,MV,D,20111114,000000,72.8148,72.8148,72.8148,72.8148,0,0
SNT,MV,D,20111115,000000,72.8148,72.8148,72.6561,72.8148,0,0
SNT,MV,D,20111116,000000,72.8148,72.8148,72.7685,72.7685,0,0
SNT,MV,D,20111117,000000,72.6097,72.6561,72.6097,72.6561,0,0
SNT,MV,D,20111118,000000,72.6561,72.6561,72.6561,72.6561,0,0
SNT,MV,D,20111121,000000,73.8809,73.8809,73.6195,73.6195,0,0
SNT,MV,D,20111122,000000,73.8809,75.7427,73.8809,75.6865,0,0
SNT,MV,D,20111123,000000,76.005,76.005,75.9577,76.005,0,0
SNT,MV,D,20111124,000000,75.9577,76.005,75.9577,76.005,0,0
SNT,MV,D,20111125,000000,76.005,76.005,76.005,76.005,0,0
SNT,MV,D,20111128,000000,75.9025,75.9025,75.9025,75.9025,0,0
SNT,MV,D,20111129,000000,75.9025,75.9025,75.9025,75.9025,0,0
SNT,MV,D,20111130,000000,76.005,76.005,76.005,76.005,0,0
SNT,MV,D,20111201,000000,76.005,76.005,72.8148,72.8148,0,0
SNT,MV,D,20111202,000000,72.8148,72.8148,72.8148,72.8148,0,0
SNT,MV,D,20111205,000000,72.6097,72.6097,72.6097,72.6097,0,0
SNT,MV,D,20111206,000000,72.4963,72.4963,72.4963,72.4963,0,0
SNT,MV,D,20111207,000000,72.4963,72.4963,72.4963,72.4963,0,0
SNT,MV,D,20111209,000000,72.2902,72.2902,72.2902,72.2902,0,0
SNT,MV,D,20111212,000000,71.7587,72.4963,71.7587,72.4963,0,0
SNT,MV,D,20111213,000000,72.8148,72.8148,72.8148,72.8148,0,0
SNT,MV,D,20111214,000000,72.8148,74.1994,72.8148,74.1994,0,0
SNT,MV,D,20111215,000000,74.4154,74.4154,74.4154,74.4154,0,0
SNT,MV,D,20111216,000000,74.4154,74.4154,74.4154,74.4154,0,0
SNT,MV,D,20111219,000000,73.8809,77.9694,73.8809,77.9694,0,0
SNT,MV,D,20111220,000000,75.7427,76.1638,74.4154,76.1638,0,0
SNT,MV,D,20111221,000000,79.5127,79.5127,75.7427,75.7427,0,0
SNT,MV,D,20111223,000000,75.5277,75.5277,75.5277,75.5277,0,0
SNT,MV,D,20120103,000000,75.5277,88.7549,75.4715,88.7549,0,0
SNT,MV,D,20120104,000000,88.8199,88.8199,87.5113,87.5113,0,0
SNT,MV,D,20120105,000000,87.5113,87.5113,87.5113,87.5113,0,0
SNT,MV,D,20120110,000000,87.5113,87.5113,87.5113,87.5113,0,0
SNT,MV,D,20120111,000000,87.5113,87.5113,87.5113,87.5113,0,0
SNT,MV,D,20120112,000000,87.5113,87.5113,87.5113,87.5113,0,0
SNT,MV,D,20120113,000000,87.5113,89.0073,87.5113,89.0073,0,0
SNT,MV,D,20120116,000000,93.7595,96.8777,93.7595,96.8777,0,0
SNT,MV,D,20120118,000000,95.1352,97.072,93.7595,93.7595,0,0
SNT,MV,D,20120119,000000,97.5089,97.5089,97.5089,97.5089,0,0
SNT,MV,D,20120120,000000,96.2574,96.2574,93.7595,93.7595,0,0
SNT,MV,D,20120123,000000,95.0129,95.0129,93.1333,93.1333,0,0
SNT,MV,D,20120124,000000,93.1333,93.1333,93.1333,93.1333,0,0
SNT,MV,D,20120125,000000,93.1333,93.1333,93.1333,93.1333,0,0
SNT,MV,D,20120126,000000,90.6354,93.1333,90.6354,93.0673,0,0
SNT,MV,D,20120127,000000,93.0673,93.0673,93.0673,93.0673,0,0
SNT,MV,D,20120130,000000,93.0673,93.0673,93.0673,93.0673,0,0
SNT,MV,D,20120131,000000,93.0673,93.0673,93.0673,93.0673,0,0
SNT,MV,D,20120201,000000,92.946,92.946,92.946,92.946,0,0
SNT,MV,D,20120202,000000,92.946,92.946,92.946,92.946,0,0
SNT,MV,D,20120203,000000,92.5061,92.5061,92.5061,92.5061,0,0
SNT,MV,D,20120206,000000,92.8237,93.012,89.1385,92.4499,0,0
SNT,MV,D,20120207,000000,91.8888,91.8888,91.8237,91.8237,0,0
SNT,MV,D,20120208,000000,92.5061,92.5061,89.9432,89.9432,0,0
SNT,MV,D,20120209,000000,89.382,89.382,87.8841,87.8841,0,0
SNT,MV,D,20120210,000000,89.9432,89.9432,89.9432,89.9432,0,0
SNT,MV,D,20120213,000000,88.3249,88.3249,88.3249,88.3249,0,0
SNT,MV,D,20120214,000000,88.3249,88.3249,88.3249,88.3249,0,0
SNT,MV,D,20120215,000000,88.3249,89.9432,88.3249,89.9432,0,0
SNT,MV,D,20120216,000000,89.9432,93.7595,89.9432,90.6354,0,0
SNT,MV,D,20120217,000000,93.7595,93.7595,90.6354,90.6354,0,0
SNT,MV,D,20120220,000000,93.7595,93.7595,93.7595,93.7595,0,0
SNT,MV,D,20120221,000000,93.7595,93.7595,89.382,89.382,0,0
SNT,MV,D,20120222,000000,91.45,91.45,89.382,89.382,0,0
SNT,MV,D,20120223,000000,89.0734,91.5052,89.0734,91.5052,0,0
SNT,MV,D,20120224,000000,93.7595,93.7595,86.322,90.0092,0,0
SNT,MV,D,20120227,000000,89.382,90.2607,89.382,90.2607,0,0
SNT,MV,D,20120228,000000,93.7595,93.7595,89.382,90.3179,0,0
SNT,MV,D,20120229,000000,90.3179,90.3179,87.5113,90.0092,0,0
SNT,MV,D,20120301,000000,90.3179,90.3179,90.0092,90.0092,0,0
SNT,MV,D,20120302,000000,90.0092,90.0092,87.5113,90.0092,0,0
SNT,MV,D,20120306,000000,90.3179,90.3179,87.5113,87.5113,0,0
SNT,MV,D,20120307,000000,87.5113,87.5113,87.5113,87.5113,0,0
SNT,MV,D,20120308,000000,87.5113,87.5113,87.5113,87.5113,0,0
SNT,MV,D,20120309,000000,87.5113,87.5113,87.5113,87.5113,0,0
SNT,MV,D,20120312,000000,87.5113,87.5113,86.322,87.5113,0,0
SNT,MV,D,20120313,000000,87.5113,87.5113,81.2621,84.3862,0,0
SNT,MV,D,20120314,000000,82.5057,84.3862,78.1371,81.2621,0,0
SNT,MV,D,20120315,000000,81.0097,81.2621,81.0097,81.2621,0,0
SNT,MV,D,20120316,000000,81.2621,81.2621,78.4467,81.2621,0,0
SNT,MV,D,20120319,000000,93.4509,93.4509,88.8199,90.5694,0,0
SNT,MV,D,20120320,000000,90.5694,90.5694,90.5694,90.5694,0,0
SNT,MV,D,20120321,000000,88.6986,88.6986,88.1937,88.1937,0,0
SNT,MV,D,20120322,000000,88.3811,88.3811,88.1937,88.1937,0,0
SNT,MV,D,20120323,000000,90.5141,90.5141,90.4481,90.4481,0,0
SNT,MV,D,20120326,000000,93.7595,93.7595,91.8888,91.8888,0,0
SNT,MV,D,20120327,000000,91.8888,91.8888,90.6354,91.8888,0,0
SNT,MV,D,20120328,000000,91.8888,91.8888,89.2598,91.8888,0,0
SNT,MV,D,20120329,000000,93.7595,93.7595,89.382,92.1314,0,0
SNT,MV,D,20120330,000000,93.2645,93.2645,93.2645,93.2645,0,0
SNT,MV,D,20120402,000000,93.1333,93.1333,90.0092,93.1333,0,0
SNT,MV,D,20120403,000000,93.1333,93.1333,93.1333,93.1333,0,0
SNT,MV,D,20120404,000000,92.7586,92.7586,89.1385,92.1314,0,0
SNT,MV,D,20120405,000000,92.4499,92.4499,92.4499,92.4499,0,0
SNT,MV,D,20120410,000000,92.6935,93.8256,92.6935,93.7595,0,0
SNT,MV,D,20120411,000000,95.9498,96.8777,93.7595,94.3857,0,0
SNT,MV,D,20120412,000000,93.1333,93.1333,92.5061,92.5061,0,0
SNT,MV,D,20120413,000000,92.5712,101.888,92.5712,95.0129,0,0
SNT,MV,D,20120416,000000,96.8777,105.636,96.8777,100.951,0,0
SNT,MV,D,20120417,000000,103.259,103.259,97.5769,100.38,0,0
SNT,MV,D,20120418,000000,99.3835,99.3835,96.8777,97.5769,0,0
SNT,MV,D,20120419,000000,98.7721,99.2553,96.8777,98.0147,0,0
SNT,MV,D,20120420,000000,99.0778,99.0778,93.7595,93.7595,0,0
SNT,MV,D,20120423,000000,93.8256,93.8256,84.3862,93.4509,0,0
SNT,MV,D,20120424,000000,93.1333,93.1333,87.6326,92.3849,0,0
SNT,MV,D,20120425,000000,92.8237,92.8237,92.5061,92.5712,0,0
SNT,MV,D,20120426,000000,94.3857,95.6342,93.1333,93.7595,0,0
SNT,MV,D,20120427,000000,92.8237,94.3857,90.6354,94.3857,0,0
SNT,MV,D,20120430,000000,94.3857,96.2574,90.9441,96.2574,0,0
SNT,MV,D,20120502,000000,96.8777,96.8777,93.7595,95.0129,0,0
SNT,MV,D,20120504,000000,97.3925,97.3925,93.1333,95.9498,0,0
SNT,MV,D,20120507,000000,95.9498,95.9498,93.7595,95.9498,0,0
SNT,MV,D,20120508,000000,96.1993,96.1993,91.3188,95.6914,0,0
SNT,MV,D,20120509,000000,95.7584,95.7584,93.7595,93.7595,0,0
SNT,MV,D,20120510,000000,93.7595,95.6342,92.8237,95.6342,0,0
SNT,MV,D,20120511,000000,96.1993,96.1993,92.1975,96.1993,0,0
SNT,MV,D,20120514,000000,96.1993,96.1993,90.6354,96.1993,0,0
SNT,MV,D,20120515,000000,93.7595,93.7595,93.7595,93.7595,0,0
SNT,MV,D,20120516,000000,93.1333,96.8195,87.5666,96.8195,0,0
SNT,MV,D,20120517,000000,93.6945,93.7595,90.7567,93.6945,0,0
SNT,MV,D,20120518,000000,89.382,93.6382,88.1385,93.6382,0,0
SNT,MV,D,20120521,000000,93.1333,93.1333,88.1385,91.1956,0,0
SNT,MV,D,20120522,000000,90.6354,93.0673,90.0092,92.2626,0,0
SNT,MV,D,20120523,000000,90.6354,90.6354,88.1385,90.3179,0,0
SNT,MV,D,20120524,000000,90.6354,90.6354,84.3862,90.0092,0,0
SNT,MV,D,20120525,000000,86.257,88.4472,84.0125,88.4472,0,0
SNT,MV,D,20120528,000000,88.4472,88.4472,84.3862,87.5113,0,0
SNT,MV,D,20120529,000000,90.3179,90.3179,87.5113,90.0092,0,0
SNT,MV,D,20120530,000000,90.3179,90.5694,87.5113,90.5694,0,0
SNT,MV,D,20120531,000000,90.0092,90.0092,87.5113,87.5113,0,0
SNT,MV,D,20120601,000000,88.0074,88.0074,84.3862,87.1928,0,0
SNT,MV,D,20120604,000000,85.3221,85.3221,81.2621,81.2621,0,0
SNT,MV,D,20120605,000000,75.0051,78.1371,75.0051,78.1371,0,0
SNT,MV,D,20120606,000000,81.2621,81.2621,81.2621,81.2621,0,0
SNT,MV,D,20120608,000000,80.635,84.3862,80.635,84.3862,0,0
SNT,MV,D,20120611,000000,84.3862,84.3862,84.3862,84.3862,0,0
SNT,MV,D,20120612,000000,83.9464,83.9464,80.635,83.9464,0,0
SNT,MV,D,20120613,000000,83.8813,83.8813,83.0106,83.0106,0,0
SNT,MV,D,20120614,000000,82.8242,84.3862,80.635,84.3862,0,0
SNT,MV,D,20120615,000000,84.3862,84.3862,78.2593,78.2593,0,0
SNT,MV,D,20120618,000000,81.9455,84.0125,80.635,84.0125,0,0
SNT,MV,D,20120619,000000,80.635,83.76,78.3244,83.76,0,0
SNT,MV,D,20120620,000000,84.3862,84.3862,78.7544,81.2621,0,0
SNT,MV,D,20120621,000000,81.2621,81.2621,81.2621,81.2621,0,0
SNT,MV,D,20120622,000000,81.2621,81.2621,81.2621,81.2621,0,0
SNT,MV,D,20120626,000000,84.3212,84.3212,81.2621,81.2621,0,0
SNT,MV,D,20120627,000000,81.2621,81.2621,81.2621,81.2621,0,0
SNT,MV,D,20120628,000000,84.3212,84.3212,78.7544,82.0106,0,0
SNT,MV,D,20120629,000000,84.3212,84.3212,78.8205,81.2621,0,0
SNT,MV,D,20120702,000000,81.8795,81.8795,81.8795,81.8795,0,0
SNT,MV,D,20120703,000000,81.8795,81.8795,81.8795,81.8795,0,0
SNT,MV,D,20120704,000000,79.3816,79.3816,79.3816,79.3816,0,0
SNT,MV,D,20120705,000000,81.8795,81.8795,81.2621,81.8795,0,0
SNT,MV,D,20120706,000000,81.8795,81.8795,81.8795,81.8795,0,0
SNT,MV,D,20120709,000000,81.8795,81.8795,81.8795,81.8795,0,0
SNT,MV,D,20120710,000000,81.5708,81.5708,80.3174,81.1961,0,0
SNT,MV,D,20120711,000000,81.8795,81.8795,81.8795,81.8795,0,0
SNT,MV,D,20120712,000000,81.1961,81.1961,78.7544,78.7544,0,0
SNT,MV,D,20120713,000000,81.0748,81.2621,81.0748,81.1961,0,0
SNT,MV,D,20120716,000000,81.1961,81.1961,81.1961,81.1961,0,0
SNT,MV,D,20120717,000000,81.1961,81.1961,81.1961,81.1961,0,0
SNT,MV,D,20120718,000000,81.1961,81.1961,81.1961,81.1961,0,0
SNT,MV,D,20120719,000000,81.1961,81.1961,81.1961,81.1961,0,0
SNT,MV,D,20120723,000000,77.3235,79.9437,77.3235,79.9437,0,0
SNT,MV,D,20120724,000000,79.3816,79.3816,75.9478,75.9478,0,0
SNT,MV,D,20120725,000000,79.6991,81.2621,78.1943,81.2621,0,0
SNT,MV,D,20120726,000000,81.2621,81.2621,81.2621,81.2621,0,0
SNT,MV,D,20120727,000000,81.2621,81.2621,81.2621,81.2621,0,0
SNT,MV,D,20120730,000000,81.2621,81.2621,81.2621,81.2621,0,0
SNT,MV,D,20120731,000000,81.1961,81.1961,81.1961,81.1961,0,0
SNT,MV,D,20120801,000000,81.13,81.13,75.0051,81.13,0,0
SNT,MV,D,20120802,000000,75.3226,80.4486,75.3226,80.4486,0,0
SNT,MV,D,20120803,000000,80.5699,80.5699,80.5699,80.5699,0,0
SNT,MV,D,20120806,000000,80.3835,80.3835,80.3835,80.3835,0,0
SNT,MV,D,20120807,000000,80.0088,80.0088,80.0088,80.0088,0,0
SNT,MV,D,20120808,000000,80.0088,80.0088,80.0088,80.0088,0,0
SNT,MV,D,20120809,000000,78.1371,79.9437,78.1371,79.9437,0,0
SNT,MV,D,20120810,000000,80.0088,80.0088,80.0088,80.0088,0,0
SNT,MV,D,20120814,000000,79.0729,79.0729,78.1371,78.1371,0,0
SNT,MV,D,20120816,000000,78.1371,78.1371,75.0051,77.9408,0,0
SNT,MV,D,20120820,000000,77.8185,79.6991,75.0051,79.6991,0,0
SNT,MV,D,20120821,000000,79.634,79.634,75.0051,79.5127,0,0
SNT,MV,D,20120822,000000,80.3174,80.3174,80.3174,80.3174,0,0
SNT,MV,D,20120823,000000,75.0702,80.0088,75.0702,80.0088,0,0
SNT,MV,D,20120824,000000,79.6991,79.6991,79.6991,79.6991,0,0
SNT,MV,D,20120827,000000,79.6991,79.6991,76.5671,79.634,0,0
SNT,MV,D,20120828,000000,79.3165,79.3165,79.3165,79.3165,0,0
SNT,MV,D,20120829,000000,79.0729,79.0729,75.0702,78.1371,0,0
SNT,MV,D,20120830,000000,74.3868,77.8856,74.3868,77.8856,0,0
SNT,MV,D,20120831,000000,75.0702,77.5671,75.0051,77.5671,0,0
SNT,MV,D,20120903,000000,75.0051,77.6982,74.8167,77.6982,0,0
SNT,MV,D,20120904,000000,77.6982,77.6982,74.8167,77.6982,0,0
SNT,MV,D,20120905,000000,75.0051,75.0051,74.8828,74.8828,0,0
SNT,MV,D,20120906,000000,77.3235,77.3235,65.5095,68.5685,0,0
SNT,MV,D,20120907,000000,65.7521,68.5024,65.7521,68.5024,0,0
SNT,MV,D,20120910,000000,68.3821,68.3821,68.3161,68.3161,0,0
SNT,MV,D,20120912,000000,67.9413,67.9413,67.9413,67.9413,0,0
SNT,MV,D,20120913,000000,67.754,67.82,67.754,67.82,0,0
SNT,MV,D,20120914,000000,67.754,67.754,67.754,67.754,0,0
SNT,MV,D,20120917,000000,64.3212,67.6977,62.5057,67.6977,0,0
SNT,MV,D,20120918,000000,67.6977,67.6977,67.6977,67.6977,0,0
SNT,MV,D,20120919,000000,67.6327,67.6327,63.4415,67.4463,0,0
SNT,MV,D,20120920,000000,67.4463,67.4463,67.3802,67.3802,0,0
SNT,MV,D,20120921,000000,67.6327,72.5062,67.6327,72.5062,0,0
SNT,MV,D,20120924,000000,72.5062,72.5062,68.821,71.2528,0,0
SNT,MV,D,20120925,000000,74.9479,74.9479,69.8781,69.8781,0,0
SNT,MV,D,20120926,000000,69.3821,69.8781,68.7559,69.8781,0,0
SNT,MV,D,20120927,000000,67.5666,69.0734,67.5666,69.0734,0,0
SNT,MV,D,20120928,000000,67.82,67.82,65.9493,66.9414,0,0
SNT,MV,D,20121001,000000,69.5685,69.5685,62.8144,65.5657,0,0
SNT,MV,D,20121002,000000,63.199,65.3221,62.5057,64.6949,0,0
SNT,MV,D,20121003,000000,65.5657,65.5657,64.0687,64.0687,0,0
SNT,MV,D,20121004,000000,65.5657,67.5114,64.1348,67.5114,0,0
SNT,MV,D,20121005,000000,68.5685,69.6907,63.8814,69.6907,0,0
SNT,MV,D,20121008,000000,70.3179,71.1966,70.3179,71.1966,0,0
SNT,MV,D,20121009,000000,71.1305,75.0051,71.1305,75.0051,0,0
SNT,MV,D,20121010,000000,75.0051,75.0051,71.88,75.0051,0,0
SNT,MV,D,20121011,000000,75.0051,75.0051,75.0051,75.0051,0,0
SNT,MV,D,20121012,000000,75.0051,75.0051,70.6917,70.6917,0,0
SNT,MV,D,20121015,000000,74.3868,74.3868,69.8781,73.1334,0,0
SNT,MV,D,20121016,000000,73.1334,80.5699,73.1334,73.1985,0,0
SNT,MV,D,20121017,000000,78.1371,78.1371,75.0051,75.0051,0,0
SNT,MV,D,20121018,000000,75.0051,75.0051,71.88,71.88,0,0
SNT,MV,D,20121019,000000,75.0051,75.0051,71.88,71.88,0,0
SNT,MV,D,20121022,000000,74.3207,77.5109,70.0743,77.5109,0,0
SNT,MV,D,20121023,000000,77.5109,77.5109,72.5062,74.9479,0,0
SNT,MV,D,20121024,000000,74.9479,74.9479,74.9479,74.9479,0,0
SNT,MV,D,20121025,000000,71.88,71.88,71.88,71.88,0,0
SNT,MV,D,20121026,000000,70.0743,70.0743,69.8219,69.8219,0,0
SNT,MV,D,20121029,000000,74.8828,74.8828,68.1928,74.6954,0,0
SNT,MV,D,20121030,000000,74.8828,74.8828,68.1928,74.8828,0,0
SNT,MV,D,20121105,000000,72.8247,74.7605,72.8247,74.7605,0,0
SNT,MV,D,20121106,000000,74.7605,76.2575,72.3198,76.2575,0,0
SNT,MV,D,20121108,000000,71.9451,73.1334,71.9451,73.1334,0,0
SNT,MV,D,20121109,000000,73.1334,73.1334,73.1334,73.1334,0,0
SNT,MV,D,20121112,000000,73.1334,73.1334,73.1334,73.1334,0,0
SNT,MV,D,20121114,000000,67.5114,68.0064,62.5057,66.1919,0,0
SNT,MV,D,20121115,000000,62.6941,65.5095,62.5057,64.3212,0,0
SNT,MV,D,20121116,000000,61.3835,65.3221,59.3816,59.3816,0,0
SNT,MV,D,20121119,000000,63.7601,63.7601,59.2613,62.5057,0,0
SNT,MV,D,20121120,000000,63.4415,63.4415,62.5057,62.5057,0,0
SNT,MV,D,20121121,000000,63.4415,63.4415,59.1291,63.3853,0,0
SNT,MV,D,20121122,000000,63.4415,63.4415,63.4415,63.4415,0,0
SNT,MV,D,20121123,000000,63.4415,63.4415,61.8795,61.8795,0,0
SNT,MV,D,20121126,000000,63.4415,68.821,63.4415,68.821,0,0
SNT,MV,D,20121127,000000,68.6987,71.5052,64.1348,70.0093,0,0
SNT,MV,D,20121128,000000,65.6308,73.1334,65.6308,73.1334,0,0
SNT,MV,D,20121129,000000,70.9441,70.9441,64.19,67.5666,0,0
SNT,MV,D,20121130,000000,64.19,67.5666,64.19,67.5666,0,0
SNT,MV,D,20121203,000000,64.19,68.6336,63.8814,68.6336,0,0
SNT,MV,D,20121204,000000,65.191,68.6987,65.191,68.6987,0,0
SNT,MV,D,20121205,000000,65.6308,68.6987,65.6308,68.6987,0,0
SNT,MV,D,20121206,000000,65.6308,67.5666,65.6308,67.5666,0,0
SNT,MV,D,20121207,000000,66.8852,66.8852,66.8852,66.8852,0,0
SNT,MV,D,20121210,000000,65.6308,71.7587,65.6308,71.7587,0,0
SNT,MV,D,20121211,000000,71.7587,71.7587,67.5114,68.7559,0,0
SNT,MV,D,20121212,000000,71.1966,71.1966,68.821,70.6355,0,0
SNT,MV,D,20121213,000000,71.1305,71.1305,70.7577,70.7577,0,0
SNT,MV,D,20121214,000000,71.1305,71.88,68.7559,68.7559,0,0
SNT,MV,D,20121217,000000,72.6285,72.6285,72.3849,72.3849,0,0
SNT,MV,D,20121218,000000,71.88,71.88,69.3821,71.88,0,0
SNT,MV,D,20121219,000000,72.5062,73.3858,69.317,73.3858,0,0
SNT,MV,D,20121220,000000,73.442,73.7606,73.1334,73.7606,0,0
SNT,MV,D,20121221,000000,73.1334,74.3207,73.1334,74.3207,0,0
SNT,MV,D,20121227,000000,74.3207,80.0088,74.3207,80.0088,0,0
SNT,MV,D,20121228,000000,80.0088,84.3862,80.0088,83.695,0,0
SNT,MV,D,20130102,000000,90.3179,90.3179,83.76,83.8251,0,0
SNT,MV,D,20130103,000000,83.5727,83.5727,83.5727,83.5727,0,0
SNT,MV,D,20130104,000000,82.8242,83.1338,78.072,83.1338,0,0
SNT,MV,D,20130107,000000,83.695,83.695,76.8837,83.0106,0,0
SNT,MV,D,20130108,000000,82.9455,82.9455,77.8856,82.0106,0,0
SNT,MV,D,20130109,000000,81.8795,81.9455,77.8856,78.1371,0,0
SNT,MV,D,20130110,000000,82.0106,82.0106,77.8856,77.8856,0,0
SNT,MV,D,20130111,000000,78.3244,80.635,78.3244,80.635,0,0
SNT,MV,D,20130114,000000,80.635,80.635,78.2593,78.4467,0,0
SNT,MV,D,20130115,000000,83.8251,83.8251,82.5057,82.5057,0,0
SNT,MV,D,20130117,000000,83.8251,83.8251,78.5128,83.695,0,0
SNT,MV,D,20130118,000000,81.2621,81.2621,81.2621,81.2621,0,0
SNT,MV,D,20130121,000000,81.2621,81.2621,73.8158,79.3165,0,0
SNT,MV,D,20130122,000000,81.2621,81.2621,81.2621,81.2621,0,0
SNT,MV,D,20130123,000000,82.5057,82.5057,75.0051,75.0051,0,0
SNT,MV,D,20130124,000000,78.1371,78.1371,75.0051,78.1371,0,0
SNT,MV,D,20130125,000000,81.13,81.13,77.9408,79.3816,0,0
SNT,MV,D,20130128,000000,81.13,82.5057,78.1371,82.5057,0,0
SNT,MV,D,20130129,000000,82.3193,82.3193,82.3193,82.3193,0,0
SNT,MV,D,20130131,000000,82.3193,82.3193,78.7544,81.8242,0,0
SNT,MV,D,20130201,000000,78.7544,81.2621,78.7544,81.2621,0,0
SNT,MV,D,20130204,000000,81.2621,81.8242,79.0729,79.0729,0,0
SNT,MV,D,20130205,000000,81.8242,81.8242,79.3816,81.2621,0,0
SNT,MV,D,20130206,000000,81.7582,81.7582,81.7582,81.7582,0,0
SNT,MV,D,20130207,000000,81.7582,81.7582,81.7582,81.7582,0,0
SNT,MV,D,20130208,000000,81.6931,81.6931,81.2621,81.2621,0,0
SNT,MV,D,20130211,000000,81.6931,81.6931,81.6931,81.6931,0,0
SNT,MV,D,20130212,000000,81.6931,81.6931,79.6991,81.6931,0,0
