<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNX,PB,D,20111130,000000,1.63239,1.63239,1.63239,1.63239,0,0
SNX,PB,D,20111201,000000,1.79464,1.79464,1.79464,1.79464,0,0
SNX,PB,D,20111202,000000,1.88055,2.20515,1.88055,2.04281,0,0
SNX,PB,D,20111205,000000,2.29097,2.29097,1.88055,2.04281,0,0
SNX,PB,D,20111213,000000,1.88055,2.3674,1.88055,2.3674,0,0
SNX,PB,D,20111215,000000,2.12872,2.12872,1.96647,1.96647,0,0
SNX,PB,D,20111216,000000,2.12872,2.12872,2.12872,2.12872,0,0
SNX,PB,D,20111221,000000,1.96647,2.12872,1.88055,2.12872,0,0
SNX,PB,D,20111222,000000,2.04281,2.04281,2.04281,2.04281,0,0
SNX,PB,D,20111223,000000,1.79464,2.12872,1.7183,2.12872,0,0
SNX,PB,D,20111227,000000,2.04281,2.04281,2.04281,2.04281,0,0
SNX,PB,D,20111230,000000,2.04281,2.12872,2.04281,2.12872,0,0
SNX,PB,D,20120103,000000,2.20515,2.20515,2.20515,2.20515,0,0
SNX,PB,D,20120110,000000,1.88055,2.12872,1.79464,2.12872,0,0
SNX,PB,D,20120116,000000,2.12872,2.20515,2.12872,2.20515,0,0
SNX,PB,D,20120119,000000,2.12872,2.12872,2.12872,2.12872,0,0
SNX,PB,D,20120123,000000,2.12872,2.20515,2.12872,2.20515,0,0
SNX,PB,D,20120125,000000,1.88055,1.88055,1.88055,1.88055,0,0
SNX,PB,D,20120126,000000,1.88055,2.12872,1.88055,2.12872,0,0
SNX,PB,D,20120130,000000,1.88055,1.96647,1.88055,1.88055,0,0
SNX,PB,D,20120131,000000,1.88055,1.88055,1.88055,1.88055,0,0
SNX,PB,D,20120201,000000,2.04281,2.04281,2.04281,2.04281,0,0
SNX,PB,D,20120202,000000,1.88055,1.88055,1.88055,1.88055,0,0
SNX,PB,D,20120206,000000,1.88055,2.04281,1.88055,2.04281,0,0
SNX,PB,D,20120217,000000,1.99501,1.99501,1.99501,1.99501,0,0
SNX,PB,D,20120229,000000,1.67998,1.67998,1.67998,1.67998,0,0
SNX,PB,D,20120301,000000,1.91877,1.91877,1.91877,1.91877,0,0
SNX,PB,D,20120305,000000,1.67998,1.67998,1.67998,1.67998,0,0
SNX,PB,D,20120306,000000,1.59417,1.59417,1.43191,1.59417,0,0
SNX,PB,D,20120307,000000,1.35549,1.35549,1.35549,1.35549,0,0
SNX,PB,D,20120308,000000,1.35549,1.35549,1.35549,1.35549,0,0
SNX,PB,D,20120313,000000,1.43191,1.67998,1.43191,1.67998,0,0
SNX,PB,D,20120314,000000,1.67998,1.67998,1.67998,1.67998,0,0
SNX,PB,D,20120320,000000,1.67998,1.67998,1.67998,1.67998,0,0
SNX,PB,D,20120322,000000,1.51783,1.67998,1.51783,1.67998,0,0
SNX,PB,D,20120327,000000,1.43191,1.59417,1.43191,1.59417,0,0
SNX,PB,D,20120403,000000,1.35549,1.51783,1.35549,1.51783,0,0
SNX,PB,D,20120412,000000,1.35549,1.35549,1.35549,1.35549,0,0
SNX,PB,D,20120413,000000,1.27905,1.52732,1.27905,1.52732,0,0
SNX,PB,D,20120420,000000,1.60365,1.60365,1.4414,1.60365,0,0
SNX,PB,D,20120510,000000,1.60365,1.60365,1.60365,1.60365,0,0
SNX,PB,D,20120515,000000,1.36506,1.60365,1.36506,1.60365,0,0
SNX,PB,D,20120523,000000,1.27905,1.4414,1.27905,1.4414,0,0
SNX,PB,D,20120606,000000,1.45108,1.45108,1.45108,1.45108,0,0
SNX,PB,D,20120628,000000,1.45108,1.61323,1.45108,1.61323,0,0
SNX,PB,D,20120629,000000,1.61323,1.69924,1.61323,1.69924,0,0
SNX,PB,D,20120702,000000,1.61323,1.86139,1.61323,1.86139,0,0
SNX,PB,D,20120703,000000,1.53689,1.53689,1.53689,1.53689,0,0
SNX,PB,D,20120704,000000,1.69924,1.77558,1.69924,1.77558,0,0
SNX,PB,D,20120705,000000,2.02374,2.10018,1.93783,2.10018,0,0
SNX,PB,D,20120706,000000,2.42459,2.91154,2.42459,2.91154,0,0
SNX,PB,D,20120711,000000,2.33876,2.74918,2.33876,2.74918,0,0
SNX,PB,D,20120712,000000,2.42459,2.42459,2.42459,2.42459,0,0
SNX,PB,D,20120713,000000,2.58693,2.58693,2.58693,2.58693,0,0
SNX,PB,D,20120716,000000,2.58693,2.58693,2.42459,2.42459,0,0
SNX,PB,D,20120717,000000,2.42459,2.42459,2.42459,2.42459,0,0
SNX,PB,D,20120719,000000,2.42459,2.42459,2.42459,2.42459,0,0
SNX,PB,D,20120724,000000,2.42459,2.42459,2.186,2.186,0,0
SNX,PB,D,20120725,000000,2.33876,2.33876,2.33876,2.33876,0,0
SNX,PB,D,20120730,000000,2.42459,2.42459,2.42459,2.42459,0,0
SNX,PB,D,20120802,000000,2.50102,2.66327,2.50102,2.50102,0,0
SNX,PB,D,20120806,000000,2.26233,2.26233,2.26233,2.26233,0,0
SNX,PB,D,20120809,000000,2.33876,2.33876,2.33876,2.33876,0,0
SNX,PB,D,20120810,000000,2.26233,2.26233,2.186,2.186,0,0
SNX,PB,D,20120827,000000,2.42459,2.42459,2.37698,2.37698,0,0
SNX,PB,D,20120907,000000,2.1383,2.30064,2.06196,2.30064,0,0
SNX,PB,D,20120912,000000,2.1383,2.21454,1.89971,2.21454,0,0
SNX,PB,D,20120913,000000,2.1383,2.37698,2.1383,2.37698,0,0
SNX,PB,D,20120919,000000,2.37698,2.37698,1.97595,2.37698,0,0
SNX,PB,D,20120925,000000,1.97595,1.97595,1.97595,1.97595,0,0
SNX,PB,D,20120928,000000,2.06196,2.06196,1.66103,1.97595,0,0
SNX,PB,D,20121001,000000,1.97595,1.97595,1.97595,1.97595,0,0
SNX,PB,D,20121002,000000,1.66103,1.66103,1.58469,1.58469,0,0
SNX,PB,D,20121003,000000,1.74684,1.74684,1.74684,1.74684,0,0
SNX,PB,D,20121009,000000,1.50825,1.50825,1.50825,1.50825,0,0
SNX,PB,D,20121010,000000,1.50825,1.66103,1.50825,1.66103,0,0
SNX,PB,D,20121011,000000,1.346,1.74684,1.346,1.74684,0,0
SNX,PB,D,20121012,000000,1.74684,1.74684,1.74684,1.74684,0,0
SNX,PB,D,20121015,000000,1.74684,1.74684,1.74684,1.74684,0,0
SNX,PB,D,20121016,000000,1.74684,1.82327,1.74684,1.82327,0,0
SNX,PB,D,20121017,000000,1.74684,1.74684,1.74684,1.74684,0,0
SNX,PB,D,20121018,000000,1.89971,1.89971,1.89971,1.89971,0,0
SNX,PB,D,20121019,000000,1.89971,1.89971,1.89971,1.89971,0,0
