<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SON,MV,D,20080811,000000,50.6463,50.6463,50.6463,50.6463,0,0
SON,MV,D,20080812,000000,52.1997,52.1997,52.1997,52.1997,0,0
SON,MV,D,20080818,000000,52.1997,52.1997,50.1561,50.1561,0,0
SON,MV,D,20080820,000000,50.1561,50.1561,50.1561,50.1561,0,0
SON,MV,D,20080822,000000,52.1314,52.1314,52.1314,52.1314,0,0
SON,MV,D,20080825,000000,52.1314,52.1314,52.1314,52.1314,0,0
SON,MV,D,20080829,000000,53.1207,53.1207,53.1207,53.1207,0,0
SON,MV,D,20080902,000000,53.1207,53.1207,53.1207,53.1207,0,0
SON,MV,D,20080905,000000,53.191,53.191,52.0593,52.9103,0,0
SON,MV,D,20080908,000000,51.8498,51.8498,51.8498,51.8498,0,0
SON,MV,D,20080909,000000,51.8498,51.8498,51.8498,51.8498,0,0
SON,MV,D,20080912,000000,52.6279,52.6279,49.0929,49.8017,0,0
SON,MV,D,20080915,000000,48.7431,50.8595,48.7431,50.8595,0,0
SON,MV,D,20080916,000000,49.8017,50.8595,49.8017,50.8595,0,0
SON,MV,D,20080917,000000,49.8017,49.8017,49.4473,49.4473,0,0
SON,MV,D,20080918,000000,48.4561,48.4561,48.4561,48.4561,0,0
SON,MV,D,20080919,000000,47.4712,48.4561,46.48,47.4712,0,0
SON,MV,D,20080922,000000,48.4561,48.4561,48.4561,48.4561,0,0
SON,MV,D,20080923,000000,49.4473,49.4473,48.4561,48.4561,0,0
SON,MV,D,20080925,000000,46.6203,47.3993,46.2678,47.3993,0,0
SON,MV,D,20080930,000000,50.7866,50.7866,50.7866,50.7866,0,0
SON,MV,D,20081002,000000,47.3993,50.7866,47.3993,48.3896,0,0
SON,MV,D,20081003,000000,46.6959,46.6959,46.6959,46.6959,0,0
SON,MV,D,20081006,000000,46.1265,46.1265,46.1265,46.1265,0,0
SON,MV,D,20081008,000000,45.4213,46.1265,44.2916,44.2916,0,0
SON,MV,D,20081010,000000,42.1697,42.1697,42.1697,42.1697,0,0
SON,MV,D,20081013,000000,41.3935,42.1697,41.3935,41.3935,0,0
SON,MV,D,20081014,000000,41.6741,41.6741,40.7558,40.7558,0,0
SON,MV,D,20081016,000000,39.5577,41.6058,38.9217,38.9217,0,0
SON,MV,D,20081017,000000,38.1446,38.1446,37.2272,37.2272,0,0
SON,MV,D,20081023,000000,35.6747,37.2272,34.33,34.33,0,0
SON,MV,D,20081027,000000,34.6151,34.6151,34.6151,34.6151,0,0
SON,MV,D,20081029,000000,31.8582,32.1407,31.8582,32.1407,0,0
SON,MV,D,20081031,000000,36.7324,36.7324,36.7324,36.7324,0,0
SON,MV,D,20081103,000000,40.4077,43.7951,40.4077,43.7951,0,0
SON,MV,D,20081104,000000,41.6741,41.6805,41.6741,41.6805,0,0
SON,MV,D,20081105,000000,41.6741,45.8449,41.6741,42.5241,0,0
SON,MV,D,20081107,000000,45.8449,45.8449,42.5241,45.8449,0,0
SON,MV,D,20081110,000000,41.3261,41.6741,41.3261,41.3261,0,0
SON,MV,D,20081112,000000,44.1504,44.1504,44.1504,44.1504,0,0
SON,MV,D,20081113,000000,43.724,43.724,43.724,43.724,0,0
SON,MV,D,20081119,000000,42.3829,42.3829,42.3829,42.3829,0,0
SON,MV,D,20081124,000000,40.6155,40.6155,37.4404,40.6155,0,0
SON,MV,D,20081125,000000,37.4404,37.4404,37.4404,37.4404,0,0
SON,MV,D,20081127,000000,35.3194,35.3194,35.3194,35.3194,0,0
SON,MV,D,20081128,000000,40.6155,40.6155,40.6155,40.6155,0,0
SON,MV,D,20081202,000000,40.2673,40.6155,39.5577,39.5577,0,0
SON,MV,D,20081205,000000,35.5991,35.5991,35.5991,35.5991,0,0
SON,MV,D,20081208,000000,39.1368,39.1368,35.5991,35.5991,0,0
SON,MV,D,20081210,000000,36.0282,36.0282,33.9063,35.8816,0,0
SON,MV,D,20081211,000000,35.7403,35.7403,33.9063,33.9063,0,0
SON,MV,D,20081215,000000,33.2029,33.2029,33.2029,33.2029,0,0
SON,MV,D,20081223,000000,31.7908,31.7908,31.7908,31.7908,0,0
SON,MV,D,20081229,000000,32.0714,32.0714,32.0714,32.0714,0,0
