<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SON,PB,D,20080811,000000,2.17914,2.17914,2.17914,2.17914,0,0
SON,PB,D,20080812,000000,2.24166,2.24166,2.24166,2.24166,0,0
SON,PB,D,20080818,000000,2.24166,2.24166,2.15828,2.15828,0,0
SON,PB,D,20080820,000000,2.15828,2.15828,2.15828,2.15828,0,0
SON,PB,D,20080822,000000,2.24166,2.24166,2.24166,2.24166,0,0
SON,PB,D,20080825,000000,2.24166,2.24166,2.24166,2.24166,0,0
SON,PB,D,20080829,000000,2.28339,2.28339,2.28339,2.28339,0,0
SON,PB,D,20080902,000000,2.28339,2.28339,2.28339,2.28339,0,0
SON,PB,D,20080905,000000,2.28852,2.28852,2.23643,2.27295,0,0
SON,PB,D,20080908,000000,2.23113,2.23113,2.23113,2.23113,0,0
SON,PB,D,20080909,000000,2.23113,2.23113,2.23113,2.23113,0,0
SON,PB,D,20080912,000000,2.26261,2.26261,2.11141,2.14262,0,0
SON,PB,D,20080915,000000,2.09576,2.18427,2.09576,2.18427,0,0
SON,PB,D,20080916,000000,2.14262,2.18427,2.14262,2.18427,0,0
SON,PB,D,20080917,000000,2.14262,2.14262,2.12697,2.12697,0,0
SON,PB,D,20080918,000000,2.08524,2.08524,2.08524,2.08524,0,0
SON,PB,D,20080919,000000,2.03846,2.08524,1.99655,2.03846,0,0
SON,PB,D,20080922,000000,2.08524,2.08524,2.08524,2.08524,0,0
SON,PB,D,20080923,000000,2.12697,2.12697,2.08524,2.08524,0,0
SON,PB,D,20080925,000000,2.00194,2.03846,1.99142,2.03846,0,0
SON,PB,D,20080930,000000,2.18427,2.18427,2.18427,2.18427,0,0
SON,PB,D,20081002,000000,2.03846,2.18427,2.03846,2.08002,0,0
SON,PB,D,20081003,000000,2.00707,2.00707,2.00707,2.00707,0,0
SON,PB,D,20081006,000000,1.98108,1.98108,1.98108,1.98108,0,0
SON,PB,D,20081008,000000,1.9549,1.98108,1.90265,1.90265,0,0
SON,PB,D,20081010,000000,1.81414,1.81414,1.81414,1.81414,0,0
SON,PB,D,20081013,000000,1.7777,1.81414,1.7777,1.7777,0,0
SON,PB,D,20081014,000000,1.79336,1.79336,1.75172,1.75172,0,0
SON,PB,D,20081016,000000,1.69955,1.78805,1.67337,1.67337,0,0
SON,PB,D,20081017,000000,1.64207,1.64207,1.60042,1.60042,0,0
SON,PB,D,20081023,000000,1.53279,1.60042,1.47531,1.47531,0,0
SON,PB,D,20081027,000000,1.48574,1.48574,1.48574,1.48574,0,0
SON,PB,D,20081029,000000,1.37114,1.3814,1.37114,1.3814,0,0
SON,PB,D,20081031,000000,1.57955,1.57955,1.57955,1.57955,0,0
SON,PB,D,20081103,000000,1.73597,1.88196,1.73597,1.88196,0,0
SON,PB,D,20081104,000000,1.79336,1.79336,1.79336,1.79336,0,0
SON,PB,D,20081105,000000,1.79336,1.97064,1.79336,1.82979,0,0
SON,PB,D,20081107,000000,1.97064,1.97064,1.82979,1.97064,0,0
SON,PB,D,20081110,000000,1.7777,1.79336,1.7777,1.7777,0,0
SON,PB,D,20081112,000000,1.89778,1.89778,1.89778,1.89778,0,0
SON,PB,D,20081113,000000,1.88196,1.88196,1.88196,1.88196,0,0
SON,PB,D,20081119,000000,1.82466,1.82466,1.82466,1.82466,0,0
SON,PB,D,20081124,000000,1.74641,1.74641,1.61086,1.74641,0,0
SON,PB,D,20081125,000000,1.61086,1.61086,1.61086,1.61086,0,0
SON,PB,D,20081127,000000,1.51713,1.51713,1.51713,1.51713,0,0
SON,PB,D,20081128,000000,1.74641,1.74641,1.74641,1.74641,0,0
SON,PB,D,20081202,000000,1.73084,1.74641,1.69955,1.69955,0,0
SON,PB,D,20081205,000000,1.53279,1.53279,1.53279,1.53279,0,0
SON,PB,D,20081208,000000,1.6838,1.6838,1.53279,1.53279,0,0
SON,PB,D,20081210,000000,1.54834,1.54834,1.45965,1.54303,0,0
SON,PB,D,20081211,000000,1.53782,1.53782,1.45965,1.45965,0,0
SON,PB,D,20081215,000000,1.42844,1.42844,1.42844,1.42844,0,0
SON,PB,D,20081223,000000,1.36585,1.36585,1.36585,1.36585,0,0
SON,PB,D,20081229,000000,1.37637,1.37637,1.37637,1.37637,0,0
SON,PB,D,20090105,000000,1.24603,1.37637,1.24603,1.24603,0,0
SON,PB,D,20090106,000000,1.24603,1.24603,1.24603,1.24603,0,0
SON,PB,D,20090107,000000,1.2356,1.2356,1.2356,1.2356,0,0
SON,PB,D,20090109,000000,1.3555,1.3555,1.2356,1.2356,0,0
SON,PB,D,20090112,000000,1.16778,1.16778,1.16778,1.16778,0,0
SON,PB,D,20090113,000000,1.27724,1.27724,1.27724,1.27724,0,0
SON,PB,D,20090115,000000,1.24603,1.27724,1.24603,1.24603,0,0
SON,PB,D,20090116,000000,1.18334,1.18334,1.18334,1.18334,0,0
SON,PB,D,20090119,000000,1.27724,1.27724,1.27724,1.27724,0,0
SON,PB,D,20090120,000000,1.30855,1.30855,1.30855,1.30855,0,0
SON,PB,D,20090121,000000,1.19899,1.30855,1.19899,1.30855,0,0
SON,PB,D,20090123,000000,1.18334,1.30855,1.18334,1.30855,0,0
SON,PB,D,20090126,000000,1.21473,1.21473,1.21473,1.21473,0,0
SON,PB,D,20090203,000000,1.30855,1.30855,1.30855,1.30855,0,0
SON,PB,D,20090205,000000,1.17309,1.17309,1.17309,1.17309,0,0
SON,PB,D,20090210,000000,1.17309,1.17309,1.17309,1.17309,0,0
SON,PB,D,20090223,000000,0.536982,0.562976,0.531766,0.562976,0,0
SON,PB,D,20090226,000000,0.547416,0.547416,0.547416,0.547416,0,0
SON,PB,D,20090227,000000,0.495247,0.510987,0.495247,0.510987,0,0
SON,PB,D,20090303,000000,0.479686,0.562976,0.479686,0.562976,0,0
SON,PB,D,20090304,000000,0.55785,0.55785,0.516114,0.521332,0,0
SON,PB,D,20090305,000000,0.521332,0.531766,0.521332,0.531766,0,0
SON,PB,D,20090312,000000,0.484903,0.500464,0.484903,0.484903,0,0
