<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPR,MV,D,20200228,000000,10.49,10.49,10.49,10.49,0,0
SPR,MV,D,20200305,000000,62.92,75.5,62.92,75.5,0,0
SPR,MV,D,20200306,000000,75.5,89.14,61.87,79.7,0,0
SPR,MV,D,20200309,000000,80.75,81.8,68.16,76.55,0,0
SPR,MV,D,20200310,000000,62.92,67.11,60.3,60.3,0,0
SPR,MV,D,20200311,000000,62.92,68.16,54.54,66.07,0,0
SPR,MV,D,20200312,000000,61.87,61.87,58.62,58.62,0,0
SPR,MV,D,20200313,000000,57.68,57.68,56.63,57.68,0,0
SPR,MV,D,20200316,000000,57.15,65.02,57.15,65,0,0
SPR,MV,D,20200317,000000,62.92,62.92,57.68,62.92,0,0
SPR,MV,D,20200318,000000,62.92,62.92,60.82,60.82,0,0
SPR,MV,D,20200319,000000,60.3,61.87,60.3,60.3,0,0
SPR,MV,D,20200320,000000,57.68,57.68,50.34,57.57,0,0
SPR,MV,D,20200323,000000,47.19,51.28,37.75,51.28,0,0
SPR,MV,D,20200324,000000,51.38,53.48,51.38,53.48,0,0
SPR,MV,D,20200325,000000,52.43,55.58,52.43,55.58,0,0
SPR,MV,D,20200327,000000,57.57,57.68,57.57,57.68,0,0
SPR,MV,D,20200330,000000,62.92,62.92,62.92,62.92,0,0
SPR,MV,D,20200331,000000,57.68,61.87,57.68,61.87,0,0
SPR,MV,D,20200401,000000,52.43,57.68,49.5,56.63,0,0
SPR,MV,D,20200402,000000,52.43,52.43,52.43,52.43,0,0
SPR,MV,D,20200403,000000,56.52,56.52,50.34,50.34,0,0
SPR,MV,D,20200406,000000,55.58,56.52,55.58,56.52,0,0
SPR,MV,D,20200407,000000,54.52,54.53,49.29,54.53,0,0
SPR,MV,D,20200408,000000,54.53,57.68,54.53,57.68,0,0
SPR,MV,D,20200409,000000,57.68,57.68,55.58,55.58,0,0
SPR,MV,D,20200414,000000,55.58,55.58,52.43,52.43,0,0
SPR,MV,D,20200415,000000,52.43,52.43,52.43,52.43,0,0
SPR,MV,D,20200416,000000,52.96,55.58,52.43,52.43,0,0
SPR,MV,D,20200417,000000,51.38,52.96,51.38,52.96,0,0
SPR,MV,D,20200420,000000,52.43,54.53,52.43,52.43,0,0
SPR,MV,D,20200421,000000,52.43,52.43,52.43,52.43,0,0
SPR,MV,D,20200422,000000,53.48,61.87,53.48,61.87,0,0
SPR,MV,D,20200423,000000,71.31,75.5,59.77,75.5,0,0
SPR,MV,D,20200424,000000,71.31,71.31,68.16,69.21,0,0
SPR,MV,D,20200427,000000,70.26,72.36,70.26,72.36,0,0
SPR,MV,D,20200428,000000,71.31,72.36,71.31,72.36,0,0
SPR,MV,D,20200429,000000,71.31,71.31,68.16,70.78,0,0
SPR,MV,D,20200430,000000,68.16,69.21,68.16,69.21,0,0
SPR,MV,D,20200504,000000,68.16,68.16,68.16,68.16,0,0
