<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STH,PB,D,20211210,000000,43.0302,43.0302,43.0302,43.0302,0,0
STH,PB,D,20211213,000000,43.2118,45.0478,43.2118,44.6653,0,0
STH,PB,D,20211214,000000,45.0287,45.1626,43.6135,44.4836,0,0
STH,PB,D,20211215,000000,44.7322,44.7322,43.9864,43.9864,0,0
STH,PB,D,20211216,000000,44.4836,44.7514,44.0246,44.2542,0,0
STH,PB,D,20211217,000000,44.3019,44.4645,42.8963,43.537,0,0
STH,PB,D,20211220,000000,42.858,42.858,41.921,42.1599,0,0
STH,PB,D,20211221,000000,42.6477,43.5178,41.9975,43.3935,0,0
STH,PB,D,20211222,000000,43.3935,43.7569,43.25,43.7569,0,0
STH,PB,D,20211223,000000,44.0246,44.0246,42.1313,43.9386,0,0
STH,PB,D,20211227,000000,43.9386,43.9386,42.6668,42.6668,0,0
STH,PB,D,20211228,000000,42.4851,43.4414,42.4851,43.3935,0,0
STH,PB,D,20211229,000000,42.8485,43.5178,42.8485,43.5178,0,0
STH,PB,D,20211230,000000,43.5752,43.5752,42.6763,42.6763,0,0
STH,PB,D,20220103,000000,43.4605,43.4605,42.6763,42.8485,0,0
STH,PB,D,20220104,000000,43.1162,43.1162,42.3416,42.4086,0,0
STH,PB,D,20220105,000000,42.3416,42.3416,40.7639,40.7639,0,0
STH,PB,D,20220107,000000,40.6683,41.5958,40.3145,41.3568,0,0
STH,PB,D,20220110,000000,41.3568,42.6286,41.0986,41.5002,0,0
STH,PB,D,20220111,000000,41.7584,42.6286,41.7488,41.9401,0,0
STH,PB,D,20220112,000000,42.3034,43.4509,42.3034,43.384,0,0
STH,PB,D,20220113,000000,43.2979,43.5178,42.9154,43.1353,0,0
STH,PB,D,20220114,000000,43.2118,43.3744,42.6668,42.6668,0,0
STH,PB,D,20220117,000000,43.3935,43.3935,42.9345,43.1927,0,0
STH,PB,D,20220118,000000,43.3649,43.3649,42.1599,42.5712,0,0
STH,PB,D,20220119,000000,42.6381,42.6477,41.7966,42.2078,0,0
STH,PB,D,20220120,000000,42.3895,42.4373,41.5767,41.5767,0,0
STH,PB,D,20220121,000000,41.5767,43.2979,41.5767,43.2979,0,0
STH,PB,D,20220124,000000,43.2118,43.2118,41.395,41.7584,0,0
STH,PB,D,20220125,000000,41.1368,41.7584,39.5591,39.5591,0,0
STH,PB,D,20220126,000000,39.32,40.5918,38.7175,40.5918,0,0
STH,PB,D,20220127,000000,39.9416,40.5918,38.708,39.5782,0,0
STH,PB,D,20220128,000000,38.8897,40.3049,37.8283,40.3049,0,0
STH,PB,D,20220131,000000,40.0849,40.3049,38.6602,39.9416,0,0
STH,PB,D,20220201,000000,39.9416,39.9416,39.3487,39.3487,0,0
STH,PB,D,20220202,000000,39.3487,39.5495,38.7654,38.775,0,0
STH,PB,D,20220203,000000,38.7654,38.8419,37.7996,37.8952,0,0
STH,PB,D,20220204,000000,38.7654,38.7654,36.4896,36.4992,0,0
STH,PB,D,20220207,000000,36.6713,37.1303,36.4896,36.853,0,0
STH,PB,D,20220208,000000,36.6713,38.3064,36.6234,38.3064,0,0
STH,PB,D,20220209,000000,38.3064,38.3064,36.6713,37.0346,0,0
STH,PB,D,20220210,000000,37.0346,37.9335,36.8912,37.7231,0,0
STH,PB,D,20220211,000000,37.1112,37.9431,36.6999,37.9431,0,0
STH,PB,D,20220214,000000,37.2163,37.2163,36.3175,36.4704,0,0
STH,PB,D,20220215,000000,36.3079,36.853,35.9446,35.9446,0,0
STH,PB,D,20220216,000000,35.6003,36.4896,33.6018,33.6018,0,0
STH,PB,D,20220217,000000,32.8655,34.1277,31.5077,31.8614,0,0
STH,PB,D,20220218,000000,31.9571,33.401,31.5937,32.3205,0,0
STH,PB,D,20220221,000000,32.8272,34.185,31.0965,31.0965,0,0
STH,PB,D,20220222,000000,31.0965,33.3245,30.8287,33.1524,0,0
STH,PB,D,20220223,000000,33.5827,33.7356,31.2686,31.7754,0,0
STH,PB,D,20220224,000000,30.647,30.647,27.6158,27.9218,0,0
STH,PB,D,20220225,000000,29.5951,29.5951,28.2278,28.8684,0,0
STH,PB,D,20220228,000000,28.8589,29.5951,28.2565,29.5951,0,0
STH,PB,D,20220301,000000,29.5951,30.3219,28.3234,28.6867,0,0
STH,PB,D,20220302,000000,29.0501,29.4135,27.6732,28.6485,0,0
STH,PB,D,20220303,000000,27.6158,29.0501,27.6158,28.5146,0,0
STH,PB,D,20220304,000000,28.6867,28.6867,26.8699,27.2333,0,0
STH,PB,D,20220307,000000,25.1678,25.7798,24.6993,25.2443,0,0
STH,PB,D,20220308,000000,25.3304,25.9233,24.8714,25.3783,0,0
STH,PB,D,20220309,000000,25.7798,26.65,25.2348,25.7416,0,0
STH,PB,D,20220310,000000,25.7416,29.7673,25.7416,29.7673,0,0
STH,PB,D,20220311,000000,29.9585,30.8669,28.1226,30.8478,0,0
STH,PB,D,20220314,000000,30.8669,31.5841,30.7044,30.8669,0,0
STH,PB,D,20220315,000000,31.3642,31.3642,29.0501,29.0501,0,0
STH,PB,D,20220316,000000,29.7768,30.5896,29.1936,30.3219,0,0
STH,PB,D,20220317,000000,30.3219,31.2112,30.3219,30.8669,0,0
STH,PB,D,20220318,000000,31.2304,32.024,30.5993,31.9571,0,0
STH,PB,D,20220321,000000,32.6646,33.0472,31.1921,31.7754,0,0
STH,PB,D,20220322,000000,31.7754,31.7754,31.1921,31.5937,0,0
STH,PB,D,20220323,000000,31.4121,31.5937,31.0486,31.5745,0,0
STH,PB,D,20220324,000000,31.4024,32.1388,30.6852,32.1388,0,0
STH,PB,D,20220325,000000,32.5022,32.5022,30.8669,30.8669,0,0
STH,PB,D,20220328,000000,31.1347,31.1347,30.0064,30.0064,0,0
STH,PB,D,20220329,000000,29.9585,31.2207,29.9585,30.0064,0,0
STH,PB,D,20220330,000000,32.4638,32.4638,31.0486,31.2304,0,0
STH,PB,D,20220331,000000,31.2304,31.5937,30.8669,31.4598,0,0
STH,PB,D,20220401,000000,31.4598,32.3108,31.4598,31.7562,0,0
STH,PB,D,20220404,000000,32.1291,32.2249,31.3068,31.6128,0,0
STH,PB,D,20220405,000000,32.1388,32.2057,31.2399,31.2495,0,0
STH,PB,D,20220406,000000,31.5937,31.5937,30.1402,30.6852,0,0
STH,PB,D,20220407,000000,30.0542,30.5705,29.3753,29.9585,0,0
STH,PB,D,20220408,000000,29.4135,30.1689,28.6294,28.6294,0,0
STH,PB,D,20220411,000000,27.7783,29.0501,27.7783,28.4286,0,0
STH,PB,D,20220412,000000,28.4286,29.8438,28.3234,29.0597,0,0
STH,PB,D,20220413,000000,29.1936,29.3274,27.7783,27.7783,0,0
STH,PB,D,20220414,000000,28.5051,29.1171,27.9888,29.1171,0,0
STH,PB,D,20220419,000000,29.1171,30.3888,28.7728,29.8438,0,0
STH,PB,D,20220420,000000,29.8438,31.4312,29.8438,30.4271,0,0
STH,PB,D,20220421,000000,30.3219,30.8669,29.9968,29.9968,0,0
STH,PB,D,20220422,000000,29.9585,29.9585,28.8684,29.3944,0,0
STH,PB,D,20220425,000000,29.7577,29.7577,28.3521,29.0501,0,0
STH,PB,D,20220426,000000,29.3178,29.3178,28.5051,28.8876,0,0
STH,PB,D,20220427,000000,28.878,29.0597,28.1417,28.6867,0,0
STH,PB,D,20220428,000000,28.3234,28.3234,26.9751,27.1472,0,0
STH,PB,D,20220429,000000,27.5966,27.5966,26.5544,27.1377,0,0
STH,PB,D,20220502,000000,27.1377,27.1377,26.1432,26.8699,0,0
STH,PB,D,20220504,000000,27.0516,27.0516,25.4548,25.9615,0,0
STH,PB,D,20220505,000000,26.1623,26.5066,24.9097,24.9097,0,0
STH,PB,D,20220506,000000,24.5272,25.3974,23.6187,25.3974,0,0
STH,PB,D,20220509,000000,25.7416,26.038,24.7662,25.4165,0,0
STH,PB,D,20220510,000000,24.8714,24.8714,23.418,23.4754,0,0
STH,PB,D,20220511,000000,23.351,23.351,22.0124,22.653,0,0
STH,PB,D,20220512,000000,22.2418,23.1693,21.4673,23.1311,0,0
STH,PB,D,20220513,000000,23.2363,23.2363,21.7733,22.5095,0,0
STH,PB,D,20220516,000000,22.1462,22.6912,21.8975,21.9645,0,0
STH,PB,D,20220517,000000,21.8784,22.5095,21.8784,22.2418,0,0
STH,PB,D,20220518,000000,22.3279,22.8729,21.9836,22.4713,0,0
STH,PB,D,20220519,000000,21.8784,22.3279,17.8719,17.8719,0,0
STH,PB,D,20220520,000000,18.1874,18.1874,17.585,17.9771,0,0
STH,PB,D,20220523,000000,18.5699,19.1437,18.1969,19.0958,0,0
STH,PB,D,20220524,000000,19.0671,19.7939,18.2926,18.3691,0,0
STH,PB,D,20220525,000000,18.3691,19.0576,17.9484,18.6751,0,0
STH,PB,D,20220526,000000,18.9237,22.0027,18.6368,21.8593,0,0
STH,PB,D,20220527,000000,21.8593,22.3853,21.362,21.5629,0,0
STH,PB,D,20220530,000000,21.7159,21.8593,21.2664,21.7159,0,0
STH,PB,D,20220531,000000,21.7159,22.8825,21.2664,21.2664,0,0
STH,PB,D,20220601,000000,21.2664,21.9836,20.7118,21.3908,0,0
STH,PB,D,20220602,000000,21.9263,21.9263,14.8597,14.8597,0,0
STH,PB,D,20220603,000000,15.0127,15.4526,14.6876,15.0318,0,0
STH,PB,D,20220606,000000,15.1275,15.2231,14.7354,15.2135,0,0
STH,PB,D,20220607,000000,15.0318,15.2135,14.5633,14.678,0,0
STH,PB,D,20220608,000000,15.0318,15.0318,14.0278,14.2478,0,0
STH,PB,D,20220609,000000,14.2478,14.4295,13.9322,14.3816,0,0
STH,PB,D,20220610,000000,14.3721,14.3721,13.9322,13.9322,0,0
STH,PB,D,20220613,000000,14.2765,14.2765,13.8366,14.0278,0,0
STH,PB,D,20220614,000000,14.0278,14.3242,13.827,13.827,0,0
STH,PB,D,20220615,000000,14.0278,14.219,13.5306,14.219,0,0
STH,PB,D,20220617,000000,13.9896,14.9171,13.9896,14.9171,0,0
STH,PB,D,20220620,000000,14.8311,14.8311,14.133,14.353,0,0
STH,PB,D,20220621,000000,14.7068,14.9076,14.4486,14.8119,0,0
STH,PB,D,20220622,000000,14.8119,15.2231,14.5347,15.2135,0,0
STH,PB,D,20220623,000000,15.2135,15.5961,14.7833,15.2327,0,0
STH,PB,D,20220624,000000,15.29,15.5482,15.2327,15.2327,0,0
STH,PB,D,20220627,000000,15.2805,15.357,14.7833,15.2231,0,0
STH,PB,D,20220628,000000,15.2231,15.3187,14.7736,14.9267,0,0
STH,PB,D,20220629,000000,14.9171,14.9267,14.1713,14.9267,0,0
STH,PB,D,20220630,000000,14.9267,14.9267,14.4772,14.7068,0,0
STH,PB,D,20220701,000000,14.7068,14.7833,14.2574,14.5251,0,0
STH,PB,D,20220704,000000,14.8215,14.8215,14.1713,14.5824,0,0
STH,PB,D,20220705,000000,14.7163,14.7163,13.5784,14.2286,0,0
STH,PB,D,20220706,000000,14.2286,14.5251,13.368,13.368,0,0
STH,PB,D,20220707,000000,13.9322,14.3242,13.6358,14.0278,0,0
STH,PB,D,20220708,000000,14.1043,14.5059,13.9322,14.0278,0,0
STH,PB,D,20220711,000000,14.0278,14.1522,13.5306,13.7219,0,0
STH,PB,D,20220712,000000,13.7696,14.1425,13.5402,14.133,0,0
STH,PB,D,20220713,000000,14.2286,14.2286,13.5306,13.6262,0,0
STH,PB,D,20220714,000000,13.9131,14.0852,13.5879,13.8652,0,0
STH,PB,D,20220715,000000,13.9705,13.9705,12.9091,13.6167,0,0
STH,PB,D,20220718,000000,13.8079,13.827,13.3585,13.4446,0,0
STH,PB,D,20220719,000000,13.7028,13.7314,13.2724,13.4732,0,0
STH,PB,D,20220720,000000,13.5306,13.7219,13.3297,13.4732,0,0
STH,PB,D,20220721,000000,13.5306,13.5784,13.3394,13.3394,0,0
STH,PB,D,20220722,000000,13.3394,13.6071,13.1385,13.3394,0,0
STH,PB,D,20220725,000000,13.5019,13.5019,13.1385,13.1385,0,0
STH,PB,D,20220726,000000,13.3297,13.3297,13.1385,13.2629,0,0
STH,PB,D,20220727,000000,13.1768,13.5306,13.0429,13.5019,0,0
STH,PB,D,20220728,000000,13.4828,15.3283,13.4828,15.1753,0,0
STH,PB,D,20220729,000000,14.9841,15.3283,14.7163,15.0127,0,0
STH,PB,D,20220801,000000,15.1467,15.1467,14.5729,15.0223,0,0
STH,PB,D,20220802,000000,15.0318,15.2231,14.5729,14.6494,0,0
STH,PB,D,20220803,000000,14.4295,15.2327,14.2574,15.1275,0,0
STH,PB,D,20220804,000000,15.1275,15.1275,14.6876,14.9267,0,0
STH,PB,D,20220805,000000,15.0414,15.1275,14.3339,14.8311,0,0
STH,PB,D,20220808,000000,14.7259,14.9841,14.5251,14.7259,0,0
STH,PB,D,20220809,000000,14.7259,14.8406,14.286,14.4295,0,0
STH,PB,D,20220810,000000,14.4486,15.0127,14.219,14.3816,0,0
STH,PB,D,20220811,000000,14.4963,14.9936,14.4963,14.9267,0,0
STH,PB,D,20220812,000000,15.2872,15.5127,14.8949,15.4146,0,0
STH,PB,D,20220816,000000,15.8069,16.5913,15.4146,16.3364,0,0
STH,PB,D,20220817,000000,16.6502,16.8855,16.2874,16.6894,0,0
STH,PB,D,20220818,000000,16.6894,17.062,16.4443,16.9345,0,0
