<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STP,PE,D,20070813,000000,14.3426,14.3426,14.3426,14.3426,0,0
STP,PE,D,20070814,000000,14.3426,14.3426,14.3426,14.3426,0,0
STP,PE,D,20070816,000000,13.7231,13.7231,13.7231,13.7231,0,0
STP,PE,D,20070817,000000,14.109,14.109,14.109,14.109,0,0
STP,PE,D,20070820,000000,14.4241,14.4241,14.4241,14.4241,0,0
STP,PE,D,20070821,000000,13.8752,13.8752,13.8752,13.8752,0,0
STP,PE,D,20070822,000000,15.1225,15.1225,15.1225,15.1225,0,0
STP,PE,D,20070823,000000,15.05,15.05,15.05,15.05,0,0
STP,PE,D,20070824,000000,15.05,15.05,15.05,15.05,0,0
STP,PE,D,20070827,000000,15.05,15.05,15.05,15.05,0,0
STP,PE,D,20070828,000000,14.8897,14.8897,14.8897,14.8897,0,0
STP,PE,D,20070829,000000,15.05,15.05,15.05,15.05,0,0
STP,PE,D,20070830,000000,15.5165,15.5165,15.5165,15.5165,0,0
STP,PE,D,20070831,000000,15.6714,15.6714,15.6714,15.6714,0,0
STP,PE,D,20070903,000000,16.5319,16.5319,16.5319,16.5319,0,0
STP,PE,D,20070904,000000,16.4503,16.4503,16.4503,16.4503,0,0
STP,PE,D,20070905,000000,16.136,16.136,16.136,16.136,0,0
STP,PE,D,20070906,000000,16.5319,16.5319,16.5319,16.5319,0,0
STP,PE,D,20070907,000000,16.0572,16.0572,16.0572,16.0572,0,0
STP,PE,D,20070910,000000,16.0572,16.0572,16.0572,16.0572,0,0
STP,PE,D,20070911,000000,16.2175,16.2175,16.2175,16.2175,0,0
STP,PE,D,20070912,000000,16.3716,16.3716,16.3716,16.3716,0,0
STP,PE,D,20070913,000000,16.2981,16.2981,16.2981,16.2981,0,0
STP,PE,D,20070914,000000,16.2175,16.2175,16.2175,16.2175,0,0
STP,PE,D,20070917,000000,16.2175,16.2175,16.2175,16.2175,0,0
STP,PE,D,20070918,000000,16.4503,16.4503,16.4503,16.4503,0,0
STP,PE,D,20070919,000000,17.0789,17.0789,17.0789,17.0789,0,0
STP,PE,D,20070920,000000,16.9258,16.9258,16.9258,16.9258,0,0
STP,PE,D,20070921,000000,17.0789,17.0789,17.0789,17.0789,0,0
STP,PE,D,20070924,000000,17.0789,17.0789,17.0789,17.0789,0,0
STP,PE,D,20070925,000000,16.684,16.684,16.684,16.684,0,0
STP,PE,D,20070926,000000,16.4503,16.4503,16.4503,16.4503,0,0
STP,PE,D,20070927,000000,16.136,16.136,16.136,16.136,0,0
STP,PE,D,20070928,000000,15.6623,15.6623,15.6623,15.6623,0,0
STP,PE,D,20071001,000000,15.4286,15.4286,15.4286,15.4286,0,0
STP,PE,D,20071002,000000,15.6623,15.6623,15.6623,15.6623,0,0
STP,PE,D,20071003,000000,15.3498,15.3498,15.3498,15.3498,0,0
STP,PE,D,20071004,000000,15.3498,15.3498,15.3498,15.3498,0,0
STP,PE,D,20071005,000000,15.8245,15.8245,15.8245,15.8245,0,0
STP,PE,D,20071008,000000,15.5083,15.5083,15.5083,15.5083,0,0
STP,PE,D,20071009,000000,15.9042,15.9042,15.9042,15.9042,0,0
STP,PE,D,20071010,000000,15.9042,15.9042,15.9042,15.9042,0,0
