<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STX,PE,D,20070813,000000,15.6882,15.6882,15.6882,15.6882,0,0
STX,PE,D,20070814,000000,14.6464,14.6464,14.6464,14.6464,0,0
STX,PE,D,20070816,000000,11.8671,11.8671,11.8671,11.8671,0,0
STX,PE,D,20070817,000000,11.635,11.635,11.635,11.635,0,0
STX,PE,D,20070820,000000,12.0408,12.0408,12.0408,12.0408,0,0
STX,PE,D,20070821,000000,11.2886,11.2886,11.2886,11.2886,0,0
STX,PE,D,20070822,000000,11.9832,11.9832,11.9832,11.9832,0,0
STX,PE,D,20070823,000000,16.3837,16.3837,16.3837,16.3837,0,0
STX,PE,D,20070824,000000,18.3514,18.3514,18.3514,18.3514,0,0
STX,PE,D,20070827,000000,18.4674,18.4674,18.4674,18.4674,0,0
STX,PE,D,20070828,000000,18.0031,18.0031,18.0031,18.0031,0,0
STX,PE,D,20070829,000000,19.1611,19.1611,19.1611,19.1611,0,0
STX,PE,D,20070830,000000,20.4351,20.4351,20.4351,20.4351,0,0
STX,PE,D,20070831,000000,21.0721,21.0721,21.0721,21.0721,0,0
STX,PE,D,20070903,000000,21.1306,21.1306,21.1306,21.1306,0,0
STX,PE,D,20070904,000000,21.3609,21.3609,21.3609,21.3609,0,0
STX,PE,D,20070905,000000,20.5502,20.5502,20.5502,20.5502,0,0
STX,PE,D,20070906,000000,19.8556,19.8556,19.8556,19.8556,0,0
STX,PE,D,20070907,000000,18.8138,18.8138,18.8138,18.8138,0,0
STX,PE,D,20070910,000000,18.2362,18.2362,18.2362,18.2362,0,0
STX,PE,D,20070911,000000,18.8723,18.8723,18.8723,18.8723,0,0
STX,PE,D,20070912,000000,18.6986,18.6986,18.6986,18.6986,0,0
STX,PE,D,20070913,000000,18.9299,18.9299,18.9299,18.9299,0,0
STX,PE,D,20070914,000000,18.8138,18.8138,18.8138,18.8138,0,0
STX,PE,D,20070917,000000,18.9299,18.9299,18.9299,18.9299,0,0
STX,PE,D,20070918,000000,19.2196,19.2196,19.2196,19.2196,0,0
STX,PE,D,20070919,000000,20.0878,20.0878,20.0878,20.0878,0,0
STX,PE,D,20070920,000000,19.4508,19.4508,19.4508,19.4508,0,0
STX,PE,D,20070921,000000,19.2781,19.2781,19.2781,19.2781,0,0
STX,PE,D,20070924,000000,18.6986,18.6986,18.6986,18.6986,0,0
STX,PE,D,20070925,000000,18.2362,18.2362,18.2362,18.2362,0,0
STX,PE,D,20070926,000000,18.0616,18.0616,18.0616,18.0616,0,0
STX,PE,D,20070927,000000,17.5983,17.5983,17.5983,17.5983,0,0
STX,PE,D,20070928,000000,17.4256,17.4256,17.4256,17.4256,0,0
STX,PE,D,20071001,000000,17.0198,17.0198,17.0198,17.0198,0,0
STX,PE,D,20071002,000000,17.5983,17.5983,17.5983,17.5983,0,0
STX,PE,D,20071003,000000,17.9456,17.9456,17.9456,17.9456,0,0
STX,PE,D,20071004,000000,17.5983,17.5983,17.5983,17.5983,0,0
STX,PE,D,20071005,000000,17.5983,17.5983,17.5983,17.5983,0,0
STX,PE,D,20071008,000000,17.888,17.888,17.888,17.888,0,0
STX,PE,D,20071009,000000,17.9456,17.9456,17.9456,17.9456,0,0
STX,PE,D,20071010,000000,17.8304,17.8304,17.8304,17.8304,0,0
STX,PE,D,20071011,000000,17.8304,17.8304,17.8304,17.8304,0,0
STX,PE,D,20071012,000000,17.5983,17.5983,17.5983,17.5983,0,0
STX,PE,D,20071015,000000,17.8304,17.8304,17.8304,17.8304,0,0
STX,PE,D,20071016,000000,17.6568,17.6568,17.6568,17.6568,0,0
STX,PE,D,20071017,000000,17.8304,17.8304,17.8304,17.8304,0,0
STX,PE,D,20071018,000000,17.3086,17.3086,17.3086,17.3086,0,0
STX,PE,D,20071019,000000,17.251,17.251,17.251,17.251,0,0
STX,PE,D,20071022,000000,16.9046,16.9046,16.9046,16.9046,0,0
STX,PE,D,20071023,000000,17.4256,17.4256,17.4256,17.4256,0,0
STX,PE,D,20071024,000000,17.1349,17.1349,17.1349,17.1349,0,0
STX,PE,D,20071025,000000,17.251,17.251,17.251,17.251,0,0
STX,PE,D,20071026,000000,17.3671,17.3671,17.3671,17.3671,0,0
STX,PE,D,20071029,000000,17.4256,17.4256,17.4256,17.4256,0,0
STX,PE,D,20071030,000000,17.5983,17.5983,17.5983,17.5983,0,0
STX,PE,D,20071031,000000,18.4674,18.4674,18.4674,18.4674,0,0
STX,PE,D,20071102,000000,19.9726,19.9726,19.9726,19.9726,0,0
STX,PE,D,20071105,000000,45.6179,45.6179,45.6179,45.6179,0,0
STX,PE,D,20071106,000000,44.5176,44.5176,44.5176,44.5176,0,0
STX,PE,D,20071107,000000,43.6494,43.6494,43.6494,43.6494,0,0
STX,PE,D,20071108,000000,44.0542,44.0542,44.0542,44.0542,0,0
STX,PE,D,20071109,000000,44.5176,44.6327,43.186,43.8806,0,0
STX,PE,D,20071112,000000,43.3021,44.8658,42.3178,42.3178,0,0
STX,PE,D,20071113,000000,42.7236,43.186,42.3178,42.8387,0,0
STX,PE,D,20071114,000000,43.6494,44.4024,41.5071,41.5071,0,0
