<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEN,MV,D,20180511,000000,361.373,361.373,361.373,361.373,0,0
TEN,MV,D,20180514,000000,396.355,422.579,385.331,388.777,0,0
TEN,MV,D,20180515,000000,388.191,388.191,342.143,361.373,0,0
TEN,MV,D,20180516,000000,370.115,371.464,352.632,371.116,0,0
TEN,MV,D,20180517,000000,372.27,372.27,343.891,343.891,0,0
TEN,MV,D,20180518,000000,343.891,359.048,340.972,343.891,0,0
TEN,MV,D,20180521,000000,349.781,366.627,349.781,354.381,0,0
TEN,MV,D,20180522,000000,364.293,364.293,355.551,360.559,0,0
TEN,MV,D,20180523,000000,361.373,361.373,343.891,355.551,0,0
TEN,MV,D,20180524,000000,355.551,355.551,348.618,355.484,0,0
TEN,MV,D,20180525,000000,355.551,355.551,346.802,352.692,0,0
TEN,MV,D,20180528,000000,354.381,373.034,352.692,373.034,0,0
TEN,MV,D,20180529,000000,408.007,415.585,385.509,392.731,0,0
TEN,MV,D,20180530,000000,378.746,384.398,357.3,364.293,0,0
TEN,MV,D,20180601,000000,364.293,374.494,359.634,373.034,0,0
TEN,MV,D,20180604,000000,378.873,406.776,378.873,406.259,0,0
TEN,MV,D,20180605,000000,416.816,454.581,416.816,454.581,0,0
TEN,MV,D,20180606,000000,464.833,507.096,461.625,462.219,0,0
TEN,MV,D,20180607,000000,474.456,487.746,451.722,483.783,0,0
TEN,MV,D,20180608,000000,480.805,489.546,469.272,482.901,0,0
TEN,MV,D,20180611,000000,492.525,492.525,440.358,462.737,0,0
TEN,MV,D,20180612,000000,469.212,473.286,463.382,468.567,0,0
TEN,MV,D,20180613,000000,471.241,471.241,457.602,462.033,0,0
TEN,MV,D,20180614,000000,454.641,483.783,443.565,480.864,0,0
TEN,MV,D,20180615,000000,482.027,482.027,472.692,477.953,0,0
TEN,MV,D,20180618,000000,477.367,477.367,466.293,471.368,0,0
TEN,MV,D,20180619,000000,466.878,466.878,448.87,457.543,0,0
TEN,MV,D,20180620,000000,454.641,459.885,437.268,448.751,0,0
TEN,MV,D,20180621,000000,448.751,449.506,421.119,425.498,0,0
TEN,MV,D,20180622,000000,422.579,431.328,422.579,425.43,0,0
TEN,MV,D,20180625,000000,426.941,466.233,417.334,452.714,0,0
TEN,MV,D,20180626,000000,453.469,457.84,437.268,448.751,0,0
TEN,MV,D,20180627,000000,444.143,448.751,437.15,438.024,0,0
TEN,MV,D,20180628,000000,435.104,448.811,434.417,448.692,0,0
TEN,MV,D,20180629,000000,438.142,448.632,438.142,442.971,0,0
TEN,MV,D,20180702,000000,442.971,455.217,442.971,454.641,0,0
TEN,MV,D,20180703,000000,454.641,454.641,446.239,451.136,0,0
TEN,MV,D,20180704,000000,453.767,465.359,448.811,451.722,0,0
TEN,MV,D,20180705,000000,452.298,474.975,451.722,469.212,0,0
TEN,MV,D,20180706,000000,472.123,477.953,466.42,466.522,0,0
TEN,MV,D,20180709,000000,471.478,472.064,457.84,465.13,0,0
TEN,MV,D,20180710,000000,466.522,512.918,464.137,498.931,0,0
TEN,MV,D,20180711,000000,507.096,507.096,495.436,498.355,0,0
TEN,MV,D,20180712,000000,502.436,504.177,495.436,499.925,0,0
TEN,MV,D,20180713,000000,500.68,501.266,495.436,498.355,0,0
TEN,MV,D,20180716,000000,503.599,507.028,497.769,498.422,0,0
TEN,MV,D,20180717,000000,498.516,498.516,485.234,493.679,0,0
TEN,MV,D,20180718,000000,495.265,495.265,481.679,486.686,0,0
TEN,MV,D,20180719,000000,486.686,489.605,477.953,483.783,0,0
TEN,MV,D,20180720,000000,489.605,501.266,483.783,491.879,0,0
TEN,MV,D,20180723,000000,497.701,504.354,495.436,504.354,0,0
TEN,MV,D,20180724,000000,507.096,511.823,492.575,508.547,0,0
TEN,MV,D,20180725,000000,512.918,564.219,507.096,553.721,0,0
TEN,MV,D,20180726,000000,556.632,582.287,556.632,577.033,0,0
TEN,MV,D,20180727,000000,579.944,620.747,565.389,617.251,0,0
TEN,MV,D,20180730,000000,641.157,676.122,613.763,614.925,0,0
TEN,MV,D,20180731,000000,612.006,640.572,588.702,594.524,0,0
TEN,MV,D,20180801,000000,597.427,605.599,591.028,597.902,0,0
TEN,MV,D,20180802,000000,602.103,607.347,598.021,599.183,0,0
TEN,MV,D,20180803,000000,600.354,605.599,591.605,591.605,0,0
TEN,MV,D,20180806,000000,600.354,600.354,571.5,579.944,0,0
TEN,MV,D,20180807,000000,582.864,591.605,571.568,581.709,0,0
TEN,MV,D,20180808,000000,588.117,622.377,579.944,622.377,0,0
TEN,MV,D,20180809,000000,636.49,664.461,618.532,664.461,0,0
TEN,MV,D,20180810,000000,665.633,665.633,643.95,661.55,0,0
TEN,MV,D,20180813,000000,658.055,690.575,655.729,681.961,0,0
TEN,MV,D,20180814,000000,681.961,716.34,679.033,714.006,0,0
TEN,MV,D,20180816,000000,727.881,743.149,707.607,731.488,0,0
TEN,MV,D,20180817,000000,734.416,734.416,708.294,716.926,0,0
TEN,MV,D,20180820,000000,722.756,744.32,699.443,702.354,0,0
TEN,MV,D,20180821,000000,715.763,715.763,687.901,705.274,0,0
TEN,MV,D,20180822,000000,711.095,711.095,691.279,694.317,0,0
TEN,MV,D,20180823,000000,705.274,705.274,679.033,681.367,0,0
TEN,MV,D,20180824,000000,704.68,704.68,683.344,687.783,0,0
TEN,MV,D,20180827,000000,693.604,722.756,693.604,699.443,0,0
TEN,MV,D,20180828,000000,684.872,711.095,616.436,616.436,0,0
TEN,MV,D,20180829,000000,616.318,664.461,577.033,641.157,0,0
TEN,MV,D,20180830,000000,657.469,657.469,612.006,623.667,0,0
TEN,MV,D,20180831,000000,617.845,617.845,582.864,590.442,0,0
TEN,MV,D,20180903,000000,582.991,588.702,495.436,495.436,0,0
TEN,MV,D,20180904,000000,484.36,530.239,484.36,523.297,0,0
TEN,MV,D,20180905,000000,522.244,556.063,522.244,533.319,0,0
TEN,MV,D,20180906,000000,523.992,523.992,501.266,515.837,0,0
TEN,MV,D,20180907,000000,507.096,540.312,507.096,515.837,0,0
TEN,MV,D,20180910,000000,507.206,542.069,495.436,542.069,0,0
TEN,MV,D,20180911,000000,553.721,553.721,509.429,509.429,0,0
TEN,MV,D,20180912,000000,525.749,530.408,498.355,501.385,0,0
TEN,MV,D,20180913,000000,518.51,518.51,507.096,517.178,0,0
TEN,MV,D,20180914,000000,518.756,522.838,512.918,522.838,0,0
TEN,MV,D,20180917,000000,522.244,597.427,522.244,597.427,0,0
TEN,MV,D,20180918,000000,600.354,635.327,594.524,594.524,0,0
TEN,MV,D,20180919,000000,591.605,609.791,562.462,562.462,0,0
TEN,MV,D,20180920,000000,562.522,576.923,562.522,573.546,0,0
TEN,MV,D,20180921,000000,577.033,593.938,574.759,582.864,0,0
TEN,MV,D,20180924,000000,582.864,588.702,542.069,542.069,0,0
TEN,MV,D,20180925,000000,548.477,571.152,548.477,569.166,0,0
TEN,MV,D,20180926,000000,570.041,592.191,563.344,565.262,0,0
TEN,MV,D,20180927,000000,570.041,585.783,570.041,571.211,0,0
TEN,MV,D,20180928,000000,577.033,587.531,554.366,565.389,0,0
TEN,MV,D,20181001,000000,565.389,567.647,545.556,549.757,0,0
TEN,MV,D,20181002,000000,542.646,550.224,533.608,539.15,0,0
TEN,MV,D,20181003,000000,542.001,551.098,518.756,550.224,0,0
TEN,MV,D,20181004,000000,553.721,553.721,533.319,536.239,0,0
TEN,MV,D,20181005,000000,526.912,574.716,526.912,551.396,0,0
TEN,MV,D,20181008,000000,551.269,553.721,524.578,530.985,0,0
TEN,MV,D,20181009,000000,525.164,534.422,518.756,528.083,0,0
TEN,MV,D,20181010,000000,527.489,527.489,497.769,503.599,0,0
TEN,MV,D,20181011,000000,478.53,484.946,443.795,464.536,0,0
TEN,MV,D,20181012,000000,472.123,489.316,459.291,488.374,0,0
TEN,MV,D,20181015,000000,495.436,495.436,473.922,482.901,0,0
TEN,MV,D,20181016,000000,483.783,488.443,480.278,483.783,0,0
TEN,MV,D,20181017,000000,483.783,486.813,466.878,469.212,0,0
TEN,MV,D,20181018,000000,467.464,477.775,460.463,461.048,0,0
TEN,MV,D,20181019,000000,456.966,463.382,450.559,458.196,0,0
TEN,MV,D,20181022,000000,454.641,454.641,424.038,445.891,0,0
TEN,MV,D,20181023,000000,431.328,431.328,405.087,425.548,0,0
TEN,MV,D,20181024,000000,415.051,445.891,415.051,434.349,0,0
TEN,MV,D,20181025,000000,411.563,417.622,405.444,412.378,0,0
TEN,MV,D,20181026,000000,413.838,431.328,413.838,413.896,0,0
TEN,MV,D,20181029,000000,413.948,424.912,413.896,422.281,0,0
TEN,MV,D,20181030,000000,419.659,423.164,416.926,422.579,0,0
TEN,MV,D,20181031,000000,426.372,448.751,422.579,439.492,0,0
TEN,MV,D,20181102,000000,448.811,477.953,448.811,472.123,0,0
TEN,MV,D,20181105,000000,478.063,548.477,478.063,536.239,0,0
TEN,MV,D,20181106,000000,547.305,565.958,536.239,553.135,0,0
TEN,MV,D,20181107,000000,562.462,562.462,512.918,514.844,0,0
TEN,MV,D,20181108,000000,515.549,536.239,508.25,513.8,0,0
TEN,MV,D,20181109,000000,507.096,507.096,480.864,499.517,0,0
TEN,MV,D,20181113,000000,483.783,483.783,472.123,480.864,0,0
TEN,MV,D,20181114,000000,475.034,509.659,472.292,509.124,0,0
TEN,MV,D,20181115,000000,512.918,517.585,495.436,504.177,0,0
TEN,MV,D,20181116,000000,503.005,507.096,475.034,480.864,0,0
TEN,MV,D,20181119,000000,486.686,495.088,466.878,475.678,0,0
TEN,MV,D,20181120,000000,472.123,475.034,454.641,454.929,0,0
TEN,MV,D,20181121,000000,448.225,448.225,437.081,440.654,0,0
TEN,MV,D,20181122,000000,446.476,489.665,443.565,489.665,0,0
TEN,MV,D,20181123,000000,501.266,509.429,485.532,485.532,0,0
TEN,MV,D,20181126,000000,484.946,498.295,484.946,492.525,0,0
TEN,MV,D,20181127,000000,492.525,495.436,483.783,489.605,0,0
TEN,MV,D,20181128,000000,491.939,506.519,491.939,501.266,0,0
TEN,MV,D,20181129,000000,505.925,515.897,505.925,515.251,0,0
TEN,MV,D,20181130,000000,512.918,519.325,509.999,512.918,0,0
TEN,MV,D,20181203,000000,514.089,514.089,480.864,483.893,0,0
TEN,MV,D,20181204,000000,491.353,491.353,469.212,481.449,0,0
