<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEN,PB,D,20180511,000000,30.9097,30.9097,30.9097,30.9097,0,0
TEN,PB,D,20180514,000000,33.9062,36.1492,32.9608,33.257,0,0
TEN,PB,D,20180515,000000,33.2095,33.2095,29.2675,30.9097,0,0
TEN,PB,D,20180516,000000,31.6632,31.7753,30.1645,31.7431,0,0
TEN,PB,D,20180517,000000,31.8466,31.8466,29.4202,29.4202,0,0
TEN,PB,D,20180518,000000,29.4202,30.7179,29.1716,29.4202,0,0
TEN,PB,D,20180521,000000,29.9243,31.3586,29.9243,30.3173,0,0
TEN,PB,D,20180522,000000,31.1668,31.1668,30.4132,30.846,0,0
TEN,PB,D,20180523,000000,30.9097,30.9097,29.4202,30.4132,0,0
TEN,PB,D,20180524,000000,30.4132,30.4132,29.8208,30.4132,0,0
TEN,PB,D,20180525,000000,30.4132,30.4132,29.6681,30.1721,0,0
TEN,PB,D,20180528,000000,30.3173,31.911,30.1721,31.911,0,0
TEN,PB,D,20180529,000000,34.8992,35.5484,32.977,33.5939,0,0
TEN,PB,D,20180530,000000,32.4008,34.8924,30.5659,34.8924,0,0
TEN,PB,D,20180601,000000,34.8924,35.8692,34.4511,35.7325,0,0
TEN,PB,D,20180604,000000,36.2943,38.9617,36.2943,38.9141,0,0
TEN,PB,D,20180605,000000,39.9232,43.5444,39.9232,43.5444,0,0
TEN,PB,D,20180606,000000,44.522,48.5761,44.2174,44.2742,0,0
TEN,PB,D,20180607,000000,45.4428,46.7175,43.2635,46.3408,0,0
TEN,PB,D,20180608,000000,46.0522,46.894,44.9464,46.2524,0,0
TEN,PB,D,20180611,000000,47.1741,47.1741,42.1832,44.3209,0,0
TEN,PB,D,20180612,000000,44.9464,45.3308,44.3855,44.8827,0,0
TEN,PB,D,20180613,000000,45.139,45.139,43.8329,44.2581,0,0
TEN,PB,D,20180614,000000,43.5444,46.3408,42.487,46.0598,0,0
TEN,PB,D,20180615,000000,46.1719,46.1719,45.2748,45.7798,0,0
TEN,PB,D,20180618,000000,45.7229,45.7229,44.6663,45.1467,0,0
TEN,PB,D,20180619,000000,44.7223,44.7223,42.9919,43.8253,0,0
TEN,PB,D,20180620,000000,43.5444,44.0493,41.8861,42.9834,0,0
TEN,PB,D,20180621,000000,42.9834,43.0556,40.3398,40.7575,0,0
TEN,PB,D,20180622,000000,40.4757,41.3175,40.4757,40.7489,0,0
TEN,PB,D,20180625,000000,40.8924,44.6578,39.9716,43.3602,0,0
