<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THG,MV,D,20210420,000000,90.57,90.57,90.57,90.57,0,0
THG,MV,D,20210421,000000,90.57,91.46,87.85,89.95,0,0
THG,MV,D,20210422,000000,89.91,92,89.91,92,0,0
THG,MV,D,20210423,000000,95.79,102.13,94.19,95.98,0,0
THG,MV,D,20210426,000000,95.98,107.23,95.98,107.05,0,0
THG,MV,D,20210427,000000,108.68,126.6,108.68,114.84,0,0
THG,MV,D,20210428,000000,120.24,120.24,114.57,118.61,0,0
THG,MV,D,20210429,000000,118.61,118.61,113.21,115.89,0,0
THG,MV,D,20210430,000000,115.91,115.91,113.21,115.02,0,0
THG,MV,D,20210504,000000,115.93,120.46,115.93,120.46,0,0
THG,MV,D,20210505,000000,118.68,118.68,115.2,118.43,0,0
THG,MV,D,20210506,000000,118.43,119.55,113.21,113.21,0,0
THG,MV,D,20210507,000000,110.49,110.49,109.59,110.49,0,0
THG,MV,D,20210510,000000,114.12,116.83,112.31,116.65,0,0
THG,MV,D,20210511,000000,121.36,123.17,113.39,117.74,0,0
THG,MV,D,20210512,000000,121,123.17,116.87,119.55,0,0
THG,MV,D,20210513,000000,121,135.76,121,130.42,0,0
THG,MV,D,20210514,000000,134.31,134.31,126.43,130.06,0,0
THG,MV,D,20210517,000000,134.04,134.04,126.25,127.7,0,0
THG,MV,D,20210518,000000,128.43,128.61,124.99,125.89,0,0
THG,MV,D,20210519,000000,125.89,126.58,123.17,126.58,0,0
THG,MV,D,20210520,000000,126.58,126.58,126.58,126.58,0,0
THG,MV,D,20210521,000000,126.58,126.58,121.54,125.31,0,0
THG,MV,D,20210524,000000,125.29,127.7,125.29,127.25,0,0
THG,MV,D,20210525,000000,126.34,126.34,123.17,125.62,0,0
THG,MV,D,20210526,000000,123.35,123.35,119.91,123.17,0,0
THG,MV,D,20210527,000000,122.99,122.99,119.91,119.91,0,0
THG,MV,D,20210528,000000,119.88,119.88,109.04,118.65,0,0
THG,MV,D,20210531,000000,117.74,118.66,115.02,118.61,0,0
THG,MV,D,20210601,000000,118.61,123.17,118.59,120.46,0,0
THG,MV,D,20210602,000000,120.28,120.28,117.74,117.74,0,0
THG,MV,D,20210604,000000,117.2,126.8,117.2,126.8,0,0
THG,MV,D,20210607,000000,124.97,124.97,118.92,124.53,0,0
THG,MV,D,20210608,000000,123.17,123.17,120,120,0,0
THG,MV,D,20210609,000000,117.92,120.28,114.66,115.75,0,0
THG,MV,D,20210610,000000,118.83,118.83,114.12,114.12,0,0
THG,MV,D,20210611,000000,117.34,117.34,114.15,114.48,0,0
THG,MV,D,20210614,000000,114.48,117.29,114.12,115.89,0,0
THG,MV,D,20210615,000000,116.56,116.65,112.31,114.12,0,0
THG,MV,D,20210616,000000,114.12,114.12,108.68,108.68,0,0
THG,MV,D,20210617,000000,108.68,109.59,108.68,109.59,0,0
THG,MV,D,20210618,000000,110.49,112.12,106.96,111.4,0,0
THG,MV,D,20210621,000000,106.96,108.68,106.96,108.68,0,0
THG,MV,D,20210622,000000,108.68,114.84,108.68,114.84,0,0
THG,MV,D,20210623,000000,114.66,114.66,109.41,113.03,0,0
THG,MV,D,20210624,000000,113.03,113.03,109.59,112.58,0,0
THG,MV,D,20210625,000000,112.58,113.21,109.44,113.07,0,0
THG,MV,D,20210628,000000,114.48,114.48,113.94,113.94,0,0
THG,MV,D,20210629,000000,113.94,114.12,113.94,114.12,0,0
THG,MV,D,20210630,000000,114.12,114.12,114.12,114.12,0,0
THG,MV,D,20210701,000000,113.66,119.37,113.66,116.83,0,0
THG,MV,D,20210702,000000,114.41,117.38,114.12,115.02,0,0
THG,MV,D,20210705,000000,115.02,116.83,112.31,115.93,0,0
THG,MV,D,20210706,000000,115.02,116.65,115.02,116.65,0,0
THG,MV,D,20210707,000000,118.65,118.65,114.12,114.19,0,0
THG,MV,D,20210708,000000,115.02,115.75,110.49,115.02,0,0
THG,MV,D,20210709,000000,115.02,115.02,113.94,113.94,0,0
THG,MV,D,20210712,000000,113.92,113.92,108.88,113.21,0,0
THG,MV,D,20210713,000000,109.14,114.12,109.14,113.21,0,0
THG,MV,D,20210714,000000,113.94,113.94,110.13,112.31,0,0
THG,MV,D,20210715,000000,112.31,114.12,112.31,114.12,0,0
THG,MV,D,20210716,000000,114.12,114.12,113.94,113.94,0,0
THG,MV,D,20210719,000000,117.36,117.36,111.58,113.94,0,0
THG,MV,D,20210720,000000,113.83,113.83,113.57,113.57,0,0
THG,MV,D,20210721,000000,113.92,114.12,113.75,113.75,0,0
THG,MV,D,20210722,000000,113.75,113.75,113.75,113.75,0,0
THG,MV,D,20210723,000000,113.75,113.75,101.46,109.57,0,0
THG,MV,D,20210726,000000,108.66,108.68,103.25,106.69,0,0
THG,MV,D,20210727,000000,105.97,105.97,103.25,104.52,0,0
THG,MV,D,20210728,000000,105.04,105.06,99.63,103.94,0,0
THG,MV,D,20210729,000000,103.25,103.79,103.25,103.79,0,0
THG,MV,D,20210730,000000,104.7,104.79,101.98,104.79,0,0
THG,MV,D,20210802,000000,100.53,102.34,98.72,102.34,0,0
THG,MV,D,20210803,000000,102.16,104.79,102.16,104.79,0,0
THG,MV,D,20210804,000000,105.06,109.23,102.52,109.04,0,0
THG,MV,D,20210805,000000,109.04,111.04,108.68,110.86,0,0
THG,MV,D,20210806,000000,111.04,116.83,108.68,116.47,0,0
THG,MV,D,20210809,000000,115.93,116.45,112.31,115.93,0,0
THG,MV,D,20210810,000000,115.91,115.91,114.12,114.12,0,0
THG,MV,D,20210811,000000,114.12,121.34,114.12,118.65,0,0
THG,MV,D,20210812,000000,119.55,119.55,108.68,109.59,0,0
THG,MV,D,20210813,000000,108.68,111.04,103.97,107.78,0,0
THG,MV,D,20210816,000000,103.61,107.78,103.25,105.06,0,0
THG,MV,D,20210817,000000,107.6,107.6,104.88,105.97,0,0
THG,MV,D,20210818,000000,105.06,105.97,105.06,105.97,0,0
THG,MV,D,20210819,000000,102.52,105.06,102.52,105.06,0,0
THG,MV,D,20210820,000000,106.69,106.87,106.69,106.87,0,0
THG,MV,D,20210823,000000,105.24,110.49,103.25,110.49,0,0
THG,MV,D,20210824,000000,110.49,110.49,103.25,106.87,0,0
THG,MV,D,20210825,000000,110.13,110.49,110.13,110.49,0,0
THG,MV,D,20210826,000000,110.49,110.49,110.46,110.46,0,0
THG,MV,D,20210827,000000,110.49,110.49,110.29,110.31,0,0
THG,MV,D,20210830,000000,110.49,110.49,110.46,110.46,0,0
THG,MV,D,20210831,000000,110.46,110.49,110.31,110.31,0,0
THG,MV,D,20210901,000000,108.86,112.31,108.86,110.68,0,0
THG,MV,D,20210902,000000,110.68,114.12,110.68,114.12,0,0
THG,MV,D,20210903,000000,114.12,114.12,114.12,114.12,0,0
THG,MV,D,20210906,000000,114.12,114.12,105.24,108.68,0,0
THG,MV,D,20210907,000000,108.68,112.31,104.7,112.31,0,0
THG,MV,D,20210908,000000,113.21,113.21,107.78,107.78,0,0
THG,MV,D,20210909,000000,108.68,112.31,103.43,103.43,0,0
THG,MV,D,20210910,000000,103.25,105.06,100.71,105.06,0,0
THG,MV,D,20210913,000000,103.79,108.32,103.79,108.32,0,0
THG,MV,D,20210914,000000,108.32,108.32,103.79,103.79,0,0
THG,MV,D,20210915,000000,103.61,107.6,103.61,107.6,0,0
THG,MV,D,20210916,000000,111.4,115.35,108.68,113.05,0,0
THG,MV,D,20210917,000000,113.05,113.57,100.71,106.87,0,0
THG,MV,D,20210920,000000,106.85,106.85,101.44,105.06,0,0
THG,MV,D,20210921,000000,104.88,105.06,103.25,104.34,0,0
THG,MV,D,20210922,000000,104.34,104.34,100.71,101.44,0,0
THG,MV,D,20210923,000000,101.44,101.44,99.63,99.63,0,0
THG,MV,D,20210924,000000,101.09,102.71,99.81,102.71,0,0
THG,MV,D,20210927,000000,102.69,110.49,102.69,107.78,0,0
THG,MV,D,20210928,000000,108.39,108.39,105.42,105.97,0,0
THG,MV,D,20210929,000000,105.06,105.06,105.06,105.06,0,0
THG,MV,D,20210930,000000,105.06,105.06,104.15,104.15,0,0
THG,MV,D,20211001,000000,102.89,102.89,95.64,99.63,0,0
THG,MV,D,20211004,000000,97.81,97.81,96,97.8,0,0
THG,MV,D,20211005,000000,97.62,97.62,96.18,96.18,0,0
THG,MV,D,20211006,000000,96,96.87,96,96,0,0
THG,MV,D,20211007,000000,96,97.02,94.01,96.55,0,0
THG,MV,D,20211008,000000,96.91,96.91,96.55,96.55,0,0
THG,MV,D,20211011,000000,96.91,96.91,94.19,94.19,0,0
THG,MV,D,20211012,000000,94.28,94.28,93.29,93.29,0,0
THG,MV,D,20211013,000000,93.29,94.19,93.29,94.19,0,0
THG,MV,D,20211014,000000,95.42,96.91,95.42,96.91,0,0
THG,MV,D,20211015,000000,96,96,94.19,94.19,0,0
THG,MV,D,20211018,000000,94.37,95.28,94.37,95.28,0,0
THG,MV,D,20211019,000000,95.46,100.15,95.46,100.15,0,0
THG,MV,D,20211020,000000,100.15,100.15,100.1,100.1,0,0
THG,MV,D,20211021,000000,100.15,100.15,100.06,100.06,0,0
THG,MV,D,20211022,000000,99.99,102.52,99.99,102.52,0,0
THG,MV,D,20211025,000000,98,104.15,98,104.15,0,0
THG,MV,D,20211026,000000,103.97,103.97,103.97,103.97,0,0
THG,MV,D,20211027,000000,103.25,103.25,103.05,103.05,0,0
THG,MV,D,20211028,000000,101.47,101.47,100.17,100.17,0,0
THG,MV,D,20211029,000000,98.54,101.26,98,98,0,0
THG,MV,D,20211102,000000,99.54,99.63,97.81,97.81,0,0
THG,MV,D,20211103,000000,97.81,98.9,97.81,98.9,0,0
THG,MV,D,20211104,000000,97.74,97.74,96,97.25,0,0
THG,MV,D,20211105,000000,94.46,96,94.37,96,0,0
THG,MV,D,20211108,000000,97.42,97.42,97.36,97.36,0,0
THG,MV,D,20211109,000000,97.36,97.36,95.64,95.64,0,0
THG,MV,D,20211110,000000,96,99.63,95.64,99.54,0,0
THG,MV,D,20211112,000000,98.61,98.61,95.55,98.16,0,0
THG,MV,D,20211115,000000,94.74,97.78,92.38,95.82,0,0
THG,MV,D,20211116,000000,95.82,95.82,94.16,94.16,0,0
THG,MV,D,20211117,000000,93.83,93.83,90.57,92.02,0,0
THG,MV,D,20211118,000000,90.57,90.57,88.58,88.58,0,0
THG,MV,D,20211119,000000,87.31,87.85,82.42,83.32,0,0
THG,MV,D,20211122,000000,84.41,88.58,84.41,88.58,0,0
THG,MV,D,20211123,000000,88.76,88.76,86.95,87.85,0,0
THG,MV,D,20211124,000000,88.4,88.4,86.95,88.3,0,0
THG,MV,D,20211125,000000,88.67,91.11,86.58,91.11,0,0
THG,MV,D,20211126,000000,91.29,95.1,88.76,90.57,0,0
THG,MV,D,20211129,000000,92.38,92.38,90.39,90.39,0,0
