<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TIM,PB,D,20070813,000000,3.04,3.04,3.04,3.04,0,0
TIM,PB,D,20070814,000000,3.02924,3.02924,3.02924,3.02924,0,0
TIM,PB,D,20070816,000000,3.02924,3.02924,3.02924,3.02924,0,0
TIM,PB,D,20070817,000000,3.06691,3.06691,3.06691,3.06691,0,0
TIM,PB,D,20070820,000000,3.10449,3.10449,3.10449,3.10449,0,0
TIM,PB,D,20070821,000000,3.15821,3.15821,3.15821,3.15821,0,0
TIM,PB,D,20070822,000000,3.27651,3.27651,3.27651,3.27651,0,0
TIM,PB,D,20070823,000000,3.48047,3.48047,3.48047,3.48047,0,0
TIM,PB,D,20070824,000000,3.63088,3.63088,3.63088,3.63088,0,0
TIM,PB,D,20070827,000000,3.70605,3.70605,3.70605,3.70605,0,0
TIM,PB,D,20070828,000000,3.63088,3.63088,3.63088,3.63088,0,0
TIM,PB,D,20070829,000000,3.5664,3.5664,3.5664,3.5664,0,0
TIM,PB,D,20070830,000000,3.57169,3.57169,3.57169,3.57169,0,0
TIM,PB,D,20070831,000000,3.57169,3.57169,3.57169,3.57169,0,0
TIM,PB,D,20070903,000000,3.51805,3.51805,3.51805,3.51805,0,0
TIM,PB,D,20070904,000000,3.59331,3.59331,3.59331,3.59331,0,0
TIM,PB,D,20070905,000000,3.41607,3.41607,3.41607,3.41607,0,0
TIM,PB,D,20070906,000000,3.26029,3.26029,3.26029,3.26029,0,0
TIM,PB,D,20070907,000000,3.25481,3.25481,3.25481,3.25481,0,0
TIM,PB,D,20070910,000000,3.11516,3.11516,3.11516,3.11516,0,0
TIM,PB,D,20070911,000000,3.19041,3.19041,3.19041,3.19041,0,0
TIM,PB,D,20070912,000000,3.24413,3.24413,3.24413,3.24413,0,0
TIM,PB,D,20070913,000000,3.25481,3.25481,3.25481,3.25481,0,0
TIM,PB,D,20070914,000000,3.25481,3.25481,3.25481,3.25481,0,0
TIM,PB,D,20070917,000000,3.25481,3.25481,3.25481,3.25481,0,0
TIM,PB,D,20070918,000000,3.26029,3.26029,3.26029,3.26029,0,0
TIM,PB,D,20070919,000000,3.33006,3.33006,3.33006,3.33006,0,0
TIM,PB,D,20070920,000000,3.29239,3.29239,3.29239,3.29239,0,0
TIM,PB,D,20070921,000000,3.28172,3.28172,3.28172,3.28172,0,0
TIM,PB,D,20070924,000000,3.19588,3.19588,3.19588,3.19588,0,0
TIM,PB,D,20070925,000000,3.08843,3.08843,3.08843,3.08843,0,0
TIM,PB,D,20070926,000000,3.02924,3.02924,3.02924,3.02924,0,0
TIM,PB,D,20070927,000000,2.96475,2.96475,2.96475,2.96475,0,0
TIM,PB,D,20070928,000000,2.99166,2.99166,2.99166,2.99166,0,0
TIM,PB,D,20071001,000000,2.9434,2.9434,2.9434,2.9434,0,0
TIM,PB,D,20071002,000000,2.93802,2.93802,2.93802,2.93802,0,0
TIM,PB,D,20071003,000000,2.87362,2.87362,2.87362,2.87362,0,0
TIM,PB,D,20071004,000000,2.83596,2.83596,2.83596,2.83596,0,0
TIM,PB,D,20071005,000000,2.91649,2.91649,2.91649,2.91649,0,0
TIM,PB,D,20071008,000000,2.94887,2.94887,2.94887,2.94887,0,0
TIM,PB,D,20071009,000000,3.02924,3.02924,3.02924,3.02924,0,0
TIM,PB,D,20071010,000000,3.10449,3.10449,3.10449,3.10449,0,0
TIM,PB,D,20071011,000000,3.08305,3.08305,3.08305,3.08305,0,0
TIM,PB,D,20071012,000000,3.02924,3.02924,3.02924,3.02924,0,0
