<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TIM,PE,D,20070813,000000,15.3614,15.3614,15.3614,15.3614,0,0
TIM,PE,D,20070814,000000,15.3085,15.3085,15.3085,15.3085,0,0
TIM,PE,D,20070816,000000,15.3085,15.3085,15.3085,15.3085,0,0
TIM,PE,D,20070817,000000,15.4691,15.4691,15.4691,15.4691,0,0
TIM,PE,D,20070820,000000,15.6825,15.6825,15.6825,15.6825,0,0
TIM,PE,D,20070821,000000,15.9525,15.9525,15.9525,15.9525,0,0
TIM,PE,D,20070822,000000,16.5427,16.5427,16.5427,16.5427,0,0
TIM,PE,D,20070823,000000,17.6181,17.6181,17.6181,17.6181,0,0
TIM,PE,D,20070824,000000,18.3688,18.3688,18.3688,18.3688,0,0
TIM,PE,D,20070827,000000,18.7455,18.7455,18.7455,18.7455,0,0
TIM,PE,D,20070828,000000,18.3688,18.3688,18.3688,18.3688,0,0
TIM,PE,D,20070829,000000,18.0468,18.0468,18.0468,18.0468,0,0
TIM,PE,D,20070830,000000,17.0252,17.0252,17.0252,17.0252,0,0
TIM,PE,D,20070831,000000,17.0252,17.0252,17.0252,17.0252,0,0
TIM,PE,D,20070903,000000,16.758,16.758,16.758,16.758,0,0
TIM,PE,D,20070904,000000,17.1338,17.1338,17.1338,17.1338,0,0
TIM,PE,D,20070905,000000,16.2745,16.2745,16.2745,16.2745,0,0
TIM,PE,D,20070906,000000,15.5229,15.5229,15.5229,15.5229,0,0
TIM,PE,D,20070907,000000,15.5229,15.5229,15.5229,15.5229,0,0
TIM,PE,D,20070910,000000,14.878,14.878,14.878,14.878,0,0
TIM,PE,D,20070911,000000,15.2009,15.2009,15.2009,15.2009,0,0
TIM,PE,D,20070912,000000,15.4691,15.4691,15.4691,15.4691,0,0
TIM,PE,D,20070913,000000,15.5229,15.5229,15.5229,15.5229,0,0
TIM,PE,D,20070914,000000,15.5229,15.5229,15.5229,15.5229,0,0
TIM,PE,D,20070917,000000,15.5229,15.5229,15.5229,15.5229,0,0
TIM,PE,D,20070918,000000,15.5229,15.5229,15.5229,15.5229,0,0
TIM,PE,D,20070919,000000,15.8458,15.8458,15.8458,15.8458,0,0
TIM,PE,D,20070920,000000,15.6825,15.6825,15.6825,15.6825,0,0
TIM,PE,D,20070921,000000,15.6287,15.6287,15.6287,15.6287,0,0
TIM,PE,D,20070924,000000,15.2009,15.2009,15.2009,15.2009,0,0
TIM,PE,D,20070925,000000,14.7166,14.7166,14.7166,14.7166,0,0
TIM,PE,D,20070926,000000,14.4483,14.4483,14.4483,14.4483,0,0
TIM,PE,D,20070927,000000,14.1255,14.1255,14.1255,14.1255,0,0
TIM,PE,D,20070928,000000,14.2322,14.2322,14.2322,14.2322,0,0
TIM,PE,D,20071001,000000,14.0188,14.0188,14.0188,14.0188,0,0
TIM,PE,D,20071002,000000,13.965,13.965,13.965,13.965,0,0
TIM,PE,D,20071003,000000,13.6959,13.6959,13.6959,13.6959,0,0
TIM,PE,D,20071004,000000,13.5353,13.5353,13.5353,13.5353,0,0
TIM,PE,D,20071005,000000,13.9111,13.9111,13.9111,13.9111,0,0
TIM,PE,D,20071008,000000,14.0726,14.0726,14.0726,14.0726,0,0
TIM,PE,D,20071009,000000,14.4483,14.4483,14.4483,14.4483,0,0
TIM,PE,D,20071010,000000,14.7713,14.7713,14.7713,14.7713,0,0
TIM,PE,D,20071011,000000,14.6636,14.6636,14.6636,14.6636,0,0
TIM,PE,D,20071012,000000,14.4483,14.4483,14.4483,14.4483,0,0
TIM,PE,D,20071015,000000,14.3946,14.3946,14.3946,14.3946,0,0
TIM,PE,D,20071016,000000,14.4483,14.4483,14.4483,14.4483,0,0
TIM,PE,D,20071017,000000,14.3946,14.3946,14.3946,14.3946,0,0
TIM,PE,D,20071018,000000,14.0726,14.0726,14.0726,14.0726,0,0
TIM,PE,D,20071019,000000,14.0726,14.0726,14.0726,14.0726,0,0
TIM,PE,D,20071022,000000,14.0726,14.0726,14.0726,14.0726,0,0
TIM,PE,D,20071023,000000,11.6554,11.6554,11.6554,11.6554,0,0
TIM,PE,D,20071024,000000,11.2258,11.2258,11.2258,11.2258,0,0
TIM,PE,D,20071025,000000,10.5818,10.5818,10.5818,10.5818,0,0
TIM,PE,D,20071026,000000,10.205,10.205,10.205,10.205,0,0
TIM,PE,D,20071029,000000,10.2589,10.2589,10.2589,10.2589,0,0
TIM,PE,D,20071030,000000,10.0975,10.0975,10.0975,10.0975,0,0
TIM,PE,D,20071031,000000,9.93691,9.93691,9.93691,9.93691,0,0
TIM,PE,D,20071102,000000,10.205,10.205,10.205,10.205,0,0
TIM,PE,D,20071105,000000,9.88313,9.88313,9.88313,9.88313,0,0
TIM,PE,D,20071106,000000,9.93691,9.93691,9.93691,9.93691,0,0
TIM,PE,D,20071107,000000,9.99069,9.99069,9.99069,9.99069,0,0
TIM,PE,D,20071108,000000,9.99069,9.99069,9.99069,9.99069,0,0
TIM,PE,D,20071109,000000,9.88313,9.93691,9.55931,9.93691,0,0
TIM,PE,D,20071112,000000,9.61405,9.93691,9.55931,9.55931,0,0
TIM,PE,D,20071113,000000,9.55931,9.55931,9.39966,9.50638,0,0
TIM,PE,D,20071114,000000,9.7216,9.7216,9.34585,9.50638,0,0
TIM,PE,D,20071115,000000,9.55931,9.55931,8.00289,8.32533,0,0
TIM,PE,D,20071116,000000,8.00289,8.32533,7.73472,7.78753,0,0
TIM,PE,D,20071119,000000,7.78753,8.05644,7.78753,8.00289,0,0
TIM,PE,D,20071120,000000,7.89553,7.89553,7.89553,7.89553,0,0
TIM,PE,D,20071121,000000,7.84199,7.84199,7.84199,7.84199,0,0
TIM,PE,D,20071122,000000,7.84199,8.37925,7.68027,8.21725,0,0
TIM,PE,D,20071123,000000,8.75477,8.75477,8.37925,8.53924,0,0
TIM,PE,D,20071126,000000,8.70187,8.70187,8.37925,8.70187,0,0
TIM,PE,D,20071127,000000,8.70187,8.70187,8.37925,8.53924,0,0
TIM,PE,D,20071128,000000,8.53924,8.91531,8.43233,8.70187,0,0
TIM,PE,D,20071129,000000,8.48624,8.96913,8.48624,8.64705,0,0
TIM,PE,D,20071130,000000,8.80859,8.80859,8.37925,8.64705,0,0
TIM,PE,D,20071203,000000,8.80859,8.91531,8.32533,8.91531,0,0
TIM,PE,D,20071204,000000,8.91531,8.91531,8.43233,8.91531,0,0
TIM,PE,D,20071205,000000,8.86241,9.13058,8.64705,9.07676,0,0
TIM,PE,D,20071206,000000,8.91531,9.07676,8.75477,9.07676,0,0
TIM,PE,D,20071207,000000,9.1844,9.1844,8.80859,9.02386,0,0
TIM,PE,D,20071210,000000,9.07676,9.07676,8.75477,8.80859,0,0
TIM,PE,D,20071211,000000,8.53924,8.64705,8.37925,8.37925,0,0
TIM,PE,D,20071212,000000,8.37925,8.37925,7.94999,8.05644,0,0
TIM,PE,D,20071213,000000,8.00289,8.05644,7.46591,8.05644,0,0
TIM,PE,D,20071214,000000,7.73472,8.21725,7.73472,8.21725,0,0
TIM,PE,D,20071217,000000,8.05644,8.05644,7.73472,7.89553,0,0
TIM,PE,D,20071218,000000,7.73472,8.21725,7.73472,8.21725,0,0
TIM,PE,D,20071219,000000,8.05644,8.21725,7.89553,8.21725,0,0
TIM,PE,D,20071220,000000,8.05644,8.21725,7.89553,8.21725,0,0
TIM,PE,D,20071221,000000,7.89553,8.37925,7.89553,8.37925,0,0
TIM,PE,D,20071227,000000,8.05644,8.53924,8.05644,8.21725,0,0
TIM,PE,D,20071228,000000,8.05644,8.53924,7.94999,8.53924,0,0
TIM,PE,D,20080102,000000,8.43233,8.43233,8.11007,8.27215,0,0
TIM,PE,D,20080103,000000,8.21725,8.27215,8.11007,8.27215,0,0
TIM,PE,D,20080104,000000,8.53924,8.91531,8.32533,8.75477,0,0
TIM,PE,D,20080107,000000,8.53924,8.70187,8.53924,8.70187,0,0
TIM,PE,D,20080108,000000,8.59406,8.59406,8.43233,8.53924,0,0
TIM,PE,D,20080109,000000,8.59406,8.59406,8.32533,8.32533,0,0
TIM,PE,D,20080110,000000,8.37925,8.53924,7.94999,8.00289,0,0
TIM,PE,D,20080111,000000,8.00289,8.21725,7.84199,7.89553,0,0
TIM,PE,D,20080114,000000,7.89553,7.89553,7.89553,7.89553,0,0
TIM,PE,D,20080115,000000,7.57328,8.00289,7.25147,7.68027,0,0
TIM,PE,D,20080116,000000,6.92884,7.35791,6.92884,7.35791,0,0
TIM,PE,D,20080117,000000,7.35791,7.51991,7.03611,7.30465,0,0
TIM,PE,D,20080118,000000,7.14328,7.51991,7.14328,7.25147,0,0
TIM,PE,D,20080121,000000,7.30465,7.30465,6.55286,6.60676,0,0
TIM,PE,D,20080122,000000,6.17687,6.71367,6.17687,6.49913,0,0
TIM,PE,D,20080123,000000,6.71367,6.98275,6.49913,6.49913,0,0
TIM,PE,D,20080124,000000,6.82129,6.82129,6.66058,6.76739,0,0
