<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXT,PE,D,20140411,000000,40.3349,40.3349,40.3349,40.3349,0,0
TXT,PE,D,20140414,000000,40.1258,40.1258,38.9457,39.2251,0,0
TXT,PE,D,20140415,000000,39.2251,39.57,39.0141,39.2251,0,0
TXT,PE,D,20140416,000000,39.2251,39.5025,39.0141,39.0141,0,0
TXT,PE,D,20140417,000000,38.807,39.6403,38.807,39.2251,0,0
TXT,PE,D,20140422,000000,39.8494,40.4754,39.3656,40.4061,0,0
TXT,PE,D,20140423,000000,40.2655,40.5448,40.0583,40.4061,0,0
TXT,PE,D,20140424,000000,40.4061,40.4061,40.4061,40.4061,0,0
TXT,PE,D,20140425,000000,40.0583,40.4061,39.2251,40.4061,0,0
TXT,PE,D,20140428,000000,40.5448,40.5448,39.3656,40.2655,0,0
TXT,PE,D,20140429,000000,40.2655,40.2655,39.2251,40.2655,0,0
TXT,PE,D,20140430,000000,40.4061,40.4061,39.2251,40.0583,0,0
TXT,PE,D,20140502,000000,40.2655,40.2655,39.2251,39.2251,0,0
TXT,PE,D,20140505,000000,40.1258,40.1979,39.4322,39.4322,0,0
TXT,PE,D,20140506,000000,39.4322,39.8494,39.2251,39.4322,0,0
TXT,PE,D,20140507,000000,39.2251,39.2251,38.7395,39.0846,0,0
TXT,PE,D,20140508,000000,39.0846,39.0846,39.0141,39.0141,0,0
TXT,PE,D,20140509,000000,39.0141,39.0141,38.5295,38.5998,0,0
TXT,PE,D,20140512,000000,38.5998,38.5998,36.447,37.4891,0,0
TXT,PE,D,20140513,000000,37.9054,37.9054,37.0712,37.4189,0,0
TXT,PE,D,20140514,000000,37.0712,37.0712,36.791,37.0712,0,0
TXT,PE,D,20140515,000000,37.0017,38.1171,37.0017,38.1171,0,0
TXT,PE,D,20140516,000000,38.1171,38.1171,37.0017,38.1171,0,0
TXT,PE,D,20140519,000000,38.0441,38.0441,38.0441,38.0441,0,0
TXT,PE,D,20140520,000000,37.2802,37.3495,36.3793,37.2802,0,0
TXT,PE,D,20140521,000000,37.2802,37.2802,36.2388,37.1414,0,0
TXT,PE,D,20140522,000000,37.3495,39.0846,37.0017,39.0846,0,0
TXT,PE,D,20140523,000000,38.8773,39.2251,38.8773,39.2251,0,0
TXT,PE,D,20140526,000000,39.2251,39.3656,39.2251,39.3656,0,0
TXT,PE,D,20140527,000000,39.2945,39.3656,38.7395,39.1529,0,0
TXT,PE,D,20140528,000000,39.1529,39.2251,39.1529,39.2251,0,0
TXT,PE,D,20140529,000000,38.807,38.807,38.3908,38.5998,0,0
TXT,PE,D,20140530,000000,38.3908,40.3349,37.7675,40.2655,0,0
