<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UCG,MV,D,20071220,000000,160052,160052,160052,160052,0,0
UCG,MV,D,20071221,000000,166422,166422,160052,163317,0,0
UCG,MV,D,20071227,000000,163237,163237,161724,161804,0,0
UCG,MV,D,20071228,000000,162441,162839,160848,162759,0,0
UCG,MV,D,20080102,000000,164432,164432,160530,160848,0,0
UCG,MV,D,20080103,000000,159654,160848,158062,159256,0,0
UCG,MV,D,20080104,000000,160052,160848,156389,157425,0,0
UCG,MV,D,20080107,000000,155275,157425,155275,156469,0,0
UCG,MV,D,20080108,000000,156867,156867,153045,153045,0,0
UCG,MV,D,20080109,000000,152090,156867,147550,156230,0,0
UCG,MV,D,20080110,000000,157663,160530,153682,153682,0,0
UCG,MV,D,20080111,000000,157663,161008,157663,161008,0,0
UCG,MV,D,20080114,000000,163237,163237,163237,163237,0,0
UCG,MV,D,20080115,000000,166422,166422,157902,157902,0,0
UCG,MV,D,20080116,000000,147311,160848,147311,160848,0,0
UCG,MV,D,20080117,000000,160052,160530,157663,159256,0,0
UCG,MV,D,20080118,000000,157663,157982,157106,157106,0,0
UCG,MV,D,20080121,000000,157663,157663,144525,149303,0,0
UCG,MV,D,20080122,000000,143410,146913,139349,144445,0,0
UCG,MV,D,20080123,000000,144525,144525,137279,140066,0,0
UCG,MV,D,20080124,000000,145162,150099,145162,150019,0,0
UCG,MV,D,20080125,000000,144763,148984,144763,146674,0,0
UCG,MV,D,20080128,000000,141738,144286,141738,144206,0,0
UCG,MV,D,20080129,000000,147311,147471,141738,141738,0,0
UCG,MV,D,20080130,000000,141977,142614,141977,142614,0,0
UCG,MV,D,20080131,000000,143171,143171,139429,140145,0,0
UCG,MV,D,20080201,000000,140941,144126,140941,143330,0,0
UCG,MV,D,20080204,000000,145719,145719,145639,145639,0,0
UCG,MV,D,20080205,000000,145400,145400,141419,141419,0,0
UCG,MV,D,20080206,000000,139269,140941,136403,140941,0,0
UCG,MV,D,20080207,000000,142454,142454,136403,136403,0,0
UCG,MV,D,20080208,000000,136403,136403,130670,133138,0,0
UCG,MV,D,20080211,000000,129237,132979,129237,130590,0,0
UCG,MV,D,20080212,000000,134492,136164,134492,136164,0,0
UCG,MV,D,20080213,000000,138951,143012,138951,143012,0,0
UCG,MV,D,20080214,000000,143330,145241,140941,141738,0,0
UCG,MV,D,20080215,000000,141738,141738,137836,137836,0,0
UCG,MV,D,20080218,000000,138553,138553,138155,138155,0,0
UCG,MV,D,20080219,000000,137040,141658,137040,140145,0,0
UCG,MV,D,20080220,000000,139986,140145,139986,140145,0,0
UCG,MV,D,20080221,000000,141738,141738,139906,139906,0,0
UCG,MV,D,20080222,000000,139588,139588,138951,138951,0,0
UCG,MV,D,20080225,000000,140066,140145,139349,139349,0,0
UCG,MV,D,20080226,000000,142534,142534,142534,142534,0,0
UCG,MV,D,20080227,000000,138553,143251,138553,143251,0,0
