<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNI,PB,D,20080512,000000,17.5925,17.5925,17.5925,17.5925,0,0
UNI,PB,D,20080513,000000,17.6082,17.6082,17.2453,17.6082,0,0
UNI,PB,D,20080514,000000,17.6277,17.7699,17.4088,17.7699,0,0
UNI,PB,D,20080515,000000,17.9333,18.1374,17.7699,18.1374,0,0
UNI,PB,D,20080516,000000,18.3,19.2438,18.3,18.5919,0,0
UNI,PB,D,20080519,000000,19.0453,19.4046,19.0453,19.3491,0,0
UNI,PB,D,20080520,000000,19.5827,19.931,19.533,19.533,0,0
UNI,PB,D,20080521,000000,19.5689,19.5689,19.0804,19.0804,0,0
UNI,PB,D,20080523,000000,18.7129,19.4202,18.7129,19.4202,0,0
UNI,PB,D,20080526,000000,19.533,19.5827,18.7701,19.4046,0,0
UNI,PB,D,20080527,000000,19.4046,19.4046,19.3694,19.3694,0,0
UNI,PB,D,20080528,000000,19.3352,19.3491,19.3352,19.3491,0,0
UNI,PB,D,20080529,000000,19.3491,19.3491,19.3491,19.3491,0,0
UNI,PB,D,20080530,000000,19.533,19.533,19.2226,19.2226,0,0
UNI,PB,D,20080602,000000,19.2226,19.2226,11.1693,11.1693,0,0
UNI,PB,D,20080603,000000,11.1693,11.1693,11.1693,11.1693,0,0
UNI,PB,D,20080604,000000,11.1693,11.1693,10.8646,10.8646,0,0
UNI,PB,D,20080605,000000,10.9846,11.1693,10.9846,10.9846,0,0
UNI,PB,D,20080606,000000,11.0844,11.0844,11.076,11.076,0,0
UNI,PB,D,20080609,000000,10.7509,11.1693,10.4314,11.1693,0,0
UNI,PB,D,20080610,000000,11.1462,11.1693,11.1462,11.1462,0,0
UNI,PB,D,20080611,000000,11.0345,11.0345,11.0345,11.0345,0,0
UNI,PB,D,20080612,000000,11.0418,11.0418,11.0418,11.0418,0,0
UNI,PB,D,20080613,000000,11.0622,11.0622,11.0622,11.0622,0,0
UNI,PB,D,20080616,000000,11.0345,11.0345,11.0345,11.0345,0,0
UNI,PB,D,20080617,000000,10.6448,11.0345,10.6448,10.992,0,0
UNI,PB,D,20080618,000000,10.9642,10.9642,10.9642,10.9642,0,0
UNI,PB,D,20080619,000000,10.5598,10.6448,10.5598,10.6448,0,0
UNI,PB,D,20080620,000000,10.6309,10.8646,10.6309,10.8646,0,0
UNI,PB,D,20080623,000000,10.6448,11.0077,10.6448,10.9495,0,0
UNI,PB,D,20080624,000000,10.9283,10.9283,10.908,10.908,0,0
UNI,PB,D,20080625,000000,10.8433,10.8433,10.8017,10.8359,0,0
UNI,PB,D,20080626,000000,10.7509,10.8581,10.6937,10.8581,0,0
UNI,PB,D,20080627,000000,10.7371,10.7371,10.7371,10.7371,0,0
UNI,PB,D,20080630,000000,10.8433,10.8433,10.8433,10.8433,0,0
UNI,PB,D,20080701,000000,10.8646,10.8646,10.8581,10.8581,0,0
UNI,PB,D,20080702,000000,10.8359,10.8359,10.8359,10.8359,0,0
UNI,PB,D,20080703,000000,10.908,10.908,10.908,10.908,0,0
UNI,PB,D,20080704,000000,10.8581,10.8581,10.8433,10.8433,0,0
UNI,PB,D,20080707,000000,10.8581,10.8581,10.8581,10.8581,0,0
UNI,PB,D,20080708,000000,10.6448,10.8433,10.6448,10.8433,0,0
UNI,PB,D,20080709,000000,10.8433,10.8433,10.4314,10.8359,0,0
UNI,PB,D,20080710,000000,10.7509,10.7509,10.7509,10.7509,0,0
UNI,PB,D,20080711,000000,10.7509,10.7509,10.4314,10.7509,0,0
UNI,PB,D,20080714,000000,10.4314,10.6448,10.4314,10.6448,0,0
UNI,PB,D,20080715,000000,10.3262,10.6937,10.3262,10.6937,0,0
UNI,PB,D,20080716,000000,10.8433,10.8433,10.7371,10.7371,0,0
UNI,PB,D,20080717,000000,10.5395,10.7509,10.3262,10.3262,0,0
UNI,PB,D,20080718,000000,10.8359,10.8359,10.3262,10.3262,0,0
UNI,PB,D,20080721,000000,10.8359,10.8359,10.8359,10.8359,0,0
UNI,PB,D,20080722,000000,10.5395,10.5395,10.5395,10.5395,0,0
UNI,PB,D,20080723,000000,10.5395,10.5395,10.5395,10.5395,0,0
UNI,PB,D,20080724,000000,10.5395,10.5395,10.5395,10.5395,0,0
UNI,PB,D,20080725,000000,10.5395,10.5395,10.5395,10.5395,0,0
UNI,PB,D,20080728,000000,10.7509,10.7509,10.7509,10.7509,0,0
UNI,PB,D,20080729,000000,10.7509,10.7509,10.7371,10.7371,0,0
UNI,PB,D,20080730,000000,10.7509,10.7509,10.6937,10.6937,0,0
UNI,PB,D,20080731,000000,10.5395,10.5395,10.3262,10.3262,0,0
UNI,PB,D,20080801,000000,10.5395,10.5395,10.3262,10.5395,0,0
UNI,PB,D,20080804,000000,10.5395,10.5395,10.5395,10.5395,0,0
UNI,PB,D,20080805,000000,10.5395,10.5395,10.5311,10.5311,0,0
UNI,PB,D,20080806,000000,10.7509,10.7509,10.5395,10.5395,0,0
UNI,PB,D,20080807,000000,10.2209,10.5395,10.2209,10.5395,0,0
UNI,PB,D,20080808,000000,10.4314,10.4314,10.4314,10.4314,0,0
UNI,PB,D,20080811,000000,10.5395,10.8017,10.4314,10.4314,0,0
UNI,PB,D,20080812,000000,10.7509,10.7509,10.7509,10.7509,0,0
UNI,PB,D,20080813,000000,10.7731,11.1693,10.7731,11.1693,0,0
UNI,PB,D,20080814,000000,10.9846,11.2755,10.9846,11.2755,0,0
UNI,PB,D,20080818,000000,11.0622,11.5785,2.99588,2.99588,0,0
UNI,PB,D,20080819,000000,2.86132,2.86132,2.86132,2.86132,0,0
UNI,PB,D,20080820,000000,2.77635,2.9038,2.77635,2.9038,0,0
UNI,PB,D,20080821,000000,2.91091,2.91091,2.91091,2.91091,0,0
UNI,PB,D,20080822,000000,2.83306,2.92514,2.79751,2.91091,0,0
UNI,PB,D,20080825,000000,2.86132,2.91091,2.83306,2.91091,0,0
UNI,PB,D,20080827,000000,2.91784,2.91784,2.91784,2.91784,0,0
UNI,PB,D,20080829,000000,2.93917,2.93917,2.80462,2.91091,0,0
UNI,PB,D,20080901,000000,2.84008,2.93225,2.83306,2.93225,0,0
UNI,PB,D,20080902,000000,2.92514,2.92514,2.85412,2.92514,0,0
UNI,PB,D,20080903,000000,2.91091,2.91091,2.6417,2.72666,0,0
UNI,PB,D,20080904,000000,2.76924,2.88256,2.72666,2.84008,0,0
UNI,PB,D,20080905,000000,2.88977,2.91091,2.74791,2.84709,0,0
UNI,PB,D,20080908,000000,2.85412,2.85412,2.85412,2.85412,0,0
UNI,PB,D,20080909,000000,2.78337,2.92514,2.78337,2.9038,0,0
UNI,PB,D,20080910,000000,2.9038,2.9038,2.9038,2.9038,0,0
UNI,PB,D,20080911,000000,2.91091,2.91091,2.88977,2.9038,0,0
UNI,PB,D,20080912,000000,2.81874,2.86132,2.77635,2.86132,0,0
UNI,PB,D,20080915,000000,2.9038,2.9038,2.77635,2.77635,0,0
UNI,PB,D,20080916,000000,2.69859,2.72666,2.67005,2.71965,0,0
UNI,PB,D,20080917,000000,2.77635,2.77635,2.54962,2.65592,0,0
UNI,PB,D,20080918,000000,2.57096,2.58518,2.57096,2.58518,0,0
UNI,PB,D,20080919,000000,2.59211,2.59211,2.58518,2.58518,0,0
UNI,PB,D,20080922,000000,2.53559,2.58518,2.53559,2.58518,0,0
UNI,PB,D,20080923,000000,2.52127,2.52127,2.45062,2.50715,0,0
UNI,PB,D,20080924,000000,2.50031,2.50715,2.50031,2.50031,0,0
UNI,PB,D,20080925,000000,2.50715,2.50715,2.45062,2.45062,0,0
UNI,PB,D,20080926,000000,2.45062,2.55665,2.45062,2.55665,0,0
UNI,PB,D,20080929,000000,2.50715,2.58518,2.50715,2.58518,0,0
UNI,PB,D,20080930,000000,2.50715,2.50715,2.46475,2.50715,0,0
UNI,PB,D,20081001,000000,2.57788,2.58518,2.50715,2.58518,0,0
UNI,PB,D,20081002,000000,2.6417,2.6417,2.55665,2.58518,0,0
