<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOT,PE,D,20110117,000000,5.61492,5.61492,5.61492,5.61492,0,0
VOT,PE,D,20110118,000000,5.61492,5.67511,5.31298,5.55455,0,0
VOT,PE,D,20110119,000000,5.43381,5.61492,5.43381,5.43381,0,0
VOT,PE,D,20110120,000000,5.43381,5.73556,5.31298,5.55455,0,0
VOT,PE,D,20110121,000000,5.55455,5.55455,5.31298,5.49399,0,0
VOT,PE,D,20110124,000000,5.31298,5.49399,5.31298,5.37325,0,0
VOT,PE,D,20110125,000000,5.25261,5.37325,5.25261,5.31298,0,0
VOT,PE,D,20110126,000000,5.31298,5.37325,5.19224,5.25261,0,0
VOT,PE,D,20110127,000000,5.31298,5.55455,5.19224,5.31298,0,0
VOT,PE,D,20110128,000000,5.37325,5.37325,5.37325,5.37325,0,0
VOT,PE,D,20110131,000000,5.49399,5.73556,5.49399,5.55455,0,0
VOT,PE,D,20110201,000000,5.55455,5.67511,5.43381,5.55455,0,0
VOT,PE,D,20110202,000000,5.43381,5.55455,5.37325,5.55455,0,0
VOT,PE,D,20110203,000000,5.55455,5.61492,5.55455,5.61492,0,0
VOT,PE,D,20110204,000000,5.49399,5.49399,5.25261,5.43381,0,0
VOT,PE,D,20110207,000000,5.43381,5.43381,5.31298,5.43381,0,0
VOT,PE,D,20110208,000000,5.43381,5.49399,5.31298,5.43381,0,0
VOT,PE,D,20110209,000000,5.55455,5.55455,5.19224,5.43381,0,0
VOT,PE,D,20110210,000000,5.19224,5.43381,5.19224,5.43381,0,0
VOT,PE,D,20110211,000000,5.43381,5.55455,5.19224,5.43381,0,0
VOT,PE,D,20110214,000000,5.43381,5.43381,5.19224,5.37325,0,0
VOT,PE,D,20110215,000000,5.31298,5.37325,5.25261,5.37325,0,0
VOT,PE,D,20110216,000000,5.31298,5.37325,5.31298,5.37325,0,0
VOT,PE,D,20110217,000000,5.25261,5.37325,5.25261,5.31298,0,0
VOT,PE,D,20110218,000000,5.25261,5.31298,5.25261,5.31298,0,0
VOT,PE,D,20110221,000000,5.31298,5.43381,5.31298,5.43381,0,0
VOT,PE,D,20110222,000000,5.43381,5.43381,5.25261,5.43381,0,0
VOT,PE,D,20110223,000000,5.37325,5.43381,5.37325,5.43381,0,0
VOT,PE,D,20110224,000000,5.37325,5.43381,5.37325,5.43381,0,0
VOT,PE,D,20110225,000000,5.49399,5.91667,5.43381,5.73556,0,0
VOT,PE,D,20110228,000000,5.79593,5.79593,5.61492,5.73556,0,0
VOT,PE,D,20110301,000000,5.67511,5.73556,5.67511,5.73556,0,0
VOT,PE,D,20110302,000000,5.67511,5.91667,5.67511,5.73556,0,0
VOT,PE,D,20110303,000000,5.67511,5.8563,5.67511,5.67511,0,0
VOT,PE,D,20110304,000000,5.61492,5.73556,5.49399,5.67511,0,0
VOT,PE,D,20110307,000000,5.37325,5.61492,5.37325,5.61492,0,0
VOT,PE,D,20110308,000000,5.67511,5.97704,5.61492,5.91667,0,0
VOT,PE,D,20110309,000000,5.97704,5.97704,5.55455,5.91667,0,0
VOT,PE,D,20110310,000000,5.91667,6.03732,5.91667,6.03732,0,0
VOT,PE,D,20110311,000000,5.91667,6.03732,5.91667,5.91667,0,0
VOT,PE,D,20110314,000000,5.73556,5.97704,5.73556,5.97704,0,0
VOT,PE,D,20110315,000000,5.67511,5.97704,5.67511,5.97704,0,0
VOT,PE,D,20110316,000000,5.91667,5.97704,5.67511,5.67511,0,0
VOT,PE,D,20110317,000000,5.67511,5.8563,5.61492,5.8563,0,0
VOT,PE,D,20110318,000000,5.91667,5.91667,5.67511,5.8563,0,0
VOT,PE,D,20110321,000000,5.97704,5.97704,5.79593,5.79593,0,0
VOT,PE,D,20110322,000000,5.79593,5.79593,5.61492,5.73556,0,0
VOT,PE,D,20110323,000000,5.67511,5.73556,5.55455,5.61492,0,0
VOT,PE,D,20110324,000000,5.61492,5.73556,5.61492,5.73556,0,0
VOT,PE,D,20110325,000000,5.61492,5.73556,5.61492,5.73556,0,0
VOT,PE,D,20110328,000000,5.73556,5.8563,5.73556,5.8563,0,0
VOT,PE,D,20110329,000000,5.8563,5.8563,5.79593,5.79593,0,0
VOT,PE,D,20110330,000000,5.8563,6.09788,5.79593,6.03732,0,0
VOT,PE,D,20110331,000000,6.03732,6.03732,6.03732,6.03732,0,0
VOT,PE,D,20110401,000000,6.03732,6.03732,6.03732,6.03732,0,0
VOT,PE,D,20110404,000000,6.03732,6.15824,6.03732,6.09788,0,0
VOT,PE,D,20110405,000000,6.09788,6.09788,6.03732,6.09788,0,0
VOT,PE,D,20110406,000000,5.97704,6.09788,5.97704,6.03732,0,0
VOT,PE,D,20110407,000000,5.97704,6.15824,5.97704,6.15824,0,0
VOT,PE,D,20110408,000000,6.03732,6.15824,6.03732,6.09788,0,0
VOT,PE,D,20110411,000000,6.09788,6.09788,6.09788,6.09788,0,0
VOT,PE,D,20110412,000000,5.91667,6.09788,5.8563,6.09788,0,0
VOT,PE,D,20110414,000000,6.09788,6.09788,6.09788,6.09788,0,0
VOT,PE,D,20110418,000000,5.91667,6.03732,5.8563,6.03732,0,0
VOT,PE,D,20110419,000000,5.73556,6.03732,5.61492,5.67511,0,0
VOT,PE,D,20110420,000000,5.67511,5.79593,5.67511,5.67511,0,0
VOT,PE,D,20110421,000000,5.67511,5.73556,5.67511,5.73556,0,0
VOT,PE,D,20110426,000000,5.73556,5.73556,5.73556,5.73556,0,0
VOT,PE,D,20110427,000000,5.8563,5.8563,5.73556,5.8563,0,0
VOT,PE,D,20110428,000000,5.79593,5.8563,5.73556,5.79593,0,0
VOT,PE,D,20110429,000000,5.79593,5.79593,5.61492,5.79593,0,0
VOT,PE,D,20110502,000000,5.79593,5.79593,5.79593,5.79593,0,0
VOT,PE,D,20110504,000000,5.79593,5.97704,5.79593,5.79593,0,0
VOT,PE,D,20110505,000000,5.67511,5.79593,5.61492,5.73556,0,0
VOT,PE,D,20110506,000000,5.73556,5.73556,5.67511,5.67511,0,0
