<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOX,MV,D,20111011,000000,102.588,102.588,102.588,102.588,0,0
VOX,MV,D,20111012,000000,102.588,102.588,96.9237,101.101,0,0
VOX,MV,D,20111013,000000,101.164,105.056,100.531,105.056,0,0
VOX,MV,D,20111014,000000,106.116,109.386,104.691,106.116,0,0
VOX,MV,D,20111017,000000,106.116,106.116,99.0529,103.996,0,0
VOX,MV,D,20111018,000000,103.64,103.64,91.962,99.0529,0,0
VOX,MV,D,20111019,000000,99.7469,99.7469,99.0529,99.0529,0,0
VOX,MV,D,20111020,000000,99.0529,99.0529,97.2707,97.2707,0,0
VOX,MV,D,20111021,000000,97.2707,104.851,95.1598,104.851,0,0
VOX,MV,D,20111024,000000,102.588,102.588,102.588,102.588,0,0
VOX,MV,D,20111025,000000,102.588,102.588,101.582,102.509,0,0
VOX,MV,D,20111026,000000,102.509,102.509,101.529,101.529,0,0
VOX,MV,D,20111027,000000,101.529,101.529,100.451,100.451,0,0
VOX,MV,D,20111028,000000,100.451,100.451,99.0529,99.0529,0,0
VOX,MV,D,20111031,000000,99.0529,99.0529,99.0529,99.0529,0,0
VOX,MV,D,20111102,000000,97.2707,97.2707,91.962,93.022,0,0
VOX,MV,D,20111103,000000,95.5072,97.9839,95.5072,97.636,0,0
VOX,MV,D,20111104,000000,97.9839,99.0529,97.636,97.636,0,0
VOX,MV,D,20111107,000000,97.636,98.1973,97.636,98.1262,0,0
VOX,MV,D,20111108,000000,98.3396,98.3396,93.3961,93.3961,0,0
VOX,MV,D,20111109,000000,95.5072,95.5072,95.5072,95.5072,0,0
VOX,MV,D,20111110,000000,95.5072,99.3912,95.5072,99.3912,0,0
VOX,MV,D,20111114,000000,99.3912,99.3912,97.9214,97.9214,0,0
VOX,MV,D,20111115,000000,96.9237,96.9237,95.8635,95.8635,0,0
VOX,MV,D,20111116,000000,95.8635,95.8635,95.5072,95.5072,0,0
VOX,MV,D,20111117,000000,95.5072,95.5072,70.8153,77.8176,0,0
