<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOX,PE,D,20111011,000000,39.7617,39.7617,39.7617,39.7617,0,0
VOX,PE,D,20111012,000000,39.7617,39.7617,37.5803,39.1792,0,0
VOX,PE,D,20111013,000000,39.1792,40.7799,38.9618,40.7799,0,0
VOX,PE,D,20111014,000000,41.2154,42.4518,40.6329,41.1423,0,0
VOX,PE,D,20111017,000000,41.1423,41.1423,38.381,40.3425,0,0
VOX,PE,D,20111018,000000,40.1973,40.1973,35.6909,38.4532,0,0
VOX,PE,D,20111019,000000,38.7445,38.7445,38.4532,38.4532,0,0
VOX,PE,D,20111020,000000,38.4532,38.4532,37.7254,37.7254,0,0
VOX,PE,D,20111021,000000,37.7254,40.6329,36.9264,40.6329,0,0
VOX,PE,D,20111024,000000,39.7617,39.7617,39.7617,39.7617,0,0
VOX,PE,D,20111025,000000,39.7617,39.7617,39.3982,39.7617,0,0
VOX,PE,D,20111026,000000,39.7617,39.7617,39.3982,39.3982,0,0
VOX,PE,D,20111027,000000,39.3982,39.3982,38.9618,38.9618,0,0
VOX,PE,D,20111028,000000,38.9618,38.9618,38.4532,38.4532,0,0
VOX,PE,D,20111031,000000,38.4532,38.4532,38.4532,38.4532,0,0
VOX,PE,D,20111102,000000,37.7254,37.7254,35.6909,36.0535,0,0
VOX,PE,D,20111103,000000,36.9985,37.9446,36.9985,37.8724,0,0
VOX,PE,D,20111104,000000,38.0176,38.4532,37.8724,37.8724,0,0
VOX,PE,D,20111107,000000,37.8724,38.0897,37.8724,38.0897,0,0
VOX,PE,D,20111108,000000,38.1619,38.1619,36.2005,36.2005,0,0
VOX,PE,D,20111109,000000,36.9985,37.0725,36.9985,37.0725,0,0
VOX,PE,D,20111110,000000,37.0725,38.6002,37.0725,38.5263,0,0
VOX,PE,D,20111114,000000,38.5263,38.5263,37.9446,37.9446,0,0
VOX,PE,D,20111115,000000,37.5803,37.5803,37.1455,37.2168,0,0
VOX,PE,D,20111116,000000,37.2168,37.2168,37.0725,37.0725,0,0
VOX,PE,D,20111117,000000,37.0725,37.0725,27.4764,30.1674,0,0
VOX,PE,D,20111118,000000,32.8565,32.8565,26.8956,27.4764,0,0
VOX,PE,D,20111121,000000,27.4764,27.4764,27.4764,27.4764,0,0
VOX,PE,D,20111122,000000,27.4042,28.2771,27.4042,28.2771,0,0
VOX,PE,D,20120215,000000,22.7526,22.7526,22.7526,22.7526,0,0
VOX,PE,D,20120216,000000,22.7526,22.7526,21.4423,21.5884,0,0
VOX,PE,D,20120217,000000,21.5884,23.7699,21.5884,23.7699,0,0
VOX,PE,D,20120220,000000,24.9323,24.9323,22.7526,24.7863,0,0
VOX,PE,D,20120221,000000,23.6969,23.6969,23.6969,23.6969,0,0
VOX,PE,D,20120222,000000,23.7699,24.2064,23.7699,24.0612,0,0
VOX,PE,D,20120223,000000,23.989,23.989,23.4795,23.5516,0,0
VOX,PE,D,20120224,000000,23.6969,23.7699,22.0249,22.0249,0,0
VOX,PE,D,20120227,000000,22.0249,23.043,22.0249,23.043,0,0
VOX,PE,D,20120228,000000,23.043,23.043,22.8257,23.043,0,0
VOX,PE,D,20120229,000000,23.043,23.043,21.3711,21.5884,0,0
VOX,PE,D,20120301,000000,21.9528,21.9528,20.5712,20.9355,0,0
VOX,PE,D,20120302,000000,20.9355,21.2259,20.2808,20.5712,0,0
VOX,PE,D,20120305,000000,20.5712,21.0085,20.5712,21.0085,0,0
VOX,PE,D,20120306,000000,20.8616,21.0085,20.5712,20.5712,0,0
