<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIK,MV,D,20070813,000000,82.6915,82.6915,82.6915,82.6915,0,0
WIK,MV,D,20070814,000000,79.7336,79.7336,79.7336,79.7336,0,0
WIK,MV,D,20070816,000000,64.9731,64.9731,64.9731,64.9731,0,0
WIK,MV,D,20070817,000000,76.7856,76.7856,76.7856,76.7856,0,0
WIK,MV,D,20070820,000000,82.6915,82.6915,82.6915,82.6915,0,0
WIK,MV,D,20070821,000000,79.7336,79.7336,79.7336,79.7336,0,0
WIK,MV,D,20070822,000000,82.6915,82.6915,82.6915,82.6915,0,0
WIK,MV,D,20070823,000000,82.6915,82.6915,82.6915,82.6915,0,0
WIK,MV,D,20070824,000000,82.6915,82.6915,82.6915,82.6915,0,0
WIK,MV,D,20070827,000000,82.6915,82.6915,82.6915,82.6915,0,0
WIK,MV,D,20070828,000000,79.7336,79.7336,79.7336,79.7336,0,0
WIK,MV,D,20070829,000000,82.6915,82.6915,82.6915,82.6915,0,0
WIK,MV,D,20070830,000000,82.6915,82.6915,82.6915,82.6915,0,0
WIK,MV,D,20070831,000000,82.6915,82.6915,82.6915,82.6915,0,0
WIK,MV,D,20070903,000000,100.405,100.405,100.405,100.405,0,0
WIK,MV,D,20070904,000000,97.4518,97.4518,97.4518,97.4518,0,0
WIK,MV,D,20070905,000000,88.5973,88.5973,88.5973,88.5973,0,0
WIK,MV,D,20070906,000000,94.4986,94.4986,94.4986,94.4986,0,0
WIK,MV,D,20070907,000000,94.4986,94.4986,94.4986,94.4986,0,0
WIK,MV,D,20070910,000000,88.5973,88.5973,88.5973,88.5973,0,0
WIK,MV,D,20070911,000000,91.5453,91.5453,91.5453,91.5453,0,0
WIK,MV,D,20070912,000000,91.5453,91.5453,91.5453,91.5453,0,0
WIK,MV,D,20070913,000000,88.5973,88.5973,88.5973,88.5973,0,0
WIK,MV,D,20070914,000000,91.5453,91.5453,91.5453,91.5453,0,0
WIK,MV,D,20070917,000000,94.4986,94.4986,94.4986,94.4986,0,0
WIK,MV,D,20070918,000000,103.359,103.359,103.359,103.359,0,0
WIK,MV,D,20070919,000000,103.359,103.359,103.359,103.359,0,0
WIK,MV,D,20070920,000000,106.312,106.312,106.312,106.312,0,0
WIK,MV,D,20070921,000000,103.359,103.359,103.359,103.359,0,0
WIK,MV,D,20070924,000000,100.405,100.405,100.405,100.405,0,0
WIK,MV,D,20070925,000000,97.4518,97.4518,97.4518,97.4518,0,0
WIK,MV,D,20070926,000000,100.405,100.405,100.405,100.405,0,0
WIK,MV,D,20070927,000000,97.4518,97.4518,97.4518,97.4518,0,0
WIK,MV,D,20070928,000000,97.4518,97.4518,97.4518,97.4518,0,0
WIK,MV,D,20071001,000000,97.4518,97.4518,97.4518,97.4518,0,0
WIK,MV,D,20071002,000000,97.4518,97.4518,97.4518,97.4518,0,0
WIK,MV,D,20071003,000000,94.4986,94.4986,94.4986,94.4986,0,0
WIK,MV,D,20071004,000000,97.4518,97.4518,97.4518,97.4518,0,0
WIK,MV,D,20071005,000000,94.4986,94.4986,94.4986,94.4986,0,0
WIK,MV,D,20071008,000000,94.4986,94.4986,94.4986,94.4986,0,0
WIK,MV,D,20071009,000000,91.5453,91.5453,91.5453,91.5453,0,0
WIK,MV,D,20071010,000000,94.4986,94.4986,94.4986,94.4986,0,0
